,CDM,Description,REVENUE,HCPCS,CPT,Price,Hospital,Year
48,42300011,Hydration IV addition hour,260,,96361,135.0,College Medical Center,2019
49,42300011,Hydration IV addition hour,260,,96361,135.0,College Medical Center,2019
50,42300012,IV Infusion Initial (>15 Min),260,,96365,505.0,College Medical Center,2019
51,42300012,IV infusion T/P/D initial 15 minutes or more,260,,96365,505.0,College Medical Center,2019
52,42300013,IV Infusion addition hour,260,,96366,100.0,College Medical Center,2019
53,42300013,IV Infusion addition hour,260,,96366,100.0,College Medical Center,2019
54,42300013,IV infusion addition hour,260,,96366,100.0,College Medical Center,2019
55,42300020,IV pushes Inj Added,260,,96375,114.63,College Medical Center,2019
56,42300020,IV pushes Inj Added,260,,96375,114.63,College Medical Center,2019
57,42300020,IV pushes Inj Added,260,,96375,114.63,College Medical Center,2019
58,42300021,TXPRO/DX Inj Same Drug,260,,96376,114.63,College Medical Center,2019
59,42300021,TXPRO/DX Inj Same Drug,260,,96376,114.63,College Medical Center,2019
60,42300021,TXPRO/DX Inj Same Drug,260,,96376,114.63,College Medical Center,2019
61,42351022,Number IV Pushes,260,,96374,450.0,College Medical Center,2019
62,42351025,IV Infusion for Hydration,260,,96360,254.0,College Medical Center,2019
63,42351028,IV Infusion therapy prophylaxis/dx ea hr,260,,96366,100.0,College Medical Center,2019
64,42351031,IV Infusion therapy/prophylaxis/Dx 1st to 1hr 2,260,,96365,505.0,College Medical Center,2019
65,42351032,IV Infusion therapy prophylaxis/dx ea hr 3,260,,96366,100.0,College Medical Center,2019
66,4097330,Crash Cart,270,,,0.0,College Medical Center,2019
67,40520438,"PACK, SHOULDER SPLIT",270,,,2791.0,College Medical Center,2019
68,40520439,"PACK, KNEE ARTHROSCOPY",270,,,2791.0,College Medical Center,2019
69,40521304,"PACK, CYSTO",270,,,1273.0,College Medical Center,2019
70,40521503,"PACK, DISCOGRAM",270,,,290.0,College Medical Center,2019
71,40521630,"PACK, LUMBAR CERVICAL",270,,,341.0,College Medical Center,2019
72,40522500,"PACK, LAPAROSCOPY",270,,,1170.0,College Medical Center,2019
73,40530057,"POUCH, FLUID",270,,,141.0,College Medical Center,2019
74,40530256,"DISP BIPOLAR FORCEP INSTRUMENT 10"" X 1.5MM",270,,,191.0,College Medical Center,2019
75,40530271,BEAVER MINI BLADE 69,270,,,351.0,College Medical Center,2019
76,40530307,PEG KIT 20FR,270,,,415.0,College Medical Center,2019
77,40530308,"SET, 1 PROXIMATE PPH PROCEDURE /PROLAPSE AND HEMOR",270,,,2190.0,College Medical Center,2019
78,40530316,GELFOAM PLUS,270,,,286.0,College Medical Center,2019
79,40530321,BLADE SURGICAL SIZE 12,270,,,50.0,College Medical Center,2019
80,40530327,MAGNUM WIRE WITH NEEDLE,270,,,117.0,College Medical Center,2019
81,40530336,SEPRAFILM 5 X 6 LARGE,270,,,715.0,College Medical Center,2019
82,40530337,ELECTRODE LAPAROSCOPIC L-HOOK,270,,,288.0,College Medical Center,2019
83,40530338,CHOLANGIOGRAPHY SET LAPAROSCOPIE,270,,,288.0,College Medical Center,2019
84,40530365,HIP SET DISPOSABLES,270,,,1440.0,College Medical Center,2019
85,40530366,HIP ARTHROSCOPY KIT W/CANNULAS,270,,,1103.0,College Medical Center,2019
86,40530401,DR WITZLING'S TRAY,270,,,1000.0,College Medical Center,2019
87,40530405,LOOP ELECTRODE SMALL 24FR,270,,,1582.0,College Medical Center,2019
88,40530405,MEDIUM RADIUS LOOP ELECTRODES,270,,,1582.0,College Medical Center,2019
89,40530406,"ELECTRODE, NEEDLE TIP",270,,,1582.0,College Medical Center,2019
90,40530420,TANDEM XL,270,,,166.0,College Medical Center,2019
91,40530420,TANDEM XL 5.5FR,270,,,166.0,College Medical Center,2019
92,40530431,ULTRATOME XL,270,,,1200.0,College Medical Center,2019
93,40530433,ENHANCED STEERING KIT SC-4395-50,270,,,170.0,College Medical Center,2019
94,40530549,ARTHREX FIBERSTICK,270,,,182.0,College Medical Center,2019
95,40530551,#2 FIBERWIRE SUTURE,270,,,823.0,College Medical Center,2019
96,40530958,"Catheter, Urethral, Red Rubber, 10 fr",270,,,843.0,College Medical Center,2019
97,40530976,LEEP ELECTRODE,270,,,264.0,College Medical Center,2019
98,40531006,"PENCIL, CAUTERY BUTTON W/HOLSTER",270,,,244.0,College Medical Center,2019
99,40531402,"DRAIN, FLAT 7MM X 20CM",270,,,70.0,College Medical Center,2019
100,40531402,"DRAIN, PENROSE 1/2"" X 12"" LATEX",270,,,70.0,College Medical Center,2019
101,40531451,"EVACUATOR, SILICONE 100CC",270,,,333.0,College Medical Center,2019
102,40531494,LEAD HAND,270,,,290.0,College Medical Center,2019
103,40531512,HAT BIOPSY FORCEP,270,,,66.0,College Medical Center,2019
104,40531659,"Dressing, Adhesive, 4"" x 10""",270,,,45.0,College Medical Center,2019
105,40531659,"Dressing, Adhesive, 6"" x 6""",270,,,45.0,College Medical Center,2019
106,40531662,"ELECTRODE, ECG ADULT",270,,,52.0,College Medical Center,2019
107,40531662,"Electrode, Pediatric",270,,,52.0,College Medical Center,2019
108,40531733,DRESSING TRNSP TEGADERM 4X4 3/4,270,,,45.0,College Medical Center,2019
109,40531733,OpSite - Sm,270,,,45.0,College Medical Center,2019
110,40531808,"DRESSING, OPSITE 11"" X 6""",270,,,88.0,College Medical Center,2019
111,40531857,Kerlix,270,,,79.0,College Medical Center,2019
112,40532012,BLADE PATELLAR REAMER 51MM,270,,,358.0,College Medical Center,2019
113,40532012,"BLADE,RECIPROCATING SAW",270,,,358.0,College Medical Center,2019
114,40532061,"IRRIGATOR, SUCTION (ENDOSCOPY)",270,,,484.0,College Medical Center,2019
115,40532061,"IRRIGATOR, SUCTION (ORTHO)",270,,,484.0,College Medical Center,2019
116,40532102,SAGITTAL BLADE,270,,,351.0,College Medical Center,2019
117,40532202,"GAUZE, XEROFORM 1"" X 8""",270,,,79.0,College Medical Center,2019
118,40532389,"GLOVE, SURGICAL STERILE SIZE 6",270,,,75.0,College Medical Center,2019
119,40532390,"GLOVE, ORTHO SIZE 7",270,,,122.0,College Medical Center,2019
120,40532396,"GLOVE, RADIATION SIZE 7 1/2",270,,,350.0,College Medical Center,2019
121,40532426,RT - Heat Moisture Exchanger,270,,,45.0,College Medical Center,2019
122,40532558,HEMOVAC DRAIN SMALL,270,,,45.0,College Medical Center,2019
123,40532585,"Pad, Hypothermia, 25"" x 64""",270,,,264.0,College Medical Center,2019
124,40532609,MAGNA DRAPE HAND FREE TRANSFER PROD SYSTEM,270,,,233.0,College Medical Center,2019
125,40532610,"KNIFE, CARPAL TUNNEL",270,,,523.0,College Medical Center,2019
126,40532716,"Cannula, Click Lock Safeline",270,,,88.0,College Medical Center,2019
127,40532761,NEEDLE CHIBA 22X20CM,270,,,105.0,College Medical Center,2019
128,40532763,SCORPION NEEDLES,270,,,636.0,College Medical Center,2019
129,40532764,Needle Biops Illinois Sternal,270,,,141.0,College Medical Center,2019
130,40532806,"Pack, Universal 1",270,,,184.0,College Medical Center,2019
131,40532975,"SPONGE, KITTNER",270,,,57.0,College Medical Center,2019
132,40533101,"PILLOW, ABDUCTION",270,,,1011.0,College Medical Center,2019
133,40533101,"Pillow, Abduction, Omni",270,,,1011.0,College Medical Center,2019
134,40533127,GLIGLI SAW BLADE 51CM,270,,,218.0,College Medical Center,2019
135,40533130,"SET, IRRIGATION",270,,,45.0,College Medical Center,2019
136,40533140,"Set, Winged Infusion",270,,,26.0,College Medical Center,2019
137,40533141,VENTICULAR DRAINAGE SYSTEM,270,,,436.0,College Medical Center,2019
138,40533143,"DRAPE, MEDIUM 40 X 70",270,,,116.0,College Medical Center,2019
139,40533150,"DRAPE, 3/4"" 53"" X 77""",270,,,138.0,College Medical Center,2019
140,40533170,"Shroud, Adult",270,,,50.0,College Medical Center,2019
141,40533184,"Drape, Loban, Large",270,,,184.0,College Medical Center,2019
142,40533259,"DRAPE, LAPAROTOMY 60 X 108",270,,,307.0,College Medical Center,2019
143,40533309,"DRAPE, UTILITY 26X15",270,,,141.0,College Medical Center,2019
144,40533366,"SPONGE, EYE SPEAR (WEKSEL)",270,,,51.0,College Medical Center,2019
145,40533382,"SPONGE, LAP 18X18",270,,,77.0,College Medical Center,2019
146,40533393,HAND AND FOOT TRAY,270,,,1582.0,College Medical Center,2019
147,40533408,ETHICON DISP EEA STAPLER  SIZE 33MM,270,,,264.0,College Medical Center,2019
148,40533408,"STAPLER, SKIN 35R",270,,,264.0,College Medical Center,2019
149,40533457,VERISTIM III NERVE STIMULATOR,270,,,327.0,College Medical Center,2019
150,40533507,"STOCKINETTE, BIAS 3""",270,,,116.0,College Medical Center,2019
151,40533509,"STOCKINETTE, TUBULAR 3""",270,,,255.0,College Medical Center,2019
152,40533509,"Stockinette, Tubular, 3""",270,,,255.0,College Medical Center,2019
153,40533509,"Stockinette, Tubular, 4""",270,,,255.0,College Medical Center,2019
154,40533556,"STOCKINETTE, IMPERVIOUS LARGE",270,,,176.0,College Medical Center,2019
155,40533606,RX LITHO COMP BASKET,270,,,1290.0,College Medical Center,2019
156,40533853,Scrotal Support,270,,,100.0,College Medical Center,2019
157,40533952,"DRESSING, HEMOSTAT (SURGICEL) 2"" X 14""",270,,,474.0,College Medical Center,2019
158,40533980,ENDOPATH ENDOSCOPIC LINEAR CUTTER 45 THICK,270,,,1948.0,College Medical Center,2019
159,40533982,ENDOPATH ETS-FLEX LINEAR CUTTER RELOADS,270,,,932.0,College Medical Center,2019
160,40533990,DISSECTOR BLUNT TIP 5MM,270,,,1069.0,College Medical Center,2019
161,40533992,"SCISSOR, ETHICON ENDO",270,,,1069.0,College Medical Center,2019
162,40534000,ENDOSCOPIC GIA ROTICULATOR 42-2.5,270,,,1868.0,College Medical Center,2019
163,40534018,"TROCAR, SURGICAL",270,,,554.0,College Medical Center,2019
164,40534026,CANNULA THREADED & SEAL 5 X 100MM,270,,,466.0,College Medical Center,2019
165,40534042,STAPLER LINEAR RELOADABLE 60MM 4.8,270,,,1206.0,College Medical Center,2019
166,40534059,CUTTER PROXIMATE LINEAR W/ SAFETY,270,,,1559.0,College Medical Center,2019
167,40534067,ENDO CLIP ML,270,,,735.0,College Medical Center,2019
168,40534068,"CLIP, HEMOCLIP LIGATING MEDIUM",270,,,624.0,College Medical Center,2019
169,40534158,"SYRINGE, IRRIGATION BULB STERILE 50CC",270,,,63.0,College Medical Center,2019
170,40534181,SYRINGE IRRIGATION TOOMEY STRL 70CC,270,,,59.0,College Medical Center,2019
171,40534406,"Tray, Prep",270,,,70.0,College Medical Center,2019
172,40534752,Suction Tubing,270,,,88.0,College Medical Center,2019
173,40534840,"INJECTOR, UTERINE MANIPULATOR",270,,,230.0,College Medical Center,2019
174,40540395,Tracheostomy plug,270,,,63.0,College Medical Center,2019
175,40541173,"CUFF TOURNIQUET STERILE DISP 24""",270,,,271.0,College Medical Center,2019
176,40542060,MICRO MAX BURR,270,,,218.0,College Medical Center,2019
177,40542218,COMPACT CEMENT MIXING SYSTEM,270,,,310.0,College Medical Center,2019
178,40542227,CANAL BRUSH WITH SUCTION,270,,,375.0,College Medical Center,2019
179,40542227,FEM TIP SUCTION IRRIGATION TIP,270,,,3745.0,College Medical Center,2019
180,40542310,"ABLATOR, VULCAN 90",270,,,1037.0,College Medical Center,2019
181,40542326,"TUBING, ARTHROSCOPY PUMP",270,,,184.0,College Medical Center,2019
182,40542705,"KIT, TRANSTIBIAL ACL DISP",270,,,726.0,College Medical Center,2019
183,40542706,.045 K-WIRE SMOOTH,270,,,117.0,College Medical Center,2019
184,40542706,.062 K-WIRE SMOOTH,270,,,117.0,College Medical Center,2019
185,40543555,6 X 20MM SPIKED LIGAMENT STAPLE,270,,,168.0,College Medical Center,2019
186,40543555,"Stapler, Skin, 35 Regular",270,,,168.0,College Medical Center,2019
187,40543575,BIOKNOTLESS PLUS WITH ORTHOCORD,270,,,1159.0,College Medical Center,2019
188,40543575,MITEK G2 QUICK ANCHOR,270,,,1159.0,College Medical Center,2019
189,40543575,VERSALOK ANCHOR WITH ORTHOCORD,270,,,1159.0,College Medical Center,2019
190,40544117,SUTURE PROLENE,270,,,616.0,College Medical Center,2019
191,40544157,BONE WAX 2.5 GRAMS,270,,,443.0,College Medical Center,2019
192,40544157,BONE WAX LUKENS,270,,,443.0,College Medical Center,2019
193,40544157,BONE WAX OSTENE,270,,,443.0,College Medical Center,2019
194,40545584,VESSEL CANNULA,270,,,88.0,College Medical Center,2019
195,40545584,VESSEL LOOPS MAXI-BLUE,270,,,88.0,College Medical Center,2019
196,40545584,VESSEL LOOPS MINI-RED,270,,,88.0,College Medical Center,2019
197,40546400,JAVID CAROTID SHUNT BYPASS 10FR X 13CM,270,,,1225.0,College Medical Center,2019
198,40550001,"CIRCUIT, BREATHING",270,,,616.0,College Medical Center,2019
199,40550002,"BREATHNIG CIRCUIT, PEDIATRIC",270,,,616.0,College Medical Center,2019
200,40550003,"Electrode, Diaphoretic",270,,,61.0,College Medical Center,2019
201,40550004,Prim Piggyback Set,270,,,351.0,College Medical Center,2019
202,40550005,"MASK, LARYNGEAL AIRWAY SIZE 5",270,,,264.0,College Medical Center,2019
203,40550006,"PACK, CARPAL TUNNEL",270,,,616.0,College Medical Center,2019
204,40550010,DRAPE LAPAROTOMY POUCH,270,,,351.0,College Medical Center,2019
205,40550010,"DRAPE, TRANSVERSE 78"" X 120"" X 102""",270,,,351.0,College Medical Center,2019
206,40550010,"Drape, Laparotomy T, 78"" x 121"" x 102""",270,,,351.0,College Medical Center,2019
207,40550010,"Drape, Transverse, 78"" x 120"" x 102""",270,,,351.0,College Medical Center,2019
208,40550010,"Sheet Laparotomy 60"" x 108""",270,,,351.0,College Medical Center,2019
209,40550012,"STOCKINETTE STERILE 6""",270,,,616.0,College Medical Center,2019
210,40550012,"STOCKINETTE, BIAS STERILE 4""",270,,,616.0,College Medical Center,2019
211,40550012,"STOCKINETTE, BIAS STERILE 6""",270,,,616.0,College Medical Center,2019
212,40550012,"Stockinette, Bias, Sterile, 4""",270,,,616.0,College Medical Center,2019
213,40550012,"Stockinette, Bias, Sterile, 6""",270,,,616.0,College Medical Center,2019
214,40550021,"Bandage, Esmark, 4""",270,,,176.0,College Medical Center,2019
215,40550021,"Bandage, Esmark, 6""",270,,,176.0,College Medical Center,2019
216,40550023,"GLOVE, BIOGEL NON STERILE SIZE 8",270,,,110.0,College Medical Center,2019
217,40550023,"GLOVE, BIOGEL SIZE 6.5",270,,,110.0,College Medical Center,2019
218,40550025,"PAD, GROUNDING",270,,,176.0,College Medical Center,2019
219,40550031,"DONUT, LARGE",270,,,616.0,College Medical Center,2019
220,40550036,"SPONGE, GAUZE 4"" X 4"" XRAY DETECTABLE STERILE",270,,,88.0,College Medical Center,2019
221,40550040,CHLORAPREP-ORANGE TINT 26ML,270,,,616.0,College Medical Center,2019
222,40550042,"INSTRUMENT, SUCTION POOLE",270,,,176.0,College Medical Center,2019
223,40550043,SUCTION TIP YANKAUER OPEN,270,,,176.0,College Medical Center,2019
224,40550045,DISPOSABLE INSUFFLATION NEEDLE 14G X 150MM,270,,,176.0,College Medical Center,2019
225,40550045,"TUBING, INSUFFLATION",270,,,176.0,College Medical Center,2019
226,40550047,ASPIRATION TUBING (BERKLEY),270,,,176.0,College Medical Center,2019
227,40550048,CURETTE VACUUM CURVED 10MM (BERKLEY),270,,,176.0,College Medical Center,2019
228,40550090,CHEST TUBE RIGHT ANGLED 28FR,270,,,616.0,College Medical Center,2019
229,40550096,"SPONGE, GAUZE SUPER MEDIUM STERILE",270,,,88.0,College Medical Center,2019
230,40550098,BABCOCK WITH RATCHET HANDLE 5MM,270,,,1230.0,College Medical Center,2019
231,40550100,SPECIMEN BAG 10MM,270,,,1230.0,College Medical Center,2019
232,40550101,RELOAD PROXIMATE LINEAR CUTTER BLUE,270,,,2108.0,College Medical Center,2019
233,40550102,CAP ENDOPATH REDUCER MULTISEAL 5MM,270,,,88.0,College Medical Center,2019
234,40550106,APPLIER MCA MULTI-CLIP 20 MED 9-3/8,270,,,820.0,College Medical Center,2019
235,40550107,"SUTURE PDS II 0 CT-1 36""",270,,,739.0,College Medical Center,2019
236,40550109,ABDOMINAL HYSTER TRAY,270,,,2198.0,College Medical Center,2019
237,40550110,ARTHROSCOPY TRAY,270,,,2198.0,College Medical Center,2019
238,40550110,"Tray, Arthrogram",270,,,2198.0,College Medical Center,2019
239,40550112,ANTERIOR CERVICAL TRAY,270,,,2811.0,College Medical Center,2019
240,40550116,LAP. CHOLE INSTRUMENTS,270,,,2198.0,College Medical Center,2019
241,40550119,LARGE BONE TRAY,270,,,2811.0,College Medical Center,2019
242,40550120,SMALL BONE TRAY,270,,,2198.0,College Medical Center,2019
243,40550121,CARPAL TUNNEL TRAY,270,,,1582.0,College Medical Center,2019
244,40550122,LAPAROTOMY TRAY,270,,,2198.0,College Medical Center,2019
245,40550123,MINOR TRAY,270,,,1582.0,College Medical Center,2019
246,40550124,AMPUTATION TRAY,270,,,2811.0,College Medical Center,2019
247,40550124,LAMINECTOMY TRAY,270,,,2811.0,College Medical Center,2019
248,40550126,PLASTIC TRAY,270,,,1582.0,College Medical Center,2019
249,40550128,PODIATRY TRAY,270,,,1582.0,College Medical Center,2019
250,40550132,THORACIC TRAY,270,,,2811.0,College Medical Center,2019
251,40550135,MAJOR VASCULAR TRAY,270,,,2198.0,College Medical Center,2019
252,40550138,CYSTOSCOPY TRAY,270,,,2198.0,College Medical Center,2019
253,40550139,TURB/TURP TRAY,270,,,2198.0,College Medical Center,2019
254,40550150,BITEGARD (BITE BLOCK),270,,,88.0,College Medical Center,2019
255,40550150,ENDOSCOPIC BITE BLOCK -NON LATEX STRAP,270,,,88.0,College Medical Center,2019
256,40550152,SURGICAL SLEEVE STERILE,270,,,88.0,College Medical Center,2019
257,40550172,BLADE ARTHROSCOPY FULL RADIUS,270,,,1230.0,College Medical Center,2019
258,40550172,"GUIDE WIRE 1.2MMX12""",270,,,1230.0,College Medical Center,2019
259,40550172,VULCAN ABLATOR MINI 2.0,270,,,1230.0,College Medical Center,2019
260,40550173,ARTHROCARE COVAC 50,270,,,1582.0,College Medical Center,2019
261,40550174,CASPAR DISTRACTION PINS 12MM,270,,,1582.0,College Medical Center,2019
262,40550175,CANNULA SHOULDER CRYSTAL CLEAR,270,,,616.0,College Medical Center,2019
263,40550176,HIGH FLOW CANNULA,270,,,616.0,College Medical Center,2019
264,40550178,KNOT PUSHER,270,,,1582.0,College Medical Center,2019
265,40550180,FASTAK II SPEAR,270,,,1582.0,College Medical Center,2019
266,40550182,#2 FIBERLOOP,270,,,985.0,College Medical Center,2019
267,40550182,SUTURE LASSO 25 DEGREE LEFT,270,,,985.0,College Medical Center,2019
268,40550183,GUIDEWIRE LAG SCREW,270,,,1582.0,College Medical Center,2019
269,40550184,"SET, SUPRAPUBIC CATH",270,,,1582.0,College Medical Center,2019
270,40550188,"BASKET, SURLOK HELICAL STONE",270,,,2198.0,College Medical Center,2019
271,40550189,CORD DISPOSABLE ACTIVE (RESECTOSCOPE),270,,,176.0,College Medical Center,2019
272,40550200,Bairhugger,270,,,264.0,College Medical Center,2019
273,40550203,"PROTECTOR, EYE",270,,,88.0,College Medical Center,2019
274,40550207,"Cannula, Radio Frequency, Curved, 10 mm",270,,,616.0,College Medical Center,2019
275,40550208,"DRESSING, PRIMAPORE 6"" X 3""",270,,,36.0,College Medical Center,2019
276,40550212,BAG O JET IMS BAG DECANTER,270,,,88.0,College Medical Center,2019
277,40550213,"BLADE, GRAFT HARVESTING",270,,,234.0,College Medical Center,2019
278,40550214,BLADE SAW,270,,,507.0,College Medical Center,2019
279,40550532,ARTHROSCOPY LENS 30*,270,,,575.0,College Medical Center,2019
280,40550532,ARTHROSCOPY LENS 70*,270,,,585.0,College Medical Center,2019
281,40555850,ACL INSTRUMENT TRAYS X 2,270,,,775.0,College Medical Center,2019
282,40559171,"BANDAGE, NET SIZE 8",270,,,105.0,College Medical Center,2019
283,40560000,Breast Binder,270,,,35.0,College Medical Center,2019
284,40560440,"TUBE, LUKENS 3 1/4"" 8CC",270,,,350.0,College Medical Center,2019
285,40560999,Wound Vac Canister,270,,,275.0,College Medical Center,2019
286,40569998,Wound Vac Dressing,270,,,275.0,College Medical Center,2019
287,40580104,"AIRWAY, ORAL 100MM",270,,,95.0,College Medical Center,2019
288,40590010,"PAD, ABD 5X9 STERILE",270,,,51.0,College Medical Center,2019
289,40590044,"CATHETER, IV BLUE 22G X 1""",270,,,45.0,College Medical Center,2019
290,40590044,"CATHETER, IV GREEN 18G X 1.16""",270,,,45.0,College Medical Center,2019
291,40590044,"CATHETER, IV PINK 20G X 1.16""",270,,,45.0,College Medical Center,2019
292,40590044,"CATHETER, IV YELLOW 24G X 3/4""",270,,,45.0,College Medical Center,2019
293,40590044,"Catheter, IV, Green, 18 g x 1 1/4""",270,,,45.0,College Medical Center,2019
294,40590044,"Catheter, IV, Pink, 20 g x 1 1/4""",270,,,45.0,College Medical Center,2019
295,40590044,"Catheter, IV, Yellow, 24 g x 3/4""",270,,,45.0,College Medical Center,2019
296,40590143,"DRESSING, ADAPTIC 3"" X 3""",270,,,51.0,College Medical Center,2019
297,40590234,"Tray, Amniocentesis",270,,,123.0,College Medical Center,2019
298,40590267,MONTGOMERY STRAP,270,,,0.0,College Medical Center,2019
299,40590267,Montgomery Strap,270,,,57.0,College Medical Center,2019
300,40590275,"KIT, PERCUTANEOUS 8.5FR",270,,,355.0,College Medical Center,2019
301,40590275,"Kit, Percutaneous, 8.5 fr",270,,,355.0,College Medical Center,2019
302,40590283,Amnihook,270,,,45.0,College Medical Center,2019
303,40590291,Angiocath,270,,,72.0,College Medical Center,2019
304,40590291,"NEEDLE,  IV CATHETER 18G X 1 1/4""",270,,,72.0,College Medical Center,2019
305,40590325,Arm Sling,270,,,153.0,College Medical Center,2019
306,40590325,"Sling, Arm, Large, Omni",270,,,153.0,College Medical Center,2019
307,40590382,"SLING, ARM ABD PILLOW MEDIUM",270,,,227.0,College Medical Center,2019
308,40590390,"KIT, PERCUTANEOUS SHEATH INTRODUCER 6FR",270,,,395.0,College Medical Center,2019
309,40590422,"KIT, PRESSURE MONITORING W/ DOUBLE TRANSDUCER",270,,,450.0,College Medical Center,2019
310,40590424,"Kit, Arterial Line",270,,,770.0,College Medical Center,2019
311,40590440,"TUBE, LUKENS  6 1/4"" 20CC",270,,,75.0,College Medical Center,2019
312,40590440,"Tube, Lukens, 3 1/4"", 8 cc",270,,,75.0,College Medical Center,2019
313,40590516,Extension Set Filtered,270,,,13.0,College Medical Center,2019
314,40590516,Y Extension Set Curlin,270,,,13.0,College Medical Center,2019
315,40590531,"Tray, Epidural",270,,,553.0,College Medical Center,2019
316,40590549,PORTEX PULSATOR L.O.R. SYRINGE,270,,,45.0,College Medical Center,2019
317,40590556,EPIDURAL CATHETER,270,,,81.0,College Medical Center,2019
318,40590572,"NEEDLE, EPIDURAL TOUHY 17G X 3 1/2""",270,,,286.0,College Medical Center,2019
319,40590803,LUMBAR/CERVICAL AK DRAINAGE SYSTEM,270,,,333.0,College Medical Center,2019
320,40590804,"BANDAGE, ELASTIC 2""",270,,,45.0,College Medical Center,2019
321,40590861,"BANDAGE, ELASTIC 3""",270,,,45.0,College Medical Center,2019
322,40590929,"BANDAGE, STERILE 4""",270,,,131.0,College Medical Center,2019
323,40590986,"BANDAGE, STERILE 6""",270,,,154.0,College Medical Center,2019
324,40591044,"WRAP, COBAN 4""",270,,,45.0,College Medical Center,2019
325,40591044,"Wrap, Coban, 4""",270,,,45.0,College Medical Center,2019
326,40591044,"Wrap, Coban, 6""",270,,,45.0,College Medical Center,2019
327,40591110,"Support, Lumbar, Large, Omni",270,,,97.0,College Medical Center,2019
328,40591224,"Bag, Bile, 19 oz",270,,,135.0,College Medical Center,2019
329,40591588,Blood Admin Set,270,,,72.0,College Medical Center,2019
330,40591588,"SET, GRAVITY BLOOD W/ PRESSURE PUMP 15 DROP",270,,,72.0,College Medical Center,2019
