,IVNUM,IVDESC,IVREVCD,IVCPTCD,Price,Hospital,Year
25,500023,DEBRIDMNT SKIN SUB TISSUE ABD WALL W WO,360,11005,3439.0,Stanislaus Surgical Center,2019
26,500024,RMVL PROST MATERL MESH ABD WALL,360,11008,3439.0,Stanislaus Surgical Center,2019
27,500025,DEBR RMVL FORIEGN MATERIAL SUB SKIN,360,11010,3439.0,Stanislaus Surgical Center,2019
28,500026,DEBRIDE INCL REMVL FOREIGN W OPEN FX SKI,360,11011,3439.0,Stanislaus Surgical Center,2019
29,500027,DEBRID SKN SUBTISS MSCL FSC BONE,360,11012,3439.0,Stanislaus Surgical Center,2019
30,500028,DEBRIDEMENT SKIN PARTIAL THICKNESS,360,11040,3439.0,Stanislaus Surgical Center,2019
31,500029,DEBRIDEMENT SKIN FULL THICKNESS,360,11041,3439.0,Stanislaus Surgical Center,2019
32,500030,DEBRIDEMENT SKIN AND SUBCUTANEOUS TISSUE,360,11042,3439.0,Stanislaus Surgical Center,2019
33,500031,DEBRIDEMENT SKIN SUBCUTANEOUS TISSUE AND,360,11043,3439.0,Stanislaus Surgical Center,2019
34,500032,DEBRIDEMENT SKIN MUSCLE BONE,360,11044,3439.0,Stanislaus Surgical Center,2019
35,500033,DEBRIDEMENT SKIN AND SUBCUTANEOUS TISSUE,360,11045,3439.0,Stanislaus Surgical Center,2019
36,500034,DEBRIDEMENT MUSCLE FASCIA EA ADD 20 SQ C,360,11046,3439.0,Stanislaus Surgical Center,2019
37,500035,PARING CUTTING BENIGN HYPERKERATOTIC LES,360,11055,3439.0,Stanislaus Surgical Center,2019
38,500036,TRIM SKIN LESIONS 2 TO 4,360,11056,3439.0,Stanislaus Surgical Center,2019
39,500037,BIOPSY SKIN SUBCU TSSUE +CLSR 1 LESN,360,11100,3439.0,Stanislaus Surgical Center,2019
40,500038,BIOPSY SKIN ADDITIONAL LESION,360,11101,3439.0,Stanislaus Surgical Center,2019
41,500039,REMOVAL OF SKIN TAG UP TO 15 LESIONS,360,11200,3439.0,Stanislaus Surgical Center,2019
42,500040,EXC EACH ADDT'T 10 SKIN TAGS,360,11201,3439.0,Stanislaus Surgical Center,2019
43,500041,SHAVING OF SINGLE LESION TRNK ARM LG,360,11300,3439.0,Stanislaus Surgical Center,2019
44,500042,SHAVING EPI DRMAL LESN TNK ARMS LEGS,360,11301,3439.0,Stanislaus Surgical Center,2019
45,500043,SHAVING OF LESION OVER 2CM,360,11303,3439.0,Stanislaus Surgical Center,2019
46,500044,SHAVING LESION SCALP NECK EXTRM GENI,360,11305,3439.0,Stanislaus Surgical Center,2019
47,500045,SHAVING EPID DERM LESION 1.1-2.0CM SCALP,360,11307,3439.0,Stanislaus Surgical Center,2019
48,500046,SHAVING LESION FACE EARS LIDS NOSE,360,11310,3439.0,Stanislaus Surgical Center,2019
49,500047,SHAVING OF LESION FACE .6-1.0 CM,360,11311,3439.0,Stanislaus Surgical Center,2019
50,500048,EXC LESION TRUNK ARMS LEGS .5CM OR<,360,11400,3439.0,Stanislaus Surgical Center,2019
51,500049,EXC LESN BENIGN .6-1CM TRNK ARM LEG,360,11401,3439.0,Stanislaus Surgical Center,2019
52,500050,EXC BENIGN LESN 1.1-2.CM TRK ARM LGS,360,11402,3439.0,Stanislaus Surgical Center,2019
53,500051,EXC LESION MASS TRUNK ARM LEG BENIGN,360,11403,3439.0,Stanislaus Surgical Center,2019
54,500052,EXC LESN BENIGN 3.1-4CM TRNK ARM LEG,360,11404,3439.0,Stanislaus Surgical Center,2019
55,500053,EXC LESN BENIGN OVR 4CM TRNK ARM LEG,360,11406,3439.0,Stanislaus Surgical Center,2019
56,500054,EXC LESN .5CM< SCLP NCK FT HNDS GNTL,360,11420,3439.0,Stanislaus Surgical Center,2019
57,500055,EXC LESN .6-1CM SCLP NK HNDS FT GNTL,360,11421,3439.0,Stanislaus Surgical Center,2019
58,500056,EXC LSN 1.1-2CM SCLP NK HNDS FT GNTL,360,11422,3439.0,Stanislaus Surgical Center,2019
59,500057,EXC LSN 2.1-3CM SCLP NK HNDS FT GNTL,360,11423,3439.0,Stanislaus Surgical Center,2019
60,500058,EXC LSN 3.1-4CM SCLP NK HNDS FT GNTL,360,11424,3439.0,Stanislaus Surgical Center,2019
61,500059,EXC LSN OVR 4CM SCLP NK HNDS FT GNTL,360,11426,3439.0,Stanislaus Surgical Center,2019
62,500060,EXC LSN .5CM< FACE EAR NOSE EYLD LIP,360,11440,3439.0,Stanislaus Surgical Center,2019
63,500061,EXC LSN .6-1CM FACE EAR EYLD NSE LIP,360,11441,3439.0,Stanislaus Surgical Center,2019
64,500062,EXC LSN 1.1-2CM FACE EAR EYLD NSE LP,360,11442,3439.0,Stanislaus Surgical Center,2019
65,500063,EXC LSN 2.1-3CM FACE EAR EYLD NSE LP,360,11443,3439.0,Stanislaus Surgical Center,2019
66,500064,EXC BEN LESION FACE NSE EYELD OVR 3C,360,11444,3439.0,Stanislaus Surgical Center,2019
67,500065,EXC LSN OVR 4CM FACE EAR EYLD NSE LP,360,11446,3439.0,Stanislaus Surgical Center,2019
68,500066,EXC SKIN HIDRDENITIS WITH REPAIR,360,11450,3439.0,Stanislaus Surgical Center,2019
69,500067,EXC SKIN HIDRADENITIS AXILLARY W REP,360,11451,3439.0,Stanislaus Surgical Center,2019
70,500068,EXC OF SKIN SUBQ FOR HIDRADENITIS,360,11462,3439.0,Stanislaus Surgical Center,2019
71,500069,EXC SKIN SUQ FOR HIDRADENITIS W REP,360,11463,3439.0,Stanislaus Surgical Center,2019
72,500070,EXC SKIN TISSUE HIDR PERIANAL PERINE,360,11470,3439.0,Stanislaus Surgical Center,2019
73,500071,EXC SKIN SUBQ FOR HIDRADENITIS W REP,360,11471,3439.0,Stanislaus Surgical Center,2019
74,500072,EXC MLGNT LSN .5CM< TRNK ARMS LEGS,360,11600,3439.0,Stanislaus Surgical Center,2019
75,500073,EXC MLGNT LSN .6-1CM TRUNK ARMS LEGS,360,11601,3439.0,Stanislaus Surgical Center,2019
76,500074,EXC MLGNT LSN 1.1-2CM TRNK ARMS LEGS,360,11602,3439.0,Stanislaus Surgical Center,2019
77,500075,EXC MLGNT LSN 2.1-3CM TRNK ARMS LEGS,360,11603,3439.0,Stanislaus Surgical Center,2019
78,500076,EXC MLGNT LSN 3.1-4CM TRNK ARMS LEGS,360,11604,3439.0,Stanislaus Surgical Center,2019
79,500077,EXC MLGNT LSN OVR 4CM TRNK ARMS LEGS,360,11606,3439.0,Stanislaus Surgical Center,2019
80,500078,EXC M LSN .5CM< SCLP NK HNDS FT GNTL,360,11620,3439.0,Stanislaus Surgical Center,2019
81,500079,EXC M LSN .6-1CM SCLP NK HNDS FT GEN,360,11621,3439.0,Stanislaus Surgical Center,2019
82,500080,EXC M LSN 1.1-2CM SCLP NK HNDS FT GN,360,11622,3439.0,Stanislaus Surgical Center,2019
83,500081,EXC LESION SCALP NECK HANDS GENTALIA,360,11623,3439.0,Stanislaus Surgical Center,2019
84,500082,EXC M LSN 3.1-4CM SCLP NK HNDS FT GN,360,11624,3439.0,Stanislaus Surgical Center,2019
85,500083,EXC M LSN OVR 4CM SCLP NK HNDS FT GN,360,11626,3439.0,Stanislaus Surgical Center,2019
86,500084,EXC M LSN .5CM< FACE EAR EYLD NSE LP,360,11640,3439.0,Stanislaus Surgical Center,2019
87,500085,EXC M LSN .6-1CM FCE EAR EYLD NSE LP,360,11641,3439.0,Stanislaus Surgical Center,2019
88,500086,EXC M LSN 1.1-2CM FCE ER EYLD NSE LP,360,11642,3439.0,Stanislaus Surgical Center,2019
89,500087,EXC M LSN 2.1-3CM FCE ER EYLD NSE LP,360,11643,3439.0,Stanislaus Surgical Center,2019
90,500088,EXC M LSN 3.1-4CM FCE ER EYLD NSE LP,360,11644,3439.0,Stanislaus Surgical Center,2019
91,500089,EXC M LSN OVR 4CM FCE ER EYLD NSE LP,360,11646,3439.0,Stanislaus Surgical Center,2019
92,500090,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S),360,11720,3439.0,Stanislaus Surgical Center,2019
93,500091,AVULSION REMOVAL NAIL NAIL PLATE,360,11730,3439.0,Stanislaus Surgical Center,2019
94,500092,AVULSION OF NAIL PLATE EACH ADDTIONAL,360,11732,3439.0,Stanislaus Surgical Center,2019
95,500093,EVACUATION OF SUBUNGUAL HEMATOMA,360,11740,3439.0,Stanislaus Surgical Center,2019
96,500094,EXC NAIL&MATRIX-PERM RMVL PRTL CMPLT,360,11750,3439.0,Stanislaus Surgical Center,2019
97,500095,EXC NAIL MATRIX W AMPUTATION,360,11752,3439.0,Stanislaus Surgical Center,2019
98,500096,BIOPSY NAIL UNIT,360,11755,3439.0,Stanislaus Surgical Center,2019
99,500097,REPAIR OF NAIL BED,360,11760,3439.0,Stanislaus Surgical Center,2019
100,500098,RECONSTRUCTION OF NAIL BED WITH GRAFT,360,11762,3439.0,Stanislaus Surgical Center,2019
101,500099,WEDGE EXC SKIN OF NAIL FOLD(INGROWN),360,11765,3439.0,Stanislaus Surgical Center,2019
102,500100,EXCISION OF PILONIDAL CYST OR SINUS SIMP,360,11770,3439.0,Stanislaus Surgical Center,2019
103,500101,EXC PILONIDAL CYST EXTENSIVE,360,11771,3439.0,Stanislaus Surgical Center,2019
104,500102,EXC PILONIDAL CYST SINUS COMPLICATED,360,11772,3439.0,Stanislaus Surgical Center,2019
105,500103,INJECTION INTO SKIN LESIONS,360,11900,3439.0,Stanislaus Surgical Center,2019
106,500104,TATTOO CORRECT COLOR DEFECTS 6.0SQCM,360,11920,3439.0,Stanislaus Surgical Center,2019
107,500105,TATTOOING CORR COLR DFCTS SKN 6-20CM,360,11921,3439.0,Stanislaus Surgical Center,2019
108,500106,TATTOOING ADDITL 20 SQ CM,360,11922,3439.0,Stanislaus Surgical Center,2019
109,500107,INJECTION FILLING MATERIAL <= 1CC,360,11950,3439.0,Stanislaus Surgical Center,2019
110,500108,SUBCUTANEOUS INJ FILLING MATERIAL 1.1 TO,360,11951,3439.0,Stanislaus Surgical Center,2019
111,500109,SUBCUTANEOUS INJ FILLING MATERAIAL 5.1 T,360,11952,3439.0,Stanislaus Surgical Center,2019
112,500110,SUBCAT. INJCTN FILLG MATERIAL OVER 10.0C,360,11954,3439.0,Stanislaus Surgical Center,2019
113,500111,INSERTION OF TISSUE EXPANDER(S),360,11960,3439.0,Stanislaus Surgical Center,2019
114,500112,REM TISSUE EXPNDR W INSERT PROSTH,360,11970,3439.0,Stanislaus Surgical Center,2019
115,500113,REMOVAL TISSUE EXPANDER,360,11971,3439.0,Stanislaus Surgical Center,2019
116,500114,REMOVE IMPLANTABLE CONTRACEPTIVE DVC,360,11976,3439.0,Stanislaus Surgical Center,2019
117,500115,INSERTION NON BIODEGRADABLE DRUG DEL IMP,360,11981,3439.0,Stanislaus Surgical Center,2019
118,500116,REMVL NON BIODEGRADABLE DRUG DELIVRY IMP,360,11982,3439.0,Stanislaus Surgical Center,2019
119,500117,REMVL W REINS NON BIODEGRADBL DRUG IMPLA,360,11983,3439.0,Stanislaus Surgical Center,2019
120,500118,RPAIR SCLP NK TRNK GNTL EXTRM 2.5CM<,360,12001,3439.0,Stanislaus Surgical Center,2019
121,500119,RPAIR SCLP NK TRNK EXTRM 2.6-7.5CM,360,12002,3439.0,Stanislaus Surgical Center,2019
122,500120,SIMPLE REPAIR 7.6-12.5CM EXCEPT FACE,360,12004,3439.0,Stanislaus Surgical Center,2019
123,500121,SIMPLE REPAIR 12.6-20.0 CM,360,12005,3439.0,Stanislaus Surgical Center,2019
124,500122,SIMPLE REPAIR OVR 30 SCALP NECK TRUNK EX,360,12007,3439.0,Stanislaus Surgical Center,2019
125,500123,RPAIR FACE EAR EYLD NOSE LIP 2.5CM<,360,12011,3439.0,Stanislaus Surgical Center,2019
126,500124,RPAIR FACE EAR EYLD NOSE LIP 2.6-5CM,360,12013,3439.0,Stanislaus Surgical Center,2019
127,500125,TRMNT SURGICAL WND DEHISCENSE W CLOS,360,12020,3439.0,Stanislaus Surgical Center,2019
128,500126,TREATMENT WOUND DEHISCENCE SIMPLE PACKIN,360,12021,3439.0,Stanislaus Surgical Center,2019
129,500127,LAYER CLOSURE TRUNK EXTREMITIES,360,12031,3439.0,Stanislaus Surgical Center,2019
130,500128,INTERMED REPAIR TRNK SCALP EXTREM,360,12032,3439.0,Stanislaus Surgical Center,2019
131,500129,LAYER CLOSURE-SCALP TRNK EXTRMTY,360,12034,3439.0,Stanislaus Surgical Center,2019
132,500130,LYR CLSRE 12.6-20CM SCLP TRNK EXTRM,360,12035,3439.0,Stanislaus Surgical Center,2019
133,500131,REPSCLP TMK OT 20.1-30 INT,360,12036,3439.0,Stanislaus Surgical Center,2019
134,500132,LAYER CLOSURE SCALP TRUNK OVER 30.0C,360,12037,3439.0,Stanislaus Surgical Center,2019
135,500133,LAYER CLOSURE OF WOUND NCK HNDS FEFT,360,12041,3439.0,Stanislaus Surgical Center,2019
136,500134,LAYER CLOSURE OF WOUND,360,12042,3439.0,Stanislaus Surgical Center,2019
137,500135,LAYRD CLSRE NCK HND FEET 7.6CM12.5CM,360,12044,3439.0,Stanislaus Surgical Center,2019
138,500136,LAYER CLOSURE OF WOUND NECK HAND FEET 12,360,12045,3439.0,Stanislaus Surgical Center,2019
139,500137,LAYER CLOSURE FACE,360,12051,3439.0,Stanislaus Surgical Center,2019
140,500138,LAYER CLOSURE FACE,360,12052,3439.0,Stanislaus Surgical Center,2019
141,500139,LAYER CLOSURE FACE EARS LIDS 5.1-7.,360,12053,3439.0,Stanislaus Surgical Center,2019
142,500140,LAYER CLOSURE FACE EYE ETC OVER 7.6C,360,12054,3439.0,Stanislaus Surgical Center,2019
143,500141,REP FCE EAR OTH 12 6-20C INT,360,12055,3439.0,Stanislaus Surgical Center,2019
144,500142,REPAIR COMPLEX TRUNK 1.1-2.5CM,360,13100,3439.0,Stanislaus Surgical Center,2019
145,500143,COMPLEX REPAIR TRUNK,360,13101,3439.0,Stanislaus Surgical Center,2019
146,500144,REPAIR COMPLEX TRUNK EACH ADTL 5 CM OR L,360,13102,3439.0,Stanislaus Surgical Center,2019
147,500145,RPAIR COMPLEX 1.1-2.5CM SCLP ARM LEG,360,13120,3439.0,Stanislaus Surgical Center,2019
148,500146,COMPLEX REPAIR SCLP ARMS LEGS 2.6-7,360,13121,3439.0,Stanislaus Surgical Center,2019
149,500147,COMPLX REPR SCLP ARM LEG ADDTNL 5 CM,360,13122,3439.0,Stanislaus Surgical Center,2019
150,500148,COMPLEX REP FORHD CHK CHN GEN HND FT,360,13131,3439.0,Stanislaus Surgical Center,2019
151,500149,COMPLEX REPAIR OVER 2.6 CM MULT AREA,360,13132,3439.0,Stanislaus Surgical Center,2019
152,500150,COMPLX RPR EACH ADD 5CM FOREHD CHKS NECK,360,13133,3439.0,Stanislaus Surgical Center,2019
153,500151,COMPLEX REPAIR EYELDS NSE EARS LPS,360,13150,3439.0,Stanislaus Surgical Center,2019
154,500152,COMPLEX REPAIR LIDS NOSE EARS LIPS,360,13151,3439.0,Stanislaus Surgical Center,2019
155,500153,RPR 2.6-7.5CM EYLD NOSE EAR LIP-COMP,360,13152,3439.0,Stanislaus Surgical Center,2019
156,500154,SECONDARY CLOSURE OF SURGICAL WOUND,360,13160,3439.0,Stanislaus Surgical Center,2019
157,500155,ADJACENT TISSUE TRANSFER 10CM OR LES,360,14000,3439.0,Stanislaus Surgical Center,2019
158,500156,ADJACENT TISSUE TRNSFR TRUNK,360,14001,3439.0,Stanislaus Surgical Center,2019
159,500157,ADJ TISSUE TRANSFER,360,14020,3439.0,Stanislaus Surgical Center,2019
160,500158,ADJ. TISSUE TRANSFER 10.1SQ TO 30.0,360,14021,3439.0,Stanislaus Surgical Center,2019
161,500159,ADJ TISSUE TRNSFR 1O CM OR LESS,360,14040,3439.0,Stanislaus Surgical Center,2019
162,500160,ADJ TISSUE TRNSFR OVER 10 CM,360,14041,3439.0,Stanislaus Surgical Center,2019
163,500161,TISSUE TRNSFER LIDS NOSE EARS LIPS,360,14060,3439.0,Stanislaus Surgical Center,2019
164,500162,ADJ TISSUE TRNR LIDS NOSE EARS 10.1,360,14061,3439.0,Stanislaus Surgical Center,2019
165,500163,ADJ TISUE TRNSFR REARANGMNT ANY AREA 30.,360,14301,3439.0,Stanislaus Surgical Center,2019
166,500164,ADJ TISUE TRNSFR REARRNGMNT ANY AREA EAC,360,14302,3439.0,Stanislaus Surgical Center,2019
167,500165,WND PREP CH LNF TRK ARM LEG,360,15002,3439.0,Stanislaus Surgical Center,2019
168,500166,SURG PREP RECIPIENT SITE EXT OPN WOUND F,360,15004,3439.0,Stanislaus Surgical Center,2019
169,500167,PINCH GRAFT SMLL ULCER TIP OF DGT OR MIN,360,15050,3439.0,Stanislaus Surgical Center,2019
170,500168,SPLIT GRAFT TRNK SCLP ARM LG HND FT,360,15100,3439.0,Stanislaus Surgical Center,2019
171,500169,SPLIT GRAFT MORE THAN 100 SQ CM,360,15101,3439.0,Stanislaus Surgical Center,2019
172,500170,SPLIT GRAFT FACE EYLD NK ER GNTL DGT,360,15120,3439.0,Stanislaus Surgical Center,2019
173,500171,SPLIT GRFT FACE EYELID MOUTH NECK EA,360,15121,3439.0,Stanislaus Surgical Center,2019
174,500172,DERM AUTOGRAFT FACE NECK HF G,360,15135,3439.0,Stanislaus Surgical Center,2019
175,500173,SPLIT THICKNESS GRAFT,360,15200,3439.0,Stanislaus Surgical Center,2019
176,500174,FULL THICKNESS GRFT TRUNK ADDL 20 CM,360,15201,3439.0,Stanislaus Surgical Center,2019
177,500175,FULL THICK SKIN GRAFT TRUNK 20CM OR<,360,15220,3439.0,Stanislaus Surgical Center,2019
178,500176,FULL THICKNESS SCALP ARMS LEGS 20+SQ,360,15221,3439.0,Stanislaus Surgical Center,2019
179,500177,FULL THICKNESS SKIN GRFT EXTEMITIES,360,15240,3439.0,Stanislaus Surgical Center,2019
180,500178,FULL THICK GRFT FRHD CHKS ADD 20SQCM,360,15241,3439.0,Stanislaus Surgical Center,2019
181,500179,FULL THICK GRFT NOSE EAR EYELID,360,15260,3439.0,Stanislaus Surgical Center,2019
182,500180,APP SKIN SUB GRAFT T A L AREA <100SCM <1,360,15271,3439.0,Stanislaus Surgical Center,2019
183,500181,APP SKIN SUB GRFT T A L AREA <100SCM EA,360,15272,3439.0,Stanislaus Surgical Center,2019
184,500182,SUB GRFT F S N H F G M D <100SCM <1ST 25,360,15275,3439.0,Stanislaus Surgical Center,2019
185,500183,APP OF SKIN SUBSTITUTE EA ADD 25 SQ CM,360,15276,3439.0,Stanislaus Surgical Center,2019
186,500184,APPLY SKIN ALLOGRAFT F N HF G,360,15320,3439.0,Stanislaus Surgical Center,2019
187,500185,ACELLULAR DERMAL ALLOGRAFT 1ST 100 SQ CM,360,15330,3439.0,Stanislaus Surgical Center,2019
188,500186,ACELLUL DERM ALLOGRAFT TRUNK ARMS LEGS A,360,15331,3439.0,Stanislaus Surgical Center,2019
189,500187,APPLY CULT SKIN SUBSTITUE,360,15340,3439.0,Stanislaus Surgical Center,2019
190,500188,APPLY CULT SKIN SUBSTITUE ADD-ON,360,15341,3439.0,Stanislaus Surgical Center,2019
191,500189,APPLY CULT DERM SUB F N HF G,360,15365,3439.0,Stanislaus Surgical Center,2019
192,500190,XENOGRAFT SKIN TRUNK ARMS LEGS,360,15400,3439.0,Stanislaus Surgical Center,2019
193,500191,ACELLULAR XENOGRAFT IMPLANT 1ST 100 CM O,360,15430,3439.0,Stanislaus Surgical Center,2019
194,500192,FORMATION DIRECT PEDICLE W WO TRANSF,360,15570,3439.0,Stanislaus Surgical Center,2019
195,500193,FORMATION DIRECT PED FLAPW WO TRNSF FORE,360,15574,3439.0,Stanislaus Surgical Center,2019
196,500194,FORMATION DIRCT PEDICL W WO TRNSFR EYELD,360,15576,3439.0,Stanislaus Surgical Center,2019
197,500195,DELAY OF FLAP OR SECTN OF FLAP AT TRUNK,360,15600,3439.0,Stanislaus Surgical Center,2019
198,500196,SKIN GRAFT,360,15610,3439.0,Stanislaus Surgical Center,2019
199,500197,DELAY DIV FLAP FRHD CHKS CHN NCK HND,360,15620,3439.0,Stanislaus Surgical Center,2019
200,500198,DELAY FLAP DIVISION LIDS NOSE EAR LI,360,15630,3439.0,Stanislaus Surgical Center,2019
201,500199,TRANSFER PEDICLE FLAP ANY LOCATION,360,15650,3439.0,Stanislaus Surgical Center,2019
202,500200,MUSCLE FLAP ON THE HEAD OR NECK,360,15732,3439.0,Stanislaus Surgical Center,2019
203,500201,MUSCL MYOCUT FASCIOCUTAN FLAP TRUNK,360,15734,3439.0,Stanislaus Surgical Center,2019
204,500202,FLAP MUSCLE MYOCUT FACIOCUT UPPR EXT,360,15736,3439.0,Stanislaus Surgical Center,2019
205,500203,MUSCLE NYOCUTNEOUS FASCIO FLAP LOWER EXT,360,15738,3439.0,Stanislaus Surgical Center,2019
206,500204,FLAP ISLAND PEDICLE,360,15740,3439.0,Stanislaus Surgical Center,2019
207,500205,GRAFT COMPOSITE EAR NASAL ALA+CLSRE,360,15760,3439.0,Stanislaus Surgical Center,2019
208,500206,GRAFT DERMA-FAT-FASCIA,360,15770,3439.0,Stanislaus Surgical Center,2019
209,500207,DERMABRASION TOTAL FACE,360,15780,3439.0,Stanislaus Surgical Center,2019
210,500208,DERMABRASION OF THE FACE,360,15781,3439.0,Stanislaus Surgical Center,2019
211,500209,DERMABRASION REGNL OTHER THAN FACE,360,15782,3439.0,Stanislaus Surgical Center,2019
212,500210,DERMABRASION SEGMENTAL FACE,360,15783,3439.0,Stanislaus Surgical Center,2019
213,500211,DERMABRASION SINGLE LESION,360,15786,3439.0,Stanislaus Surgical Center,2019
214,500212,CHEMICAL PEEL FACE EPIDERM,360,15788,3439.0,Stanislaus Surgical Center,2019
215,500213,CHEMICAL PEEL FACIAL DERMAL,360,15789,3439.0,Stanislaus Surgical Center,2019
216,500214,CHEMICAL PEEL NONFACIAL EPIDERMAL,360,15792,3439.0,Stanislaus Surgical Center,2019
217,500215,CERVICOPLASTY,360,15819,3439.0,Stanislaus Surgical Center,2019
218,500216,BLEPHAROPLASTY-LOWER,360,15820,3439.0,Stanislaus Surgical Center,2019
219,500217,BLEPHAROPLASTY LOWER LID W FAT PAT,360,15821,3439.0,Stanislaus Surgical Center,2019
220,500218,BLEPHAROPLASTY-UPPER,360,15822,3439.0,Stanislaus Surgical Center,2019
221,500219,BLEPHAROPLASTY W EXCESSIVE SKIN UPPER,360,15823,3439.0,Stanislaus Surgical Center,2019
222,500220,FOREHEAD LIFT,360,15824,3439.0,Stanislaus Surgical Center,2019
223,500221,RHYTIDECTOMY NECK,360,15825,3439.0,Stanislaus Surgical Center,2019
224,500222,RHYTIDECTOMY CHEEK CHIN NECK,360,15828,3439.0,Stanislaus Surgical Center,2019
225,500223,RHYTIDECTOMY SUPERFCL MUSCULOAPNEUROTIC,360,15829,3439.0,Stanislaus Surgical Center,2019
226,500224,EXC SKIN ABDOMEN,360,15830,3439.0,Stanislaus Surgical Center,2019
227,500225,ABDOMINOPLASTY LIPECTOMY,360,15831,3439.0,Stanislaus Surgical Center,2019
228,500226,EXC EXCESS SKIN +LIPECTOMY THIGH,360,15832,3439.0,Stanislaus Surgical Center,2019
229,500227,EXC EXCESS SKIN +LIPECTOMY LEG,360,15833,3439.0,Stanislaus Surgical Center,2019
230,500228,EXC EXCESS SKIN +LIPECTOMY HIP,360,15834,3439.0,Stanislaus Surgical Center,2019
231,500229,EXC EXCESS SKIN +LIPECTOMY BUTTOCK,360,15835,3439.0,Stanislaus Surgical Center,2019
232,500230,EXC EXCESS SKIN +LIPECTOMY ARM,360,15836,3439.0,Stanislaus Surgical Center,2019
233,500231,EXC EXCESS SKIN +LIPECTOMY FRARM HND,360,15837,3439.0,Stanislaus Surgical Center,2019
234,500232,EXC EXCESS SKIN +LIPECTOMY SUBMNTL,360,15838,3439.0,Stanislaus Surgical Center,2019
235,500233,EXC EXCESS SKIN +LIPECTOMY OTHR AREA,360,15839,3439.0,Stanislaus Surgical Center,2019
236,500234,EXC SKIN ABD ADD-ON,360,15847,3439.0,Stanislaus Surgical Center,2019
237,500235,SUTURE REMOVAL GEN ANEST SAME SURG,360,15850,3439.0,Stanislaus Surgical Center,2019
238,500236,SUTURE REM GEN ANEST OTHER SURGEON,360,15851,3439.0,Stanislaus Surgical Center,2019
239,500237,DRESSING CHANGE UNDER ANESTHESIA,360,15852,3439.0,Stanislaus Surgical Center,2019
240,500238,LIPECTOMY SUCTION ASSIST HEAD+NECK,360,15876,3439.0,Stanislaus Surgical Center,2019
241,500239,SUCTION ASSISTED LIPECTOMY TRUNK,360,15877,3439.0,Stanislaus Surgical Center,2019
242,500240,LIPECTOMY SUCTION ASSIST UPR EXTRMTY,360,15878,3439.0,Stanislaus Surgical Center,2019
243,500241,LIPECTOMY SUCTION ASSIST LWR EXTRMTY,360,15879,3439.0,Stanislaus Surgical Center,2019
244,500242,EXC SACRAL PRESSURE ULCER W SUTURE,360,15931,3439.0,Stanislaus Surgical Center,2019
