,Charge Code,Description,Inpatient Price,Outpatient Price,Hospital,Year
128,24135202,PHENYLEPHRINE 1 % NASAL SPRAY 15 ML,21.09,21.09,Unversity of California Davis Medical Center,2019
129,24159601,PRIMAQUINE 26.3 MG TABLET 26.3 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
130,24515010,RASBURICASE 1.5 MG INTRAVENOUS SOLUTION 1 EACH,3055.06,3055.06,Unversity of California Davis Medical Center,2019
131,24586201,PLERIXAFOR 24 MG/1.2 ML (20 MG/ML) SUBCUTANEOUS SO,39993.31,39993.31,Unversity of California Davis Medical Center,2019
132,25152034,CELECOXIB 100 MG CAPSULE 100 MG,20.01,20.01,Unversity of California Davis Medical Center,2019
133,25152534,CELECOXIB 200 MG CAPSULE 200 MG,32.82,32.82,Unversity of California Davis Medical Center,2019
134,26379550,ANTIHEMOPHILIC FACTOR VIII (RECOMB) 1 UNIT IV KIT,22.71,22.71,Unversity of California Davis Medical Center,2019
135,29152611,MUPIROCIN 2 % NASAL OINTMENT 1 G,226.81,226.81,Unversity of California Davis Medical Center,2019
136,32120370,"LIPASE-PROTEASE-AMYLASE 3,000-9,500-15,000 UNIT CA",82.67,82.67,Unversity of California Davis Medical Center,2019
137,32121207,"LIPASE-PROTEASE-AMYLASE 12,000-38,000-60,000 UNIT",16.22,16.22,Unversity of California Davis Medical Center,2019
138,32170801,PROGESTERONE MICRONIZED 100 MG CAPSULE 100 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
139,37043001,FELBAMATE 400 MG TABLET 400 MG,19.83,19.83,Unversity of California Davis Medical Center,2019
140,37044267,FELBAMATE 600 MG/5 ML ORAL SUSPENSION 600 MG,172.36,172.36,Unversity of California Davis Medical Center,2019
141,39022110,GLIMEPIRIDE 1 MG TABLET 1 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
142,39022210,GLIMEPIRIDE 2 MG TABLET 1 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
143,46074905,CONJUGATED ESTROGENS 25 MG SOLUTION FOR INJECTION,1346.36,1346.36,Unversity of California Davis Medical Center,2019
144,46087221,CONJUGATED ESTROGENS 0.625 MG/GRAM VAGINAL CREAM 3,2189.51,2189.51,Unversity of California Davis Medical Center,2019
145,46110081,CONJUGATED ESTROGENS 0.3 MG TABLET 0.3 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
146,46110281,CONJUGATED ESTROGENS 0.625 MG TABLET 0.625 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
147,49001383,AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTI,267.27,267.27,Unversity of California Davis Medical Center,2019
148,49001483,AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,504.49,504.49,Unversity of California Davis Medical Center,2019
149,49053028,PENICILLIN G POTASSIUM 20 MILLION UNIT SOLUTION FO,397.06,397.06,Unversity of California Davis Medical Center,2019
150,49275066,DOXAZOSIN 1 MG TABLET 0.5 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
151,49316044,VORICONAZOLE 200 MG/5 ML (40 MG/ML) ORAL SUSPENSIO,4161.7,4161.7,Unversity of California Davis Medical Center,2019
152,49317030,VORICONAZOLE 50 MG TABLET 30 EACH,68.13,68.13,Unversity of California Davis Medical Center,2019
153,49318030,VORICONAZOLE 200 MG TABLET 30 EACH,1291.62,1291.62,Unversity of California Davis Medical Center,2019
154,49319028,VORICONAZOLE 200 MG INTRAVENOUS SOLUTION 200 MG,1465.92,1465.92,Unversity of California Davis Medical Center,2019
155,49341030,FLUCONAZOLE 50 MG TABLET 50 MG,60.46,60.46,Unversity of California Davis Medical Center,2019
156,49342041,FLUCONAZOLE 100 MG TABLET 100 MG,68.13,68.13,Unversity of California Davis Medical Center,2019
157,49345019,FLUCONAZOLE 40 MG/ML ORAL SUSPENSION 35 ML,1945.79,1945.79,Unversity of California Davis Medical Center,2019
158,49392083,ZIPRASIDONE 20 MG INJECTION MEDI-CAL CODING 1 EACH,1016.92,1016.92,Unversity of California Davis Medical Center,2019
159,49490041,SERTRALINE 50 MG TABLET 25 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
160,49491041,SERTRALINE 100 MG TABLET 100 MG,29.24,29.24,Unversity of California Davis Medical Center,2019
161,51842530,TESTOSTERONE 1 % (25 MG/2.5 GRAM) TRANSDERMAL GEL,63.18,63.18,Unversity of California Davis Medical Center,2019
162,52010530,MIRTAZAPINE 15 MG TABLET 7.5 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
163,52010630,MIRTAZAPINE 15 MG DISINTEGRATING TABLET 15 MG,24.21,24.21,Unversity of California Davis Medical Center,2019
164,52433001,ETONOGESTREL 68 MG SUBDERMAL IMPLANT 1 EACH,5212.37,5212.37,Unversity of California Davis Medical Center,2019
165,53687100,DESMOPRESSIN 150 MCG/SPRAY (0.1 ML) NASAL SPRAY 2.,4425.18,4425.18,Unversity of California Davis Medical Center,2019
166,54001021,FLECAINIDE 50 MG TABLET 50 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
167,54001121,FLECAINIDE 100 MG TABLET 50 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
168,54001221,FLECAINIDE 150 MG TABLET 60 EACH,225.48,225.48,Unversity of California Davis Medical Center,2019
169,54001720,PREDNISONE 10 MG TABLET 10 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
170,54001825,PREDNISONE 20 MG TABLET 20 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
171,54001920,PREDNISONE 50 MG TABLET 50 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
172,54004544,IPRATROPIUM BROMIDE 0.03 % NASAL SPRAY 30 ML,812.9,812.9,Unversity of California Davis Medical Center,2019
173,54005746,DIGOXIN 50 MCG/ML ORAL SOLUTION 60 ML,168.0,168.0,Unversity of California Davis Medical Center,2019
174,54014308,GRANISETRON HCL 1 MG TABLET 1 MG,68.13,68.13,Unversity of California Davis Medical Center,2019
175,54019813,FAMCICLOVIR 500 MG TABLET 500 MG,68.13,68.13,Unversity of California Davis Medical Center,2019
176,54038225,CYCLOPHOSPHAMIDE 25 MG CAPSULE 25 MG,63.75,63.75,Unversity of California Davis Medical Center,2019
177,54038325,CYCLOPHOSPHAMIDE 50 MG CAPSULE 50 MG,68.13,68.13,Unversity of California Davis Medical Center,2019
178,54040013,"DESVENLAFAXINE SUCCINATE ER 50 MG TABLET,EXTENDED",358.53,358.53,Unversity of California Davis Medical Center,2019
179,54311763,"CALCIUM CARBONATE 500 MG/5 ML CALCIUM (1,250 MG/5",21.09,21.09,Unversity of California Davis Medical Center,2019
180,54317644,DEXAMETHASONE 1 MG/ML DROPS (CONCENTRATE) 30 ML,815.5,815.5,Unversity of California Davis Medical Center,2019
181,54329446,FUROSEMIDE 10 MG/ML ORAL SOLUTION 60 ML,292.09,292.09,Unversity of California Davis Medical Center,2019
182,54350547,LIDOCAINE 4 % (40 MG/ML) MUCOSAL SOLUTION 50 ML,257.48,257.48,Unversity of California Davis Medical Center,2019
183,54352763,LITHIUM CITRATE 8 MEQ/5 ML ORAL SOLUTION 500 ML,1098.3,1098.3,Unversity of California Davis Medical Center,2019
184,54353244,LORAZEPAM 2 MG/ML ORAL CONCENTRATE 30 ML,731.47,731.47,Unversity of California Davis Medical Center,2019
185,54355344,METHADONE 10 MG/ML ORAL CONCENTRATE 40 MG,33.53,33.53,Unversity of California Davis Medical Center,2019
186,54355563,METHADONE 5 MG/5 ML ORAL SOLUTION 500 ML,68.13,68.13,Unversity of California Davis Medical Center,2019
187,54372250,PREDNISONE 5 MG/5 ML ORAL SOLUTION 120 ML,567.3,567.3,Unversity of California Davis Medical Center,2019
188,54372763,PROPRANOLOL 20 MG/5 ML (4 MG/ML) ORAL SOLUTION 500,627.6,627.6,Unversity of California Davis Medical Center,2019
189,54458111,MERCAPTOPURINE 50 MG TABLET 25 MG,17.17,17.17,Unversity of California Davis Medical Center,2019
190,54812025,"CALCIUM CARBONATE 500 MG CALCIUM (1,250 MG) TABLET",21.09,21.09,Unversity of California Davis Medical Center,2019
191,54817425,DEXAMETHASONE 1 MG TABLET 100 EACH,68.13,68.13,Unversity of California Davis Medical Center,2019
192,54817525,DEXAMETHASONE 4 MG TABLET 4 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
193,54817625,DEXAMETHASONE 2 MG TABLET 2 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
194,54817925,DEXAMETHASONE 0.5 MG TABLET 100 EACH,68.13,68.13,Unversity of California Davis Medical Center,2019
195,54818125,DEXAMETHASONE 1.5 MG TABLET 1.5 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
196,54829725,FUROSEMIDE 20 MG TABLET 10 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
197,54830125,FUROSEMIDE 80 MG TABLET 80 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
198,54852625,LITHIUM CARBONATE 150 MG CAPSULE 150 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
199,54852725,LITHIUM CARBONATE 300 MG CAPSULE 150 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
200,54855025,METHOTREXATE SODIUM 2.5 MG TABLET 2.5 MG,29.68,29.68,Unversity of California Davis Medical Center,2019
201,54860425,MEGESTROL 40 MG TABLET 40 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
202,54872425,PREDNISONE 5 MG TABLET 2.5 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
203,54873925,PREDNISONE 1 MG TABLET 100 EACH,68.13,68.13,Unversity of California Davis Medical Center,2019
204,56016975,WARFARIN 1 MG TABLET 1 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
205,56017075,WARFARIN 2 MG TABLET 2 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
206,56017275,WARFARIN 5 MG TABLET 5 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
207,56017375,WARFARIN 7.5 MG TABLET 7.5 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
208,56017475,WARFARIN 10 MG TABLET 10 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
209,56017675,WARFARIN 2.5 MG TABLET 2.5 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
210,56018875,WARFARIN 3 MG TABLET 3 MG,16.22,16.22,Unversity of California Davis Medical Center,2019
211,64501030,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM 250 UNIT/GRAM,1109.44,1109.44,Unversity of California Davis Medical Center,2019
212,65008515,NAPHAZOLINE 0.025 %-PHENIRAMINE 0.3 % EYE DROPS 15,21.09,21.09,Unversity of California Davis Medical Center,2019
213,65024610,"BETAXOLOL 0.25 % EYE DROPS,SUSPENSION 10 ML",1180.14,1180.14,Unversity of California Davis Medical Center,2019
214,65026025,TRAVOPROST 0.004 % EYE DROPS 2.5 ML,1164.98,1164.98,Unversity of California Davis Medical Center,2019
