,CDM ID,Description,NDC,CPT/HCPCS,CHARGE,CHARGE QUANTITY,Hospital,Year
57,2500000250,ALCOHOL 98 % IJ SOLN,13925-177-10,,411.009,1  x 5 mL Vial,Ronald Reagan UCLA Medical Center,2019
58,2500000636,ALDESLEUKIN 22000000 UNITS IV SOLR,65483-116-07,J9015,10620.21,1 each,Ronald Reagan UCLA Medical Center,2019
59,2500000637,ALENDRONATE SODIUM 10 MG PO TABS,R0115-1678-08,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
60,2500000637,ALENDRONATE SODIUM 35 MG PO TABS,69097-223-16,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
61,2500000637,ALENDRONATE SODIUM 5 MG PO TABS,0115-1676-08,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
62,2500000637,ALENDRONATE SODIUM 70 MG PO TABS,65862-329-04,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
63,2500000636,ALFENTANIL HCL 1000 MCG/2ML IV SOLN,17478-067-02,J3490,45.0,1  x 2 mL Ampule,Ronald Reagan UCLA Medical Center,2019
64,2500000636,ALFENTANIL HCL 2500 MCG/5ML IV SOLN,0409-2266-05,J3490,45.0,1  x 5 mL Ampule,Ronald Reagan UCLA Medical Center,2019
65,2500000637,ALISKIREN FUMARATE 150 MG PO TABS,70839-150-30,,15.713,1 each,Ronald Reagan UCLA Medical Center,2019
66,2500000637,ALISKIREN FUMARATE 300 MG PO TABS,0078-0486-15,,16.21,1 each,Ronald Reagan UCLA Medical Center,2019
67,2500000637,ALLOPURINOL 100 MG PO TABS,51079-205-20,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
68,2500000637,ALLOPURINOL 300 MG PO TABS,51079-206-20,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
69,2500000636,ALPHA1-PROTEINASE INHIBITOR 1000 MG/20ML IV SOLN,13533-705-01,J0256,110.0,1 each,Ronald Reagan UCLA Medical Center,2019
70,2500000637,ALPRAZOLAM 0.25 MG PO TABS,R67253-900-10,,8.0,1 each,Ronald Reagan UCLA Medical Center,2019
71,2500000637,ALPRAZOLAM 0.5 MG PO TABS,0904-5859-61,,8.0,1 each,Ronald Reagan UCLA Medical Center,2019
72,2500000637,ALPRAZOLAM 1 MG PO TABS,0904-5860-61,,8.0,1 each,Ronald Reagan UCLA Medical Center,2019
73,2500000637,ALPRAZOLAM 2 MG PO TABS,0781-1089-01,,8.0,1 each,Ronald Reagan UCLA Medical Center,2019
74,2500000250,ALPROSTADIL (VASODILATOR) 20 MCG IC SOLR,0009-3701-05,,268.086,1 each,Ronald Reagan UCLA Medical Center,2019
75,2500000250,ALPROSTADIL 500 MCG/ML IJ SOLN,0703-1501-02,,288.654,1  x 1 mL Vial,Ronald Reagan UCLA Medical Center,2019
76,2500000636,ALTEPLASE 100 MG IV SOLR,50242-085-27,J2997,23940.51,1 each,Ronald Reagan UCLA Medical Center,2019
77,2500000636,ALTEPLASE 2 MG IJ SOLR,50242-041-64,J2997,485.8,1 each,Ronald Reagan UCLA Medical Center,2019
78,2500000636,ALTEPLASE 50 MG IV SOLR,50242-044-13,J2997,11976.87,1 each,Ronald Reagan UCLA Medical Center,2019
79,2500000637,ALUM & MAG HYDROXIDE-SIMETH 400-400-40 MG/5ML PO SUSP,0121-1762-30,,4.72,1  x 30 mL Cup,Ronald Reagan UCLA Medical Center,2019
80,2500000637,AMANTADINE HCL 100 MG PO CAPS,68084-611-01,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
81,2500000637,AMANTADINE HCL 50 MG/5ML PO SYRP,0121-0646-16,,14.19,473 mL,Ronald Reagan UCLA Medical Center,2019
82,2500000637,AMBRISENTAN 10 MG PO TABS,61958-0802-5,,1480.7320000000002,1 each,Ronald Reagan UCLA Medical Center,2019
83,2500000637,AMBRISENTAN 5 MG PO TABS,61958-0801-1,,1480.72,1 each,Ronald Reagan UCLA Medical Center,2019
84,2500000637,AMCINONIDE 0.1 % EX CREA,0168-0278-15,,240.251,1  x 15 g Tube,Ronald Reagan UCLA Medical Center,2019
85,2500000636,AMIFOSTINE 500 MG IV SOLR,55390-308-03,J0207,1868.2,1 each,Ronald Reagan UCLA Medical Center,2019
86,2500000636,AMIKACIN SULFATE 1 GM/4ML IJ SOLN,0703-9040-03,J0278,40.0,1  x 4 mL Vial,Ronald Reagan UCLA Medical Center,2019
87,2500000636,AMIKACIN SULFATE 500 MG/2ML IJ SOLN,0641-6167-10,J0278,40.0,1  x 2 mL Vial,Ronald Reagan UCLA Medical Center,2019
88,2500000637,AMILORIDE HCL 5 MG PO TABS,R0574-0292-01,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
89,2500000250,AMINO ACID 5 % IV SOLN,69374-988-10,,370.0,1  x 1000 mL Flex Cont,Ronald Reagan UCLA Medical Center,2019
90,2500000250,AMINO ACID INFUSION IN D10W 4.25 % IV SOLN,0338-1134-03,,17.067999999999998,1  x 1000 mL Plas Cont,Ronald Reagan UCLA Medical Center,2019
91,2500000637,AMINOCAPROIC ACID 0.25 GM/ML PO SOLN,49411-052-08,,6243.6,236.5 mL,Ronald Reagan UCLA Medical Center,2019
92,2500000250,AMINOCAPROIC ACID 250 MG/ML IV SOLN,0409-4346-73,,40.0,1  x 20 mL Vial,Ronald Reagan UCLA Medical Center,2019
93,2500000637,AMINOCAPROIC ACID 500 MG PO TABS,69680-115-30,,40.205,1 each,Ronald Reagan UCLA Medical Center,2019
94,2500000250,AMINOSYN II 10 % IV SOLN,0409-7172-17,,70.025,1  x 2000 mL Flex Cont,Ronald Reagan UCLA Medical Center,2019
95,2500000636,AMIODARONE HCL 150 MG/3ML IV SOLN,55150-180-03,J0282,40.0,1  x 3 mL Vial,Ronald Reagan UCLA Medical Center,2019
96,2500000637,AMIODARONE HCL 200 MG PO TABS,0904-6556-61,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
97,2500000636,AMIODARONE HCL 450 MG/9ML IV SOLN,63323-616-09,J0282,40.0,1  x 9 mL Vial,Ronald Reagan UCLA Medical Center,2019
98,2500000636,AMIODARONE HCL 900 MG/18ML IV SOLN,67457-153-18,J0282,40.0,1  x 18 mL Vial,Ronald Reagan UCLA Medical Center,2019
99,2500000637,AMITRIPTYLINE HCL 10 MG PO TABS,51079-131-20,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
100,2500000637,AMITRIPTYLINE HCL 100 MG PO TABS,51079-563-20,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
101,2500000637,AMITRIPTYLINE HCL 25 MG PO TABS,51079-107-20,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
102,2500000637,AMITRIPTYLINE HCL 50 MG PO TABS,51079-133-20,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
103,2500000637,AMITRIPTYLINE HCL 75 MG PO TABS,51079-147-20,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
104,2500000637,AMLODIPINE BESYLATE 10 MG PO TABS,0904-6371-61,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
105,2500000637,AMLODIPINE BESYLATE 2.5 MG PO TABS,60687-285-01,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
106,2500000637,AMLODIPINE BESYLATE 5 MG PO TABS,0904-6370-61,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
107,2500000637,AMMONIA AROMATIC IN INHA,39822-9900-2,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
108,2500000637,AMMONIUM LACTATE 12 % EX LOTN,0904-5984-26,,10.65,1  x 226 g Bottle,Ronald Reagan UCLA Medical Center,2019
109,2500000636,AMOBARBITAL SODIUM 500 MG IJ SOLR,0187-4303-05,J0300,2660.4,1 each,Ronald Reagan UCLA Medical Center,2019
110,2500000637,AMOXICILLIN 250 MG PO CAPS,R0781-2020-01,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
111,2500000637,AMOXICILLIN 250 MG PO CHEW,0093-2268-01,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
112,2500000637,AMOXICILLIN 250 MG/5ML PO SUSR,0781-6041-58,,7.0,80 mL,Ronald Reagan UCLA Medical Center,2019
113,2500000637,AMOXICILLIN 400 MG/5ML PO SUSR,0781-6157-57,,5.625,75 mL,Ronald Reagan UCLA Medical Center,2019
114,2500000637,AMOXICILLIN 500 MG PO CAPS,R0781-2613-01,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
115,2500000637,AMOXICILLIN-POT CLAVULANATE 125-31.25 MG/5ML PO SUSR,43598-012-51,,947.063,75 mL,Ronald Reagan UCLA Medical Center,2019
116,2500000637,AMOXICILLIN-POT CLAVULANATE 200-28.5 MG/5ML PO SUSR,66685-1011-0,,19.625,1  x 50 mL Bottle,Ronald Reagan UCLA Medical Center,2019
117,2500000637,AMOXICILLIN-POT CLAVULANATE 250-125 MG PO TABS,R0781-1874-31,,6.87,1 each,Ronald Reagan UCLA Medical Center,2019
118,2500000637,AMOXICILLIN-POT CLAVULANATE 250-62.5 MG/5ML PO SUSR,43598-204-51,,124.688,75 mL,Ronald Reagan UCLA Medical Center,2019
119,2500000637,AMOXICILLIN-POT CLAVULANATE 400-57 MG/5ML PO SUSR,0143-9982-50,,24.5,50 mL,Ronald Reagan UCLA Medical Center,2019
120,2500000637,AMOXICILLIN-POT CLAVULANATE 500-125 MG PO TABS,66685-1002-2,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
121,2500000637,AMOXICILLIN-POT CLAVULANATE 600-42.9 MG/5ML PO SUSR,0093-8675-78,,38.438,75 mL,Ronald Reagan UCLA Medical Center,2019
122,2500000637,AMOXICILLIN-POT CLAVULANATE 875-125 MG PO TABS,R66685-1001-1,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
123,2500000637,AMPHETAMINE-DEXTROAMPHET ER 10 MG PO CP24,R66993-595-02,,8.0,1 each,Ronald Reagan UCLA Medical Center,2019
124,2500000637,AMPHETAMINE-DEXTROAMPHET ER 15 MG PO CP24,R66993-596-02,,8.835,1 each,Ronald Reagan UCLA Medical Center,2019
125,2500000637,AMPHETAMINE-DEXTROAMPHET ER 20 MG PO CP24,54092-387-01,,16.158,1 each,Ronald Reagan UCLA Medical Center,2019
126,2500000637,AMPHETAMINE-DEXTROAMPHET ER 25 MG PO CP24,54092-389-01,,16.158,1 each,Ronald Reagan UCLA Medical Center,2019
127,2500000637,AMPHETAMINE-DEXTROAMPHET ER 30 MG PO CP24,0115-1333-01,,11.455,1 each,Ronald Reagan UCLA Medical Center,2019
128,2500000637,AMPHETAMINE-DEXTROAMPHET ER 5 MG PO CP24,R0228-3062-11,,11.295,1 each,Ronald Reagan UCLA Medical Center,2019
129,2500000637,AMPHETAMINE-DEXTROAMPHETAMINE 10 MG PO TABS,R0555-0972-02,,8.0,1 each,Ronald Reagan UCLA Medical Center,2019
130,2500000637,AMPHETAMINE-DEXTROAMPHETAMINE 20 MG PO TABS,0185-0401-01,,8.0,1 each,Ronald Reagan UCLA Medical Center,2019
131,2500000637,AMPHETAMINE-DEXTROAMPHETAMINE 30 MG PO TABS,0555-0974-02,,8.0,1 each,Ronald Reagan UCLA Medical Center,2019
132,2500000637,AMPHETAMINE-DEXTROAMPHETAMINE 5 MG PO TABS,R13107-068-01,,8.0,1 each,Ronald Reagan UCLA Medical Center,2019
133,2500000636,AMPHOTERICIN B 50 MG IV SOLR,39822-1055-5,J0285,86.15,1 each,Ronald Reagan UCLA Medical Center,2019
134,2500000636,AMPHOTERICIN B LIPOSOME 50 MG IV SUSR,0469-3051-30,J0289,224.82,1 each,Ronald Reagan UCLA Medical Center,2019
135,2500000637,AMPICILLIN 250 MG PO CAPS,67253-180-10,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
136,2500000637,AMPICILLIN 250 MG/5ML PO SUSR,67253-183-10,,11.75,1  x 100 mL Bottle,Ronald Reagan UCLA Medical Center,2019
137,2500000637,AMPICILLIN 500 MG PO CAPS,0781-2145-01,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
138,2500000636,AMPICILLIN SODIUM 1 G IJ SOLR,55150-113-10,J0290,40.0,1 each,Ronald Reagan UCLA Medical Center,2019
139,2500000636,AMPICILLIN SODIUM 10 G IV SOLR,44567-104-10,J0290,190.533,1 each,Ronald Reagan UCLA Medical Center,2019
140,2500000636,AMPICILLIN SODIUM 2 G IJ SOLR,25021-137-20,J0290,40.0,1 each,Ronald Reagan UCLA Medical Center,2019
141,2500000636,AMPICILLIN SODIUM 250 MG IJ SOLR,25021-134-10,J0290,40.0,1  x 1 each Vial,Ronald Reagan UCLA Medical Center,2019
142,2500000636,AMPICILLIN SODIUM 500 MG IJ SOLR,0781-3407-95,J0290,40.0,1  x 1 each Vial,Ronald Reagan UCLA Medical Center,2019
143,2500000636,AMPICILLIN-SULBACTAM SODIUM 1.5 (1-0.5) G IJ SOLR,25021-142-20,J0295,40.0,1 each,Ronald Reagan UCLA Medical Center,2019
144,2500000636,AMPICILLIN-SULBACTAM SODIUM 15 (10-5) G IJ SOLR,0049-0024-28,J0295,70.475,1 each,Ronald Reagan UCLA Medical Center,2019
145,2500000636,AMPICILLIN-SULBACTAM SODIUM 3 (2-1) G IJ SOLR,25021-143-30,J0295,40.0,1 each,Ronald Reagan UCLA Medical Center,2019
146,2500000250,AMYL NITRITE 0.3 ML IN SOLN,46414-2222-01,,5.435,1 each,Ronald Reagan UCLA Medical Center,2019
147,2500000637,ANAGRELIDE HCL 0.5 MG PO CAPS,0172-5241-60,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
148,2500000637,ANAGRELIDE HCL 1 MG PO CAPS,0172-5240-60,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
149,2500000637,ANAKINRA 100 MG/0.67ML SC SOSY,66658-234-07,J3590,514.735,1  x .67 mL Syringe,Ronald Reagan UCLA Medical Center,2019
150,2500000637,ANASTROZOLE 1 MG PO TABS,60687-112-21,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
151,2500003636,ANGIOTENSIN II ACETATE 2.5 MG/ML IV SOLN,68547-501-02,C9399,4500.0,1  x 1 mL Vial,Ronald Reagan UCLA Medical Center,2019
152,2500000636,ANTI-THYMOCYTE GLOB (RABBIT) 25 MG IV SOLR,58468-0080-1,J7511,3359.24,1 each,Ronald Reagan UCLA Medical Center,2019
153,2500000250,ANTICOAGULANT SODIUM CITRATE 46.7 % VI CONC,23731-6030-3,,240.0,30 mL,Ronald Reagan UCLA Medical Center,2019
154,2500001636,ANTIHEMOPHILIC FACTOR 1000 UNITS IV SOLR,0944-3944-02,J7190,40.0,1 each,Ronald Reagan UCLA Medical Center,2019
155,2500001636,ANTIHEMOPHILIC FACTOR RAHF-PFM 500 UNITS IV SOLR,0944-3052-02,J7192,110.0,1 each,Ronald Reagan UCLA Medical Center,2019
156,2500001636,ANTIHEMOPHILIC FACTOR-VWF 1500 UNITS IV SOLR,68516-4614-2,J7186,40.0,1 each,Ronald Reagan UCLA Medical Center,2019
157,2500001636,ANTIINHIBITOR COAGULANT CMPLX 1000 UNITS IV SOLR,64193-224-02,J7198,110.0,1 each,Ronald Reagan UCLA Medical Center,2019
158,2500001636,ANTIINHIBITOR COAGULANT CMPLX 2500 UNITS IV SOLR,64193-425-02,J7198,110.0,1 each,Ronald Reagan UCLA Medical Center,2019
159,2500000250,ANTIVENIN LATRODECTUS MACTANS IJ KIT,0006-4084-00,,69.275,1 each,Ronald Reagan UCLA Medical Center,2019
160,2500000637,APIXABAN 2.5 MG PO TABS,0003-0893-31,,12.588,1 each,Ronald Reagan UCLA Medical Center,2019
161,2500000637,APIXABAN 5 MG PO TABS,0003-0894-31,,12.588,1 each,Ronald Reagan UCLA Medical Center,2019
162,2500000637,APRACLONIDINE HCL 0.5 % OP SOLN,61314-665-05,,106.725,1  x 5 mL Bottle,Ronald Reagan UCLA Medical Center,2019
163,2500000637,APRACLONIDINE HCL 1 % OP SOLN,0065-0660-10,,150.192,2  x 1 each Plas Cont,Ronald Reagan UCLA Medical Center,2019
164,2500000636,APREPITANT 125 MG PO CAPS,0781-2323-68,J8501,615.521,1 each,Ronald Reagan UCLA Medical Center,2019
165,2500000636,APREPITANT 40 MG PO CAPS,0781-2321-51,J8501,172.308,1 each,Ronald Reagan UCLA Medical Center,2019
166,2500000636,APREPITANT 80 & 125 MG PO MISC,0006-3862-03,-1,819.63,1 each,Ronald Reagan UCLA Medical Center,2019
167,2500000636,APREPITANT 80 MG PO CAPS,0781-2322-68,J8501,405.458,1 each,Ronald Reagan UCLA Medical Center,2019
168,2500000637,AQUADEKS PO CAPS,58914-011-06,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
169,2500000637,AQUADEKS PO CHEW,R58914-014-60,,4.0,1 each,Ronald Reagan UCLA Medical Center,2019
170,2500000637,AQUADEKS PO LIQD,58914-214-60,,47.4,60 mL,Ronald Reagan UCLA Medical Center,2019
171,2500000637,AQUAPHOR EX OINT,72140-03263,,15.5,1  x 99 g Jar,Ronald Reagan UCLA Medical Center,2019
172,2500000636,ARGATROBAN 250 MG/2.5ML IV SOLN,0143-9674-01,J0884,769.65,1  x 2.5 mL Vial,Ronald Reagan UCLA Medical Center,2019
173,2500000636,ARGATROBAN 50 MG/50ML IV SOLN,0143-9559-01,J0884,419.895,1  x 50 mL Vial,Ronald Reagan UCLA Medical Center,2019
174,2500000636,ARGININE HCL (DIAGNOSTIC) 10 % IV SOLN,0009-0436-01,J3490,100.0,1  x 300 mL Glass Cont,Ronald Reagan UCLA Medical Center,2019
175,2500000637,ARIPIPRAZOLE 1 MG/ML PO SOLN,65162-893-74,,1921.5,150 mL,Ronald Reagan UCLA Medical Center,2019
176,2500000637,ARIPIPRAZOLE 10 MG PO TABS,60687-179-01,,11.385,1 each,Ronald Reagan UCLA Medical Center,2019
177,2500000637,ARIPIPRAZOLE 15 MG PO TABS,60687-191-21,,13.083,1 each,Ronald Reagan UCLA Medical Center,2019
178,2500000637,ARIPIPRAZOLE 2 MG PO TABS,60687-157-21,,12.923,1 each,Ronald Reagan UCLA Medical Center,2019
179,2500000637,ARIPIPRAZOLE 20 MG PO TABS,60687-202-21,,17.54,1 each,Ronald Reagan UCLA Medical Center,2019
180,2500000637,ARIPIPRAZOLE 30 MG PO TABS,59148-011-35,,98.185,1 each,Ronald Reagan UCLA Medical Center,2019
181,2500000637,ARIPIPRAZOLE 5 MG PO TABS,60687-168-01,,11.263,1 each,Ronald Reagan UCLA Medical Center,2019
182,2500000636,ARSENIC TRIOXIDE 12 MG/6ML IV SOLN,63459-601-06,J9017,1828.112,1  x 6 mL Vial,Ronald Reagan UCLA Medical Center,2019
183,2500000637,ARTEMETHER-LUMEFANTRINE 20-120 MG PO TABS,0078-0568-45,,11.59,1 each,Ronald Reagan UCLA Medical Center,2019
184,2500000637,ARTIFICIAL TEARS 83-15 % OP OINT,63736-14308,,40.0,1  x 3.5 g Tube,Ronald Reagan UCLA Medical Center,2019
185,2500000250,ASCORBIC ACID 500 MG/ML IJ SOLN,67457-118-50,,238.74,1  x 50 mL Vial,Ronald Reagan UCLA Medical Center,2019
