,Charge Code,Description,CPT4 Code,Price,Hospital,Year
35,303099256660,RMH CICU OBSERVATION,,408.0,Rideout Memorial Hospital,2019
36,303099256666,RMH CICU (ICU),,8949.0,Rideout Memorial Hospital,2019
37,303099500001,IV INFUSION HYDRATION 1ST HR,96360,497.0,Rideout Memorial Hospital,2019
38,303099500002,IV INFUSION HYDRAT EA ADDL HR,96361,301.0,Rideout Memorial Hospital,2019
39,303099500003,INFUSION THERAPY 1ST HR,96365,753.0,Rideout Memorial Hospital,2019
40,303099500004,INFUSION THERAPY EA ADDL HR,96366,497.0,Rideout Memorial Hospital,2019
41,303099500005,INFUSION THER ADDL SEQ INF 1HR,96367,497.0,Rideout Memorial Hospital,2019
42,303099500006,INFUSION THERAPY CONCURRENT,96368,497.0,Rideout Memorial Hospital,2019
43,303099500007,INJ THERAPY SUBQ/IM,96372,151.0,Rideout Memorial Hospital,2019
44,303099500008,INJ THERAPY IV PUSH INIT DRUG,96374,268.0,Rideout Memorial Hospital,2019
45,303099500009,INJ THER IV PUSH EA ADL NEW SQ,96375,268.0,Rideout Memorial Hospital,2019
46,303099500010,INJ THER SAME DRUG EA ADDL,96376,268.0,Rideout Memorial Hospital,2019
47,303099500014,IMMUNIZATION 1 VACCINE,90471,146.0,Rideout Memorial Hospital,2019
48,303099500015,IMMUNIZATION EA ADDL VACCINE,90472,146.0,Rideout Memorial Hospital,2019
49,303099500016,ADMIN INFLUENZA VACCINE,G0008,146.0,Rideout Memorial Hospital,2019
50,303099500017,ADMIN PNEUMOVAX,G0009,146.0,Rideout Memorial Hospital,2019
51,303099500018,DIRECT ADMIT TO OBSERVATION,G0379,241.0,Rideout Memorial Hospital,2019
52,303099500100,INTUBATION,31500,1429.0,Rideout Memorial Hospital,2019
53,303099500101,BRONCHOSCOPY,31622,4730.0,Rideout Memorial Hospital,2019
54,303099500102,CHEST TUBE PLACEMENT,32550,6813.0,Rideout Memorial Hospital,2019
55,303099500103,THORACENTESIS W/O IMAGING GUIDANCE,32554,1444.0,Rideout Memorial Hospital,2019
56,303099500104,CENTRAL LINE PLACEMENT 5 YRS AND >,36556,3441.0,Rideout Memorial Hospital,2019
57,303099500105,PICC LINE INSERTION W/O IMAG 5 YRS AND >,36569,2876.0,Rideout Memorial Hospital,2019
58,303099500107,PARACENTESIS W/O IMAGING GUIDANCE,49082,4663.0,Rideout Memorial Hospital,2019
59,303099500108,LUMBAR PUNCTURE,62270,2052.0,Rideout Memorial Hospital,2019
60,303099500109,THORANCENTESIS W/ IMAGING GUIDANCE,32555,1801.0,Rideout Memorial Hospital,2019
61,303099500110,ARTERIAL LINE PLACEMENT,,3441.0,Rideout Memorial Hospital,2019
62,303099500111,PARACENTESIS W/  IMAGING GUIDANCE,49083,4901.0,Rideout Memorial Hospital,2019
63,307099367200, NEONATAL ICU LEVEL 2,,7241.0,Rideout Memorial Hospital,2019
64,307099367300, NEONATAL ICU LEVEL 3,,9570.0,Rideout Memorial Hospital,2019
65,307099367400,NEONATAL ICU LEVEL 4,,11585.0,Rideout Memorial Hospital,2019
66,307099367500,RMH NICU PEDIATRICS,,4642.0,Rideout Memorial Hospital,2019
67,307099800001,IV INFUSION HYDRATION 1ST HR,96360,497.0,Rideout Memorial Hospital,2019
68,307099800002,IV INFUSION HYDRAT EA ADDL HR,96361,301.0,Rideout Memorial Hospital,2019
69,307099800003,INFUSION THERAPY 1ST HR,96365,753.0,Rideout Memorial Hospital,2019
70,307099800004,INFUSION THERAPY EA ADDL HR,96366,497.0,Rideout Memorial Hospital,2019
71,307099800005,INFUSION THER ADL SEQ INF 1HR,96367,497.0,Rideout Memorial Hospital,2019
72,307099800006,INFUSION THERAPY CONCURRENT,96368,497.0,Rideout Memorial Hospital,2019
73,307099800007,INJ THERAPY SUBQ/IM,96372,151.0,Rideout Memorial Hospital,2019
74,307099800008,INJ THERAPY IV PUSH 1ST DRUG,96374,268.0,Rideout Memorial Hospital,2019
75,307099800009,INJ THER IV PUSH EA ADL NEW SQ,96375,268.0,Rideout Memorial Hospital,2019
76,307099800010,INJ THERAPY SAME DDRUG EA ADDL,96376,268.0,Rideout Memorial Hospital,2019
77,307099800012,IMMUNIZATION 1 VACCINE,90471,146.0,Rideout Memorial Hospital,2019
78,307099800013,IMMUNIZATION EA ADDL VACCINE,90472,146.0,Rideout Memorial Hospital,2019
79,307099800015,CIRCUMCISION,,3237.0,Rideout Memorial Hospital,2019
80,307099800016,LUMBAR PUNCTURE,62270,2052.0,Rideout Memorial Hospital,2019
81,307099800017,INTUBATTION,31500,1429.0,Rideout Memorial Hospital,2019
82,307099800018,NEWBORN RESUSCITATION,99465,2625.0,Rideout Memorial Hospital,2019
83,307099800019,UMBLICAL VENOUS CATH,36510,1490.0,Rideout Memorial Hospital,2019
84,307099800020,TRANSFUSION BLOOD BY PUSH,36440,2763.0,Rideout Memorial Hospital,2019
85,307099800021,TRANSFUSION BLOOD 1 UNIT,36430,2763.0,Rideout Memorial Hospital,2019
86,307099800022,TRANSFUSION BLOOD 2 UNIT,36430,3001.0,Rideout Memorial Hospital,2019
87,307099800023,TRANSFUSION BLOOD 3 UNIT,36430,3239.0,Rideout Memorial Hospital,2019
88,307099800024,TRANSFUSION BLOOD 4 UNIT,36430,3478.0,Rideout Memorial Hospital,2019
89,307099800025,TRANSFUSION BLOOD 5 UNIT,36430,3728.0,Rideout Memorial Hospital,2019
90,307099800026,TRASNFUSION BLOOD 6 UNIT,36430,3954.0,Rideout Memorial Hospital,2019
91,307099800027,ORAL OR NASOGASTRIC TUBE PLACEMENT,43752,447.0,Rideout Memorial Hospital,2019
92,307099800028,CHEST TUBE,32550,6813.0,Rideout Memorial Hospital,2019
93,307099800029,"EAR OR PULSE OX FOR OXYGEN SATS, SINGLE",94760,146.0,Rideout Memorial Hospital,2019
94,307099800030,"EAR OR PULSE OX FOR OXYGEN SATS,MULTIPLE",94761,268.0,Rideout Memorial Hospital,2019
95,307099800031,EAR OR PULSE OX FOR CONTINUOUS O2 SATS,94762,381.0,Rideout Memorial Hospital,2019
96,307099800033,FINE NEEDLE ASPIRATION W/OIMG 1ST LESION,10021,4533.0,Rideout Memorial Hospital,2019
97,307099800034,"CAR SEAT/BED TEST 60 MINUTES, NEONATE",94780,86.0,Rideout Memorial Hospital,2019
98,307099800035,"CAR SEAT/BED TEST ADD'L 30MINS,NEONATE",94781,0.0,Rideout Memorial Hospital,2019
99,315009223409,THORANCENTESIS W/ IMAGING GUIDANCE,32555,1801.0,Rideout Memorial Hospital,2019
100,315099200001,IV INFUSION HYDRATION 1ST HR,96360,497.0,Rideout Memorial Hospital,2019
101,315099200002,IV INFUSION HYDR EA ADDL HR,96361,301.0,Rideout Memorial Hospital,2019
102,315099200003,INFUSION THERAPY 1ST HR,96365,753.0,Rideout Memorial Hospital,2019
103,315099200004,INFUSION THERAPY EA ADDL HR,96366,497.0,Rideout Memorial Hospital,2019
104,315099200005,INFUSION THER ADDL SEQ INF 1HR,96367,497.0,Rideout Memorial Hospital,2019
105,315099200006,INFUSION THERAPY CONCURRENT,96368,497.0,Rideout Memorial Hospital,2019
106,315099200007,INJ THERAPY SUBQ/IM,96372,151.0,Rideout Memorial Hospital,2019
107,315099200008,INJ THERAPY IV PUSH INIT DRUG,96374,268.0,Rideout Memorial Hospital,2019
108,315099200009,INJ THER IV PUSH EA ADL NEW SQ,96375,268.0,Rideout Memorial Hospital,2019
109,315099200010,INJ THERAPY SAME DRG EA ADDL,96376,268.0,Rideout Memorial Hospital,2019
110,315099200014,IMMUNIZATION 1 VACCINE,90471,146.0,Rideout Memorial Hospital,2019
111,315099200015,IMMUNIZATION EA ADDL VACCINE,90472,146.0,Rideout Memorial Hospital,2019
112,315099200016,ADMIN OF INFLUENZA VACCINE,G0008,146.0,Rideout Memorial Hospital,2019
113,315099200017,ADMIN OF PNEUMOVAX,G0009,146.0,Rideout Memorial Hospital,2019
114,315099200018,DIRECT ADMIT TO OBSERVATION,G0379,241.0,Rideout Memorial Hospital,2019
115,315099220003,RMH 2 CENTRAL PEDIATRICS,,4642.0,Rideout Memorial Hospital,2019
116,315099220033,RMH 2 CENTRAL TELEMETRY,,5723.0,Rideout Memorial Hospital,2019
117,315099220333,RMH 2 CENTRAL PRIVATE,,4718.0,Rideout Memorial Hospital,2019
118,315099223000,RMH 2 CENTRAL IMCU,,7336.0,Rideout Memorial Hospital,2019
119,315099223300,RMH 2 CENTRAL SEMI PRIVATE,,3855.0,Rideout Memorial Hospital,2019
120,315099223330,RMH 2 CENTRAL OBSERVATION,G0378,161.0,Rideout Memorial Hospital,2019
121,315099223333,RMH 2 CENTRAL ISOLATION,,5723.0,Rideout Memorial Hospital,2019
122,315099223334,2 CENTRAL PEDIATRIC OBSERVATIO,G0378,193.0,Rideout Memorial Hospital,2019
123,315099223400,INTUBATION,31500,1429.0,Rideout Memorial Hospital,2019
124,315099223401,BRONCHOSCOPSY,31622,4730.0,Rideout Memorial Hospital,2019
125,315099223402,CHEST TUBE PLACEMENT,32550,6813.0,Rideout Memorial Hospital,2019
126,315099223403,THORACENTESIS W/O IMAGING GUIDANCE,32554,1444.0,Rideout Memorial Hospital,2019
127,315099223404,CENTRAL LINE PLACEMENT 5 YRS AND >,36556,3441.0,Rideout Memorial Hospital,2019
128,315099223405,PICC LINE INSERTION W/O IMAG 5 YRS AND >,36569,2876.0,Rideout Memorial Hospital,2019
129,315099223407,PARACENTESIS W/O IMAGING GUIDANCE,49082,4663.0,Rideout Memorial Hospital,2019
130,315099223408,LUMBAR PUNCTURE,62270,2052.0,Rideout Memorial Hospital,2019
131,315099223410,ARTERIAL LINE PLACEMENT,,3441.0,Rideout Memorial Hospital,2019
132,315099223411,PARACENTESIS W/ IMAGING GUIDANCE,49083,4901.0,Rideout Memorial Hospital,2019
133,315299220044,RMH 4 MAIN PEDIATRICS,,4642.0,Rideout Memorial Hospital,2019
134,315299220444,RMH 4 MAIN ISOLATION,,5723.0,Rideout Memorial Hospital,2019
135,315299224000,RMH 4 MAIN TELEMETRY,,5723.0,Rideout Memorial Hospital,2019
136,315299224400,RMH 4 MAIN SEMI PRIVATE,,3855.0,Rideout Memorial Hospital,2019
137,315299224440,RMH 4 MAIN OBSERVATION,G0378,161.0,Rideout Memorial Hospital,2019
138,315299224441,4 MAIN PEDIATIRC OBSERVATION,G0378,193.0,Rideout Memorial Hospital,2019
139,315299224444,RMH 4 MAIN PRIVATE,,4718.0,Rideout Memorial Hospital,2019
140,315299400001,IV INFUSION HYDRATION 1ST HR,96360,497.0,Rideout Memorial Hospital,2019
141,315299400002,IV INFUSION HYDRAT EA ADDL HR,96361,301.0,Rideout Memorial Hospital,2019
142,315299400003,INFUSION THERAPY 1ST HR,96365,753.0,Rideout Memorial Hospital,2019
143,315299400004,INFUSION THERAPY EA ADDL HR,96366,497.0,Rideout Memorial Hospital,2019
144,315299400005,INFUSION THER ADDL SEQ INF 1HR,96367,497.0,Rideout Memorial Hospital,2019
145,315299400006,INFUSION THERAPY CONCURRENT,96368,497.0,Rideout Memorial Hospital,2019
146,315299400007,INJ THERAPY SUBQ/IM,96372,151.0,Rideout Memorial Hospital,2019
147,315299400008,INJ THERAPY IV PUSH INI DRUG,96374,268.0,Rideout Memorial Hospital,2019
148,315299400009,INJ THER IV PUSH EA ADL NEW SQ,96375,268.0,Rideout Memorial Hospital,2019
149,315299400010,INJ THERAPY SAME DRUG EA ADDL,96376,268.0,Rideout Memorial Hospital,2019
150,315299400014,IMMUNIZATION 1 VACCINE,90471,146.0,Rideout Memorial Hospital,2019
151,315299400015,IMMUNIZATION EA ADDL VACCINE,90472,146.0,Rideout Memorial Hospital,2019
152,315299400016,ADMIN OF INFLUENZA VACCINE,G0008,146.0,Rideout Memorial Hospital,2019
153,315299400017,ADMIN OF PNEUMOVAX,G0009,146.0,Rideout Memorial Hospital,2019
154,315299400018,DIRECT ADMIT TO OBSERVATION,G0379,241.0,Rideout Memorial Hospital,2019
155,315299400100,INTUBATION,31500,1429.0,Rideout Memorial Hospital,2019
156,315299400101,BRONCHOSCOPSY,31622,4730.0,Rideout Memorial Hospital,2019
157,315299400102,CHEST TUBE PLACEMENT,32550,6813.0,Rideout Memorial Hospital,2019
158,315299400103,THORACENTESIS W/O IMAGING GUIDANCE,32554,1444.0,Rideout Memorial Hospital,2019
159,315299400104,CENTRAL LINE PLACEMENT 5 YRS AND >,36556,3441.0,Rideout Memorial Hospital,2019
160,315299400105,PICC LINE INSERTION W/O IMAG 5 YRS AND >,36569,2876.0,Rideout Memorial Hospital,2019
161,315299400107,PARACENTESIS W/O IMAGING GUIDANCE,49082,4663.0,Rideout Memorial Hospital,2019
162,315299400108,LUMBAR PUNCTURE,62270,2052.0,Rideout Memorial Hospital,2019
163,315299400109,THORANCENTESIS W/ IMAGING GUIDANCE,32555,1801.0,Rideout Memorial Hospital,2019
164,315299400110,ARTERIAL LINE PLACEMENT,,3441.0,Rideout Memorial Hospital,2019
165,315299400111,PARACENTESIS W/ IMAGING GUIDANCE,49083,4901.0,Rideout Memorial Hospital,2019
166,317299220022,RMH 3 MAIN PEDIATRICS,,4642.0,Rideout Memorial Hospital,2019
167,317299220222,RMH 3 MAIN TELEMETRY,,5723.0,Rideout Memorial Hospital,2019
168,317299221000,RMH 3 MAIN PRIVATE,,4718.0,Rideout Memorial Hospital,2019
169,317299222000,RMH 3 MAIN SEMI PRIVATE,,3855.0,Rideout Memorial Hospital,2019
170,317299222220,RMH 3 MAIN OBSERVATION,G0378,161.0,Rideout Memorial Hospital,2019
171,317299222222,RMH 3 MAIN ISOLATION,,5723.0,Rideout Memorial Hospital,2019
172,317299222224,3 MAIN PEDIATRIC OBSERVATION,G0378,193.0,Rideout Memorial Hospital,2019
173,317299300001,IV INFUSION HYDRATION 1ST HR,96360,497.0,Rideout Memorial Hospital,2019
174,317299300002,IV INFUSION HYDRAT EA ADDL HR,96361,301.0,Rideout Memorial Hospital,2019
175,317299300003,INFUSION THERAPY 1ST HR,96365,753.0,Rideout Memorial Hospital,2019
176,317299300004,INFUSION THER EA ADDL HR,96366,497.0,Rideout Memorial Hospital,2019
177,317299300005,INFUSION THER ADDL SEQ INF 1HR,96367,497.0,Rideout Memorial Hospital,2019
178,317299300006,INFUSION THERAPY CONCURRENT,96368,497.0,Rideout Memorial Hospital,2019
179,317299300007,INJ THERAPY SUBQ/IM,96372,151.0,Rideout Memorial Hospital,2019
180,317299300008,INJ THER IV PUSH INI DRUG,96374,268.0,Rideout Memorial Hospital,2019
181,317299300009,INJ THER IV PUSH EA ADL NEW SQ,96375,268.0,Rideout Memorial Hospital,2019
182,317299300010,INJ THERAPY SME DRG EA ADDL,96376,268.0,Rideout Memorial Hospital,2019
183,317299300014,IMMUNIZATION 1 VACCINE,90471,146.0,Rideout Memorial Hospital,2019
184,317299300015,IMMUNIZATION EA ADDL VACCINE,90472,146.0,Rideout Memorial Hospital,2019
185,317299300016,ADMIN OF INFLUENZA VACCINE,G0008,146.0,Rideout Memorial Hospital,2019
186,317299300017,ADMIN OF PNEUMOVAX,G0009,146.0,Rideout Memorial Hospital,2019
187,317299300018,DIRECT ADMIT TO OBSERVATION,G0379,241.0,Rideout Memorial Hospital,2019
188,317299300100,INTUBATION,31500,1429.0,Rideout Memorial Hospital,2019
189,317299300101,BRONCHOSCOPSY,31622,4730.0,Rideout Memorial Hospital,2019
190,317299300102,CHEST TUBE PLACEMENT,32550,6813.0,Rideout Memorial Hospital,2019
191,317299300103,THORANCENTESIS W/O IMAGING GUIDANCE,32554,1444.0,Rideout Memorial Hospital,2019
192,317299300104,CENTRAL LINE PLACEMENT 5 YRS AND >,36556,3441.0,Rideout Memorial Hospital,2019
193,317299300105,PICC LINE INSERTION W/O IMAG 5 YRS AND >,36569,2876.0,Rideout Memorial Hospital,2019
194,317299300107,PARACENTESIS W/O IMAGING GUIDANCE,49082,4663.0,Rideout Memorial Hospital,2019
195,317299300108,LUMBAR PUNCTURE,62270,2052.0,Rideout Memorial Hospital,2019
196,317299300109,THORANCENTESIS W/ IMAGING GUIDANCE,32555,1801.0,Rideout Memorial Hospital,2019
197,317299300110,ARTERIAL LINE PLACEMENT,,3441.0,Rideout Memorial Hospital,2019
198,317299300111,PARACENTESIS W/ IMAGING GUIDANCE,49083,4901.0,Rideout Memorial Hospital,2019
199,317399230033,RMH 3 WEST PEDIATRICS,,4642.0,Rideout Memorial Hospital,2019
200,317399230333,RMH 3 WEST TELEMETRY,,5723.0,Rideout Memorial Hospital,2019
201,317399232000,RMH 3 WEST PRIVATE,,4718.0,Rideout Memorial Hospital,2019
202,317399233000,RMH 3 WEST SEMI PRIVATE,,3855.0,Rideout Memorial Hospital,2019
203,317399233330,RMH 3 WEST OBSERVATION,G0378,161.0,Rideout Memorial Hospital,2019
204,317399233331,3 WEST PEDIATRIC OBSERVATION,G0378,193.0,Rideout Memorial Hospital,2019
205,317399233333,RMH 3 WEST ISOLATION,,5723.0,Rideout Memorial Hospital,2019
206,317399333001,IV INFUSION HYDRATION 1ST HR,96360,497.0,Rideout Memorial Hospital,2019
207,317399333002,IV INFUSION HYDRAT EA ADDL HR,96361,301.0,Rideout Memorial Hospital,2019
208,317399333003,INFUSION THERAPY 1ST HR,96365,753.0,Rideout Memorial Hospital,2019
209,317399333004,INFUSION THERAPY EA ADDL HR,96366,497.0,Rideout Memorial Hospital,2019
210,317399333005,INFUSION THER ADDL SEQ INF 1HR,96367,497.0,Rideout Memorial Hospital,2019
211,317399333006,INFUSION THERAPY CONCURRENT,96368,497.0,Rideout Memorial Hospital,2019
212,317399333007,INJ THERAPY SUBQ/IM,96372,151.0,Rideout Memorial Hospital,2019
213,317399333008,INJ THERAPY IV PUSH INI DRUG,96374,268.0,Rideout Memorial Hospital,2019
214,317399333009,INJ THER IV PUSH EA ADL NEW SQ,96375,268.0,Rideout Memorial Hospital,2019
215,317399333010,INJ THERAPY SAME DRUG EA ADDL,96376,268.0,Rideout Memorial Hospital,2019
216,317399333014,IMMUNIZATION 1 VACCINE,90471,146.0,Rideout Memorial Hospital,2019
217,317399333015,IMMUNIZATION EA ADDL VACCINE,90472,146.0,Rideout Memorial Hospital,2019
218,317399333016,ADMIN OF INFLUENZA VACCINE,G0008,146.0,Rideout Memorial Hospital,2019
219,317399333017,ADMIN OF PNEUMOVAX,G0009,146.0,Rideout Memorial Hospital,2019
220,317399333018,DIRECT ADMIT TO OBSERVATION,G0379,241.0,Rideout Memorial Hospital,2019
221,317399334100,INTUBATION,31500,1429.0,Rideout Memorial Hospital,2019
222,317399334101,BRONCHOSCOPSY,31622,4730.0,Rideout Memorial Hospital,2019
223,317399334102,CHEST TUBE PLACEMENT,32550,6813.0,Rideout Memorial Hospital,2019
224,317399334103,THORANCENTESIS W/O IMAGING GUIDANCE,32554,1444.0,Rideout Memorial Hospital,2019
225,317399334104,CENTRAL LINE PLACEMENT 5 YRS AND >,36556,3441.0,Rideout Memorial Hospital,2019
226,317399334105,PICC LINE INSERTION W/O IMAG 5 YRS AND >,36569,2876.0,Rideout Memorial Hospital,2019
227,317399334107,PARACENTESIS W/O IMAGING GUIDANCE,49082,4663.0,Rideout Memorial Hospital,2019
228,317399334108,LUMBAR PUNCTURE,62270,2052.0,Rideout Memorial Hospital,2019
229,317399334109,THORANCENTESIS W/ IMAGING GUIDANCE,32555,1801.0,Rideout Memorial Hospital,2019
230,317399334110,ARTERIAL LINE PLACEMENT,,3441.0,Rideout Memorial Hospital,2019
231,317399334111,PARACENTESIS W/ IMAGING GUIDANCE,49083,4901.0,Rideout Memorial Hospital,2019
232,318098201111,RMH 2 EAST TELEMETRY,,5723.0,Rideout Memorial Hospital,2019
233,318099110001,IV INFUSION HYDRATION 1ST HR,96360,497.0,Rideout Memorial Hospital,2019
234,318099110002,IV INFUSION HYDR EA  ADDL HR,96361,301.0,Rideout Memorial Hospital,2019
235,318099110003,INFUSION THERAPY 1ST HR,96365,753.0,Rideout Memorial Hospital,2019
236,318099110004,INFUSION THERAPY EA  ADDL HR,96366,497.0,Rideout Memorial Hospital,2019
237,318099110005,INFUSION THER ADL SEQ INF 1HR,96367,497.0,Rideout Memorial Hospital,2019
238,318099110006,INFUSIN THERAPY CONCURRENT,96368,497.0,Rideout Memorial Hospital,2019
239,318099110007,INJ THERAPY SUBQ/IM,96372,151.0,Rideout Memorial Hospital,2019
240,318099110008,INJ THERAPY IV PUSH INI DRUG,96374,268.0,Rideout Memorial Hospital,2019
241,318099110009,INJ THER IV PUSH EA  ADL NEW SQ,96375,268.0,Rideout Memorial Hospital,2019
242,318099110010,INJ THERAPY SAM DRUF EA  ADDL,96376,268.0,Rideout Memorial Hospital,2019
243,318099110014,IMMUNIZATION 1 VACCINE,90471,146.0,Rideout Memorial Hospital,2019
244,318099110015,IMMUNIZATION EA  ADDL VACCINE,90472,146.0,Rideout Memorial Hospital,2019
245,318099110016,ADMIN OF INFLUENZA VACCINE,G0008,146.0,Rideout Memorial Hospital,2019
246,318099110017,ADMIN OF PNEUMOVAX,G0009,146.0,Rideout Memorial Hospital,2019
247,318099110018,DIRECT ADMIT TO OBSERVATION,G0379,241.0,Rideout Memorial Hospital,2019
248,318099110019,OBS DISCHARGE,99217,85.0,Rideout Memorial Hospital,2019
249,318099200113,RMH2 EAST PEDIATRICS,,4642.0,Rideout Memorial Hospital,2019
250,318099210001,RMH 2 EAST PRIVATE,,4718.0,Rideout Memorial Hospital,2019
251,318099211100,RMH 2 EAST SEMI-PRIVATE,,3855.0,Rideout Memorial Hospital,2019
252,318099211110,RMH 2 EAST OBSERVATION,G0378,161.0,Rideout Memorial Hospital,2019
253,318099211112,RMH 2 EAST ISOLATION,,5723.0,Rideout Memorial Hospital,2019
254,318099270000,RMH PACU OBSERVATION,G0378,161.0,Rideout Memorial Hospital,2019
255,318099277000,RMH PACU SEMI-PRIVATE,,3855.0,Rideout Memorial Hospital,2019
256,318099277700,RMH PACU TELEMETRY,,5723.0,Rideout Memorial Hospital,2019
257,318099277770,RMH PACU PEDIATRIC,,4642.0,Rideout Memorial Hospital,2019
258,318099278100,INTUBATION,31500,1429.0,Rideout Memorial Hospital,2019
259,318099278101,BRONCHOSCOPSY,31622,4730.0,Rideout Memorial Hospital,2019
260,318099278102,CHEST TUBE PLACEMENT,32550,6813.0,Rideout Memorial Hospital,2019
261,318099278103,THORACENTESIS W/O IMAGING GUIDANCE,32554,1444.0,Rideout Memorial Hospital,2019
262,318099278104,CENTRAL LINE PLACEMENT 5 YRS AND >,36556,3441.0,Rideout Memorial Hospital,2019
263,318099278105,PICC LINE INSERTION W/O 5 YRS AND >,36569,2876.0,Rideout Memorial Hospital,2019
264,318099278107,PARACENTESIS W/O IMAGING GUIDANCE,49082,4663.0,Rideout Memorial Hospital,2019
265,318099278108,LUMBAR PUNCTURE,62270,2052.0,Rideout Memorial Hospital,2019
266,318099278109,THORACENTESIS W/IMAGING GUIDANCE,32555,1801.0,Rideout Memorial Hospital,2019
267,318099278110,ARTERIAL LINE PLACEMENT,,3441.0,Rideout Memorial Hospital,2019
268,318099278111,PARACENTESIS W/ IMAGING GUIDANCE,49083,4901.0,Rideout Memorial Hospital,2019
269,318188244000,RMH 3 EAST SEMI PRIVATE,,3855.0,Rideout Memorial Hospital,2019
270,318188924444,RMH 3 EAST ISOLATION,,5723.0,Rideout Memorial Hospital,2019
271,318198240044,RMH 3 EAST PEDIATRICS,,4642.0,Rideout Memorial Hospital,2019
272,318198240444,RMH 3 EAST TELEMETRY,,5723.0,Rideout Memorial Hospital,2019
273,318198243000,RMH 3 EAST PRIVATE,,3855.0,Rideout Memorial Hospital,2019
274,318199220000,INFUSION THERAPY 1ST HR,96365,753.0,Rideout Memorial Hospital,2019
275,318199220001,IV INFUSION HYDRATION 1ST HR,96360,497.0,Rideout Memorial Hospital,2019
276,318199220002,IV INFUSION HYDR EA  ADDL HR,96361,301.0,Rideout Memorial Hospital,2019
277,318199220004,INFUSION THERAPY EA  ADDL HR,96366,497.0,Rideout Memorial Hospital,2019
278,318199220005,INFUSION THER ADDL SEQ INF 1HR,96367,497.0,Rideout Memorial Hospital,2019
279,318199220006,INFUSION THERAPY CONCURRENT,96368,497.0,Rideout Memorial Hospital,2019
280,318199220007,INJ THERAPY SUBQ/IM,96372,151.0,Rideout Memorial Hospital,2019
