,Charge Code (CDM/EAP),Description,Total Price ,CPT/HCPC,Hospital,Year
63,25000001,brimonidine 0.2 % solution 10 mL Bottle,316.41,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
64,25000001,brimonidine 0.2 % solution 5 mL Bottle,158.35,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
65,25000001,brimonidine-timolol 0.2-0.5 % solution 5 mL Bottle,1026.26,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
66,25000001,brinzolamide 1 % suspension 10 mL Bottle,1794.79,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
67,25000001,brinzolamide 1 % suspension 15 mL Bottle,2691.82,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
68,25000001,bromfenac 0.07 % solution 3 mL Bottle,1552.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
69,25000001,budesonide 32 MCG/ACT suspension 8.43 mL Bottle,83.37,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
70,25000001,budesonide 32 MCG/ACT suspension 8.6 g Bottle,865.11,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
71,25000001,bupivacaine-EPINEPHrine PF 0.5% -1:200000 solution 30 mL Vial,26.77,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
72,25000001,cadexomer iodine 0.9 % gel 40 g Tube,664.84,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
73,25000001,caffeine-sodium benzoate 125-125 MG/ML solution 2 mL Vial,53.05,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
74,25000001,calamine 8-8 % lotion 177 mL Bottle,20.6,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
75,25000001,calamine lotion 177 mL Bottle,20.6,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
76,25000001,calamine-zinc oxide 8-8 % 8-8 % lotion 177 mL Bottle,17.17,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
77,25000001,calcipotriene 0.005 % ointment 120 g Tube,3510.62,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
78,25000001,calcitonin (salmon) 200 UNIT/ACT solution 3.7 mL Bottle,574.92,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
79,25000001,camphor-menthol 0.5-0.5 % lotion 222 mL Bottle,39.84,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
80,25000001,candida albicans skin test solution 1 mL Vial,111.74,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
81,25000001,capsaicin 0.025 % cream 60 g Tube,48.31,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
82,25000001,capsicum 0.075 % cream 56.6 g Tube,91.41,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
83,25000001,capsicum 0.075 % cream 60 g Tube,130.66,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
84,25000001,capsicum oleoresin 0.025 % cream 60 g Tube,80.03,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
85,25000001,carbamide peroxide 6.5 % solution 15 mL Bottle,24.81,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
86,25000001,carboxymethylcellulose 0.5 % solution 15 mL Bottle,45.91,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
87,25000001,carboxymethylcellulose PF 0.5 % solution 30 each Plas Cont,1.6,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
88,25000001,carboxymethylcellulose PF 1 % gel 30 each Plas Cont,0.47,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
89,25000001,cefTAZidime 2-5 GM-%(50ML) reconstituted solution 1 each Flex Cont,93.11,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
90,25000001,cefTAZidime 2-5 GM/50ML-% solution 50 mL Plas Cont,174.6,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
91,25000001,chlorambucil 2 MG tablet 50 each Bottle,23.66,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
92,25000001,chlorhexidine 4 % liquid 118 mL Bottle,18.89,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
93,25000001,chromic chloride 40 MCG/10ML solution 10 mL Vial,113.73,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
94,25000001,ciprofloxacin 0.3 % ointment 3.5 g Tube,1247.56,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
95,25000001,ciprofloxacin 0.3 % solution 2.5 mL Bottle,121.4,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
96,25000001,ciprofloxacin 0.3 % solution 5 mL Bottle,229.45,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
97,25000001,ciprofloxacin powder 100 g Bottle,1762.49,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
98,25000001,ciprofloxacin-dexamethasone 0.3-0.1 % suspension 7.5 mL Bottle,1374.1,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
99,25000001,ciprofloxacin-hydrocortisone 0.2-1 % suspension 10 mL Bottle,1838.34,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
100,25000001,clindamycin 1 % gel 30 g Tube,502.7,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
101,25000001,clindamycin 1 % gel 60 g Tube,905.59,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
102,25000001,clindamycin 1 % solution 30 mL Bottle,197.88,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
103,25000001,clindamycin 1 % solution 60 mL Bottle,380.05,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
104,25000001,cloBAZam 10 MG tablet 100 each Bottle,58.54,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
105,25000001,clobetasol 0.05 % cream 30 g Tube,1243.73,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
106,25000001,clobetasol 0.05 % gel 15 g Tube,806.72,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
107,25000001,clobetasol 0.05 % gel 60 g Tube,2695.82,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
108,25000001,clobetasol 0.05 % ointment 15 g Tube,753.91,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
109,25000001,clobetasol 0.05 % ointment 30 g Tube,1259.74,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
110,25000001,clobetasol 0.05 % ointment 60 g Tube,2519.48,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
111,25000001,clobetasol 0.05 % solution 50 mL Bottle,1000.56,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
112,25000001,cloNIDine 0.1 MG/24HR patch weekly 1 each Box,160.65,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
113,25000001,cloNIDine 0.1 MG/24HR patch weekly 4 each Box,383.08,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
114,25000001,cloNIDine 0.2 MG/24HR patch weekly 1 each Box,270.46,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
115,25000001,cloNIDine 0.2 MG/24HR patch weekly 1 each Package,270.77,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
116,25000001,cloNIDine 0.2 MG/24HR patch weekly 4 each Box,270.46,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
117,25000001,cloNIDine 0.3 MG/24HR patch weekly 1 each Package,375.62,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
118,25000001,cloNIDine 0.3 MG/24HR patch weekly 4 each Box,375.62,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
119,25000001,clotrimazole 1 % cream 14.17 g Tube,25.63,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
120,25000001,clotrimazole 1 % cream 45 g Tube,237.46,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
121,25000001,clotrimazole 1 % solution 10 mL Bottle,218.88,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
122,25000001,clotrimazole-betamethasone 1-0.05 % cream 15 g Tube,98.14,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
123,25000001,clotrimazole-betamethasone 1-0.05 % cream 45 g Tube,211.27,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
124,25000001,coagulation factor IX 500 units reconstituted solution 500 Units Vial,2910.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
125,25000001,cocaine 4 % solution 4 mL Bottle,1082.13,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
126,25000001,collagen hemostat powder 1 g Jar,1105.8,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
127,25000001,conivaptan 20-5 MG/100ML-% solution 100 mL Plas Cont,3610.34,C9488,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
128,25000001,conjugated estrogens 0.625 MG/GM cream 30 g Tube,2174.06,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
129,25000001,cromolyn 5.2 MG/ACT aerosol solution 26 mL Bottle,62.55,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
130,25000001,cyclopentolate 1 % solution 2 mL Bottle,154.86,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
131,25000001,cyclopentolate 1 % solution 5 mL Bottle,278.54,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
132,25000001,cyclopentolate 2 % solution 5 mL Bottle,335.23,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
133,25000001,cycloSPORINE 0.05 % emulsion 1 each Plas Cont,27.05,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
134,25000001,cysteine (L-Cysteine) 50 MG/ML solution 10 mL Vial,49.13,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
135,25000001,dacomitinib 15 MG tablet 30 each Bottle,2108.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
136,25000001,dacomitinib 30 MG tablet 30 each Bottle,1054.0,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
137,25000001,dacomitinib 45 MG tablet 30 each Bottle,702.67,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
138,25000001,darunavir ethanolate 800 MG tablet 30 each Bottle,287.25,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
139,25000001,deferasirox 180 MG tablet 30 each Bottle,430.72,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
140,25000001,deferasirox 250 MG tablet soluble 30 each Bottle,430.72,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
141,25000001,deferasirox 500 MG tablet soluble 30 each Bottle,861.42,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
142,25000001,desmopressin 0.01 % solution 2.5 mL Bottle,1538.18,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
143,25000001,desmopressin 0.01 % solution 5 mL Bottle,1146.54,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
144,25000001,desmopressin 1.5 MG/ML solution 2.5 mL Bottle,4132.2,,City of Hope Helford Clinical Research Hospital,2019#&City of Hope Helford Clinical Research Hospital&106190176_CDM_All_2019OSHPD
