,Charge Code,NRV,CPT,Description,Price,Hospital,Year
21,2160002,120,,SEMI PRIVATE MED/SURG,3763.0,Hollywood Presbyterian Medical Center,2019
22,2160031,206,,DOU/TELE PRIVATE,5673.0,Hollywood Presbyterian Medical Center,2019
23,2160062,206,,DOU-TELE SEMI-PRIVATE,4613.0,Hollywood Presbyterian Medical Center,2019
24,2170001,111,,PRIVATE MED/SURG,4239.0,Hollywood Presbyterian Medical Center,2019
25,2170031,206,,DOU/TELE PRIVATE,5673.0,Hollywood Presbyterian Medical Center,2019
26,2210013,173,,NCCU 1:3,3428.0,Hollywood Presbyterian Medical Center,2019
27,2210020,174,,NICU 1:1,9500.0,Hollywood Presbyterian Medical Center,2019
28,2210094,173,,NICU 1:2,4679.0,Hollywood Presbyterian Medical Center,2019
29,2290002,120,,SEMI PRIVATE MED/SURG,3763.0,Hollywood Presbyterian Medical Center,2019
30,2290019,200,,SURGICAL ICU,11474.0,Hollywood Presbyterian Medical Center,2019
31,2290022,200,,MEDICAL ICU,11474.0,Hollywood Presbyterian Medical Center,2019
32,2290026,210,,CCU,11474.0,Hollywood Presbyterian Medical Center,2019
33,2290062,206,,DOU/TELE SEMI-PRIVATE,4613.0,Hollywood Presbyterian Medical Center,2019
34,2320001,111,,PRIVATE MED/SURG,4239.0,Hollywood Presbyterian Medical Center,2019
35,2320002,120,,SEMI PRIVATE MED/SURG,3763.0,Hollywood Presbyterian Medical Center,2019
36,2320005,164,,ISOLATION,4239.0,Hollywood Presbyterian Medical Center,2019
37,2320009,140,,PRIVATE DELUXE,5642.0,Hollywood Presbyterian Medical Center,2019
38,2320031,206,,DOU/TELE PRIVATE,5673.0,Hollywood Presbyterian Medical Center,2019
39,2320062,206,,DOU/TELE SEMI-PRIVATE,4613.0,Hollywood Presbyterian Medical Center,2019
40,2330001,111,,PRIVATE MED/SURG,4239.0,Hollywood Presbyterian Medical Center,2019
41,2330002,120,,SEMI PRIVATE MED/SURG,3763.0,Hollywood Presbyterian Medical Center,2019
42,2330005,164,,ISOLATION,4239.0,Hollywood Presbyterian Medical Center,2019
43,2330046,140,,PRIVATE SUITE,5642.0,Hollywood Presbyterian Medical Center,2019
44,2330062,206,,DOU/TELE SEMI-PRIVATE,4613.0,Hollywood Presbyterian Medical Center,2019
45,2340001,111,,PRIVATE MED/SURG,4239.0,Hollywood Presbyterian Medical Center,2019
46,2340002,120,,SEMI PRIVATE MED/SURG,3763.0,Hollywood Presbyterian Medical Center,2019
47,2340005,164,,ISOLATION,4239.0,Hollywood Presbyterian Medical Center,2019
48,2340021,117,,ONCOLOGY PRIVATE,5179.0,Hollywood Presbyterian Medical Center,2019
49,2340042,120,,SEMI PRIVATE MED/SURG EDA,3763.0,Hollywood Presbyterian Medical Center,2019
50,2350001,111,,PRIVATE MED/SURG,4239.0,Hollywood Presbyterian Medical Center,2019
51,2350002,120,,SEMI PRIVATE MED/SURG,3763.0,Hollywood Presbyterian Medical Center,2019
52,2350005,164,,ISOLATION,4239.0,Hollywood Presbyterian Medical Center,2019
53,2370001,111,,PRIVATE MED/SURG,4239.0,Hollywood Presbyterian Medical Center,2019
54,2370002,120,,SEMI PRIVATE MED/SURG,3763.0,Hollywood Presbyterian Medical Center,2019
55,2370005,164,,ISOLATION,4239.0,Hollywood Presbyterian Medical Center,2019
56,2400045,173,,NURSERY INTENSIVE 1:3,3428.0,Hollywood Presbyterian Medical Center,2019
57,2400048,113,,PEDS PRIVATE,4239.0,Hollywood Presbyterian Medical Center,2019
58,2400049,123,,PEDS SEMI-PRIVATE,3763.0,Hollywood Presbyterian Medical Center,2019
59,2500025,122,,OB HIGH RISK SEMI-PRIVAT,2424.0,Hollywood Presbyterian Medical Center,2019
60,2500042,122,,MATERNITY SEMI-PRIVATE,2096.0,Hollywood Presbyterian Medical Center,2019
61,2500044,122,,OB SEMI PRIVATE,2096.0,Hollywood Presbyterian Medical Center,2019
62,2500045,112,,OB PRIVATE,2358.0,Hollywood Presbyterian Medical Center,2019
63,2550010,171,,NURSERY,1059.0,Hollywood Presbyterian Medical Center,2019
64,2700041,128,,REHAB SEMI PRIVATE,2226.0,Hollywood Presbyterian Medical Center,2019
65,2700065,118,,REHAB PRIVATE,2619.0,Hollywood Presbyterian Medical Center,2019
66,2710078,194,,SAU VENT SEMI PRIVATE,862.0,Hollywood Presbyterian Medical Center,2019
67,2710080,189,,VENT DEP BED HOLD,936.0,Hollywood Presbyterian Medical Center,2019
68,2710082,189,,NON VENT BED HOLD,900.0,Hollywood Presbyterian Medical Center,2019
69,2710084,193,,SAU SEMI PRIVATE,739.0,Hollywood Presbyterian Medical Center,2019
70,3080015,790,,LITHOTRIPSY LASER BILAT,5261.0,Hollywood Presbyterian Medical Center,2019
71,3080020,790,,LITHOTRIPSY LASER UNILAT,2631.0,Hollywood Presbyterian Medical Center,2019
72,3080206,790,,ESW BILATERAL,27054.0,Hollywood Presbyterian Medical Center,2019
73,3080207,790,,ESW UNILATERAL,13527.0,Hollywood Presbyterian Medical Center,2019
74,3080209,790,,ISW UNILATERAL,5788.0,Hollywood Presbyterian Medical Center,2019
75,3080210,790,,ISW BILATERAL,11671.0,Hollywood Presbyterian Medical Center,2019
76,3100015,260,96365,IV INFUSION  UP TO ONE HR (PICTOCIN),783.0,Hollywood Presbyterian Medical Center,2019
77,3100017,920,59025,NON-STRESS TEST,631.0,Hollywood Presbyterian Medical Center,2019
78,3100020,920,59020,FETAL CONTCT STRESS TEST/OXT,612.0,Hollywood Presbyterian Medical Center,2019
79,3100027,402,76946,US GUIDANCE AMNIOCENTESIS S/I,600.0,Hollywood Presbyterian Medical Center,2019
80,3100029,720,59000,AMNIOCENTESIS,653.0,Hollywood Presbyterian Medical Center,2019
81,3100030,260,,AMNIO INFUSION,300.0,Hollywood Presbyterian Medical Center,2019
82,3100035,391,36430,TRANSFUSION BLD PROD_LD,1262.0,Hollywood Presbyterian Medical Center,2019
83,3100221,721,,LABOR 1ST HOUR,292.5,Hollywood Presbyterian Medical Center,2019
84,3100230,721,,LABOR EA 1/2 HOUR,146.0,Hollywood Presbyterian Medical Center,2019
85,3100337,761,96372,IM/SQ INJECTION ONLY,300.0,Hollywood Presbyterian Medical Center,2019
86,3100473,771,90471,ADMIN OF VACC/INJECTION,150.0,Hollywood Presbyterian Medical Center,2019
87,3100500,402,76815,US OB LTD 1OR> FETUS,1476.0,Hollywood Presbyterian Medical Center,2019
88,3100510,300,81002,POC FERN TEST,20.0,Hollywood Presbyterian Medical Center,2019
89,3100515,300,81002,URINALYSIS DIPSTICK METH,20.0,Hollywood Presbyterian Medical Center,2019
90,3100610,360,,CERCLAGE,898.0,Hollywood Presbyterian Medical Center,2019
91,3100612,760,,C SECTION SURGERY LVL ADDTNL 1/2HR,449.0,Hollywood Presbyterian Medical Center,2019
92,3100615,720,,SURG MIN EA ADD MIN,45.0,Hollywood Presbyterian Medical Center,2019
93,3100701,710,,RECOVERY ROOM CSECT-GEN 1ST HR,985.0,Hollywood Presbyterian Medical Center,2019
94,3100705,710,,RECOV CSECT GEN EA ADDNL  1/2 HR,310.0,Hollywood Presbyterian Medical Center,2019
95,3100708,710,,RECOV CSECT REG 1ST HR,950.0,Hollywood Presbyterian Medical Center,2019
96,3100710,710,,RECOV CSECT REG ADDTL 1/2 HR,475.0,Hollywood Presbyterian Medical Center,2019
97,3100713,710,,RECOV POST-VAG 1ST HR,595.0,Hollywood Presbyterian Medical Center,2019
98,3100715,710,,RECOV POST-VAG EA ADDNL 1/2HR,240.0,Hollywood Presbyterian Medical Center,2019
99,3100717,710,,EXTENDED RR INITAL 1 HR,250.0,Hollywood Presbyterian Medical Center,2019
100,3100719,710,,EXTENDED RR ADDTL 1/2 HR,125.0,Hollywood Presbyterian Medical Center,2019
101,3101197,761,99213,OB VISIT LVL III,275.0,Hollywood Presbyterian Medical Center,2019
102,3101199,761,99211,OB VISIT LVL 1,185.0,Hollywood Presbyterian Medical Center,2019
103,3101200,721,,LD TRIAGE/MSE,314.0,Hollywood Presbyterian Medical Center,2019
104,3101202,761,99212,OB VISIT LVL II,220.0,Hollywood Presbyterian Medical Center,2019
105,3101204,761,99214,OB VISIT LVL IV,385.0,Hollywood Presbyterian Medical Center,2019
106,3101205,761,99215,OB VISIT LVL 5,505.0,Hollywood Presbyterian Medical Center,2019
107,3102010,720,59412,TOCOLYSIS,2729.0,Hollywood Presbyterian Medical Center,2019
108,3102110,720,,MAGNESIUM SULFATE,600.0,Hollywood Presbyterian Medical Center,2019
109,3103205,370,,ANES GEN  1ST HR,1211.0,Hollywood Presbyterian Medical Center,2019
110,3103208,370,,ANES GEN EA ADDTL 1/2 HR,605.0,Hollywood Presbyterian Medical Center,2019
111,3103210,370,,ANES REGIONAL 1ST HR,906.0,Hollywood Presbyterian Medical Center,2019
112,3103211,370,,ANES REGIONAL ADDDTL 1/2 HR,339.0,Hollywood Presbyterian Medical Center,2019
113,3109503,760,,DELIV C-SECT ADD MIN,40.0,Hollywood Presbyterian Medical Center,2019
114,3109525,762,G0378,OBSERV CHG/HRLY,155.0,Hollywood Presbyterian Medical Center,2019
115,3109725,471,,INIT HEARING SCREEN MCA,150.0,Hollywood Presbyterian Medical Center,2019
116,3109726,471,,OP MEDI-CAL NB HEAR SCR,150.0,Hollywood Presbyterian Medical Center,2019
117,3109727,471,,INIT INFANT HEARING SCREENING,24.0,Hollywood Presbyterian Medical Center,2019
118,3109730,260,96366,IV INFUSION THE/DS EA ADDL HR,402.0,Hollywood Presbyterian Medical Center,2019
119,3109732,260,96367,IV INFUSION TEHR/DX ADDL HR NEW DRUG,402.0,Hollywood Presbyterian Medical Center,2019
120,3109734,260,96374,IV PUSH INITIAL 1ST HR-NEW DRUG,353.0,Hollywood Presbyterian Medical Center,2019
121,3109736,260,96375,IV PUSH ADDL SEQ NEW DRUG,333.0,Hollywood Presbyterian Medical Center,2019
122,3109738,260,96376,IV PUSH SAME DRUG EA ADDL/SEQ,305.0,Hollywood Presbyterian Medical Center,2019
123,3109740,260,96360,IV INFUSION  HYDRATE 1ST HR,796.0,Hollywood Presbyterian Medical Center,2019
124,3109742,260,96361,IV INFUSE HYDRATE EA ADDL HR,387.0,Hollywood Presbyterian Medical Center,2019
125,3109744,761,,BLOOD PATCH,965.0,Hollywood Presbyterian Medical Center,2019
126,3109750,720,,DEL /PLACENTA/NON DEL BOA,4175.0,Hollywood Presbyterian Medical Center,2019
127,3109755,270,,SECONDARY IV SET V1921,1.98,Hollywood Presbyterian Medical Center,2019
128,3109757,270,,FLOWTRON L501-M,37.41,Hollywood Presbyterian Medical Center,2019
129,3109759,270,,SUTURES,12.57,Hollywood Presbyterian Medical Center,2019
130,3210004,360,,SURGERY 1 HOUR    MAJOR,6623.0,Hollywood Presbyterian Medical Center,2019
131,3210005,360,,SURGERY MAJOR EA ADD  MIN,63.0,Hollywood Presbyterian Medical Center,2019
132,3210041,360,,SURGERY 1 HOUR     MINOR,6143.0,Hollywood Presbyterian Medical Center,2019
133,3210051,360,,SURGERY MINOR EA ADD MIN,91.0,Hollywood Presbyterian Medical Center,2019
134,3210400,360,,SURG LASER PROC 1ST HR,5809.0,Hollywood Presbyterian Medical Center,2019
135,3210402,360,,SURG LASER PROC ADD MIN,96.0,Hollywood Presbyterian Medical Center,2019
136,3210460,360,,SURG LASER MNR 1ST HR,5214.0,Hollywood Presbyterian Medical Center,2019
137,3210476,360,,SURG LASER MNR ADD MIN,75.0,Hollywood Presbyterian Medical Center,2019
138,3220002,710,,RECOVERY RM 1/2 HOUR,1789.0,Hollywood Presbyterian Medical Center,2019
139,3220003,710,,PACU EACH ADD MIN,29.0,Hollywood Presbyterian Medical Center,2019
140,3220004,710,,RECOVERY RM 1     HOUR,3579.0,Hollywood Presbyterian Medical Center,2019
141,3500260,361,,MINOR PROCEDURE,1349.0,Hollywood Presbyterian Medical Center,2019
142,3500613,710,,PACU 1/2 HR,1037.0,Hollywood Presbyterian Medical Center,2019
143,3500615,710,,PACU EA ADD MIN,18.0,Hollywood Presbyterian Medical Center,2019
144,3500626,260,96374,IVPUSH NON CHEMO DRUG,353.0,Hollywood Presbyterian Medical Center,2019
145,3501329,331,96401,CHEMO INF IM/SQ,1206.0,Hollywood Presbyterian Medical Center,2019
146,3502064,260,96365,IV THRPY UP TO 1 HR,783.0,Hollywood Presbyterian Medical Center,2019
147,3502065,260,96366,IV THRPY EA ADD HR,402.0,Hollywood Presbyterian Medical Center,2019
148,3503110,391,36430,TRANSFUSION BLD-ADMIN_ED,1262.0,Hollywood Presbyterian Medical Center,2019
149,3600408,360,,LUMBAR PUNCTURE,2072.76,Hollywood Presbyterian Medical Center,2019
150,3603020,335,96415,CHEMOTHER INF EA HR 1-8H,560.0,Hollywood Presbyterian Medical Center,2019
151,3700004,370,,ANESTHESIA 1 HOUR,1211.0,Hollywood Presbyterian Medical Center,2019
152,3700005,370,,ANESTHESIA EA ADD MIN,20.0,Hollywood Presbyterian Medical Center,2019
153,3700045,270,,NITROUS OXIDE,174.0,Hollywood Presbyterian Medical Center,2019
154,3700054,370,,OXYGEN,174.0,Hollywood Presbyterian Medical Center,2019
155,3708999,370,,ANESTHESIA MISC,0.0,Hollywood Presbyterian Medical Center,2019
156,4100004,300,80051,ELECTROLYTE PANEL,148.0,Hollywood Presbyterian Medical Center,2019
157,4100031,301,80202,VANCOMYCIN,248.0,Hollywood Presbyterian Medical Center,2019
158,4100052,300,80050,GEN HEALTH PANEL *,270.0,Hollywood Presbyterian Medical Center,2019
159,4100069,301,80069,RENAL FUNCTION PANEL,321.0,Hollywood Presbyterian Medical Center,2019
160,4100074,301,80074,ACUTE HEPATITIS PANEL,396.0,Hollywood Presbyterian Medical Center,2019
161,4100102,300,80307,AMPHETAMINE QUAL,141.0,Hollywood Presbyterian Medical Center,2019
162,4100109,301,80076,HEPATIC FUNCTION PANEL,294.0,Hollywood Presbyterian Medical Center,2019
163,4100111,301,80053,COMP METABOLIC PANEL,178.0,Hollywood Presbyterian Medical Center,2019
164,4100160,301,80061,LIPID PANEL COMPREHENSV,312.0,Hollywood Presbyterian Medical Center,2019
165,4100166,301,80048,BASIC METABOLIC PANEL,150.0,Hollywood Presbyterian Medical Center,2019
166,4101001,307,81001,UA AUTO W/MICRO,126.0,Hollywood Presbyterian Medical Center,2019
167,4101004,307,81003,URINE W/O MICRO AUTO,56.0,Hollywood Presbyterian Medical Center,2019
168,4101015,300,81015,URINALYSIS MICRO ONLY,111.0,Hollywood Presbyterian Medical Center,2019
169,4101026,307,81025,URINE PREG TEST QUAL,181.0,Hollywood Presbyterian Medical Center,2019
170,4101050,300,81050,VOLUME MEASURMNT URINE *,40.0,Hollywood Presbyterian Medical Center,2019
171,4102003,301,80307,ACETAMNOPHN  QUANT,240.0,Hollywood Presbyterian Medical Center,2019
172,4102010,301,82010,B- HYDROXYBUTYRATE QUANT-KETONE,129.0,Hollywood Presbyterian Medical Center,2019
173,4102011,301,80307,SALICYLATE,158.0,Hollywood Presbyterian Medical Center,2019
174,4102040,301,82040AY,ALBUMIN SERUM,42.0,Hollywood Presbyterian Medical Center,2019
175,4102045,301,82042,BODY FLUID ALBUMIN,42.0,Hollywood Presbyterian Medical Center,2019
176,4102055,301,G0480,ALCOHOL ETHYL,321.0,Hollywood Presbyterian Medical Center,2019
177,4102066,300,83945,OXALATE URINE,39.0,Hollywood Presbyterian Medical Center,2019
178,4102114,301,82105,ALPHA FETO PROTEIN SERUM,127.0,Hollywood Presbyterian Medical Center,2019
179,4102137,301,80198,THEOPHYLLINE,180.0,Hollywood Presbyterian Medical Center,2019
180,4102140,301,82140,AMMONIA,272.0,Hollywood Presbyterian Medical Center,2019
181,4102150,301,82150,AMYLASE,78.0,Hollywood Presbyterian Medical Center,2019
182,4102151,300,82150,AMYLASE URINE,78.0,Hollywood Presbyterian Medical Center,2019
183,4102213,300,80307,BARBITURATES QUAL,69.0,Hollywood Presbyterian Medical Center,2019
184,4102239,300,81002,BILE PIGMENTS URINE,20.0,Hollywood Presbyterian Medical Center,2019
185,4102250,301,82247,BILIRUBIN TOTAL,108.0,Hollywood Presbyterian Medical Center,2019
186,4102253,301,82248,BILIRUBIN DIRECT,120.0,Hollywood Presbyterian Medical Center,2019
187,4102270,300,82270,OCCULT BLD STL 1-3,32.0,Hollywood Presbyterian Medical Center,2019
188,4102272,301,82272,OCCULT BLD QL,42.0,Hollywood Presbyterian Medical Center,2019
189,4102274,300,82274,HGB FECAL OCCULT BLD L,60.0,Hollywood Presbyterian Medical Center,2019
190,4102275,301,82271,"OCCULT BLD, GASTRIC",50.0,Hollywood Presbyterian Medical Center,2019
191,4102310,301,82310AY,CALCIUM,104.0,Hollywood Presbyterian Medical Center,2019
192,4102330,301,82330,CALCIUM IONIZED,82.0,Hollywood Presbyterian Medical Center,2019
193,4102340,301,82340,CALCIUM URINE QUAN,92.0,Hollywood Presbyterian Medical Center,2019
194,4102341,301,82340,CALCIUM 24HR URINE,92.0,Hollywood Presbyterian Medical Center,2019
195,4102372,301,80156,CARBAMAZAPINE,394.0,Hollywood Presbyterian Medical Center,2019
196,4102374,301,82374AY,CARBON DIOXIDE,89.0,Hollywood Presbyterian Medical Center,2019
197,4102375,301,82375,CARBON MONOXIDE QUAN,106.0,Hollywood Presbyterian Medical Center,2019
198,4102439,301,82435AY,CHLORIDE,94.0,Hollywood Presbyterian Medical Center,2019
199,4102465,301,82465,CHOLESTEROL TOTAL,94.0,Hollywood Presbyterian Medical Center,2019
200,4102476,301,83721,LDL CHOLESTOROL,67.0,Hollywood Presbyterian Medical Center,2019
201,4102477,301,83718,CHOLESTEROL HDL,76.0,Hollywood Presbyterian Medical Center,2019
202,4102533,301,82533,CORTISOL TOTAL,272.0,Hollywood Presbyterian Medical Center,2019
203,4102550,301,82550,CREATINE KINASE TOTAL,188.0,Hollywood Presbyterian Medical Center,2019
204,4102553,301,82553,CK MB FRACTION,203.0,Hollywood Presbyterian Medical Center,2019
205,4102554,301,82553,CK MB,203.0,Hollywood Presbyterian Medical Center,2019
206,4102560,300,80307,COCAINE QL,44.0,Hollywood Presbyterian Medical Center,2019
207,4102565,301,82565AY,CREATININE BLOOD,42.0,Hollywood Presbyterian Medical Center,2019
208,4102570,301,82570,"CREATININE, FLUID",76.0,Hollywood Presbyterian Medical Center,2019
209,4102571,301,82570,CREATININE 24HR URINE,76.0,Hollywood Presbyterian Medical Center,2019
210,4102573,301,82570AY,CREATININE URINE,76.0,Hollywood Presbyterian Medical Center,2019
211,4102575,301,82575AY,CREATININE CLEARANCE,148.0,Hollywood Presbyterian Medical Center,2019
212,4102597,300,80345,"BARBITURATES CONFIRMATION, URINE",18.0,Hollywood Presbyterian Medical Center,2019
213,4102611,301,82607AY,CYANOCOBLMN(VIT B12),160.0,Hollywood Presbyterian Medical Center,2019
214,4102643,301,80163,DIGOXIN,100.0,Hollywood Presbyterian Medical Center,2019
215,4102655,301,80185,PHENYTOIN TOTAL,252.0,Hollywood Presbyterian Medical Center,2019
216,4102726,301,82728AY,FERRITIN,166.0,Hollywood Presbyterian Medical Center,2019
217,4102731,301,82731,FETAL FIBRONECTIN,740.0,Hollywood Presbyterian Medical Center,2019
218,4102746,301,82746AY,FOLIC ACID,140.0,Hollywood Presbyterian Medical Center,2019
219,4102945,301,82945,GLUCOSE BODY FLUID,116.0,Hollywood Presbyterian Medical Center,2019
220,4102946,301,82948,GLUCOSE POC,50.0,Hollywood Presbyterian Medical Center,2019
221,4102947,301,82947,GLUCOSE QUANT,76.0,Hollywood Presbyterian Medical Center,2019
222,4102948,301,82948,GLUCOSE BLD RGT ST VISU *,50.0,Hollywood Presbyterian Medical Center,2019
223,4102950,301,82950,GLUCOSE POST DOSE,144.0,Hollywood Presbyterian Medical Center,2019
224,4102951,301,82951,GLUCOSE TOLERANCE 3SPEC,232.0,Hollywood Presbyterian Medical Center,2019
225,4102953,300,82945,GLUCOSE QNT URINE 24HR,116.0,Hollywood Presbyterian Medical Center,2019
226,4102958,301,82945,GLUCOSE CSF,116.0,Hollywood Presbyterian Medical Center,2019
227,4102980,301,82977,GGT,120.0,Hollywood Presbyterian Medical Center,2019
228,4102994,301,83036,HEMOGLOBIN GLYCATED,106.0,Hollywood Presbyterian Medical Center,2019
229,4103004,301,80170,GENTAMYCIN,248.0,Hollywood Presbyterian Medical Center,2019
230,4103010,301,83010,HAPTOGLOBIN,14.0,Hollywood Presbyterian Medical Center,2019
231,4103013,301,84703,GONADTOPN CHRONC(HCG)QL,140.0,Hollywood Presbyterian Medical Center,2019
232,4103014,301,84702,GONADTOPN CHORNC(HCG)QNT,246.0,Hollywood Presbyterian Medical Center,2019
233,4103052,305,85660,SICKLING OF RBC,96.0,Hollywood Presbyterian Medical Center,2019
234,4103527,301,83880,B-TYP NATRIURETC PEPTID,321.0,Hollywood Presbyterian Medical Center,2019
235,4103540,301,83540AY,IRON,50.0,Hollywood Presbyterian Medical Center,2019
236,4103550,301,83550AY,IRON BINDING CAPCTY,86.0,Hollywood Presbyterian Medical Center,2019
237,4103605,301,83605,LACTATE(LACTIC ACID),212.0,Hollywood Presbyterian Medical Center,2019
238,4103610,300,83605,POC LACTATE,212.0,Hollywood Presbyterian Medical Center,2019
239,4103615,301,83615,LDH-LACTIC DEHYDROGENASE,78.0,Hollywood Presbyterian Medical Center,2019
240,4103690,301,83690,LIPASE,196.0,Hollywood Presbyterian Medical Center,2019
241,4103725,301,80178,LITHIUM,66.0,Hollywood Presbyterian Medical Center,2019
242,4103735,301,83735,MAGNESIUM,114.0,Hollywood Presbyterian Medical Center,2019
243,4103756,301,83735,MAGNESIUM URINE 24HR,114.0,Hollywood Presbyterian Medical Center,2019
244,4103930,301,83930,OSMOLALITY BLOOD,76.0,Hollywood Presbyterian Medical Center,2019
245,4103935,301,83935,OSMOLALITY URINE,76.0,Hollywood Presbyterian Medical Center,2019
246,4103980,301,83986,"PH,BODY FLUID EXCEPT BLD",70.0,Hollywood Presbyterian Medical Center,2019
247,4104020,301,80184,PHENOBARBITAL,252.0,Hollywood Presbyterian Medical Center,2019
248,4104075,301,84075AY,PHOSPHATASE ALKALINE,60.0,Hollywood Presbyterian Medical Center,2019
249,4104100,301,84100AY,PHOSPHORUS,94.0,Hollywood Presbyterian Medical Center,2019
250,4104102,300,84105,PHOSPHORUS URINE,43.0,Hollywood Presbyterian Medical Center,2019
251,4104103,301,84105,PHOSPHORUS URINE 24 HR,43.0,Hollywood Presbyterian Medical Center,2019
252,4104132,301,84132AY,POTASSIUM SERUM,82.0,Hollywood Presbyterian Medical Center,2019
253,4104133,301,84133,POTASSIUM URINE,108.0,Hollywood Presbyterian Medical Center,2019
254,4104134,301,84133,POTASSIUM 24HR URINE,108.0,Hollywood Presbyterian Medical Center,2019
255,4104141,300,80188,PRIMIDONE,101.0,Hollywood Presbyterian Medical Center,2019
256,4104154,301,84157,PROTEIN OTHER SOURCES,76.0,Hollywood Presbyterian Medical Center,2019
257,4104155,301,84155AY,PROTEIN TOTAL,62.0,Hollywood Presbyterian Medical Center,2019
258,4104156,301,84156,PROTEIN URINE RANDOM,76.0,Hollywood Presbyterian Medical Center,2019
259,4104165,301,84165,PROTEIN ELCTRO SERUM,13.0,Hollywood Presbyterian Medical Center,2019
260,4104176,301,84134AY,PRE-ALBUMIN,100.0,Hollywood Presbyterian Medical Center,2019
261,4104180,301,84156,PROTEIN URINE QUAN 24 HR,76.0,Hollywood Presbyterian Medical Center,2019
262,4104196,301,84157,PROTEIN SPINAL FLUID,76.0,Hollywood Presbyterian Medical Center,2019
263,4104200,305,85611,PROTHROMBIN TIME SUBST,75.0,Hollywood Presbyterian Medical Center,2019
264,4104250,301,84479,TRIIODTHYRN (T-3) UPTAKE,18.0,Hollywood Presbyterian Medical Center,2019
265,4104295,301,84295AY,SODIUM BLOOD,118.0,Hollywood Presbyterian Medical Center,2019
266,4104296,301,84300,SODIUM URINE,133.0,Hollywood Presbyterian Medical Center,2019
267,4104300,301,84300,SODIUM 24HR URINE,133.0,Hollywood Presbyterian Medical Center,2019
268,4104315,301,84315,SP-GR EXCEPT URINE,42.0,Hollywood Presbyterian Medical Center,2019
269,4104436,301,84436,THYROXINE TOTAL,96.0,Hollywood Presbyterian Medical Center,2019
270,4104443,301,84443,TSH,222.0,Hollywood Presbyterian Medical Center,2019
271,4104450,301,84450,TRANSTERASE AST(SGOT),50.0,Hollywood Presbyterian Medical Center,2019
272,4104460,301,84460,TRANSAMINASE-SGPT (ALT),112.0,Hollywood Presbyterian Medical Center,2019
273,4104468,301,80200,TOBRAMYCIN,248.0,Hollywood Presbyterian Medical Center,2019
274,4104475,301,84478,TRIGLYCERIDES,106.0,Hollywood Presbyterian Medical Center,2019
275,4104520,301,84520AY,BLD UREA NITROGEN QUAN,42.0,Hollywood Presbyterian Medical Center,2019
276,4104540,301,84540AY,UREA NITROGEN URINE,92.0,Hollywood Presbyterian Medical Center,2019
277,4104541,301,84540,UREA NITROGEN 24HR URINE,92.0,Hollywood Presbyterian Medical Center,2019
278,4104550,301,84550,URIC ACID BLOOD,86.0,Hollywood Presbyterian Medical Center,2019
279,4104557,301,84560,"URIC ACID, OTHER SOURCE",43.0,Hollywood Presbyterian Medical Center,2019
280,4104559,301,84560,URIC ACID URINE,43.0,Hollywood Presbyterian Medical Center,2019
281,4104560,301,84560,URIC ACID URINE 24HR,43.0,Hollywood Presbyterian Medical Center,2019
282,4104584,301,80165,VALPROIC ACID,104.0,Hollywood Presbyterian Medical Center,2019
283,4104701,306,87400,INFLUENZA B AG,218.0,Hollywood Presbyterian Medical Center,2019
284,4105005,306,87449,C DIFF SCREEN AG A/B,103.0,Hollywood Presbyterian Medical Center,2019
