,CDM Number,Description,NDC,Price,Hospital,Year
47,417004560,albuterol CFC free 90 mcg/inh Aerosol 8 g,00173-0682-24,92.8,Kern Medical Center,2019
48,417004017,albuterol CFC free 90 mcg/inh Aerosol 8.5 g,59310-0579-22,183.8,Kern Medical Center,2019
49,417003374,albuterol-ipratropium 2.5 mg-0.5 mg/3 mL Inh Soln 3 mL,00487-0201-01,13.05,Kern Medical Center,2019
50,417004539,albuterol-ipratropium CFC free 100 mcg-20 mcg/inh Aerosol 4 g,00597-0024-02,915.0,Kern Medical Center,2019
51,417000046,alfentanil 0.5 mg/mL Inj Soln 2 mL,00409-2266-02,40.5,Kern Medical Center,2019
52,417000069,allopurinol 100 mg Tab,00904-6571-61,5.0,Kern Medical Center,2019
53,417001511,allopurinol 300 mg Tab,51079-0206-20,5.8,Kern Medical Center,2019
54,471004778,alpha 1-proteinase inhibitor human IV Inj,00053-7201-02,18.25,Kern Medical Center,2019
55,417003944,ALPRAZolam 0.25 mg Tab,00904-5858-61,7.2,Kern Medical Center,2019
56,417001418,alprostadil 0.5 mg/mL Inj Soln 1 mL,00009-3169-06,374.0,Kern Medical Center,2019
57,417002244,alteplase 100 mg IV Inj,50242-0085-27,23770.0,Kern Medical Center,2019
58,417003444,alteplase 2 mg Inj,50242-0041-64,411.0,Kern Medical Center,2019
59,417003583,aluminum hydroxide/magnesium hydroxide/simethicone 200 mg-200 mg-20 mg/5 mL 30 mL,00121-1761-30,7.1,Kern Medical Center,2019
60,417001977,amantadine 100 mg Cap,00832-2012-00,12.1,Kern Medical Center,2019
61,417003793,amantadine 50 mg/5 mL Oral Syrup 5 mL UD,00121-0646-16,5.85,Kern Medical Center,2019
62,417001252,amikacin 250 mg/mL 2 mL,25021-0173-02,39.25,Kern Medical Center,2019
63,417003567,amikacin 250 mg/mL 4 mL,00703-9040-03,42.75,Kern Medical Center,2019
64,417001228,Amino Acids 10% (Premasol) IV Soln 1000 mL,00338-1130-04,311.0,Kern Medical Center,2019
65,417001228,Amino Acids 10% (Travasol) IV Soln 1000 mL,00338-0644-04,147.25,Kern Medical Center,2019
66,417003988,Amino Acids 4.25% with 5% Dextrose and Electrolytes (Clinimix E Sulfite-Free) intravenous solution Amino Acids 4.25% with 5% Dextrose and Electrolytes (Clinimix E Sulfite Free) Sol,00338-1144-03,185.5,Kern Medical Center,2019
67,417004590,Amino Acids 5% with 20% Dextrose (Clinimix Sulfite-Free) intravenous solution Amino Acids 5% with 20% Dextrose (Clinimix Sulfite-Free) Sol,00338-1101-04,50.25,Kern Medical Center,2019
68,417003985,Amino Acids 5% with 20% Dextrose and Electrolytes (Clinimix E Sulfite-Free) intravenous solution Amino Acids 5% with 20% Dextrose and Electrolytes (Clinimix E Sulfite-Free) Sol,00338-1125-04,298.5,Kern Medical Center,2019
69,417003985,Amino Acids 5% with 20% Dextrose and Electrolytes (Clinimix E Sulfite-Free) intravenous solution Amino Acids 5%/20% Dextrose/Electrolytes (Clinimix E Sulfite-Free) 1000 mL,00338-1148-03,179.0,Kern Medical Center,2019
70,417000072,aminocaproic acid 250 mg/mL IV Soln 20 mL,00409-4346-73,28.75,Kern Medical Center,2019
71,417000073,aminophylline 25 mg/mL IV Soln 10 mL,00409-5921-01,29.5,Kern Medical Center,2019
72,417004413,amiodarone 1.5 mg/mL 50 mL syringe NICU,43066-0150-10A,52.25,Kern Medical Center,2019
73,417004551,amiodarone 100 mg Tab,00245-0144-01,68.9,Kern Medical Center,2019
74,417004413,amiodarone 150 mg/D5W 100 mL,43066-0150-10,175.0,Kern Medical Center,2019
75,417001768,amiodarone 200 mg Tab,00245-0147-01,33.8,Kern Medical Center,2019
76,417004412,amiodarone 360 mg/D5W 200 mL,43066-0360-20,207.0,Kern Medical Center,2019
77,417003516,amiodarone 50 mg/mL IV Soln 18 mL,67457-0153-18,84.25,Kern Medical Center,2019
78,417002313,amiodarone 50 mg/mL IV Soln 3 mL,67457-0153-03,38.0,Kern Medical Center,2019
79,417003912,amiodarone 50 mg/mL IV Soln 9 mL,67457-0153-09,51.25,Kern Medical Center,2019
80,417003448,amitriptyline 10 mg Tab,51079-0131-20,5.0,Kern Medical Center,2019
81,417000076,amitriptyline 25 mg Tab,51079-0107-20,5.2,Kern Medical Center,2019
82,417000077,amitriptyline 50 mg Tab,51079-0133-20,7.3,Kern Medical Center,2019
83,417002201,AMLODIPINE 1 MG/ML ORAL SUSP,99999-9999-40,10.8,Kern Medical Center,2019
84,417002201,amLODIPine 10 mg Tab,51079-0452-20,13.9,Kern Medical Center,2019
85,417002196,amLODIPine 2.5 mg Tab,51079-0450-20,10.65,Kern Medical Center,2019
86,417002200,amLODIPine 5 mg Tab,51079-0451-20,10.65,Kern Medical Center,2019
87,417000084,AMMONIA INHALANT AH 6 CRUSHABLE,25715-0696-09,27.65,Kern Medical Center,2019
88,417000084,"AMMONIA,AROMATIC 0.33ML AMP INHL",39822-9900-01,22.6,Kern Medical Center,2019
89,417002968,amoxicillin 125 mg/5 mL Oral Liquid 10 mL UD,00781-6039-46,5.0,Kern Medical Center,2019
90,417001908,amoxicillin 250 mg Cap,00781-2020-01,5.0,Kern Medical Center,2019
91,417002964,amoxicillin 250 mg/5 mL Oral Liquid 10 mL UD,00781-6041-46,5.05,Kern Medical Center,2019
92,417003200,amoxicillin 500 mg Cap,00781-2613-01,5.0,Kern Medical Center,2019
93,417001357,amoxicillin-clavulanate 250 mg-125 mg Tab,00781-1874-31,25.7,Kern Medical Center,2019
94,417003404,amoxicillin-clavulanate 250 mg-62.5 mg/5 mL Oral Liquid 10 mL UD,43598-0204-51,60.0,Kern Medical Center,2019
95,417003354,amoxicillin-clavulanate 400 mg-57 mg/5 mL Oral Liquid 10 mL UD,66685-1012-02,29.6,Kern Medical Center,2019
96,417001358,amoxicillin-clavulanate 500 mg-125 mg Tab,66685-1002-00,20.95,Kern Medical Center,2019
97,417002681,amoxicillin-clavulanate 875 mg-125 mg Tab,66685-1001-00,22.25,Kern Medical Center,2019
98,417000088,amphotericin B 50 mg IV Inj,39822-1055-05,153.0,Kern Medical Center,2019
99,417002662,amphotericin B lipid complex 5 mg/mL IV Susp 20 mL,57665-0101-41,736.0,Kern Medical Center,2019
100,417003032,amphotericin B liposomal 50 mg IV Inj,00469-3051-30,605.0,Kern Medical Center,2019
101,417000090,ampicillin 1 g Inj,00781-3404-95,50.75,Kern Medical Center,2019
102,417000091,ampicillin 125 mg Inj,00781-3400-95,37.0,Kern Medical Center,2019
103,417003334,"AMPICILLIN 1G/NS 50ML INJ,BAG",00781-3404-95A,84.75,Kern Medical Center,2019
104,417000093,ampicillin 2 g Inj,00781-9408-95,83.25,Kern Medical Center,2019
105,417000092,ampicillin 250 mg Inj,00781-9402-95,37.0,Kern Medical Center,2019
106,417003333,"AMPICILLIN 2G/NS 100ML INJ,BAG",00781-9408-95A,117.25,Kern Medical Center,2019
107,417000089,ampicillin 500 mg Inj,55150-0112-10,37.0,Kern Medical Center,2019
108,,ampicillin antibiotic lock,99999-9999-82,16.0,Kern Medical Center,2019
109,417000094,ampicillin-sulbactam 1 g-0.5 g Inj,00641-6119-10,37.0,Kern Medical Center,2019
110,417000094,ampicillin-sulbactam 1 g/NS 50 mL PEDS,00641-6119-10A,71.0,Kern Medical Center,2019
111,417000095,ampicillin-sulbactam 2 g-1 g Inj,55150-0117-20,74.5,Kern Medical Center,2019
112,471004678,"AMPICILLIN/SULBACTAM 1.5G/NS 50ML INJ,BAG",00641-6119-01A,71.0,Kern Medical Center,2019
113,417004157,"AMPICILLIN/SULBACTAM 3G/NS 100ML INJ,BAG",55150-0117-20A,108.5,Kern Medical Center,2019
114,417002180,amyl nitrite/sodium nitrite/sodium thiosulfate 0.3 mL-30 mg-25 g Inj Kit,11098-0507-01,1396.0,Kern Medical Center,2019
115,471004784,"ANTICOAGULANT CITRATE DEXTROSE INJ,SOLN 1000ML BAG",00942-0641-04,243050.0,Kern Medical Center,2019
116,417001249,antihemophilic factor-von Willebrand factor IV Inj,63833-0617-02,21.0,Kern Medical Center,2019
117,417003549,antivenin (Crotalidae) polyvalent Inj Soln,50633-0110-12,7001.0,Kern Medical Center,2019
118,471004645,apixaban 2.5 mg Tab,00003-0893-31,33.1,Kern Medical Center,2019
119,417004573,apixaban 5 mg Tab,00003-0894-31,33.1,Kern Medical Center,2019
120,417003687,argatroban 100 mg/mL IV Soln 2.5 mL,00007-4407-54,4573.0,Kern Medical Center,2019
121,417003690,ARIPiprazole 10 mg Tab,60505-2674-03,98.35,Kern Medical Center,2019
122,471004849,ARIPiprazole 1064 mg/3.9 mL Sus,65757-0404-03,7508.1,Kern Medical Center,2019
123,417003576,ARIPiprazole 15 mg Tab,60687-0191-21,94.75,Kern Medical Center,2019
124,417004577,"ARIPiprazole 400 mg IM Inj, ER",59148-0019-71,3702.94,Kern Medical Center,2019
125,417003689,ARIPiprazole 5 mg Tab,59148-0007-35,109.05,Kern Medical Center,2019
126,471004850,ARIPiprazole 675 mg/2.4 mL Sus,65757-0500-03,4767.16,Kern Medical Center,2019
127,417003948,ARIPiprazole 9.75 mg/1.3 mL IM Soln 1.3 mL,59148-0016-65,103.5,Kern Medical Center,2019
128,417004461,ARIPiprazole ODT 10 mg [Discmelt] Tab,59148-0640-23,112.9,Kern Medical Center,2019
129,417003854,arsenic trioxide 2 mg/mL Inj 6 mL SDPF Vial,63459-0600-10,1171.0,Kern Medical Center,2019
130,417000106,ascorbic acid 500 mg Tab,00904-0523-61,5.0,Kern Medical Center,2019
131,417004438,asenapine 10 mg SL Tab,00052-2142-04,52.2,Kern Medical Center,2019
132,417004405,asenapine 5 mg SL Tab,00456-2405-60,89.75,Kern Medical Center,2019
133,417001737,aspirin 300 mg Rectal Supp,00574-7034-12,9.3,Kern Medical Center,2019
134,417000110,aspirin 325 mg DR Tab,00536-3313-01,5.0,Kern Medical Center,2019
135,417000107,aspirin 81 mg Chew Tab,66553-0002-01,5.0,Kern Medical Center,2019
136,471004730,aspirin 81 mg DR Tab,63739-0522-10,5.0,Kern Medical Center,2019
137,417003088,atenolol 25 mg Tab,51079-0759-20,6.05,Kern Medical Center,2019
138,417000113,atenolol 50 mg Tab,51079-0684-20,6.5,Kern Medical Center,2019
139,471004841,atezolizumab 1200 mg/20 mL,50242-0917-01,1652.0,Kern Medical Center,2019
140,417002791,atorvastatin 10 mg Tab,00071-0155-23,40.1,Kern Medical Center,2019
141,417002708,atorvastatin 20 mg Tab,68084-0098-01,6.3,Kern Medical Center,2019
142,417002843,atorvastatin 40 mg Tab,68084-0099-01,6.3,Kern Medical Center,2019
143,417002369,atovaquone 750 mg/5 mL Oral Susp 5 mL,66689-0062-42,125.9,Kern Medical Center,2019
144,417000119,atropine 0.1 mg/mL Inj Soln 10 mL,76329-3339-01,59.25,Kern Medical Center,2019
145,417000118,atropine 0.4 mg/mL Inj Soln 1 mL,00517-0401-25,51.0,Kern Medical Center,2019
146,471004733,atropine 0.4 mg/mL Inj Soln 20 mL,00641-6006-10,142.5,Kern Medical Center,2019
147,471004654,atropine 1% Ophth Soln 2 mL,17478-0215-02,94.25,Kern Medical Center,2019
148,417000117,atropine 1% Ophth Soln 5 mL,61314-0303-01,78.5,Kern Medical Center,2019
149,417000345,atropine-diphenoxylate 0.025 mg-2.5 mg Tab,00378-0415-01,8.4,Kern Medical Center,2019
150,417000122,azaTHIOprine 50 mg Tab,00054-8084-25,9.25,Kern Medical Center,2019
151,417003268,azithromycin 1 g Oral Liquid,59762-3051-02,89.4,Kern Medical Center,2019
152,417003387,azithromycin 100 mg/5 mL Oral Liquid 10 mL UD,00093-2027-23,95.05,Kern Medical Center,2019
153,417003614,azithromycin 200 mg/5 mL Oral Liquid 10 mL UD,00093-2026-31,48.55,Kern Medical Center,2019
154,417003446,azithromycin 200 mg/5 mL Oral Liquid 15 mL,00093-2026-23,106.65,Kern Medical Center,2019
155,417001848,azithromycin 250 mg Tab,68084-0906-01,23.1,Kern Medical Center,2019
156,417002715,azithromycin 500 mg IV Inj,63323-0398-12,51.75,Kern Medical Center,2019
157,471004721,"Azithromycin 500mg in NS 250mL, POPPER",63323-0398-12A,85.75,Kern Medical Center,2019
158,417002495,azithromycin 600 mg Tab,00093-7147-56,76.75,Kern Medical Center,2019
159,417000123,aztreonam 1 g Inj,63323-0401-20,135.0,Kern Medical Center,2019
160,471004834,"AZTREONAM 1G/D5W 50ML INJ,BAG",63323-0401-20A,175.0,Kern Medical Center,2019
161,417001179,"AZTREONAM 1G/D5W 50ML INJ,FROZEN",00003-2230-11,175.0,Kern Medical Center,2019
162,417000125,aztreonam 2 g Inj,63323-0402-20,257.5,Kern Medical Center,2019
163,471004835,"AZTREONAM 2G/D5W 50ML INJ,BAG",63323-0402-20A,300.0,Kern Medical Center,2019
164,417001646,"AZTREONAM 2G/D5W 50ML INJ,FROZEN",00003-2240-11,300.0,Kern Medical Center,2019
165,417000128,"bacitracin 50,000 units IM Inj",00009-0234-01,69.25,Kern Medical Center,2019
166,417004134,bacitracin 500 units/g Ophth Oint 3.5 g,00574-4022-35,340.4,Kern Medical Center,2019
167,417003207,bacitracin 500 units/g Topical Oint,45802-0060-70,5.0,Kern Medical Center,2019
168,417003355,bacitracin 500 units/g Topical Oint 30 g,00713-0280-31,19.35,Kern Medical Center,2019
169,417003207,bacitracin zinc 500 units/g Topical Oint 0.9g UD Packet,54162-0017-09,5.0,Kern Medical Center,2019
170,417000129,"bacitracin-polymyxin B 500 units-10,000 units/g Ophth Oint 3.5 g",00574-4021-35,80.4,Kern Medical Center,2019
171,417002986,"bacitracin/HC/neomycin/polymyxin B 400 units-10 mg-3.5 mg-10,000 units/g Ophth Oint 3.5 g",24208-0785-55,197.15,Kern Medical Center,2019
172,417002986,"bacitracin/neomycin/polymyxin B 400 units-3.5 mg-10,000 units/g Ophth Oint 3.5 g",24208-0780-55,172.85,Kern Medical Center,2019
173,417000765,bacitracin/neomycin/polymyxin B 400 units-3.5 mg-5000 units/g Topical Oint,00168-0012-09,5.0,Kern Medical Center,2019
174,417003352,bacitracin/neomycin/polymyxin B 400 units-3.5 mg-5000 units/g Topical Oint 15 g,00472-0179-34,23.55,Kern Medical Center,2019
175,417003352,bacitracin/neomycin/polymyxin B 400 units-3.5 mg-5000 units/g Topical Oint 28.35 g,00168-0012-31,30.25,Kern Medical Center,2019
176,417002713,baclofen 0.05 mg/mL Intrathecal Soln 1 mL,58281-0562-01,279.0,Kern Medical Center,2019
177,417003973,baclofen 0.5 mg/mL Intrathecal Soln 20 mL,58281-0560-01,790.0,Kern Medical Center,2019
178,417000130,baclofen 10 mg Tab,68084-0855-01,5.7,Kern Medical Center,2019
179,417003974,baclofen 2 mg/mL Intrathecal Soln 20 mL,70257-0563-02,3112.0,Kern Medical Center,2019
180,STND1153,barium sulfate 100% Oral and Rectal Susp 1900 mL,10361-0164-01,0.0,Kern Medical Center,2019
181,STND1155,barium sulfate 105% Rectal Susp 1900 mL,32909-0168-02,0.0,Kern Medical Center,2019
182,417003151,barium sulfate 2.1% Oral Susp 450 mL,32909-0711-03,0.0,Kern Medical Center,2019
183,STND1167,barium sulfate 40% Oral Paste 230 mL,32909-0120-22,0.0,Kern Medical Center,2019
184,STND1168,barium sulfate 40% Oral Powder-Recon 148 g,32909-0105-10,0.0,Kern Medical Center,2019
185,STND1170,barium sulfate 40% Oral Susp 240 mL,32909-0115-00,0.0,Kern Medical Center,2019
186,STND1171,barium sulfate 40% Oral Susp 250 mL,32909-0121-07,0.0,Kern Medical Center,2019
187,STND1181,barium sulfate 96% Oral and Rectal Powder-Recon 1200 g,32909-0750-01,0.0,Kern Medical Center,2019
188,STND1182,barium sulfate 96% Oral and Rectal Powder-Recon 176 g,32909-0750-03,0.0,Kern Medical Center,2019
189,STND1186,barium sulfate 98% Oral Powder-Recon 135 mL,32909-0764-01,0.0,Kern Medical Center,2019
190,417004606,BCG 50 mg Intravesical Irrigation,00052-0602-02,539.0,Kern Medical Center,2019
191,417003478,beclomethasone 0.042 mg/inh Nasal Spray 25 g,00173-0388-79,488.4,Kern Medical Center,2019
192,417003817,belladonna-opium 16.2 mg-60 mg Rectal Supp,00574-7040-12,104.4,Kern Medical Center,2019
193,417003135,BELLADONNA/PHENOBARB ELIXIR 10ML,57896-0403-16,5.0,Kern Medical Center,2019
194,417004480,bendamustine 25 mg/mL,63459-0348-04,2240.0,Kern Medical Center,2019
195,417000867,benzocaine-menthol 6 mg-10 mg Lozenge,78112-0011-06,5.0,Kern Medical Center,2019
196,417000137,benzoin compound Topical Tincture 59 mL,54162-0100-02,23.0,Kern Medical Center,2019
197,417004143,benzonatate 100 mg Cap,00904-5904-60,7.0,Kern Medical Center,2019
198,417004514,benztropine 0.5 mg Tab,68084-0381-01,5.0,Kern Medical Center,2019
199,417000141,benztropine 1 mg Tab,60687-0368-01,5.0,Kern Medical Center,2019
200,417000138,benztropine 1 mg/mL Inj Soln 2 mL,17478-0012-02,195.0,Kern Medical Center,2019
201,417000142,benztropine 2 mg Tab,68084-0389-01,5.0,Kern Medical Center,2019
202,417003239,betamethasone 6 mg/mL Inj Susp 5 mL,00517-0720-01,201.5,Kern Medical Center,2019
203,417000145,betaxolol 0.25% Ophth Susp 10 mL,00065-0246-10,722.4,Kern Medical Center,2019
204,417002083,betaxolol 0.5% Ophth Soln 5 mL,61314-0245-01,141.5,Kern Medical Center,2019
205,417001564,bethanechol 25 mg Tab,00832-0512-01,15.35,Kern Medical Center,2019
206,417003647,bevacizumab 25 mg/mL IV Soln 16 mL,50242-0061-01,8612.0,Kern Medical Center,2019
207,417003648,bevacizumab 25 mg/mL IV Soln 4 mL,50242-0060-01,2228.0,Kern Medical Center,2019
208,417003740,bicalutamide 50 mg Tab,00093-0220-56,14.2,Kern Medical Center,2019
209,417000146,bisacodyl 10 mg Rectal Supp,00713-0109-50,5.0,Kern Medical Center,2019
210,417000009,bisacodyl 5 mg DR Tab,00904-6407-61,5.0,Kern Medical Center,2019
211,417002325,bismuth subsalicylate 262 mg Chew Tab,00536-4301-07,5.0,Kern Medical Center,2019
212,417002324,bismuth subsalicylate 262 mg/15 mL Oral Susp 15 mL UD,00904-1313-09,5.0,Kern Medical Center,2019
213,417000147,bleomycin 15 units Inj,61703-0332-18,220.0,Kern Medical Center,2019
214,417003531,bleomycin 30 units Inj,61703-0323-22,333.0,Kern Medical Center,2019
215,417003855,bortezomib 3.5 mg Inj,63020-0049-01,5806.0,Kern Medical Center,2019
216,417003383,brimonidine 0.15% Ophth Soln 5 mL,61314-0144-05,392.9,Kern Medical Center,2019
217,417001974,bromocriptine 2.5 mg Tab,00574-0106-03,22.7,Kern Medical Center,2019
218,417003568,budesonide 0.5 mg/2 mL Inh Susp 2 mL,00487-9701-01,46.7,Kern Medical Center,2019
219,417003067,budesonide 90 mcg/inh Powder,00186-0917-06,459.5,Kern Medical Center,2019
220,417003411,bumetanide 0.25 mg/mL Inj Soln 10 mL,00641-6162-10,31.0,Kern Medical Center,2019
221,417003938,bumetanide 0.25 mg/mL Inj Soln 4 mL,00409-1412-04,31.5,Kern Medical Center,2019
222,417004479,bupivacaine 0.25% Inj Soln 50 mL,63323-0465-57,64.5,Kern Medical Center,2019
223,417000152,bupivacaine 0.25% PF Inj Soln 10 mL,00409-1559-10,36.0,Kern Medical Center,2019
224,417000149,bupivacaine 0.25% PF Inj Soln 30 mL,00409-1559-30,41.0,Kern Medical Center,2019
225,417000153,bupivacaine 0.5% PF Inj Soln 10 mL,63323-0466-17,38.0,Kern Medical Center,2019
226,417000150,bupivacaine 0.5% PF Inj Soln 30 mL,55150-0170-30,27.0,Kern Medical Center,2019
227,417000151,bupivacaine 0.75% PF Inj Soln 10 mL,55150-0171-10,27.0,Kern Medical Center,2019
228,417001339,bupivacaine 0.75% PF Inj Soln 30 mL,00409-1165-02,39.75,Kern Medical Center,2019
229,417003967,bupivacaine 0.75%-D8.25% PF Intrathecal Soln 2 mL,00409-1761-02,38.0,Kern Medical Center,2019
230,417000154,"bupivacaine-EPINEPHrine 0.25%-1:200,000 Inj Soln 50 mL",00409-9043-01,46.5,Kern Medical Center,2019
231,417000155,"bupivacaine-EPINEPHrine 0.25%-1:200,000 PF Inj Soln 10 mL",63323-0468-17,39.5,Kern Medical Center,2019
232,417004428,"bupivacaine-EPINEPHrine 0.25%-1:200,000 PF Inj Soln 30 mL",00409-9042-17,36.75,Kern Medical Center,2019
233,471004726,"bupivacaine-EPINEPHrine 0.5%-1:200,000 Inj Soln 50 mL",63323-0463-57,79.5,Kern Medical Center,2019
234,417001338,"bupivacaine-EPINEPHrine 0.5%-1:200,000 PF Inj Soln 10 mL",00409-9045-01,32.5,Kern Medical Center,2019
235,417001337,"bupivacaine-EPINEPHrine 0.5%-1:200,000 PF Inj Soln 30 mL",00409-9045-17,31.25,Kern Medical Center,2019
236,417003262,buPROPion 100 mg/12 hours (SR) ER Tab,00185-0410-60,10.45,Kern Medical Center,2019
237,417002910,buPROPion 150 mg/12 hours (SR) ER Tab,68084-0708-25,5.85,Kern Medical Center,2019
238,417003892,buPROPion 150 mg/24 hours (XL) ER Tab,10370-0101-03,9.85,Kern Medical Center,2019
239,417002429,buPROPion 75 mg Tab,60505-0158-01,6.0,Kern Medical Center,2019
240,417002177,busPIRone 10 mg Tab,51079-0986-20,8.75,Kern Medical Center,2019
241,417002176,busPIRone 5 mg Tab,51079-0985-20,5.9,Kern Medical Center,2019
242,417004016,butorphanol 1 mg/mL Inj Soln 1 mL,55390-0183-01,33.25,Kern Medical Center,2019
243,417003481,butorphanol 2 mg/mL Inj Soln 1 mL,00143-9867-10,49.0,Kern Medical Center,2019
244,417003412,caffeine citrate 20 mg/mL IV Soln 3 mL,51754-0500-01,112.0,Kern Medical Center,2019
245,417003443,caffeine citrate 20 mg/mL Oral Liquid 3 mL,25021-0602-03,98.0,Kern Medical Center,2019
246,417003415,calamine 8% Lotion 180 mL,00395-0413-96,20.65,Kern Medical Center,2019
247,417002868,calcitonin 200 intl units/inh Nasal Spray 3.7 mL,49884-0161-11,271.55,Kern Medical Center,2019
248,417000158,calcitonin 200 intl units/mL Inj Soln 2 mL,67457-0675-02,8237.0,Kern Medical Center,2019
249,417000159,calcitriol 0.25 mcg Cap,23155-0118-01,8.05,Kern Medical Center,2019
250,417002952,calcitriol 0.5 mcg Cap,00093-0658-01,11.6,Kern Medical Center,2019
251,417003850,calcitriol 1 mcg/mL Inj Soln 1 mL,17478-0931-01,53.75,Kern Medical Center,2019
252,417003917,calcitriol 1 mcg/mL Oral Liquid 1 mL UD,00054-3120-41,49.9,Kern Medical Center,2019
253,417002211,calcium carbonate 1250 mg (500 mg elemental calcium) Tab,00904-1883-61,5.0,Kern Medical Center,2019
