,Dept Code & Name,Description,Total Units,2018 Price,2019 Price,2018 Total,2019 Total,Hospital,Year
76,6053 5 East Duque Medsurge,605321000 PEDS MED SURG,602.0,7179.0,,4321758.0,0.0,Childrens Hospital of Los Angeles,2019
77,7720 Respiratory Care,772020015 BIPAP CPAP INITIAL AND MGMT,9002.0,472.0,495.0,4248944.0,4455990.0,Childrens Hospital of Los Angeles,2019
78,7710 Pharmacy,771036383 MEROPENEM INJ 500MG VIAL,18136.0,231.0,231.0,4189416.0,4189416.0,Childrens Hospital of Los Angeles,2019
79,7420 Operating Room,742088881 LEVEL 1 EACH ADDTL 30 MIN,2285.0,1812.0,1866.0,4140420.0,4263810.0,Childrens Hospital of Los Angeles,2019
80,7710 Pharmacy,771015470 CEFTRIAXONE INJ 1GM VIAL,12866.0,321.0,321.0,4129986.0,4129986.0,Childrens Hospital of Los Angeles,2019
81,7710 Pharmacy,771011917 ALBUTEROL 0.5% INH SOL 1.5 ML,73567.0,55.0,55.0,4046185.0,4046185.0,Childrens Hospital of Los Angeles,2019
82,7670 Diagnostic Ultra-Sound,767000151 U/S RENAL B SCAN COMP,3145.0,1281.0,1281.0,4028745.0,4028745.0,Childrens Hospital of Los Angeles,2019
83,7660 MRI Scans,766000203 MRI BRAIN WO CONT,1218.0,3293.0,3454.0,4010874.0,4206972.0,Childrens Hospital of Los Angeles,2019
84,7660 MRI Scans,766066789 MRI BRAIN LIMITED W/O CONTRAST,1213.0,3293.0,3456.0,3994409.0,4192128.0,Childrens Hospital of Los Angeles,2019
85,7710 Pharmacy,771007959 THIOTEPA INJ 15MG VIAL,1221.0,3252.0,3252.0,3970692.0,3970692.0,Childrens Hospital of Los Angeles,2019
86,7591 Non Invasive Cardiology,759144422 ECHO COMP CONGENITAL ANOMALY,4800.0,823.0,823.0,3950400.0,3950400.0,Childrens Hospital of Los Angeles,2019
87,7011 Trauma,701113902 TRAUMA LEVEL II ACTIVATION,289.0,13319.0,13319.0,3849191.0,3849191.0,Childrens Hospital of Los Angeles,2019
88,7710 Pharmacy,771092426 PIPERACILLIN/TAZO 3.375GM INJ,20700.0,182.0,182.0,3767400.0,3767400.0,Childrens Hospital of Los Angeles,2019
89,6299 Bone Marrow Transplant,629921001 HEM/ONC ACUTE,472.0,7974.0,8464.0,3763728.0,3995008.0,Childrens Hospital of Los Angeles,2019
90,7710 Pharmacy,771022640 VANCOMYCIN 500MG/100ML D5W INJ,22507.0,162.0,162.0,3646134.0,3646134.0,Childrens Hospital of Los Angeles,2019
91,7740 Hemodialysis,774090937 HEMODIALYSIS PX MULTI EVAL,4094.0,885.0,885.0,3623190.0,3623190.0,Childrens Hospital of Los Angeles,2019
92,7730 Pulmonary Physiology Lab,773094015 POLYSOM 4+ SLEEP STAGING <6 YEARS,642.0,5544.0,5707.0,3559248.0,3663894.0,Childrens Hospital of Los Angeles,2019
93,7503 Lab Chemistry,750316020 BASIC METABOLIC PANEL,26255.0,134.0,138.0,3518170.0,3623190.0,Childrens Hospital of Los Angeles,2019
94,7710 Pharmacy,771002406 HEPARIN FLUSH PF 100U/ML,41239.0,84.0,84.0,3464076.0,3464076.0,Childrens Hospital of Los Angeles,2019
95,7427 P A C U (Recovery Room),742702638 LEVEL III RECOVERY RM,3263.0,1053.0,1127.0,3435939.0,3677401.0,Childrens Hospital of Los Angeles,2019
96,7710 Pharmacy,771020223 INFLIXIM-DYYB(INFLECTRA 10MG INJ,9844.0,349.0,349.0,3435556.0,3435556.0,Childrens Hospital of Los Angeles,2019
97,7430 Ambulatory Surgery Center,743002646 LEVEL IV RECOVERY RM,2571.0,1326.0,1419.0,3409146.0,3648249.0,Childrens Hospital of Los Angeles,2019
98,7503 Lab Chemistry,750346081 PHOSPHORUS SERUM,35632.0,95.0,98.0,3385040.0,3491936.0,Childrens Hospital of Los Angeles,2019
99,7710 Pharmacy,771024590 PROPOFOL 10MG INJ,368733.0,9.0,9.0,3318597.0,3318597.0,Childrens Hospital of Los Angeles,2019
100,7710 Pharmacy,771024430 DESFLURANE  ANESTH PER 1ML,301358.0,11.0,11.0,3314938.0,3314938.0,Childrens Hospital of Los Angeles,2019
101,7501 Lab Hematology,750191046 CBC (HEMOGRAM+PLT) W/AUTO DIFF,53953.0,60.0,62.0,3237180.0,3345086.0,Childrens Hospital of Los Angeles,2019
102,7528 Anatomic Pathology Lab,752802100 SINGLE COMP/MULT UNCOMP LEVEL IV,9176.0,347.0,358.0,3184072.0,3285008.0,Childrens Hospital of Los Angeles,2019
103,7660 MRI Scans,"766065416 MRI ORBIT, FACE, NECK W/WO CONTRA",625.0,4927.0,5171.0,3079375.0,3231875.0,Childrens Hospital of Los Angeles,2019
104,7591 Non Invasive Cardiology,759144554 COLOR FLOW MAPPING,6599.0,460.0,460.0,3035540.0,3035540.0,Childrens Hospital of Los Angeles,2019
105,7591 Non Invasive Cardiology,759144505 COMPLETE DOPPLER,5889.0,511.0,511.0,3009279.0,3009279.0,Childrens Hospital of Los Angeles,2019
106,7430 Ambulatory Surgery Center,743088883 LEVEL 3 EACH ADDTL 30 MIN,1069.0,2811.0,2897.0,3004959.0,3096893.0,Childrens Hospital of Los Angeles,2019
107,6054 5 West Duque Medsurge,605410001 PEDS MED SURG,406.0,7215.0,7937.0,2929290.0,3222422.0,Childrens Hospital of Los Angeles,2019
108,7710 Pharmacy,771024220 IMM GLOB(GAMMAGARD)IVIG 0.5GM LIQ,12661.0,229.0,229.0,2899369.0,2899369.0,Childrens Hospital of Los Angeles,2019
109,7710 Pharmacy,771092137 ACYCLOVIR 5MG/ML D5W INJ,262629.0,11.0,11.0,2888919.0,2888919.0,Childrens Hospital of Los Angeles,2019
110,7680 CT Scanner,768003001 CT HEAD W/O CONTRAST,1806.0,1590.0,1590.0,2871540.0,2871540.0,Childrens Hospital of Los Angeles,2019
111,7680 CT Scanner,768003514 CT CHEST W CONTRAST,788.0,3578.0,3578.0,2819464.0,2819464.0,Childrens Hospital of Los Angeles,2019
112,7611 Neurology,761165170 BOTULINUM TOXIN TYPE A 1 UNIT,74132.0,38.0,38.0,2817016.0,2817016.0,Childrens Hospital of Los Angeles,2019
113,7710 Pharmacy,771020135 BUDESONIDE 0.5MG/2ML RESPULE,33537.0,84.0,84.0,2817108.0,2817108.0,Childrens Hospital of Los Angeles,2019
114,7545 Blood Donor Center,754530199 PLATELET PHERESIS LR EA,1733.0,1587.0,1591.0,2750271.0,2757203.0,Childrens Hospital of Los Angeles,2019
115,7541 Point-Of-Care & Blood Gases,754150004 EPOC IONIZED CALCIUM (ICA),38919.0,70.0,76.0,2724330.0,2957844.0,Childrens Hospital of Los Angeles,2019
116,7660 MRI Scans,766065427 MRI LUMBAR W/WO CONTRAST,553.0,4914.0,5155.0,2717442.0,2850715.0,Childrens Hospital of Los Angeles,2019
117,7660 MRI Scans,766065423 MRI CERVICAL W/WO CONTRAST,546.0,4927.0,5168.0,2690142.0,2821728.0,Childrens Hospital of Los Angeles,2019
118,7710 Pharmacy,771024899 DEFIBROTIDE 200MG/2.5ML INJ,895.0,3005.0,3005.0,2689475.0,2689475.0,Childrens Hospital of Los Angeles,2019
119,7710 Pharmacy,771024245 AMBISOME 10 MG INJ,17195.0,153.0,153.0,2630835.0,2630835.0,Childrens Hospital of Los Angeles,2019
120,6052 2 West - CTICU,605212951 ECMO NEONATE EA ADD'L DAY,103.0,25481.0,28920.0,2624543.0,2978760.0,Childrens Hospital of Los Angeles,2019
121,7660 MRI Scans,766065425 MRI THORACIC W/WO CONTRAST,525.0,4941.0,5183.0,2594025.0,2721075.0,Childrens Hospital of Los Angeles,2019
122,7660 MRI Scans,766065333 MRI ABD W/WO CONTRAST,510.0,5011.0,5258.0,2555610.0,2681580.0,Childrens Hospital of Los Angeles,2019
123,7710 Pharmacy,771023850 ACETAMINOPHEN 1000 MG INJ,15655.0,162.0,162.0,2536110.0,2536110.0,Childrens Hospital of Los Angeles,2019
124,7710 Pharmacy,771001135 CYCLOPHOSPHAMIDE INJ 500 MG VL,2318.0,1073.0,,2487214.0,0.0,Childrens Hospital of Los Angeles,2019
125,7710 Pharmacy,771028226 MORPHINE SULF INJ 2MG/1ML,30455.0,80.0,80.0,2436400.0,2436400.0,Childrens Hospital of Los Angeles,2019
126,7710 Pharmacy,771023695 TOCILIZUMAB 1MG INJ,135080.0,18.0,18.0,2431440.0,2431440.0,Childrens Hospital of Los Angeles,2019
127,7710 Pharmacy,771011214 ALBUMIN 25% INJ 50ML,5698.0,426.0,426.0,2427348.0,2427348.0,Childrens Hospital of Los Angeles,2019
128,7730 Pulmonary Physiology Lab,"773028003 POLYSOMN, SLEEP STAGING 4+ >6",590.0,4102.0,4224.0,2420180.0,2492160.0,Childrens Hospital of Los Angeles,2019
129,7660 MRI Scans,766000401 MRI CERVICAL SPINE WO CONT,679.0,3534.0,3708.0,2399586.0,2517732.0,Childrens Hospital of Los Angeles,2019
130,7660 MRI Scans,766000427 MRI LUMBAR SPINE WO CONT,671.0,3571.0,3747.0,2396141.0,2514237.0,Childrens Hospital of Los Angeles,2019
131,7776 Rehab Services IP - Rehab(OT/PT/SLP),777613038 OT THERAPEUTIC ACT 15 MIN,17094.0,140.0,140.0,2393160.0,2393160.0,Childrens Hospital of Los Angeles,2019
132,7660 MRI Scans,766065408 MRI PELVIS W/WO CONTRAST,472.0,5011.0,5260.0,2365192.0,2482720.0,Childrens Hospital of Los Angeles,2019
133,6291 4 West,629121000 HEM/ONC PEDS MED SURG,323.0,7164.0,7937.0,2313972.0,2563651.0,Childrens Hospital of Los Angeles,2019
134,7422 Liver/Small Bowel Transplant,742200070 X LIVER ORGAN PROCUREMENT,22.0,104673.0,117861.0,2302806.0,2592942.0,Childrens Hospital of Los Angeles,2019
135,7710 Pharmacy,771020315 LUPRON DEPO 3.75MG INJ,631.0,3577.0,3577.0,2257087.0,2257087.0,Childrens Hospital of Los Angeles,2019
136,7503 Lab Chemistry,750345372 MAGNESIUM-SERUM,35740.0,63.0,65.0,2251620.0,2323100.0,Childrens Hospital of Los Angeles,2019
137,7010 Emergency Department,701020022 INJECTION IV / PUSH,5666.0,395.0,407.0,2238070.0,2306062.0,Childrens Hospital of Los Angeles,2019
138,7630 Radiology Diagnostic,763067035 XR FLUOROSCOPY > 1 HOUR,2030.0,1097.0,1.0,2226910.0,2030.0,Childrens Hospital of Los Angeles,2019
139,7710 Pharmacy,771022823 HEPARIN FLUSH PF 100U/10ML,35788.0,61.0,61.0,2183068.0,2183068.0,Childrens Hospital of Los Angeles,2019
140,7450 OR/ANESTH,745012004 CCL ANES SERVICES EACH 15 MIN,8110.0,263.0,264.0,2132930.0,2141040.0,Childrens Hospital of Los Angeles,2019
141,7592 Invasive - Cath Lab,759293541 ANGIO PULMONARY,284.0,7349.0,7610.0,2087116.0,2161240.0,Childrens Hospital of Los Angeles,2019
142,7430 Ambulatory Surgery Center,743088882 LEVEL 2 EACH ADDTL 30 MIN,937.0,2208.0,2274.0,2068896.0,2130738.0,Childrens Hospital of Los Angeles,2019
143,7720 Respiratory Care,772069036 MDI/SPACER SUBSEQUENT,8214.0,249.0,130.0,2045286.0,1067820.0,Childrens Hospital of Los Angeles,2019
144,7545 Blood Donor Center,754530120 PLATELET PHERE LR 2 RDE EA,2469.0,820.0,824.0,2024580.0,2034456.0,Childrens Hospital of Los Angeles,2019
145,7541 Point-Of-Care & Blood Gases,754150008 EPOC GLUCOSE,50335.0,40.0,43.0,2013400.0,2164405.0,Childrens Hospital of Los Angeles,2019
146,7501 Lab Hematology,"750191095 HEMOGRAM+PLATELET, AUTO",38451.0,52.0,54.0,1999452.0,2076354.0,Childrens Hospital of Los Angeles,2019
147,7660 MRI Scans,766000419 MRI THORACIC SPINE WO CONT,594.0,3335.0,3499.0,1980990.0,2078406.0,Childrens Hospital of Los Angeles,2019
148,3100 CPM Clinical Operations,310010050 ONCOKIDS,264.0,7500.0,7500.0,1980000.0,1980000.0,Childrens Hospital of Los Angeles,2019
149,7420 Operating Room,742046961 GENERATOR MODEL 1000 SENTIVA,25.0,79025.0,81396.0,1975625.0,2034900.0,Childrens Hospital of Los Angeles,2019
150,7502 Lab Microbiology,750236126 LAB CULT DEFIN URINE QUANTITA,11084.0,178.0,183.0,1972952.0,2028372.0,Childrens Hospital of Los Angeles,2019
151,7515 Phlebotomy Services,751530022 VENOUS BLOOD DRAW,50587.0,38.0,38.0,1922306.0,1922306.0,Childrens Hospital of Los Angeles,2019
152,7503 Lab Chemistry,750341058 C REACTIVE PROTEIN,23811.0,79.0,82.0,1881069.0,1952502.0,Childrens Hospital of Los Angeles,2019
153,7592 Invasive - Cath Lab,759236302 EP ABLATION FOR SVT,62.0,30341.0,31298.0,1881142.0,1940476.0,Childrens Hospital of Los Angeles,2019
154,7720 Respiratory Care,772069010 CPT VEST SUBSEQUENT,6396.0,294.0,301.0,1880424.0,1925196.0,Childrens Hospital of Los Angeles,2019
155,7710 Pharmacy,771001143 CYTARABINE INJ 100MG VIAL,7109.0,263.0,263.0,1869667.0,1869667.0,Childrens Hospital of Los Angeles,2019
156,7710 Pharmacy,771023865 WILATE INJ 1 UNIT,373460.0,5.0,5.0,1867300.0,1867300.0,Childrens Hospital of Los Angeles,2019
157,7710 Pharmacy,771021660 PANTOPRAZOLE 40MG INJ,16178.0,115.0,116.0,1860470.0,1876648.0,Childrens Hospital of Los Angeles,2019
158,7710 Pharmacy,771094075 LEVOCARNITINE 1000MG/5ML INJ SYR,11838.0,157.0,158.0,1858566.0,1870404.0,Childrens Hospital of Los Angeles,2019
159,7430 Ambulatory Surgery Center,743002638 LEVEL III RECOVERY RM,1745.0,1054.0,1128.0,1839230.0,1968360.0,Childrens Hospital of Los Angeles,2019
160,7770 PT Outpatient,777012020 PT THER EXERCISE 15MIN,13119.0,140.0,140.0,1836660.0,1836660.0,Childrens Hospital of Los Angeles,2019
161,7710 Pharmacy,771000274 RANITIDINE 2.5 MG/ML SPEC. DILN,22063.0,83.0,83.0,1831229.0,1831229.0,Childrens Hospital of Los Angeles,2019
162,7541 Point-Of-Care & Blood Gases,754150006 EPOC LACTATE (LAC),40041.0,45.0,50.0,1801845.0,2002050.0,Childrens Hospital of Los Angeles,2019
163,7010 Emergency Department,701020020 IMPACTED CERUMEN REMOVAL,5823.0,309.0,318.0,1799307.0,1851714.0,Childrens Hospital of Los Angeles,2019
164,7630 Radiology Diagnostic,763003021 X/R ABD AP & ADDL OBL/CONE V,3659.0,491.0,491.0,1796569.0,1796569.0,Childrens Hospital of Los Angeles,2019
165,7680 CT Scanner,768065465 CT ABD & PELVIS W CONTRAST,678.0,2633.0,2633.0,1785174.0,1785174.0,Childrens Hospital of Los Angeles,2019
166,7710 Pharmacy,771092103 ZINC IV 0-2000MCG,17215.0,102.0,103.0,1755930.0,1773145.0,Childrens Hospital of Los Angeles,2019
167,7710 Pharmacy,771023015 VANCOMYCIN 100MG/ML ORAL SOLN,2280.0,768.0,769.0,1751040.0,1753320.0,Childrens Hospital of Los Angeles,2019
168,7710 Pharmacy,771024010 IMIGLUCERASE(CEREZYME) 10U INJ,1700.0,1024.0,178.0,1740800.0,302600.0,Childrens Hospital of Los Angeles,2019
169,6290 6 West,629021001 EMU PEDS MED SURG,241.0,7200.0,,1735200.0,0.0,Childrens Hospital of Los Angeles,2019
170,7710 Pharmacy,771025061 NUSINERSEN PF (INTRATHECAL) 0.1MG,720.0,2400.0,2400.0,1728000.0,1728000.0,Childrens Hospital of Los Angeles,2019
171,7670 Diagnostic Ultra-Sound,767020050 VISCERAL DOPPLER COMPLETE,1357.0,1271.0,1271.0,1724747.0,1724747.0,Childrens Hospital of Los Angeles,2019
