,EAP,Description,Rev Code,IP Price,OP Price,Hospital,Year
58,17000575,HCHG OT RE-EVAL ESTABLISHED PLAN CARE,434,293.0,293.0,Sutter Delta Medical Center,2019
59,17000596,HCHG PT MECH TRACT,420,144.0,144.0,Sutter Delta Medical Center,2019
60,17000604,HCHG PT E-STIM SUPERVISED,420,104.0,104.0,Sutter Delta Medical Center,2019
61,17000608,HCHG PT EVAL MOD COMPLEXITY,424,386.0,386.0,Sutter Delta Medical Center,2019
62,17000609,HCHG PT EVAL HIGH COMPLEXITY,424,504.0,504.0,Sutter Delta Medical Center,2019
63,17200062,HCHG OT MCAL EVALUATION INITIAL 30 MIN,430,429.0,429.0,Sutter Delta Medical Center,2019
64,17200063,HCHG OT MCAL RE-EVALUATION INITIAL 30 MIN,430,360.0,360.0,Sutter Delta Medical Center,2019
65,17200065,HCHG OT MCAL EVALUATION ADDITIONAL 15 MIN,430,219.0,219.0,Sutter Delta Medical Center,2019
66,17200066,HCHG OT MCAL RE-EVALUATION ADDITIONAL 15 MIN,430,193.0,193.0,Sutter Delta Medical Center,2019
67,17200100,HCHG OT ELECTRICAL STIMULATION ATTENDED EA 15 MIN,430,167.0,167.0,Sutter Delta Medical Center,2019
68,17200101,HCHG OT IONTOPHORESIS EA 15 MIN,430,141.0,141.0,Sutter Delta Medical Center,2019
69,17200103,HCHG OT ULTRASOUND EA 15 MIN,430,128.0,125.0,Sutter Delta Medical Center,2019
70,17200104,HCHG OT THERAPEUTIC EXERCISE EA 15 MIN,430,192.0,176.0,Sutter Delta Medical Center,2019
71,17200105,HCHG OT NEUROMUSCULAR REEDUCATION EA 15 MIN,430,206.0,206.0,Sutter Delta Medical Center,2019
72,17200108,HCHG OT MANUAL THERAPY EA 15 MIN,430,194.0,162.0,Sutter Delta Medical Center,2019
73,17200110,HCHG OT THERAPEUTIC ACTIVITY EA 15 MIN,430,192.0,192.0,Sutter Delta Medical Center,2019
74,17200113,HCHG OT ADL TRAINING EA 15 MIN,430,192.0,192.0,Sutter Delta Medical Center,2019
75,17200114,HCHG OT COMMUNITY REINTEGRATION EA 15 MIN,430,149.0,149.0,Sutter Delta Medical Center,2019
76,17200115,HCHG OT WHEELCHAIR TRAINING EA 15 MIN,430,169.0,169.0,Sutter Delta Medical Center,2019
77,17200118,HCHG OT DEBRIDEMENT SELECTIVE <=1ST 20 SQ/CM,430,679.0,679.0,Sutter Delta Medical Center,2019
78,17200123,HCHG OT ORTHOTIC TRAINING INITIAL EA 15 MIN,430,168.0,168.0,Sutter Delta Medical Center,2019
79,17200139,HCHG OT MCAL TX ADTL 15 MIN,430,196.0,196.0,Sutter Delta Medical Center,2019
80,17200284,HCHG OT MCAL TREAT INIT 30,430,393.0,393.0,Sutter Delta Medical Center,2019
81,17200296,HCHG OT MCAL COMBO MODAL ADD 15,430,202.0,202.0,Sutter Delta Medical Center,2019
82,17200310,HCHG OT MCAL COMBO MODAL INIT 30,430,403.0,403.0,Sutter Delta Medical Center,2019
83,17200509,HCHG OT PARAFFIN BATH,430,88.0,88.0,Sutter Delta Medical Center,2019
84,17200514,HCHG OT E-STIM SUPERVISED,430,104.0,104.0,Sutter Delta Medical Center,2019
85,17200516,HCHG OT EVAL MOD COMPLEXITY,434,469.0,469.0,Sutter Delta Medical Center,2019
86,17200517,HCHG OT EVAL HIGH COMPLEXITY,434,596.0,596.0,Sutter Delta Medical Center,2019
87,17400005,HCHG SP MCAL THERAPY SPEECH-LANG IND PER HOUR,440,458.0,458.0,Sutter Delta Medical Center,2019
88,17400006,HCHG SP MCAL THERAPY SPEECH-LANG IND 1/2 HOUR,440,373.0,373.0,Sutter Delta Medical Center,2019
89,17400135,HCHG SP EVAL SP/COM DVC ADL 30,444,100.0,100.0,Sutter Delta Medical Center,2019
90,17400137,HCHG SP EVAL SP/COM DVC 1ST HR,444,743.0,743.0,Sutter Delta Medical Center,2019
91,17400138,HCHG SP THER SVC SP DEVICE,440,345.0,345.0,Sutter Delta Medical Center,2019
92,17400392,HCHG SP TX SP/LANG/COM IND,440,381.0,381.0,Sutter Delta Medical Center,2019
93,17400394,HCHG EVALUATION OF SPEECH FLUENCY,444,681.0,681.0,Sutter Delta Medical Center,2019
94,17400395,HCHG EVALUATE SPEECH PRODUCTION,444,416.0,416.0,Sutter Delta Medical Center,2019
95,17400396,HCHG EVAL SPEECH SOUND LANG COMPREH,444,595.0,595.0,Sutter Delta Medical Center,2019
96,17400397,HCHG SP BEHAVRAL QUALIT ANALYS VOICE,440,441.0,441.0,Sutter Delta Medical Center,2019
97,17400398,HCHG SP TX SWALL/ORAL FNX,440,395.0,395.0,Sutter Delta Medical Center,2019
98,17400400,HCHG SP EVAL FNX SWALL,444,588.0,588.0,Sutter Delta Medical Center,2019
99,17400401,HCHG SP EVAL MTN FLUOR SWAL,444,677.0,677.0,Sutter Delta Medical Center,2019
100,17400408,HCHG SP MCAL EVAL LANG,440,437.0,437.0,Sutter Delta Medical Center,2019
101,17500029,HCHG AD EVALUATION ABR COMPLETE,471,1495.0,1495.0,Sutter Delta Medical Center,2019
102,17500031,HCHG AD ABR SCREEN INITIAL IP,470,518.0,518.0,Sutter Delta Medical Center,2019
103,17500033,HCHG AD OTOACOUSTIC RESCREEN,470,332.0,332.0,Sutter Delta Medical Center,2019
104,17500036,HCHG AD HEARING AID CHECK BINAURAL,471,333.0,333.0,Sutter Delta Medical Center,2019
105,20000003,HCHG ABORTED/DISCONTIUNUED CASE OR,360,2313.0,2313.0,Sutter Delta Medical Center,2019
106,20000005,HCHG SURG LVL 1 ADDL 15 MIN,360,1371.0,1371.0,Sutter Delta Medical Center,2019
107,20000006,HCHG SURG LVL 1 FIRST 30 MIN,360,4046.0,4046.0,Sutter Delta Medical Center,2019
108,20000007,HCHG SURG LVL 2 ADDL 15 MIN,360,1773.0,1773.0,Sutter Delta Medical Center,2019
109,20000008,HCHG SURG LVL 2 FIRST 30 MIN,360,5275.0,5275.0,Sutter Delta Medical Center,2019
110,20000009,HCHG SURG LVL 3 ADDL 15 MIN,360,2326.0,2326.0,Sutter Delta Medical Center,2019
111,20000010,HCHG SURG LVL 3 FIRST 30 MIN,360,6395.0,6395.0,Sutter Delta Medical Center,2019
112,20000011,HCHG SURG LVL 4 ADDL 15 MIN,360,2546.0,2546.0,Sutter Delta Medical Center,2019
113,20000012,HCHG SURG LVL 4 FIRST 30 MIN,360,7499.0,7499.0,Sutter Delta Medical Center,2019
114,20000013,HCHG SURG LVL 5 ADDL 15 MIN,360,3102.0,3102.0,Sutter Delta Medical Center,2019
115,20000014,HCHG SURG LVL 5 FIRST 30 MIN,360,8874.0,8874.0,Sutter Delta Medical Center,2019
116,20000052,HCHG ERCP LITHOTRIPSY CALCULI,361,6339.0,6339.0,Sutter Delta Medical Center,2019
117,20000069,HCHG INJ NRV BLK SUBARACH,361,1687.0,1687.0,Sutter Delta Medical Center,2019
118,20000083,HCHG SURG LVL 2 1ST 30M NONOR,360,5275.0,5275.0,Sutter Delta Medical Center,2019
119,20000084,HCHG SURG LVL 2 ADD 15M NONOR,360,1773.0,1773.0,Sutter Delta Medical Center,2019
120,20000085,HCHG SURG LVL 3 1ST 30M NONOR,360,4417.0,4417.0,Sutter Delta Medical Center,2019
121,20000086,HCHG SURG LVL 3 ADD 15M NONOR,360,1837.0,1837.0,Sutter Delta Medical Center,2019
122,20000094,HCHG SURG LVL 2 MCAL 1ST HR NONOR,360,8821.0,8821.0,Sutter Delta Medical Center,2019
123,20000111,HCHG SURG LVL 1 MCAL 1ST HR,360,6788.0,6788.0,Sutter Delta Medical Center,2019
124,20000112,HCHG SURG LVL 1 MCAL1ST SUBSEQ HALF,360,2742.0,2742.0,Sutter Delta Medical Center,2019
125,20000113,HCHG SURG LVL 1 MCAL 2ND+ EA SUBSEQ 1/2HR,360,2742.0,2742.0,Sutter Delta Medical Center,2019
126,20000211,HCHG SURG LVL 2 MCAL 1ST HR,360,8821.0,8821.0,Sutter Delta Medical Center,2019
127,20000212,HCHG SURG LVL 2 MCAL 1ST SUBSEQ 1/2HR,360,3546.0,3546.0,Sutter Delta Medical Center,2019
128,20000213,HCHG SURG LVL 2 MCAL 2ND+ EA SUBSEQ 1/2HR,360,3546.0,3546.0,Sutter Delta Medical Center,2019
129,20000311,HCHG SURG LVL 3 MCAL 1ST HR,360,11047.0,11047.0,Sutter Delta Medical Center,2019
130,20000312,HCHG SURG LVL 3 MCAL 1ST SUBSEQ 1/2HR,360,4652.0,4652.0,Sutter Delta Medical Center,2019
131,20000313,HCHG SURG LVL 3 MCAL 2ND+ EA SUBSEQ 1/2HR,360,4652.0,4652.0,Sutter Delta Medical Center,2019
132,20000411,HCHG SURG LVL 4 MCAL 1ST HR,360,12591.0,12591.0,Sutter Delta Medical Center,2019
133,20000412,HCHG SURG LVL 4 MCAL 1ST SUBSEQ 1/2HR,360,5092.0,5092.0,Sutter Delta Medical Center,2019
134,20000413,HCHG SURG LVL 4 MCAL 2ND+ EA SUBSEQ 1/2HR,360,5092.0,5092.0,Sutter Delta Medical Center,2019
135,20000511,HCHG SURG LVL 5 MCAL 1ST HR,360,15078.0,15078.0,Sutter Delta Medical Center,2019
136,20000512,HCHG SURG LVL 5 MCAL 1ST SUBSEQ 1/2HR,360,6204.0,6204.0,Sutter Delta Medical Center,2019
137,20000513,HCHG SURG LVL 5 MCAL 2ND+ EA SUBSEQ 1/2HR,360,6204.0,6204.0,Sutter Delta Medical Center,2019
138,20000673,HCHG ENDOSCOPY RESPIRATORY DIAGNOSTIC,361,1799.0,1799.0,Sutter Delta Medical Center,2019
139,20000674,HCHG ENDOSCOPY RESPIRATORY PLUS 1 INTERVENTION,361,3603.0,3603.0,Sutter Delta Medical Center,2019
140,20000675,HCHG ENDOSCOPY RESPIRATORY DX PLUS 2 INTERVENTIONS,361,5379.0,5379.0,Sutter Delta Medical Center,2019
141,20000676,HCHG ENDOSCOPY RESPIRATORY DX PLUS 3/MORE INTERVENTIONS,361,7306.0,7306.0,Sutter Delta Medical Center,2019
142,20000708,HCHG PARACENTSIS ABD NO IM,361,2095.0,2095.0,Sutter Delta Medical Center,2019
143,20000709,HCHG CHEMODNRV MUSC-MUSC INNERVATED FACIAL NRV BI,361,1370.0,1370.0,Sutter Delta Medical Center,2019
144,20000710,HCHG INJ PV FACET W IMAGE GUIDANCE C/T 1 LVL BIL,361,4832.0,4832.0,Sutter Delta Medical Center,2019
145,20100006,HCHG CYSTOMETROGRAM W/VP&UP,361,1234.0,1234.0,Sutter Delta Medical Center,2019
146,20200034,HCHG REPLACE G/C TUBE PERC,361,2059.0,2059.0,Sutter Delta Medical Center,2019
147,20200035,HCHG ENDOSCOPY GI DIAGNOSTIC,750,2226.0,2226.0,Sutter Delta Medical Center,2019
148,20200036,HCHG ENDOSCOPY GI DIAGNOSTIC PLUS 1 INTERVENTION,750,3506.0,3506.0,Sutter Delta Medical Center,2019
149,20200037,HCHG ENDOSCOPY GI DIAGNOSTIC PLUS 2 INTERVENTIONS,750,5281.0,5281.0,Sutter Delta Medical Center,2019
150,20200038,HCHG ENDOSCOPY GI DIAGNOSTIC PLUS 3/MORE INTERVENTIONS,750,7115.0,7115.0,Sutter Delta Medical Center,2019
151,20300002,HCHG INJECTION PV FACET C/T 1 LVL,361,3221.0,3221.0,Sutter Delta Medical Center,2019
152,20300005,HCHG INJECTION PV FACET C/T 3 LVL,361,1631.0,1631.0,Sutter Delta Medical Center,2019
153,20300006,HCHG INJECTION FACET L/S 1 LVL,361,2989.0,2989.0,Sutter Delta Medical Center,2019
154,20300007,HCHG INJECTION FACET L/S 3 LVL,361,1491.0,1491.0,Sutter Delta Medical Center,2019
155,20300043,HCHG INJECTION NERVE BLOCK EPIDURAL CERVICAL/THORACIC,511,3620.0,3620.0,Sutter Delta Medical Center,2019
156,20300075,HCHG INJ NRV BLK SCTC SNGL BIL,511,2900.0,2900.0,Sutter Delta Medical Center,2019
157,20300093,HCHG EXC SFT LSN FACE SBQ>=2CM,361,8511.0,8511.0,Sutter Delta Medical Center,2019
158,20300103,HCHG INJ INTER LUMBAR/SACRAL W/CATH EPID WO IMAGE,511,3353.0,3353.0,Sutter Delta Medical Center,2019
159,20400001,HCHG LITHOTRIPSY ESWL,790,17406.0,17406.0,Sutter Delta Medical Center,2019
160,20500008,HCHG ANES EPIDURAL CRNA MANAGED,370,2208.0,2208.0,Sutter Delta Medical Center,2019
161,20500009,HCHG REGIONAL BLOCK FINGERS,370,277.0,277.0,Sutter Delta Medical Center,2019
162,20500010,HCHG REGIONAL BLOCK TOES,370,222.0,222.0,Sutter Delta Medical Center,2019
163,20500021,HCHG STANDARD GENERAL ANESTHESIA 3 HOURS OR LESS,370,2775.0,2775.0,Sutter Delta Medical Center,2019
164,20500022,HCHG STANDARD GENERAL ANESTHESIA MORE THAN 3 HOURS,370,8099.0,8099.0,Sutter Delta Medical Center,2019
165,20500023,HCHG COMPLEX GENERAL ANESTHESIA 3 HOURS OR LESS,370,4775.0,4775.0,Sutter Delta Medical Center,2019
166,20500024,HCHG COMPLEX GENERAL ANESTHESIA MORE THAN 3 HOURS,370,10547.0,10547.0,Sutter Delta Medical Center,2019
167,20500025,HCHG MONITORED ANESTHESIA CARE/REGIONAL ANESTHESIA,370,2135.0,2135.0,Sutter Delta Medical Center,2019
168,20500032,HCHG MOD SED SAME MD/QHP LT 5 YRS,370,2011.0,2011.0,Sutter Delta Medical Center,2019
169,20500033,HCHG MOD SED SAME MD/QHP GT 5 YRS,370,412.0,412.0,Sutter Delta Medical Center,2019
170,20500035,HCHG MOD SED OTH MD/QHP LT 5 YRS,370,420.0,420.0,Sutter Delta Medical Center,2019
171,20500036,HCHG MOD SED OTH MD/QHP GT 5 YRS,370,524.0,524.0,Sutter Delta Medical Center,2019
172,20500038,HCHG MOD SED ENDO SAME MD/QHP GT 5YRS,370,412.0,412.0,Sutter Delta Medical Center,2019
173,20600000,HCHG PACU COMPLEX ADDITIONAL 15 MINUTES,710,747.0,747.0,Sutter Delta Medical Center,2019
174,20600001,HCHG PACU COMPLEX FIRST 30 MINUTES,710,1993.0,1993.0,Sutter Delta Medical Center,2019
175,20600002,HCHG PACU STANDARD LEVEL 1 ADDITIONAL 15 MINUTES,710,335.0,335.0,Sutter Delta Medical Center,2019
176,20600003,HCHG PACU STANDARD LEVEL 1 FIRST 30 MINUTES,710,885.0,885.0,Sutter Delta Medical Center,2019
177,20600004,HCHG PACU STANDARD LEVEL 2 ADDL 15 MINUTES,710,477.0,477.0,Sutter Delta Medical Center,2019
178,20600005,HCHG PACU STANDARD LEVEL 2 FIRST 30 MINUTES,710,1197.0,1197.0,Sutter Delta Medical Center,2019
179,20600009,HCHG LYSIS EPI ADHES 1 DAY,361,4911.0,4911.0,Sutter Delta Medical Center,2019
180,21000004,HCHG DRAINAGE ABSCESS SIMPLE/SINGLE,361,710.0,710.0,Sutter Delta Medical Center,2019
181,21000007,HCHG HEMATOMA EVACUATION,361,3984.0,3984.0,Sutter Delta Medical Center,2019
182,21000008,"HCHG ASPIRATION OF ABSCESS, HEMATOMA, CYST",361,740.0,740.0,Sutter Delta Medical Center,2019
183,21000039,HCHG ASPIRATION BREAST CYST,361,1308.0,1308.0,Sutter Delta Medical Center,2019
184,21000040,HCHG ASPIRATION BREAST CYST EACH ADDITIONAL CYST,361,649.0,649.0,Sutter Delta Medical Center,2019
185,21000041,HCHG INJECTION FOR DUCTOGRAM OR GALACTOGRAM,361,836.0,836.0,Sutter Delta Medical Center,2019
186,21000042,HCHG BIOPSY BREAST PERCUTANEOUS W/O IMAGING,361,2384.0,2384.0,Sutter Delta Medical Center,2019
187,21000049,HCHG BIOPSY MUSCLE,361,2913.0,2913.0,Sutter Delta Medical Center,2019
188,21000050,HCHG BIOPSY BONE SUPERFICIAL,361,2721.0,2721.0,Sutter Delta Medical Center,2019
189,21000052,HCHG INJECTION SINOGRAM,361,1058.0,1058.0,Sutter Delta Medical Center,2019
190,21000053,HCHG INJECTION TENDON SHEATH OR LIGAMENT SINGLE,361,811.0,676.0,Sutter Delta Medical Center,2019
191,21000054,HCHG INJECTION TRIGGER POINT 1 TO 2 MUSCLES,361,1159.0,1159.0,Sutter Delta Medical Center,2019
192,21000055,HCHG INJECTION TRIGGER POINT GREATER THAN 2  MUSCLES,361,957.0,957.0,Sutter Delta Medical Center,2019
193,21000056,HCHG DRAIN/INJ SMALL JOINT/BURSA W/O US,361,1014.0,762.0,Sutter Delta Medical Center,2019
194,21000057,HCHG DRAIN/INJ INTERMEDIATE JOINT/BURSA W/O US,361,940.0,940.0,Sutter Delta Medical Center,2019
195,21000059,HCHG INJECTION OR ASPIRATION GANGLION CYST,361,888.0,888.0,Sutter Delta Medical Center,2019
196,21000062,HCHG BIOPSY SOFT TISSUE NECK,361,4684.0,4684.0,Sutter Delta Medical Center,2019
197,21000072,HCHG INJECTION ARTHROGRAM ELBOW,361,1786.0,1786.0,Sutter Delta Medical Center,2019
198,21000073,HCHG INJECTION ARTHROGRAM WRIST,361,717.0,717.0,Sutter Delta Medical Center,2019
199,21000078,HCHG INJECTION ARTHROGRAM HIP WITH ANESTHESIA,361,1982.0,1982.0,Sutter Delta Medical Center,2019
200,21000081,HCHG INJECTION ARTHROGRAM ANKLE,361,1463.0,1463.0,Sutter Delta Medical Center,2019
201,21000094,HCHG INTUBATION ENDOTRACHEAL,361,1176.0,1176.0,Sutter Delta Medical Center,2019
202,21000095,HCHG TRACHEOSTOMY TUBE CHANGE,361,1010.0,1010.0,Sutter Delta Medical Center,2019
203,21000103,HCHG INSERTION PLEURAL CATHETER,361,7541.0,7541.0,Sutter Delta Medical Center,2019
204,21000108,HCHG PERICARDIOCENTESIS INITIAL,361,2652.0,2652.0,Sutter Delta Medical Center,2019
205,21000110,HCHG PACER INSERTION OR REPLACEMENT WITH ELECTRODE ATRI,361,20485.0,20485.0,Sutter Delta Medical Center,2019
206,21000111,HCHG PACER INSERTION OR REPLACEMENT WITH ELECTRODE VENT,361,20633.0,20633.0,Sutter Delta Medical Center,2019
207,21000112,HCHG PACER INSERTION OR REPLACEMENT WITH ELECTRODE ATRIAL AND VENTRICULAR,361,23818.0,23818.0,Sutter Delta Medical Center,2019
208,21000113,HCHG TEMPORARY PACER INSERTION SINGLE,361,10847.0,10847.0,Sutter Delta Medical Center,2019
209,21000115,HCHG PACER GENERATOR ONLY INSERTION OR REPLACEMENT SING,361,13207.0,13207.0,Sutter Delta Medical Center,2019
210,21000116,HCHG PACER GENERATOR ONLY INSERTION OR REPLACEMENT DUAL,361,16437.0,16437.0,Sutter Delta Medical Center,2019
211,21000117,HCHG PACER GENERATOR UPGRADE SINGLE CHAMBER TO DUAL CHA,361,25979.0,25979.0,Sutter Delta Medical Center,2019
212,21000118,HCHG REPOSITION PREV IMP TRNSVNS PACER/ELECTRD,361,10808.0,10808.0,Sutter Delta Medical Center,2019
213,21000119,HCHG INSERT 1 TRANSVNS ELECTRODE PACER/IMP DEFIB,361,13874.0,13874.0,Sutter Delta Medical Center,2019
214,21000120,HCHG INSERT 2 TRANSVNS ELECTRODE PACER/IMP DEFIB,361,16195.0,16195.0,Sutter Delta Medical Center,2019
215,21000121,HCHG REPAIR 1 TRNSVNS ELECTRODE PERM PACER/ICD,361,11624.0,11624.0,Sutter Delta Medical Center,2019
216,21000122,HCHG REPAIR 2 TRNSVNS ELECTRODES PERM PACER/ICD,361,2924.0,2924.0,Sutter Delta Medical Center,2019
217,21000123,HCHG PACER RELOCATION OF SKIN POCKET,361,9168.0,9168.0,Sutter Delta Medical Center,2019
218,21000124,HCHG ICD RELOCATION OF SKIN POCKET,361,9295.0,9295.0,Sutter Delta Medical Center,2019
219,21000126,HCHG INSRT ELEC/CAR VN SYS AND PCR/ICD GEN SAME TIME,361,26136.0,26136.0,Sutter Delta Medical Center,2019
220,21000128,HCHG PACER REMOVAL GENERATOR ONLY,361,9603.0,9603.0,Sutter Delta Medical Center,2019
221,21000129,HCHG LEAD REMOVAL SINGLE CHAMBER PACER,361,6465.0,6465.0,Sutter Delta Medical Center,2019
222,21000130,HCHG LEAD REMOVAL DUAL CHAMBER PACER,361,7280.0,7280.0,Sutter Delta Medical Center,2019
223,21000131,HCHG REMOVAL IMP DEFIB PULSE GEN ONLY,361,12765.0,12765.0,Sutter Delta Medical Center,2019
224,21000140,HCHG IABP INSERTION PERCUTANEOUSLY,361,6781.0,6781.0,Sutter Delta Medical Center,2019
225,21000146,HCHG INCISION GROIN FOR UNILATERAL ENDOVASCULAR PROSTHESIS,361,5308.0,5308.0,Sutter Delta Medical Center,2019
226,21000170,HCHG INTRODUCTION CATH SUPERIOR OR INFERIOR VENA CAVA,361,4000.0,4000.0,Sutter Delta Medical Center,2019
227,21000176,HCHG SELECTIVE CATH CAROTID OR VERTEBRAL ARTERY,361,2849.0,2849.0,Sutter Delta Medical Center,2019
