,CDM,NDC,Description,Price,Hospital,Year
43,41701111,66689-0100-16,albuterol 2mg/5mL soln 473mL [SJGH],28.7244,San Joaquin General Hospital,2019
44,41701608,00378-9671-93,albuterol 3mg/ipratropium 0.5mg 3mL neb [SJGH],6.560099999999999,San Joaquin General Hospital,2019
45,41701194,50383-0741-20,albuterol 5mg/mL inh soln 20mL [SJGH],28.66,San Joaquin General Hospital,2019
46,41701707,59310-0579-22,albuterol 90mcg inh HFA 8.5gm [SJGH],55.83,San Joaquin General Hospital,2019
47,41701293,51079-0941-05,alendronate 10mg tab [SJGH],0.32,San Joaquin General Hospital,2019
48,41701277,69543-0131-20,alendronate 70mg tab [SJGH],7.41,San Joaquin General Hospital,2019
49,71515753,17478-0067-02,alfentanil 1000mcg/2mL amp [SJGH],17.23,San Joaquin General Hospital,2019
50,41701269,62584-0988-01,allopurinol 100mg tab [SJGH],18.6,San Joaquin General Hospital,2019
51,41799021,99999-9999-23,allopurinol 20mg per ml oral suspension 120mL [SJGH],7.5204,San Joaquin General Hospital,2019
52,41701335,62584-0713-01,allopurinol 300mg tab [SJGH],36.27,San Joaquin General Hospital,2019
53,71542070,13533-0700-02,alpha 1-proteinase inhibitor 1000mg SDV [SJGH],340.0,San Joaquin General Hospital,2019
54,71542175,13533-0705-01,alpha 1-proteinase inhibitor 1000mg/20mL SDV [SJGH],340.0,San Joaquin General Hospital,2019
55,41701459,68084-0672-01,ALPRAZolam 0.5mg tab [SJGH],3.87,San Joaquin General Hospital,2019
56,41701483,00904-5860-61,ALPRAZolam 1mg tab [SJGH],5.25,San Joaquin General Hospital,2019
57,71542096,00009-3169-06,alprostadil 500mcg/mL amp [SJGH],539.74,San Joaquin General Hospital,2019
58,71542021,50242-0085-27,alteplase 100mg SDV [SJGH],8350.67,San Joaquin General Hospital,2019
59,71542088,50242-0041-64,alteplase 2mg SDV [SJGH],145.24,San Joaquin General Hospital,2019
60,71542104,50242-0044-13,alteplase 50mg SDV [SJGH],4175.34,San Joaquin General Hospital,2019
61,41701905,67919-0020-10,alvimopan 12mg cap [SJGH],4952.7,San Joaquin General Hospital,2019
62,41701954,00832-1015-00,amantadine 100mg cap [SJGH],49.14,San Joaquin General Hospital,2019
63,41701998,00121-0646-16,amantadine 50mg/5mL soln 473mL [SJGH],6.07805,San Joaquin General Hospital,2019
64,71506059,00703-9040-03,amikacin 1000mg/4mL SDV [SJGH],104.68,San Joaquin General Hospital,2019
65,71506026,63323-0815-02,amikacin 500mg/2mL SDV [SJGH],110.55,San Joaquin General Hospital,2019
66,71502504,00264-9341-55,amino acid 10% 500mL IV bag (Trophamine) [SJGH],138.51000000000002,San Joaquin General Hospital,2019
67,71502504,00264-9010-55,amino acids 10% 1000mL IV bottle (FreAmine) [SJGH],40.8,San Joaquin General Hospital,2019
68,71502504,00338-0644-06,amino acids 10% 2000mL IV bag (Travasol) [SJGH],42.84,San Joaquin General Hospital,2019
69,71502504,00409-4191-03,amino acids 10% 500mL IV bag (Aminosyn) [SJGH],118.38,San Joaquin General Hospital,2019
70,71504906,00338-1136-03,amino acids 4.25% with 25% dextrose 1L IV bag [SJGH],719.46,San Joaquin General Hospital,2019
71,71504906,00338-1137-03,amino acids 5% with 15% dextrose 1L IV bag [SJGH],73.02,San Joaquin General Hospital,2019
72,71504906,00338-1138-03,amino acids 5% with 20% dextrose 1L IV bag [SJGH],0.0,San Joaquin General Hospital,2019
73,71504906,00338-1101-04,amino acids 5% with 20% dextrose 2L IV bag [SJGH],86.08,San Joaquin General Hospital,2019
74,71504910,00338-1148-03,amino acids 5% with 20% dextrose and electrolytes 1L IV bag [SJGH],0.0,San Joaquin General Hospital,2019
75,71504910,00338-1125-04,amino acids 5% with 20% dextrose and electrolytes 2L IV bag [SJGH],0.0,San Joaquin General Hospital,2019
76,71589154,00264-9361-55,amino acids 6% 500mL IV bag [SJGH],258.9,San Joaquin General Hospital,2019
77,71502397,00409-4162-03,amino acids 8.5% 500mL IV bag [SJGH],85.02,San Joaquin General Hospital,2019
78,71542112,00409-4346-73,aminocaproic acid 5gm/20mL SDV [SJGH],145.66000000000003,San Joaquin General Hospital,2019
79,71542187,00409-5921-01,aminophylline 250mg/10mL SDV [SJGH],253.12,San Joaquin General Hospital,2019
80,71527014,63323-0616-03,amiodarone 150mg/3mL SDV [SJGH],25.86,San Joaquin General Hospital,2019
81,41702150,68084-0371-01,amiodarone 200mg tab [SJGH],22.46,San Joaquin General Hospital,2019
82,71527105,43066-0360-20,amiodarone 360mg/200mL RTU [SJGH],437.84,San Joaquin General Hospital,2019
83,71527030,67457-0153-18,amiodarone 900mg/18mL SDV [SJGH],12.90996,San Joaquin General Hospital,2019
84,41702531,51079-0107-20,amitriptyline 25mg tab [SJGH],18.91,San Joaquin General Hospital,2019
85,41702622,51079-0133-20,amitriptyline 50mg tab [SJGH],37.85,San Joaquin General Hospital,2019
86,41702911,50268-0085-15,amLODIPine 10mg tab [SJGH],3.5000000000000004,San Joaquin General Hospital,2019
87,41702879,50268-0083-15,amLODIPine 2.5mg tab [SJGH],4.44,San Joaquin General Hospital,2019
88,41702895,50268-0084-15,amLODIPine 5mg tab [SJGH],3.14,San Joaquin General Hospital,2019
89,41702937,39822-9900-02,ammonia inhalant amp [SJGH],4.59,San Joaquin General Hospital,2019
90,41703109,43598-0020-40,amoxicillin 1000mg/clav 62.5mg ER tab [SJGH],890.2389999999997,San Joaquin General Hospital,2019
91,41703166,00143-9888-80,amoxicillin 125mg/5mL susp 80mL [SJGH],1.2704,San Joaquin General Hospital,2019
92,41703281,65862-0533-50,amoxicillin 200mg/clav 28.5mg 5mL susp 50 mL [SJGH],2.86,San Joaquin General Hospital,2019
93,41703257,00781-2020-01,amoxicillin 250mg cap [SJGH],4.72,San Joaquin General Hospital,2019
94,41703232,00143-9889-80,amoxicillin 250mg/5mL susp 80mL [SJGH],1.5104000000000002,San Joaquin General Hospital,2019
95,41703273,00029-6075-31,amoxicillin 250mg/clav 125 mg tab [SJGH],325.133,San Joaquin General Hospital,2019
96,41703299,65862-0534-50,amoxicillin 400mg/clav 57mg 5mL susp 50mL [SJGH],4.05,San Joaquin General Hospital,2019
97,41703208,00781-2613-01,amoxicillin 500mg cap [SJGH],7.56,San Joaquin General Hospital,2019
98,41703240,65862-0502-20,amoxicillin 500mg/clav 125mg tab [SJGH],6.42,San Joaquin General Hospital,2019
99,41703315,00781-1852-20,amoxicillin 875mg/clav 125mg tab [SJGH],32.04,San Joaquin General Hospital,2019
100,71511059,39822-1055-05,amphotericin B 50mg SDV [SJGH],36.06,San Joaquin General Hospital,2019
101,71511042,57665-0101-41,amphotericin B lipid complex 100mg/20mL SDV [SJGH],80.60000000000002,San Joaquin General Hospital,2019
102,71511034,00469-3051-30,amphotericin B liposomal 50mg SDV [SJGH],93.37,San Joaquin General Hospital,2019
103,71508394,00781-3404-95,ampicillin 1gm SDV [SJGH],14.47,San Joaquin General Hospital,2019
104,41703349,67253-0180-10,ampicillin 250mg cap [SJGH],1.61,San Joaquin General Hospital,2019
105,71508048,55150-0111-10,ampicillin 250mg SDV [SJGH],6.66,San Joaquin General Hospital,2019
106,71508469,00781-3408-95,ampicillin 2gm SDV [SJGH],25.02,San Joaquin General Hospital,2019
107,41703414,00781-2145-01,ampicillin 500mg cap [SJGH],35.08,San Joaquin General Hospital,2019
108,71508188,44567-0101-10,ampicillin 500mg SDV [SJGH],9.49,San Joaquin General Hospital,2019
109,71514038,25021-0142-20,ampicillin/sulbactam 1.5gm SDV [SJGH],51.24,San Joaquin General Hospital,2019
110,71514046,00049-0014-83,ampicillin/sulbactam 3gm SDV [SJGH],50.11,San Joaquin General Hospital,2019
111,41703752,60687-0112-21,anastrozole 1mg tab [SJGH],16.53323,San Joaquin General Hospital,2019
112,71522810,63833-0616-02,antihemophilic factor-von Willebrand factor 1200 unit SDV [SJGH],649.6,San Joaquin General Hospital,2019
113,71522809,63833-0615-02,antihemophilic factor-von Willebrand factor 600 unit SDV [SJGH],301.7,San Joaquin General Hospital,2019
114,71545909,00009-7224-02,antithymocyte IG 250mg/5mL amp [SJGH],9459.5,San Joaquin General Hospital,2019
115,71540124,50633-0110-12,antivenin crotalidae fab 1gm SDV [SJGH],6069.17,San Joaquin General Hospital,2019
116,41703893,00003-0894-31,apixaban 5mg tab [SJGH],185.8,San Joaquin General Hospital,2019
117,41703695,00006-0462-06,aprepitant 125mg cap [SJGH],0.06,San Joaquin General Hospital,2019
118,41703679,00006-0464-05,aprepitant 40mg cap [SJGH],0.05,San Joaquin General Hospital,2019
119,41703687,00006-0461-06,aprepitant 80mg cap [SJGH],0.06,San Joaquin General Hospital,2019
120,71520965,00781-3285-12,argatroban 125mg/125mL SDV [SJGH],739.29,San Joaquin General Hospital,2019
121,71520951,63323-0526-03,argatroban 250mg/2.5mL SDV [SJGH],195.47,San Joaquin General Hospital,2019
122,41703901,00904-4215-51,arginine 500mg tab [SJGH],2.46,San Joaquin General Hospital,2019
123,41703851,60687-0179-01,ARIPiprazole 10mg tab [SJGH],476.53,San Joaquin General Hospital,2019
124,41703810,60687-0168-01,ARIPiprazole 5mg tab [SJGH],471.44000000000005,San Joaquin General Hospital,2019
125,41703943,00904-0523-61,ascorbic acid 500mg tab [SJGH],2.76,San Joaquin General Hospital,2019
126,71542260,67157-0101-51,ascorbic acid 500mg/mL bulk vial 50ml [SJGH],2609.475,San Joaquin General Hospital,2019
127,41704271,00597-0001-60,aspirin 25mg/dipyridamole 200mg ER cap [SJGH],486.5298,San Joaquin General Hospital,2019
128,41704040,00574-7034-12,aspirin 300mg supp [SJGH],13.28004,San Joaquin General Hospital,2019
129,41704198,66553-0001-01,aspirin 325mg tab [SJGH],26.33,San Joaquin General Hospital,2019
130,41704123,63739-0434-01,aspirin 81mg chew tab [SJGH],21.5775,San Joaquin General Hospital,2019
131,41704248,57896-0921-01,aspirin EC 325mg tab [SJGH],1.01,San Joaquin General Hospital,2019
132,41704156,00904-6713-18,aspirin EC 81mg tab [SJGH],0.99,San Joaquin General Hospital,2019
133,41704891,00003-3624-12,atazanavir 150mg cap [SJGH],1388.49,San Joaquin General Hospital,2019
134,41704909,00003-3631-12,atazanavir 200mg cap [SJGH],1388.49,San Joaquin General Hospital,2019
135,41704651,51079-0759-20,atenolol 25mg tab [SJGH],13.56,San Joaquin General Hospital,2019
136,41704677,68382-0023-01,atenolol 50mg tab [SJGH],12.68,San Joaquin General Hospital,2019
137,71525505,50242-0917-01,atezolizumab 1200mg/20mL SDV [SJGH],8749.3,San Joaquin General Hospital,2019
138,41704883,00002-3251-30,atomoxetine 100mg cap [SJGH],439.8201,San Joaquin General Hospital,2019
139,41704867,60687-0326-25,atomoxetine 40mg cap [SJGH],142.1199,San Joaquin General Hospital,2019
140,41704735,68084-0097-01,atorvastatin 10mg tab [SJGH],15.81,San Joaquin General Hospital,2019
141,41704743,68084-0098-01,atorvastatin 20mg tab [SJGH],19.69,San Joaquin General Hospital,2019
142,41704800,00904-6292-61,atorvastatin 40mg tab [SJGH],30.18,San Joaquin General Hospital,2019
143,41704727,65162-0693-88,atovaquone 750mg/5mL susp 210mL [SJGH],589.1907,San Joaquin General Hospital,2019
144,71542351,00641-6006-10,atropine 0.4mg/mL MDV 20mL [SJGH],283.04,San Joaquin General Hospital,2019
145,71542344,00517-0401-25,atropine 0.4mg/mL SDV [SJGH],95.13,San Joaquin General Hospital,2019
146,71542492,00409-4910-34,atropine 0.5mg/5mL PFS [SJGH],73.83,San Joaquin General Hospital,2019
147,41750019,24208-0825-55,atropine 1% eye oint 3.5gm [SJGH],15.36,San Joaquin General Hospital,2019
148,41705021,00065-0303-55,atropine 1% eye soln 5mL [SJGH],44.1,San Joaquin General Hospital,2019
149,71542484,00409-4911-34,atropine 1mg/10mL PFS [SJGH],82.17999999999998,San Joaquin General Hospital,2019
150,71542625,00517-1010-25,atropine 1mg/mL SDV [SJGH],165.52,San Joaquin General Hospital,2019
151,71525524,44087-3535-01,avelumab 200mg/10mL SDV [SJGH],1549.46,San Joaquin General Hospital,2019
152,71525513,59572-0102-01,azaCITIDine 100mg SDV [SJGH],585.24,San Joaquin General Hospital,2019
153,41705138,51079-0620-06,azaTHIOprine 50mg tab [SJGH],21.82,San Joaquin General Hospital,2019
154,41705146,59762-3110-01,azithromycin 100mg/5mL susp 15mL [SJGH],15.37005,San Joaquin General Hospital,2019
155,41705161,00093-2026-23,azithromycin 200mg/5mL susp 15mL [SJGH],10.78995,San Joaquin General Hospital,2019
156,41705179,50268-0098-15,azithromycin 250mg tab [SJGH],48.09,San Joaquin General Hospital,2019
157,71511018,63323-0398-10,azithromycin 500mg SDV [SJGH],25.34,San Joaquin General Hospital,2019
158,41705153,60687-0271-21,azithromycin 500mg tab [SJGH],57.66,San Joaquin General Hospital,2019
159,41706195,60687-0314-25,azithromycin 600mg tab [SJGH],2.814,San Joaquin General Hospital,2019
160,71514095,00003-2560-16,aztreonam 1gm SDV [SJGH],275.19,San Joaquin General Hospital,2019
161,71514103,00003-2570-16,aztreonam 2gm SDV [SJGH],550.37,San Joaquin General Hospital,2019
162,41799032,99999-9999-35,bacillus calmette-guerrin (BCG) 50mg/NS 50ml compound [SJGH],146.74,San Joaquin General Hospital,2019
163,71541619,00052-0602-02,bacillus calmette-guerrin 50mg SDV [SJGH],157.02,San Joaquin General Hospital,2019
164,41705203,45802-0060-70,bacitracin 0.9gm oint [SJGH],17.300159999999998,San Joaquin General Hospital,2019
165,71511125,00009-0233-01,"bacitracin 50,000unit SDV [SJGH]",4.75,San Joaquin General Hospital,2019
166,41705212,00713-0280-31,bacitracin 500units/gm oint 30gm [SJGH],1.3599,San Joaquin General Hospital,2019
167,41705286,00574-4021-35,bacitracin/polymyxin B eye oint 3.5gm [SJGH],5.84,San Joaquin General Hospital,2019
168,41799054,99999-9999-24,baclofen 10mg per ml oral suspension 120mL [SJGH],59.3652,San Joaquin General Hospital,2019
169,41705393,00904-6475-61,baclofen 10mg tab [SJGH],35.89,San Joaquin General Hospital,2019
170,71532089,00409-1966-07,bacteriostatic NaCl 0.9% MDV 30mL [SJGH],17.3325,San Joaquin General Hospital,2019
171,71550594,00409-3977-03,bacteriostatic water MDV 30mL [SJGH],9.25,San Joaquin General Hospital,2019
172,41705435,00065-0795-15,balanced salt solution eye soln 15mL [SJGH],107.6112,San Joaquin General Hospital,2019
173,41705443,00065-0795-50,balanced salt solution eye soln 500mL [SJGH],29.88,San Joaquin General Hospital,2019
174,41705526,59310-0302-40,beclomethasone 40mcg/inh HFA 10.6gm [SJGH],155.81,San Joaquin General Hospital,2019
175,41705534,59310-0304-80,beclomethasone 80mcg/inh HFA 10.6gm [SJGH],208.63,San Joaquin General Hospital,2019
176,71542781,49401-0101-01,belimumab 120mg SDV [SJGH],510.55,San Joaquin General Hospital,2019
177,71542799,49401-0102-01,belimumab 400mg SDV [SJGH],1701.78,San Joaquin General Hospital,2019
178,71525570,63459-0348-04,bendamustine 100mg/4mL MDV [SJGH],2347.39,San Joaquin General Hospital,2019
179,41705906,00283-0679-02,benzocaine 20% oromucosal spray 60mL [SJGH],31.193,San Joaquin General Hospital,2019
180,41705954,63029-8504-01,benzocaine 20% top spray 60mL [SJGH],4.256,San Joaquin General Hospital,2019
181,41706755,00395-0243-92,benzoin compound tincture 60mL [SJGH],6.2298,San Joaquin General Hospital,2019
182,41706441,60687-0368-01,benztropine 1mg tab [SJGH],36.46,San Joaquin General Hospital,2019
183,41706565,60687-0379-01,benztropine 2mg tab [SJGH],41.59,San Joaquin General Hospital,2019
184,71542765,00143-9729-05,benztropine 2mg/2mL SDV [SJGH],217.61,San Joaquin General Hospital,2019
185,71540157,49471-0001-05,benzylpenicilloyl polylysine 0.25mL amp [SJGH],656.64,San Joaquin General Hospital,2019
186,71523047,00517-0720-01,betamethasone 6mg/mL MDV 5mL [SJGH],32.22,San Joaquin General Hospital,2019
187,41706979,00832-0511-01,bethanechol 10mg tab [SJGH],47.73,San Joaquin General Hospital,2019
188,41707068,68084-0704-01,bethanechol 25mg tab [SJGH],73.47,San Joaquin General Hospital,2019
189,71525653,50242-0060-01,bevacizumab 100mg/4mL SDV [SJGH],777.5,San Joaquin General Hospital,2019
190,71525661,50242-0061-01,bevacizumab 400mg/16mL SDV [SJGH],3110.0,San Joaquin General Hospital,2019
191,41707100,00093-0220-56,bicalutamide 50mg tab [SJGH],5.9799000000000015,San Joaquin General Hospital,2019
192,41707171,00023-3205-03,bimatoprost 0.01% eye drop 2.5ml [SJGH],170.61,San Joaquin General Hospital,2019
193,41707159,00536-1355-01,bisacodyl 10mg supp [SJGH],6.44,San Joaquin General Hospital,2019
194,41707225,00904-6407-61,bisacodyl EC 5mg tab [SJGH],2.28,San Joaquin General Hospital,2019
195,41707274,00904-1314-09,bismuth subsalicylate 525mg/15mL susp 236mL [SJGH],1.7904,San Joaquin General Hospital,2019
196,71521025,65293-0001-01,bivalirudin 250mg SDV [SJGH],1850.356,San Joaquin General Hospital,2019
197,71525042,00703-3154-01,bleomycin 15unit SDV [SJGH],54.28,San Joaquin General Hospital,2019
198,71525067,00703-3155-01,bleomycin 30 unit SDV [SJGH],100.68,San Joaquin General Hospital,2019
199,71525646,63020-0049-01,bortezomib 3.5mg SDV [SJGH],1603.0,San Joaquin General Hospital,2019
200,71525182,51144-0050-01,brentuximab 50mg SDV [SJGH],7375.0,San Joaquin General Hospital,2019
201,41707423,00023-9321-05,brimonidine 0.1% eye soln 5mL [SJGH],138.55,San Joaquin General Hospital,2019
202,41707456,24208-0411-05,brimonidine 0.2% eye soln 5mL [SJGH],2.36,San Joaquin General Hospital,2019
203,41707829,00378-2042-93,bromocriptine 2.5mg tab [SJGH],125.6301,San Joaquin General Hospital,2019
204,41707837,00487-9601-30,budesonide 0.25mg/2mL neb [SJGH],135.2202,San Joaquin General Hospital,2019
205,41707845,00487-9701-01,budesonide 0.5mg/2mL neb [SJGH],163.11,San Joaquin General Hospital,2019
206,41707753,00378-7155-01,budesonide EC 3mg cap [SJGH],1299.16,San Joaquin General Hospital,2019
207,41708009,00185-0129-01,bumetanide 1mg tab [SJGH],53.18000000000001,San Joaquin General Hospital,2019
208,71542724,00641-6008-10,bumetanide 1mg/4mL SDV [SJGH],17.330000000000002,San Joaquin General Hospital,2019
209,41708017,00185-0130-01,bumetanide 2mg tab [SJGH],88.1,San Joaquin General Hospital,2019
210,71518021,00409-1159-01,bupivacaine 0.25% 10mL SDV [SJGH],24.91,San Joaquin General Hospital,2019
211,71518047,00409-1159-02,bupivacaine 0.25% 30mL SDV [SJGH],31.32,San Joaquin General Hospital,2019
212,71518229,00409-9042-01,"bupivacaine 0.25%/EPINEPHrine 1:200,000 10mL SDV [SJGH]",12.43,San Joaquin General Hospital,2019
213,71518237,00409-9042-17,"bupivacaine 0.25%/EPINEPHrine 1:200,000 30mL SDV [SJGH]",54.33000000000001,San Joaquin General Hospital,2019
214,71518096,00409-1162-01,bupivacaine 0.5% 10mL SDV [SJGH],27.28,San Joaquin General Hospital,2019
215,71518104,00409-1162-02,bupivacaine 0.5% 30mL SDV [SJGH],29.8875,San Joaquin General Hospital,2019
216,71518253,00409-9045-01,"bupivacaine 0.5%/EPINEPHrine 1:200,000 10mL SDV [SJGH]",15.85,San Joaquin General Hospital,2019
217,71518245,00409-1749-29,"bupivacaine 0.5%/EPINEPHrine 1:200,000 30mL SDV [SJGH]",42.99,San Joaquin General Hospital,2019
218,71518161,00409-1582-10,bupivacaine 0.75% 10mL SDV [SJGH],30.65,San Joaquin General Hospital,2019
219,71518302,00409-1761-02,bupivacaine 0.75%/dextrose 8.75% spinal 2mL amp [SJGH],25.72,San Joaquin General Hospital,2019
220,71516009,12496-0757-05,buprenorphine 0.3 mg/mL SDV [SJGH],71.98,San Joaquin General Hospital,2019
221,41707959,00228-3156-03,buprenorphine 2mg SL tab [SJGH],13.7799,San Joaquin General Hospital,2019
222,41707964,00228-3153-03,buprenorphine 8mg SL tab [SJGH],38.85,San Joaquin General Hospital,2019
223,41770926,51079-0944-20,buPROPion 100mg tab [SJGH],108.26,San Joaquin General Hospital,2019
224,41707910,51079-0943-20,buPROPion 75mg tab [SJGH],82.48,San Joaquin General Hospital,2019
225,41707894,51079-0391-20,buPROPion SR 100mg tab [SJGH],289.36,San Joaquin General Hospital,2019
226,41707936,51079-0392-20,buPROPion SR 150mg tab [SJGH],67.80000000000001,San Joaquin General Hospital,2019
227,41708231,51079-0986-20,busPIRone 10mg tab [SJGH],6.64,San Joaquin General Hospital,2019
228,41708215,51079-0960-20,busPIRone 15mg tab [SJGH],35.4,San Joaquin General Hospital,2019
229,41708181,51079-0985-20,busPIRone 5mg tab [SJGH],6.49,San Joaquin General Hospital,2019
230,41708082,76388-0713-25,busulfan 2mg tab [SJGH],550.1,San Joaquin General Hospital,2019
231,41700337,00591-3369-01,butalbital 50mg/APAP 325mg/caff 40mg tab [SJGH],31.55,San Joaquin General Hospital,2019
232,71516025,00409-1626-01,butorphanol 2mg/mL SDV [SJGH],43.56,San Joaquin General Hospital,2019
233,71525117,00024-5824-11,cabazitaxel 60mg/1.5mL SDV [SJGH],9943.36,San Joaquin General Hospital,2019
234,41708280,51754-0501-03,caffeine citrate 60mg/3mL oral soln [SJGH],98.2701,San Joaquin General Hospital,2019
235,71542914,55150-0187-03,caffeine citrate 60mg/3mL SDV [SJGH],5.5400100000000005,San Joaquin General Hospital,2019
236,71542922,00517-2502-10,caffeine sodium benzoate 500mg/2mL SDV [SJGH],141.75,San Joaquin General Hospital,2019
237,41708249,24385-0413-96,calamine lotion 170mL [SJGH],1.5204300000000002,San Joaquin General Hospital,2019
238,71542864,67457-0675-02,calcitonin 400units/2mL SDV [SJGH],2564.95,San Joaquin General Hospital,2019
239,41708314,64380-0723-06,calcitriol 0.25mcg cap [SJGH],16.09,San Joaquin General Hospital,2019
240,41708389,00093-7353-01,calcitriol 0.5mcg cap [SJGH],144.97,San Joaquin General Hospital,2019
241,71542930,17478-0931-01,calcitriol 1mcg/mL amp [SJGH],71.18,San Joaquin General Hospital,2019
242,41708355,00054-3120-41,calcitriol 1mcg/mL soln 15mL [SJGH],72.82005,San Joaquin General Hospital,2019
243,41708413,68084-0479-01,calcium acetate 667mg cap [SJGH],62.55,San Joaquin General Hospital,2019
244,41708470,49230-0643-31,calcium acetate 667mg/5mL soln 473mL [SJGH],133.63196000000002,San Joaquin General Hospital,2019
245,41708553,00054-3117-63,calcium carbonate 1250mg/5mL susp 473mL [SJGH],4.9,San Joaquin General Hospital,2019
246,41708454,00536-1024-10,calcium carbonate 648mg tab [SJGH],7.2,San Joaquin General Hospital,2019
247,71531123,76329-3304-01,calcium chloride 1gm/10mL PFS [SJGH],80.66,San Joaquin General Hospital,2019
