,EAP PROC CODE,Description,CPT,REV CODE,Price,Hospital,Year
93,303483,HCHG DRESS/DEBRIDE-SMALL,16020,510,1069.14,Barton Memorial Hospital,2019
94,303482,HCHG DRESS/DEBRIDE-MEDIUM,16025,510,1069.14,Barton Memorial Hospital,2019
95,303481,HCHG DRESS/DEBRIDE-LARGE,16030,510,1069.14,Barton Memorial Hospital,2019
96,303357,HCHG DEST FLAT WARTS <15 LESIONS,17110,510,1427.7,Barton Memorial Hospital,2019
97,5400000,HCHG CHEMICAL CAUTERIZATION TISSUE,17250,750,465.63,Barton Memorial Hospital,2019
98,5400001,HCHG BMH 2 OR 3 CHEMICAL CAUTERY TISSUE,17250,750,465.63,Barton Memorial Hospital,2019
99,308508,HCHG SKIN TISSUE PROCEDURE,17999,450,3102.9,Barton Memorial Hospital,2019
100,309584,HCHG BMH/CVMC DRAINAGE OF BREAST LESION,19000,450,2891.49,Barton Memorial Hospital,2019
101,4400565,HCHG PUNC/ASPIR BREAST CYST,19000,761,2891.49,Barton Memorial Hospital,2019
102,4400564,"HCHG PUCT/ASPIR BREAST CYST,EACH A*",19001,761,635.49,Barton Memorial Hospital,2019
103,308511,"HCHG BMH/CVMC MASTOTOMY WITH EXPLORATION OR DRAINAGE OF ABSCESS, DEEP",19020,450,12527.44,Barton Memorial Hospital,2019
104,4410525,HCHG BX BREAST 1ST LESION STRTCTC,19081,401,4390.87,Barton Memorial Hospital,2019
105,4410526,HCHG BX BREAST ADD LESION STRTCTC,19082,401,2503.16,Barton Memorial Hospital,2019
106,4410527,HCHG BX BREAST 1ST LESION US IMAG,19083,402,4390.87,Barton Memorial Hospital,2019
107,4410528,HCHG BX BREAST ADD LESION US IMAG,19084,402,2503.16,Barton Memorial Hospital,2019
108,4410531,HCHG PERQ DEVICE BREAST 1ST IMAG,19281,402,2101.44,Barton Memorial Hospital,2019
109,4410532,HCHG PERQ DEVICE BREAST EA IMAG,19282,402,1050.72,Barton Memorial Hospital,2019
110,4410533,HCHG PERQ DEV BREAST 1ST STRTCTC,19283,402,2135.75,Barton Memorial Hospital,2019
111,4410535,HCHG PERQ DEV BREAST 1ST US IMAG,19285,402,2101.44,Barton Memorial Hospital,2019
112,4410536,HCHG PERQ DEV BREAST ADD US IMAG,19286,402,1050.72,Barton Memorial Hospital,2019
113,343110,HCHG BMH EXPLORE WOUND ABDOMEN,20102,450,6414.4,Barton Memorial Hospital,2019
114,308520,HCHG BMH/CVMC EXPLORE OF PENETRATIN WOUND EXTREMITY,20103,450,2291.74,Barton Memorial Hospital,2019
115,4400495,"HCHG NEEDLE BIOPSY,MUSCLE",20206,761,2062.03,Barton Memorial Hospital,2019
116,4400186,"HCHG BONE BIOPSY,TROCAR/NEEDLE SUPERF",20220,761,1983.22,Barton Memorial Hospital,2019
117,4400185,"HCHG BONE BIOPSY,TROCAR/NEEDLE DEEP",20225,761,6014.51,Barton Memorial Hospital,2019
118,308522,HCHG BMH/CVMC REMOVAL OF FOREIGN BODY SIMPLE,20520,450,3659.71,Barton Memorial Hospital,2019
119,308524,HCHG REMOVAL FB DEEP COMPLICATED,20525,450,6772.17,Barton Memorial Hospital,2019
120,306584,HCHG INJ(S)-TRIGGER PT(S)-1/2MUSCU*,20552,450,1704.24,Barton Memorial Hospital,2019
121,304099,HCHG INJ(S)-TRIGGER PT(S)-3/MORE MS,20553,761,842.9,Barton Memorial Hospital,2019
122,304103,HCHG INJ/ASPIR-SMALL JT/BURSA W/O US GUIDE,20600,510,1928.36,Barton Memorial Hospital,2019
123,4400291,HCHG INJ/ASPIR-SMALL JT/BURSA W/O US GUIDE,20600,761,1928.36,Barton Memorial Hospital,2019
124,304104,HCHG INJ/ASPIR-INTERMED JT/BURSA W/O US GUIDE,20605,761,1657.05,Barton Memorial Hospital,2019
125,4400289,HCHG INJ/ASPIR-INTERMED JT/BURSA W/O US GUIDE,20605,761,1657.05,Barton Memorial Hospital,2019
126,304668,HCHG INJ/ASPIR-INTERMED JT/BURSA WITH US GUIDE,20606,761,2137.82,Barton Memorial Hospital,2019
127,343111,HCHG BMH DRAIN/INJECT JOINT/BURSA,20610,450,2143.16,Barton Memorial Hospital,2019
128,343151,HCHG BMH ASPIRATION AND/OR INJECTION; MAJOR JOINT OR BURSA,20610,760,2143.16,Barton Memorial Hospital,2019
129,4400290,HCHG INJ/ASPIR-LARGE JT/BURSA W/O US GUIDE,20610,761,2143.16,Barton Memorial Hospital,2019
130,304690,HCHG INJ/ASPIR-LARGE JT/BURSA WITH US GUIDE,20611,450,954.64,Barton Memorial Hospital,2019
131,308532,HCHG BMH REMOVAL OF SUPPORT IMPLANT,20670,450,8649.8,Barton Memorial Hospital,2019
132,110367,HCHG INTERDENTAL FIXATION,21110,450,4477.91,Barton Memorial Hospital,2019
133,308537,HCHG BMH/CVMC TREATMENT OF NASAL BONE FRACTURE W/O MANIPULATION,21310,450,1236.41,Barton Memorial Hospital,2019
134,308539,HCHG BMH/CVMC CLOSED TX OF NASAL BONE FRACTURE W/O STABILIZATION,21315,450,4229.88,Barton Memorial Hospital,2019
135,308542,HCHG BMH/CVMC TREAT DENTAL RIDGE FRACTURE,21440,450,17434.28,Barton Memorial Hospital,2019
136,308543,HCHG BMH TREAT LOWER JAW FRACTURE W/O MANIPULATION,21450,450,1197.48,Barton Memorial Hospital,2019
137,308545,HCHG RESET DISLOCATED JAW CLOSED TX INITIAL OR SUBSEQUENT,21480,450,1197.48,Barton Memorial Hospital,2019
138,308547,HCHG BMH/CVMC DRAIN NECK/CHEST LESION,21501,450,10017.37,Barton Memorial Hospital,2019
139,4400183,HCHG BIOPSY SOFT TISSUE NECK/CHEST,21550,761,4248.65,Barton Memorial Hospital,2019
140,308550,HCHG BMH CLOSED TREATMENT STERNUM FRACTURE,21820,450,1051.78,Barton Memorial Hospital,2019
141,4401603,"HCHG BMH BIOPSY, SOFT TISSUE OF BACK OR FLANK; SUPERFICIAL",21920,360,4142.4,Barton Memorial Hospital,2019
142,308551,"HCHG BMH BIOPSY, SOFT TISSUE OF BACK OR FLANK; DEEP",21925,360,7225.85,Barton Memorial Hospital,2019
143,343201,HCHG BMH CLOSED TX VERT FX W/O MANI,22310,450,2683.36,Barton Memorial Hospital,2019
144,342760,HCHG PERQ CERIVICOTHORACIC INJECT,22510,761,10993.04,Barton Memorial Hospital,2019
145,372761,HCHG PERQ LUMBOSACRAL INJECTION,22511,761,10993.04,Barton Memorial Hospital,2019
146,342762,HCHG VERTEBROPLASTY ADDL INJECT,22512,761,10993.04,Barton Memorial Hospital,2019
147,342763,HCHG PERQ VERTEBRAL AUGMENT THORACIC,22513,761,30099.77,Barton Memorial Hospital,2019
148,342764,HCHG PERQ VERTEBRAL AUGMENT LUMBAR,22514,761,29223.23,Barton Memorial Hospital,2019
149,342765,HCHG PERQ VERTEBRAL AUG EACH ADDL,22515,761,29223.23,Barton Memorial Hospital,2019
150,4400350,HCHG INJ PROC SHOULDER ARTHROGRAPHY/CT/MRI,23350,761,941.6,Barton Memorial Hospital,2019
151,308553,HCHG BMH/CVMC TREAT CLAVICLE FX W/O MANIPULATION,23500,450,1126.71,Barton Memorial Hospital,2019
152,308555,HCHG BMH/CVMC TREAT CLAVICLE FRACTURE CLOSED,23505,450,1260.03,Barton Memorial Hospital,2019
153,303451,HCHG DISLOC STERNOCLAVICULAR CLSD,23520,450,1103.9,Barton Memorial Hospital,2019
154,303449,HCHG DISLOC ACROMIOCLAVICULAR CLSD,23540,450,1126.71,Barton Memorial Hospital,2019
155,308561,HCHG BMH/CVMC TREAT CLAVICLE DISLOCATION CLOSED W/MANIPULATION,23545,450,1491.31,Barton Memorial Hospital,2019
156,308563,HCHG BMH/CVMC TREAT SHOULDER BLADE FX W/O MANI,23570,450,1165.09,Barton Memorial Hospital,2019
157,308565,HCHG BMH/CVMC TREAT SHOULDER BLADE FX,23575,450,1284.1,Barton Memorial Hospital,2019
158,308567,HCHG BMH/CVMC TREAT HUMERUS FX W/O MANIPULATION,23600,450,1145.7,Barton Memorial Hospital,2019
159,308568,HCHG TREAT HUMERUS FRACTURE CLOSED,23605,450,7343.06,Barton Memorial Hospital,2019
160,308570,HCHG BMH/CVMC TREAT HUMERUS FRACTURE W/O MAN,23620,450,1145.7,Barton Memorial Hospital,2019
161,308571,HCHG BMH CLOSED TX OF GREATER HUMERAL TUBEROSITY FRACTURE W/MANI,23625,450,6334.16,Barton Memorial Hospital,2019
162,303450,HCHG DISLOC SHOULDER W/MANIP CLSD,23650,450,1126.71,Barton Memorial Hospital,2019
163,308574,HCHG BMH/CVMC TREAT SHOULDER DISLOCATION,23655,450,6767.12,Barton Memorial Hospital,2019
164,308576,HCHG BMH/CVMC TREAT DISLOCATION/FRACTURE W/MANIPULATION,23665,450,3972.71,Barton Memorial Hospital,2019
165,308531,HCHG BMH REMOVAL OF FOREIGN BODY ARM,24201,450,5177.48,Barton Memorial Hospital,2019
166,4400371,HCHG INJECTION FOR ELBOW ARTHROGRAM,24220,761,303.85,Barton Memorial Hospital,2019
167,308582,HCHG BMH/CVMC CLOSED TX OF HUMERAL SHAFT FRACTURE; W/O MANIPULATION,24500,450,1146.47,Barton Memorial Hospital,2019
168,308584,HCHG BMH/CVMC TREAT HUMERUS FRACTURE W/WO SKELETAL TRACTION,24505,450,1126.71,Barton Memorial Hospital,2019
169,308586,HCHG BMH/CVMC CLOSED TX HUMERUS FX W/O MANIPULATION,24530,450,1146.47,Barton Memorial Hospital,2019
170,308588,HCHG BMH/CVMC TREAT HUMERUS FRACTURE CLOSED W/MANIPULATION,24535,450,1111.57,Barton Memorial Hospital,2019
171,308590,HCHG BMH/CVMC TX HUMERUS FX-W MANIPULATION,24565,450,1111.57,Barton Memorial Hospital,2019
172,343112,"HCHG BMH CLOSED TREATMENT OF HUMERAL CONDYLAR FRACTURE, W/O MANI",24576,450,838.21,Barton Memorial Hospital,2019
173,308592,HCHG BMH/CVMC TREAT HUMERUS FRACTURE CLOSED  MEDIAL/LATERAL W/MAN,24577,450,1111.57,Barton Memorial Hospital,2019
174,303454,HCHG DISLOC TX ELBOW W/O ANES CLSD,24600,450,1126.71,Barton Memorial Hospital,2019
175,308595,HCHG TREAT ELBOW DISLOCATION W/ANE,24605,450,6767.12,Barton Memorial Hospital,2019
176,308597,HCHG BMH/CVMC CLOSED TX OF MONTEGGIA TYPE OF FX  DISLOCATION AT ELBOW,24620,450,13996.56,Barton Memorial Hospital,2019
177,305587,HCHG TX ELBOW CHILD W/MANIP CLSD,24640,450,1126.71,Barton Memorial Hospital,2019
178,308600,HCHG BMH/CVMC CLOSED TX RADIUS FX W/O MANIPULATION,24650,450,1126.71,Barton Memorial Hospital,2019
179,308602,HCHG BMH/CVMC TREAT RADIUS FX W/MANIPULATION,24655,450,1658.35,Barton Memorial Hospital,2019
180,308604,HCHG BMH/CVMC CLOSED TX ULNAR FX WO MANIPULATION,24670,450,1419.57,Barton Memorial Hospital,2019
181,4400375,HCHG INJECTION FOR WRIST ARTHROGRAM,25246,761,1398.4,Barton Memorial Hospital,2019
182,308607,HCHG REPAIR FOREARM TENDON MUSCLE LVL I,25260,450,9238.11,Barton Memorial Hospital,2019
183,302713,HCHG REPAIR FOREARM TENDON MUSCLE LVL II,25270,450,8176.46,Barton Memorial Hospital,2019
184,308609,HCHG BMH/CVMC TX FRACTURE OF RADIUS W/O MANIPULATION,25500,450,1111.57,Barton Memorial Hospital,2019
185,308611,HCHG BMH/CVMC CLOSED TX OF RADIAL SHAFT W/MANIPULATION,25505,450,3972.71,Barton Memorial Hospital,2019
186,308612,HCHG BMH CLOSED TREATMENT OF RADIAL SHAFT FRACTURE,25520,450,659.94,Barton Memorial Hospital,2019
187,308614,HCHG BMH/CVMC TX FX OF ULNA W/O MANIPULATION,25530,450,1111.57,Barton Memorial Hospital,2019
188,308616,HCHG BMH/CVMC TREAT FRACTURE OF ULNA WITH MANIPULATION,25535,450,1111.57,Barton Memorial Hospital,2019
189,308618,HCHG BMH/CVMC TREAT FX RADIUS/ULNA W/O MANIPULATION,25560,450,1145.7,Barton Memorial Hospital,2019
190,308620,HCHG BMH/CVMC TREAT FX RADIUS/ULNA W/MANIPULATION,25565,450,3972.71,Barton Memorial Hospital,2019
191,308622,HCHG BMH/CVMC TREAT FX W/O MANIPULATION,25600,450,1145.7,Barton Memorial Hospital,2019
192,307105,HCHG DISLOC TX RADIUS/ULNA CLSD,25605,450,3972.71,Barton Memorial Hospital,2019
193,308625,HCHG BMH/CVMC CLOSED TX WRIST BONE FX WO MANIPULATION,25622,450,1146.47,Barton Memorial Hospital,2019
194,308627,HCHG BMH/CVMC CLOSED TX OF CARPAL SCAPHOID FRACTURE W/MANIPULATION,25624,450,4330.25,Barton Memorial Hospital,2019
195,308629,HCHG BMH/CVMC CLOSED TX WRIST BONE FX WO MANIPULATION,25630,450,1146.47,Barton Memorial Hospital,2019
196,308631,HCHG BMH/CVMC TX OF CARPAL BONE FX W/MANIPULATION,25635,450,1910.18,Barton Memorial Hospital,2019
197,308633,HCHG BMH/CVMC TREAT WRIST BONE FRACTURE CLOSED/ULNAR STYLOID,25650,450,1111.57,Barton Memorial Hospital,2019
198,303453,HCHG DISLOC TX CARPAL W/MANIP CLSD,25660,450,1111.57,Barton Memorial Hospital,2019
199,308635,HCHG BMH/CVMC TREAT WRIST DISLOCATION CLOSED W/MANIPULATION,25675,450,1111.57,Barton Memorial Hospital,2019
200,308636,HCHG BMH TREAT WRIST FRACTURE,25680,450,1111.57,Barton Memorial Hospital,2019
201,308640,HCHG BMH/CVMC DRAINAGE OF FINGER ABSCESS,26010,450,996.19,Barton Memorial Hospital,2019
202,308642,HCHG DRAINAGE FINGER ABSCESS COMPLICATED,26011,360,4018.86,Barton Memorial Hospital,2019
203,308644,HCHG INCISE FINGER TENDON SHEATH,26055,450,5311.05,Barton Memorial Hospital,2019
204,362121,HCHG PARTIAL REMOVAL OF FINGER BONE,26236,450,6305.72,Barton Memorial Hospital,2019
205,302711,HCHG REPAIR FINGER HAND TENDON,26370,450,10220.57,Barton Memorial Hospital,2019
206,308645,HCHG BMH REPAIR FINGER TENDON W/O GRAFT,26418,450,10733.03,Barton Memorial Hospital,2019
207,110365,HCHG TENDON LENGTHENING,26476,450,5311.05,Barton Memorial Hospital,2019
208,308647,HCHG BMH/CVMC TREAT METACARPAL FX W/O MANIPULATION,26600,450,1145.7,Barton Memorial Hospital,2019
209,308649,HCHG TREAT METACARPAL FX W MANIPULATION,26605,450,1126.71,Barton Memorial Hospital,2019
210,308651,HCHG BMH/CVMC TREAT METACARPAL FRACTURE W/MANIPULATION EACH BONE,26607,450,1111.57,Barton Memorial Hospital,2019
211,308653,HCHG BMH/CVMC TEAT THUMB DISLOCATION W/MANIPULATION,26641,450,1145.7,Barton Memorial Hospital,2019
212,308655,HCHG BMH/CVMC TREAT THUMB FRACTURE CLOSED W/MANIPULATION,26645,450,1111.57,Barton Memorial Hospital,2019
213,308657,HCHG BMH/CVMC TX HAND DISLOCATION W/MANIPULATION W/O ANES,26670,450,1111.57,Barton Memorial Hospital,2019
214,308659,HCHG BMH/CVMC TX KNUCKLE DISLOCATION W/MANIPULATION W/O ANES,26700,450,1126.71,Barton Memorial Hospital,2019
215,308661,HCHG BMH/CVMC TREAT FINGER FX EACH W/O MANIPULATION,26720,450,1126.71,Barton Memorial Hospital,2019
216,308663,HCHG TX FINGER FX-W MANIPULATION,26725,450,1126.71,Barton Memorial Hospital,2019
217,308665,HCHG BMH/CVMC TX FINGER FX EACH W/O MANIPULATION,26740,450,1111.57,Barton Memorial Hospital,2019
218,308667,HCHG BMH/CVMC TREAT FINGER FRACTURE EACH CLOSED W/MANIPULATION,26742,450,1126.71,Barton Memorial Hospital,2019
219,308669,HCHG BMH/CVMC CLOSED TX FINGER FX W/O MAN,26750,450,1146.47,Barton Memorial Hospital,2019
220,308671,HCHG BMH/CVMC TREAT FINGER FX EACH W/MANIPULATION,26755,450,1111.57,Barton Memorial Hospital,2019
