,Procedure Code,Procedure Desc,Procedure Effective Date,Charge Category,Charge Dept ID,Charge Dept Name,Price,Hospital,Year
25,21000015,ABO BLOOD TYPE (CORD),2018-10-01 00:00:00,302,10.45,HMA REV-CLINICAL LAB,266.93,Henry Mayo Newhall Memorial Hospital,2019
26,21907866,ABS T CELLS CD4&CD8 W RATIO,2011-09-14 00:00:00,302,10.4509,HMA REV-REFERENCE LAB,49.5,Henry Mayo Newhall Memorial Hospital,2019
27,21907891,"ABS T CELLS, CD4/CD8 RATIO",2011-09-14 00:00:00,302,10.4509,HMA REV-REFERENCE LAB,35.0,Henry Mayo Newhall Memorial Hospital,2019
28,21907917,ABSOLUTE CD4 COUNT,2017-12-26 00:00:00,309,10.4509,HMA REV-REFERENCE LAB,30.0,Henry Mayo Newhall Memorial Hospital,2019
29,43402610,ACAMPROSATE CALCIUM 333 MG TAB,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,10.7,Henry Mayo Newhall Memorial Hospital,2019
30,43121800,ACARBOSE 50MG TABLET,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,10.25,Henry Mayo Newhall Memorial Hospital,2019
31,43025600,ACEBUTOLOL 200 MG CAP,2007-09-12 00:00:00,250,10.471,HMA REV-PHARMACY,16.3,Henry Mayo Newhall Memorial Hospital,2019
32,43414340,ACETAM/COD 473 ML,2012-05-03 00:00:00,250,10.471,HMA REV-PHARMACY,43.0,Henry Mayo Newhall Memorial Hospital,2019
33,43313600,ACETAMIN 650 MG/20.3 ML,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,10.8,Henry Mayo Newhall Memorial Hospital,2019
34,21008120,ACETAMINOPHEN,2018-10-01 00:00:00,301,10.45,HMA REV-CLINICAL LAB,390.44,Henry Mayo Newhall Memorial Hospital,2019
35,21940106,ACETAMINOPHEN,2009-10-07 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,24.0,Henry Mayo Newhall Memorial Hospital,2019
36,43165100,ACETAMINOPHEN 120 MG SUP,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,7.4,Henry Mayo Newhall Memorial Hospital,2019
37,43415470,ACETAMINOPHEN 160 MG/5 ML,2012-10-01 00:00:00,250,10.471,HMA REV-PHARMACY,10.5,Henry Mayo Newhall Memorial Hospital,2019
38,43325000,ACETAMINOPHEN 325 MG SUPP,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,7.5,Henry Mayo Newhall Memorial Hospital,2019
39,43155200,ACETAMINOPHEN 325 MG TAB,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,6.9,Henry Mayo Newhall Memorial Hospital,2019
40,43416190,ACETAMINOPHEN 500 MG IV,2013-05-03 00:00:00,636,10.471,HMA REV-PHARMACY,52.0,Henry Mayo Newhall Memorial Hospital,2019
41,43018500,ACETAMINOPHEN 500 MG TAB,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,6.85,Henry Mayo Newhall Memorial Hospital,2019
42,43325100,ACETAMINOPHEN 650 MG SUP,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,7.55,Henry Mayo Newhall Memorial Hospital,2019
43,43415640,ACETAMINOPHEN 80 MG/2.5 ML SYR,2012-12-21 00:00:00,250,10.471,HMA REV-PHARMACY,10.75,Henry Mayo Newhall Memorial Hospital,2019
44,43419600,ACETAMINOPHEN INFANT 80 MG SUP,2015-09-01 00:00:00,250,10.471,HMA REV-PHARMACY,7.6,Henry Mayo Newhall Memorial Hospital,2019
45,43409340,ACETAMINOPHEN/HYDROCOD 7.5/325,2008-12-05 00:00:00,250,10.471,HMA REV-PHARMACY,12.0,Henry Mayo Newhall Memorial Hospital,2019
46,43413870,ACETAMINOPHN 1000 MG IV VIAL,2012-02-02 00:00:00,636,10.471,HMA REV-PHARMACY,92.5,Henry Mayo Newhall Memorial Hospital,2019
47,43366800,ACETAZOLAMIDE 250 MG TAB,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,12.1,Henry Mayo Newhall Memorial Hospital,2019
48,43088000,ACETAZOLAMIDE SODIUM 500 MG VL,1980-01-01 00:00:00,636,10.471,HMA REV-PHARMACY,97.0,Henry Mayo Newhall Memorial Hospital,2019
49,43412900,ACETIC ACID 0.1% 1000 ML,2011-06-07 00:00:00,250,10.471,HMA REV-PHARMACY,43.5,Henry Mayo Newhall Memorial Hospital,2019
50,43409820,ACETIC ACID 2% OTIC 15 ML,2009-04-06 00:00:00,250,10.471,HMA REV-PHARMACY,63.5,Henry Mayo Newhall Memorial Hospital,2019
51,43410540,ACETIC ACID 5% 473 ML,2009-10-05 00:00:00,250,10.471,HMA REV-PHARMACY,20.0,Henry Mayo Newhall Memorial Hospital,2019
52,21907420,ACETONE,2017-08-28 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,26.5,Henry Mayo Newhall Memorial Hospital,2019
53,21900062,ACETYLCHOL RCP BINDING AB,2012-04-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,57.21,Henry Mayo Newhall Memorial Hospital,2019
54,21900063,"ACETYLCHOL RCP BLOCKING AB, RI",2008-02-22 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,60.0,Henry Mayo Newhall Memorial Hospital,2019
55,21900064,"ACETYLCHOL RCP MODLTNG AB, RIA",1980-01-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,59.4,Henry Mayo Newhall Memorial Hospital,2019
56,43171200,ACETYLCHOLINE CHL 1 % 2 ML,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,212.9,Henry Mayo Newhall Memorial Hospital,2019
57,43400650,ACETYLCYCTEINE 20% 30ML,2007-05-14 00:00:00,636,10.471,HMA REV-PHARMACY,44.95,Henry Mayo Newhall Memorial Hospital,2019
58,43400640,ACETYLCYSTEINE 20 % 4 ML,1980-01-01 00:00:00,636,10.471,HMA REV-PHARMACY,47.5,Henry Mayo Newhall Memorial Hospital,2019
59,43413730,ACETYLCYSTEINE 20% 10 ML,2011-12-29 00:00:00,636,10.471,HMA REV-PHARMACY,46.95,Henry Mayo Newhall Memorial Hospital,2019
60,43416340,ACETYLCYSTEINE 20% 3 ML INH,2013-06-12 00:00:00,636,10.471,HMA REV-PHARMACY,10.25,Henry Mayo Newhall Memorial Hospital,2019
61,43401870,ACETYLCYSTEINE 20% 30 ML,1980-01-01 00:00:00,636,10.471,HMA REV-PHARMACY,431.5,Henry Mayo Newhall Memorial Hospital,2019
62,43415540,ACETYLCYSTEINE 600 MG CAP,2012-11-05 00:00:00,250,10.471,HMA REV-PHARMACY,6.9,Henry Mayo Newhall Memorial Hospital,2019
63,21900290,ACID FAST CULTURE AND SMEAR,2008-03-31 00:00:00,309,10.4509,HMA REV-REFERENCE LAB,0.0,Henry Mayo Newhall Memorial Hospital,2019
64,21900295,ACID-FAST BACILLI STAIN,1980-01-01 00:00:00,306,10.4509,HMA REV-REFERENCE LAB,3.0,Henry Mayo Newhall Memorial Hospital,2019
65,43411960,ACITRETIN 25 MG CAP,2010-12-08 00:00:00,250,10.471,HMA REV-PHARMACY,168.15,Henry Mayo Newhall Memorial Hospital,2019
66,21000250,ACT POCT,2018-10-01 00:00:00,305,10.45,HMA REV-CLINICAL LAB,584.9,Henry Mayo Newhall Memorial Hospital,2019
67,21900201,ACTH,1980-01-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,12.0,Henry Mayo Newhall Memorial Hospital,2019
68,43411930,ACTIMMUNE 100 MCG VIAL,2010-11-12 00:00:00,636,10.471,HMA REV-PHARMACY,568.5,Henry Mayo Newhall Memorial Hospital,2019
69,43135300,ACTIVATED CHARCOAL 240 ML,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,58.35,Henry Mayo Newhall Memorial Hospital,2019
70,21900082,ACTIVATED PROTEIN C RESISTANCE,2008-02-26 00:00:00,305,10.4509,HMA REV-REFERENCE LAB,68.2,Henry Mayo Newhall Memorial Hospital,2019
71,21008300,ACUTE HEPATITIS PANEL,2018-10-01 00:00:00,301,10.45,HMA REV-CLINICAL LAB,877.37,Henry Mayo Newhall Memorial Hospital,2019
72,43131700,ACYCLOVIR 200 MG/5ML SUS,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,103.0,Henry Mayo Newhall Memorial Hospital,2019
73,43190300,ACYCLOVIR 200MG CAPSULE,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,11.75,Henry Mayo Newhall Memorial Hospital,2019
74,43422540,Acyclovir 200mg/5mL oral syr,2018-09-01 00:00:00,636,10.471,HMA REV-PHARMACY,11.0,Henry Mayo Newhall Memorial Hospital,2019
75,43222000,ACYCLOVIR 400 MG TAB,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,11.4,Henry Mayo Newhall Memorial Hospital,2019
76,43417360,ACYCLOVIR 5% 5 GM OINT,2014-03-14 00:00:00,250,10.471,HMA REV-PHARMACY,398.0,Henry Mayo Newhall Memorial Hospital,2019
77,43414980,ACYCLOVIR 500 MG VIAL,2012-06-30 00:00:00,636,10.471,HMA REV-PHARMACY,0.0,Henry Mayo Newhall Memorial Hospital,2019
78,43413020,ACYCLOVIR 500 MG VIAL,2011-07-07 00:00:00,636,10.471,HMA REV-PHARMACY,19.5,Henry Mayo Newhall Memorial Hospital,2019
79,43420060,ACYCLOVIR IVPB 500 MG/10 ML VI,2016-05-01 00:00:00,636,10.471,HMA REV-PHARMACY,44.0,Henry Mayo Newhall Memorial Hospital,2019
80,43402710,ACYCLOVIR SODIUM 1000 MG VL,1980-01-01 00:00:00,636,10.471,HMA REV-PHARMACY,67.5,Henry Mayo Newhall Memorial Hospital,2019
81,21900096,ACYLCARNITINES PLASMA,2009-05-22 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,110.0,Henry Mayo Newhall Memorial Hospital,2019
82,43404605,ADALIMUBAB 40 MG SYRINGE,2009-02-12 00:00:00,636,10.471,HMA REV-PHARMACY,2116.5,Henry Mayo Newhall Memorial Hospital,2019
83,21911933,ADAMTS13 INHIBITOR,2016-07-20 00:00:00,305,10.4509,HMA REV-REFERENCE LAB,220.0,Henry Mayo Newhall Memorial Hospital,2019
84,43224900,ADDERALL 10 MG TAB,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,11.3,Henry Mayo Newhall Memorial Hospital,2019
85,43409270,ADDERALL 5 MG TAB,2008-11-10 00:00:00,250,10.471,HMA REV-PHARMACY,10.95,Henry Mayo Newhall Memorial Hospital,2019
86,43408940,ADDERALL XR 15 MG CAP,2008-10-01 00:00:00,250,10.471,HMA REV-PHARMACY,27.05,Henry Mayo Newhall Memorial Hospital,2019
87,43403890,ADDERALL XR 5 MG CAP,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,26.05,Henry Mayo Newhall Memorial Hospital,2019
88,43403080,ADENOSINE 3 MG/ML 30ML,1980-01-01 00:00:00,636,10.471,HMA REV-PHARMACY,550.5,Henry Mayo Newhall Memorial Hospital,2019
89,43084900,ADENOSINE 6MG/2ML INJ,1980-01-01 00:00:00,636,10.471,HMA REV-PHARMACY,36.5,Henry Mayo Newhall Memorial Hospital,2019
90,21900178,ADENOSINE DEAMINASE BLD,2018-10-30 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,30.0,Henry Mayo Newhall Memorial Hospital,2019
91,21900177,"ADENOSINE DEAMINASE, SPECT",2018-01-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,150.0,Henry Mayo Newhall Memorial Hospital,2019
92,43420180,ADENOSINE IV SOLN 60 MG/20 ML,2016-05-01 00:00:00,636,10.471,HMA REV-PHARMACY,135.5,Henry Mayo Newhall Memorial Hospital,2019
93,21900180,ADENOVIRUS AB,2011-02-14 00:00:00,302,10.4509,HMA REV-REFERENCE LAB,45.0,Henry Mayo Newhall Memorial Hospital,2019
94,21910435,ADENOVIRUS ANTIGEN,1980-01-01 00:00:00,306,10.4509,HMA REV-REFERENCE LAB,10.85,Henry Mayo Newhall Memorial Hospital,2019
95,21900182,"ADENOVIRUS DETECTION, IFA",2016-07-07 00:00:00,306,10.4509,HMA REV-REFERENCE LAB,45.5,Henry Mayo Newhall Memorial Hospital,2019
96,21900185,ADENOVIRUS DNA QN PCR,2012-04-01 00:00:00,306,10.4509,HMA REV-REFERENCE LAB,275.0,Henry Mayo Newhall Memorial Hospital,2019
97,43416830,ADO-TRASTUZUMAB 100 MG,2013-10-31 00:00:00,636,10.471,HMA REV-PHARMACY,5146.0,Henry Mayo Newhall Memorial Hospital,2019
98,21900200,ADRENAL TOTAL AUTOABS,2009-08-12 00:00:00,302,10.4509,HMA REV-REFERENCE LAB,31.0,Henry Mayo Newhall Memorial Hospital,2019
99,21900301,AFB ID BY HPLC,2016-12-28 00:00:00,306,10.4509,HMA REV-REFERENCE LAB,32.51,Henry Mayo Newhall Memorial Hospital,2019
100,21900300,AFB ID BY NUCLEIC ACID PROBE,2008-05-01 00:00:00,306,10.4509,HMA REV-REFERENCE LAB,17.24,Henry Mayo Newhall Memorial Hospital,2019
101,21900350,AFB MOXIFLOXACIN SUSC,2017-03-26 00:00:00,306,10.4509,HMA REV-REFERENCE LAB,85.0,Henry Mayo Newhall Memorial Hospital,2019
102,21960312,AFB RAPID GROWING SUSC EX,2016-11-30 00:00:00,306,10.4509,HMA REV-REFERENCE LAB,0.0,Henry Mayo Newhall Memorial Hospital,2019
103,21940125,AFP AND AFP-L3,2012-03-23 00:00:00,309,10.4509,HMA REV-REFERENCE LAB,135.0,Henry Mayo Newhall Memorial Hospital,2019
104,21940005,AFP PLEURAL FLUID,2009-09-11 00:00:00,302,10.4509,HMA REV-REFERENCE LAB,63.0,Henry Mayo Newhall Memorial Hospital,2019
105,21014320,"AG NEG BLOOD, PT SERUM",2018-10-01 00:00:00,302,10.45,HMA REV-CLINICAL LAB,199.23,Henry Mayo Newhall Memorial Hospital,2019
106,43419050,AGALSIDASE 35 MG VIAL,2015-01-14 00:00:00,636,10.471,HMA REV-PHARMACY,10012.0,Henry Mayo Newhall Memorial Hospital,2019
107,43419060,AGALSIDASE 5 MG VIAL,2015-01-14 00:00:00,636,10.471,HMA REV-PHARMACY,1378.0,Henry Mayo Newhall Memorial Hospital,2019
108,43233200,AGGRENOX 200 /25 MG ER CAP,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,29.3,Henry Mayo Newhall Memorial Hospital,2019
109,43409740,ALBENDAZOLE 200 MG TAB,2009-03-18 00:00:00,250,10.471,HMA REV-PHARMACY,526.5,Henry Mayo Newhall Memorial Hospital,2019
110,21907058,"ALBUMIN CSF, IGG SYN RATE",1980-01-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,5.0,Henry Mayo Newhall Memorial Hospital,2019
111,43283700,ALBUMIN HUMAN 25 % 100ML,1980-01-01 00:00:00,636,10.471,HMA REV-PHARMACY,340.0,Henry Mayo Newhall Memorial Hospital,2019
112,43272500,ALBUMIN HUMAN 25 % 50 ML,1980-01-01 00:00:00,636,10.471,HMA REV-PHARMACY,83.0,Henry Mayo Newhall Memorial Hospital,2019
113,43144100,ALBUMIN HUMAN 5 % 250 ML,1980-01-01 00:00:00,636,10.471,HMA REV-PHARMACY,83.5,Henry Mayo Newhall Memorial Hospital,2019
114,21900338,ALBUMIN PERICARDIAL FLUID,2016-07-08 00:00:00,309,10.4509,HMA REV-REFERENCE LAB,16.05,Henry Mayo Newhall Memorial Hospital,2019
115,21900332,ALBUMIN PERITONEAL FLUID,2016-07-05 00:00:00,309,10.4509,HMA REV-REFERENCE LAB,6.9,Henry Mayo Newhall Memorial Hospital,2019
116,21900333,ALBUMIN PLEURAL FLUID,2016-07-05 00:00:00,309,10.4509,HMA REV-REFERENCE LAB,16.05,Henry Mayo Newhall Memorial Hospital,2019
117,21900337,ALBUMIN SYNOVIAL FLUID,2016-07-08 00:00:00,309,10.4509,HMA REV-REFERENCE LAB,16.05,Henry Mayo Newhall Memorial Hospital,2019
118,21908459,"ALBUMIN, CSF. MS EVAL",1980-01-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,7.3,Henry Mayo Newhall Memorial Hospital,2019
119,21012100,"ALBUMIN, FLUID, QUANT",2018-10-01 00:00:00,301,10.45,HMA REV-CLINICAL LAB,341.65,Henry Mayo Newhall Memorial Hospital,2019
120,21908460,"ALBUMIN, S, MS EVAL",1980-01-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,7.3,Henry Mayo Newhall Memorial Hospital,2019
121,21003490,"ALBUMIN, SERUM",2018-10-01 00:00:00,301,10.45,HMA REV-CLINICAL LAB,365.57,Henry Mayo Newhall Memorial Hospital,2019
122,21907059,"ALBUMIN, SERUM, IGG SYN RATE",1980-01-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,5.0,Henry Mayo Newhall Memorial Hospital,2019
123,43413100,ALBUTEROL 0.63 MG/3 ML UDNEB,2011-07-20 00:00:00,636,10.471,HMA REV-PHARMACY,10.9,Henry Mayo Newhall Memorial Hospital,2019
124,43413090,ALBUTEROL 1.25 MG/3 ML UDNEB,2011-07-19 00:00:00,636,10.471,HMA REV-PHARMACY,10.9,Henry Mayo Newhall Memorial Hospital,2019
125,43235900,ALBUTEROL 2.5 MG/0.5 ML INH,1980-01-01 00:00:00,636,10.471,HMA REV-PHARMACY,7.7,Henry Mayo Newhall Memorial Hospital,2019
126,43035100,ALBUTEROL 2.5 MG/3 ML INH,1980-01-01 00:00:00,636,10.471,HMA REV-PHARMACY,7.6,Henry Mayo Newhall Memorial Hospital,2019
127,43381100,ALBUTEROL 2MG TABLET,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,26.95,Henry Mayo Newhall Memorial Hospital,2019
128,43408830,ALBUTEROL HFA 8 GM INHALER,2008-08-12 00:00:00,636,10.471,HMA REV-PHARMACY,45.5,Henry Mayo Newhall Memorial Hospital,2019
129,43420190,ALBUTEROL INHALER HFA 6.7 GM,2016-05-01 00:00:00,636,10.471,HMA REV-PHARMACY,126.0,Henry Mayo Newhall Memorial Hospital,2019
130,43216400,ALBUTEROL SULF 2MG/5ML,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,27.5,Henry Mayo Newhall Memorial Hospital,2019
131,43239600,ALBUTEROL SULFATE SR 4 MG TAB,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,11.0,Henry Mayo Newhall Memorial Hospital,2019
132,43413010,ALCLOMETASONE 0.05% 15 GM CR,2011-07-08 00:00:00,250,10.471,HMA REV-PHARMACY,71.5,Henry Mayo Newhall Memorial Hospital,2019
133,21940112,ALCOHOL ETHYL,2009-10-07 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,48.0,Henry Mayo Newhall Memorial Hospital,2019
134,43418030,ALDESLEUKIN 1.47 MIL UNITS,2014-10-31 00:00:00,636,10.471,HMA REV-PHARMACY,377.0,Henry Mayo Newhall Memorial Hospital,2019
135,43072700,ALDESLEUKIN 22 MILLION UNITS,1980-01-01 00:00:00,636,10.471,HMA REV-PHARMACY,8627.0,Henry Mayo Newhall Memorial Hospital,2019
136,21900348,ALDOLASE,1980-01-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,8.39,Henry Mayo Newhall Memorial Hospital,2019
137,21900351,ALDOSTERONE,1980-01-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,12.0,Henry Mayo Newhall Memorial Hospital,2019
138,21900357,ALDOSTERONE,2016-07-08 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,20.43,Henry Mayo Newhall Memorial Hospital,2019
139,21900352,ALDOSTERONE 24 HR URINE,2012-09-06 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,12.0,Henry Mayo Newhall Memorial Hospital,2019
140,43404570,ALFUZOSIN 10MG TABLET,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,12.75,Henry Mayo Newhall Memorial Hospital,2019
141,43407420,ALIKIREN 150 MG TABLET,2007-11-15 00:00:00,250,10.471,HMA REV-PHARMACY,26.85,Henry Mayo Newhall Memorial Hospital,2019
142,21900367,"ALK PHOS BONE SPCFIC,HEAT STBL",2016-09-19 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,38.5,Henry Mayo Newhall Memorial Hospital,2019
143,21900361,ALKALINE PHOS ISOENZYMES,2016-09-19 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,6.62,Henry Mayo Newhall Memorial Hospital,2019
144,21900360,ALKALINE PHOSPHATASE,2016-09-19 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,6.62,Henry Mayo Newhall Memorial Hospital,2019
145,21003740,ALKALINE P'TASE,2018-10-01 00:00:00,301,10.45,HMA REV-CLINICAL LAB,537.18,Henry Mayo Newhall Memorial Hospital,2019
146,43414430,ALL PURPOSE NIPPLE OINT 20 GM,2012-05-14 00:00:00,250,10.471,HMA REV-PHARMACY,43.5,Henry Mayo Newhall Memorial Hospital,2019
147,43248500,ALLBEE W/C TAB,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,6.85,Henry Mayo Newhall Memorial Hospital,2019
148,43191400,ALLEGRA-D 12H 60/ 120MG TAB,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,11.7,Henry Mayo Newhall Memorial Hospital,2019
149,43406970,ALLEGRE D 24 HOUR TAB,2007-08-27 00:00:00,250,10.471,HMA REV-PHARMACY,10.35,Henry Mayo Newhall Memorial Hospital,2019
150,37740516,ALLODERM SEL DUO PR LG PRF,2018-04-01 00:00:00,278,10.4421,HMA REV-GENERAL SURGERY,36456.0,Henry Mayo Newhall Memorial Hospital,2019
151,43255800,ALLOPURINOL 100 MG TAB,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,7.3,Henry Mayo Newhall Memorial Hospital,2019
152,43255900,ALLOPURINOL 300 MG TAB,1980-01-01 00:00:00,250,10.471,HMA REV-PHARMACY,7.75,Henry Mayo Newhall Memorial Hospital,2019
153,43406940,ALLOPURINOL 500 MG VIAL,2007-08-17 00:00:00,250,10.471,HMA REV-PHARMACY,8726.5,Henry Mayo Newhall Memorial Hospital,2019
154,43403100,ALOE VERA CREAM 120GM,2007-07-31 00:00:00,250,10.471,HMA REV-PHARMACY,40.0,Henry Mayo Newhall Memorial Hospital,2019
155,21901432,ALPHA 2-ANTIPLASMIN,2013-01-28 00:00:00,305,10.4509,HMA REV-REFERENCE LAB,101.0,Henry Mayo Newhall Memorial Hospital,2019
156,21903112,ALPHA CAROTENE,1980-01-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,2.0,Henry Mayo Newhall Memorial Hospital,2019
157,21901416,ALPHA DEFENSIN TEST,2018-04-24 00:00:00,309,10.4509,HMA REV-REFERENCE LAB,168.0,Henry Mayo Newhall Memorial Hospital,2019
158,21901426,ALPHA-1 ANTITRYPSIN MUTATION,2016-07-20 00:00:00,309,10.4509,HMA REV-REFERENCE LAB,275.0,Henry Mayo Newhall Memorial Hospital,2019
159,21901425,ALPHA-1-ANTITRYPSIN,1980-01-01 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,9.0,Henry Mayo Newhall Memorial Hospital,2019
160,21901440,ALPHA-FETOPROTEIN TMR MKR CSF,2012-09-06 00:00:00,301,10.4509,HMA REV-REFERENCE LAB,15.0,Henry Mayo Newhall Memorial Hospital,2019
