,Charge Code,Description,Revenue Code,Price,Hospital,Year
50,00130,CATH FOGARTY,272,165.79,Mission Community Hospital - Panorama,2019
51,00134,REF ANTI-THROMBIN III,305,51.55,Mission Community Hospital - Panorama,2019
52,00135,REF ASO TITER,302,7.75,Mission Community Hospital - Panorama,2019
53,00136,A C JTS LIMITED,320,128.37,Mission Community Hospital - Panorama,2019
54,00137,COMBIVENT INH 200 ACT 14.7GM,259,162.82,Mission Community Hospital - Panorama,2019
55,00139,REF APOLIPOPROTEIN B,301,9.34,Mission Community Hospital - Panorama,2019
56,00141,REF ANTI - DIURETIC HORMONE,301,81.46,Mission Community Hospital - Panorama,2019
57,00142,AEROSOLIZED PENTAMIDINE ADMIN.,410,246.68,Mission Community Hospital - Panorama,2019
58,00145,REF APOLIPROTEIN A-1,301,9.34,Mission Community Hospital - Panorama,2019
59,00149,ANGIO FEMORAL UNI EXTREM,323,5331.37,Mission Community Hospital - Panorama,2019
60,00151,ANKLE 3 VIEW LT,320,521.4,Mission Community Hospital - Panorama,2019
61,00155,C.T. GUIDANCE NEEDLE BIOPSY,350,6980.85,Mission Community Hospital - Panorama,2019
62,00156,"REF ARSENIC, URINE",301,25.83,Mission Community Hospital - Panorama,2019
63,00157,PT ELECTRICAL STIM MANUAL EA 15MIN,420,77.08,Mission Community Hospital - Panorama,2019
64,00158,D - DIMER,305,85.75,Mission Community Hospital - Panorama,2019
65,00160,CT FACIAL BONES W/OUT CONTRAST,351,2988.0,Mission Community Hospital - Panorama,2019
66,00161,ANKLE 3 VIEW RT,320,521.4,Mission Community Hospital - Panorama,2019
67,00164,C.T. LARYNX WO CONTRAST,350,3158.55,Mission Community Hospital - Panorama,2019
68,00165,CT MASTOIDS W/O CONTRAST,351,3230.0,Mission Community Hospital - Panorama,2019
69,00166,ANKLE 2V RT,320,193.2,Mission Community Hospital - Panorama,2019
70,00167,REF ASCORBIC ACID,301,13.26,Mission Community Hospital - Panorama,2019
71,00168,CT ORBITS W/O  CONTRAST,351,2588.0,Mission Community Hospital - Panorama,2019
72,00170,CT SCAN CXR W/CONTRAST,352,3658.0,Mission Community Hospital - Panorama,2019
73,00172,REF PROTEIN S ANTIGEN,305,111.04,Mission Community Hospital - Panorama,2019
74,00173,CT SCAN CXR W/O CONTRAST,352,3158.0,Mission Community Hospital - Panorama,2019
75,00177,ANKLE 2V LT,320,193.2,Mission Community Hospital - Panorama,2019
76,00178,"REF ACID PHOSPHATASE, TOTAL",301,8.66,Mission Community Hospital - Panorama,2019
77,00180,ALBUMIN,301,41.0,Mission Community Hospital - Panorama,2019
78,00181,REF PRE- ALBUMIN,301,52.06,Mission Community Hospital - Panorama,2019
79,00184,"REF AMOEBA, EXAMINATION FOR",306,16.66,Mission Community Hospital - Panorama,2019
80,00188,CULTURE NOSE,306,42.0,Mission Community Hospital - Panorama,2019
81,00189,"REF ACID PHOSPHATASE, PROS. RIA",301,10.55,Mission Community Hospital - Panorama,2019
82,00200,"REF ASPERRGILLUS, ANTIBODY",302,43.31,Mission Community Hospital - Panorama,2019
83,00202,BEDSIDE SPIROMETRY,460,196.87,Mission Community Hospital - Panorama,2019
84,00203,RECOVERY RM 1ST HOUR,710,952.56,Mission Community Hospital - Panorama,2019
85,00204,RECOVERY RM 15 MIN,710,238.14,Mission Community Hospital - Panorama,2019
86,00205,DIRECTED DONOR PRBC,381,375.8,Mission Community Hospital - Panorama,2019
87,00213,NASAL / CANNULA / FACE,270,15.75,Mission Community Hospital - Panorama,2019
88,00215,PUMP VOLUME PRIMARY,270,94.5,Mission Community Hospital - Panorama,2019
89,00216,TRI-CUT BIOPSY NEEDLE,270,61.95,Mission Community Hospital - Panorama,2019
90,00220,CLIP ENDO,278,512.66,Mission Community Hospital - Panorama,2019
91,00226,LMA,270,14.0,Mission Community Hospital - Panorama,2019
92,00227,ENDOTRACHEAL TUBE,270,52.0,Mission Community Hospital - Panorama,2019
93,00228,RADIAL ARTERY CATHERTER,270,1.0,Mission Community Hospital - Panorama,2019
94,00229,COOK INTRODUCER SET,272,172.2,Mission Community Hospital - Panorama,2019
95,00234,MAYO COVER,270,2.0,Mission Community Hospital - Panorama,2019
96,00236,SPINAL KIT,270,1.0,Mission Community Hospital - Panorama,2019
97,00237,"REF BENZOYLECGONINE, QUANT.",301,21.1,Mission Community Hospital - Panorama,2019
98,00238,TRIPLE LUMEN CATHETER,270,154.0,Mission Community Hospital - Panorama,2019
99,00240,DRILL BIT,270,27.5,Mission Community Hospital - Panorama,2019
100,00242,GALLIUM SCAN WB,341,2500.0,Mission Community Hospital - Panorama,2019
101,00248,ALKALINE PHOSPHATASE,301,52.5,Mission Community Hospital - Panorama,2019
102,00256,C.T. UPPER ABDOMINAL WITH & W/O CONTRAST,352,4844.7,Mission Community Hospital - Panorama,2019
103,00260,DRAIN JACKSON PRATT,270,45.78,Mission Community Hospital - Panorama,2019
104,00264,CATHETER ANGIOGRAPHIC,621,26.25,Mission Community Hospital - Panorama,2019
105,00275,ECHO STRESS TEST,480,1176.84,Mission Community Hospital - Panorama,2019
106,00276,COLON-BARIUM ENEMA,320,2124.0,Mission Community Hospital - Panorama,2019
107,00279,"REF BETA-2-MICROGLOBULIN, SERUM",301,36.81,Mission Community Hospital - Panorama,2019
108,00285,C.T. PARANASAL SINUSES WO CONT,351,5407.05,Mission Community Hospital - Panorama,2019
109,00306,C.T. PELVIS W/O CONTRAST,352,2807.7,Mission Community Hospital - Panorama,2019
110,00307,CT PELVIS W/ CONTRAST,352,4210.0,Mission Community Hospital - Panorama,2019
111,00309,FFP,383,194.28,Mission Community Hospital - Panorama,2019
112,00314,"REF BLASTOMYCOSIS ANTIBODY, CF",302,19.22,Mission Community Hospital - Panorama,2019
113,00318,BONE AGE,320,128.37,Mission Community Hospital - Panorama,2019
114,00325,GASTRO BLOOD LOSS IMAGING,341,3555.0,Mission Community Hospital - Panorama,2019
115,00340,US GUIDED BIOPSY,402,3829.5,Mission Community Hospital - Panorama,2019
116,00345,CERETEC SCAN WHITE BLOOD CELL,341,2475.0,Mission Community Hospital - Panorama,2019
117,00347,REF LYME DISEASE ANTIBODY,302,18.17,Mission Community Hospital - Panorama,2019
118,00353,SURG PATH LEVEL 2,312,44.25,Mission Community Hospital - Panorama,2019
119,00358,"REF BROMIDE, SERUM",301,49.24,Mission Community Hospital - Panorama,2019
120,00359,BONE SURVEY COMPLETE,320,743.4,Mission Community Hospital - Panorama,2019
121,00361,REF AMYLASE ISOENZYMES,301,31.34,Mission Community Hospital - Panorama,2019
122,00362,"AMYLASE, SERUM",301,55.75,Mission Community Hospital - Panorama,2019
123,00363,AMYLASE URINE RANDOM,301,55.75,Mission Community Hospital - Panorama,2019
124,00365,BREAST NEEDLE LOCAL LT,320,538.65,Mission Community Hospital - Panorama,2019
125,00367,BREAST SURGICAL SPECIMEN,320,267.75,Mission Community Hospital - Panorama,2019
126,00369,BREAST NEEDLE LOCAL RT,400,538.65,Mission Community Hospital - Panorama,2019
127,00373,"REF BROMIDE, URINE",301,49.24,Mission Community Hospital - Panorama,2019
128,00375,C SPINE 7 V FLEX / EXT,320,658.35,Mission Community Hospital - Panorama,2019
129,00388,REF ANA FLUORESCENT,302,31.5,Mission Community Hospital - Panorama,2019
130,00390,ANCHORING DEVICE,270,16.38,Mission Community Hospital - Panorama,2019
131,00391,C SPINE  MIN 3 VIEWS,320,1575.0,Mission Community Hospital - Panorama,2019
132,00395,"REF BUTABARBITAL, QUANT",301,19.47,Mission Community Hospital - Panorama,2019
133,00400,DRNG UNIT HEMOVAC,270,110.77,Mission Community Hospital - Panorama,2019
134,00403,SEROQUEL XR 50 MG TAB,259,27.37,Mission Community Hospital - Panorama,2019
135,00405,C.T. CERVICAL WITHOUT CONTRAST,352,5246.0,Mission Community Hospital - Panorama,2019
136,00408,GALANTAMINE 4MG TAB,259,10.5,Mission Community Hospital - Panorama,2019
137,00409,VIMPAT 50 MG TAB,259,29.0,Mission Community Hospital - Panorama,2019
138,00411,TYLENOL W CODEINE 120MG/12MG/5ML,259,10.5,Mission Community Hospital - Panorama,2019
139,00417,"REF C-PEPTIDE, SERUM",301,24.72,Mission Community Hospital - Panorama,2019
140,00420,ANAEROBIC I.D.,306,102.51,Mission Community Hospital - Panorama,2019
141,00421,REF ANITRETICULIN  ANTIBODY,302,72.03,Mission Community Hospital - Panorama,2019
142,00428,"REF C-PEPTIDE, URINE",301,25.92,Mission Community Hospital - Panorama,2019
143,00430,REF C-1 ESTERASE INHIBITOR,302,44.22,Mission Community Hospital - Panorama,2019
144,00433,CHEST 2 V W/AP LORD,324,210.0,Mission Community Hospital - Panorama,2019
145,00439,REF C-REACTIVE PROTEIN,302,8.28,Mission Community Hospital - Panorama,2019
146,00440,ENDO GIA RELOAD,270,277.2,Mission Community Hospital - Panorama,2019
147,00441,REF CA-125,302,96.91,Mission Community Hospital - Panorama,2019
148,00446,MANUAL DIFFERENTIAL (BLOOD),305,24.99,Mission Community Hospital - Panorama,2019
149,00452,REF CA-15-3,302,96.91,Mission Community Hospital - Panorama,2019
150,00454,C.T. DORSAL SPINE W/O CONTRAST,352,5853.15,Mission Community Hospital - Panorama,2019
151,00458,CHEST 3 V,324,228.9,Mission Community Hospital - Panorama,2019
152,00463,REF CA-19-9,302,36.75,Mission Community Hospital - Panorama,2019
153,00466,MANUAL DIFFERENTIAL (BODY FLUIDS),309,49.93,Mission Community Hospital - Panorama,2019
154,00470,ENDOSCOPY VIDEO SYSTEM PROC.,270,1459.08,Mission Community Hospital - Panorama,2019
155,00473,LITHOTRIPSY PROBE,270,441.0,Mission Community Hospital - Panorama,2019
156,00474,REF CALCITONIN,301,30.42,Mission Community Hospital - Panorama,2019
157,00480,URETERAL CATHETER,272,60.9,Mission Community Hospital - Panorama,2019
158,00481,LUNG SCAN PER FUSION,341,2475.0,Mission Community Hospital - Panorama,2019
159,00486,"REF ALDOLASE, SERUM",301,61.12,Mission Community Hospital - Panorama,2019
160,00487,"ASO TITER, STREPTOZYME",302,73.86,Mission Community Hospital - Panorama,2019
161,00489,"REF ALDOSTERONE, PLAS",301,78.43,Mission Community Hospital - Panorama,2019
162,00490,"REF ALDOSTERONE, SERUM",301,78.43,Mission Community Hospital - Panorama,2019
163,00492,EXTERNAL NASAL SPLINT,270,90.72,Mission Community Hospital - Panorama,2019
164,00500,"REF AMOBARBITAL,M QUANT",301,18.37,Mission Community Hospital - Panorama,2019
165,00503,BILIRUBIN TOTAL,301,52.5,Mission Community Hospital - Panorama,2019
166,00504,CT LOWER EXT LT W/O CONTRAST,352,3335.0,Mission Community Hospital - Panorama,2019
167,00505,"REF ALKALINE PHOSPHATASE, ISOENZY",301,13.26,Mission Community Hospital - Panorama,2019
168,00506,REF ALPHA-1-ANTITRYPSIN,301,56.01,Mission Community Hospital - Panorama,2019
169,00507,PACKED RED CELLS UBS,390,375.8,Mission Community Hospital - Panorama,2019
170,00509,CANNULA NASAL ALL SIZES,270,56.17,Mission Community Hospital - Panorama,2019
171,00511,BILIRUBIN URINE,307,35.94,Mission Community Hospital - Panorama,2019
172,00520,REF ALPRAZOLAM (XANAX),301,26.4,Mission Community Hospital - Panorama,2019
173,00523,D5W 500ML,258,47.25,Mission Community Hospital - Panorama,2019
174,00532,"REF ALUMINUM, PLASMA",301,18.71,Mission Community Hospital - Panorama,2019
175,00540,GRAFT ST 6-8 100 CM,278,3014.68,Mission Community Hospital - Panorama,2019
176,00552,GUIDEWIRE,272,78.75,Mission Community Hospital - Panorama,2019
177,00553,C.T. LUMBAR SPINE W /O CONTRAST,352,5976.0,Mission Community Hospital - Panorama,2019
178,00558,02 MASK/ RESP,270,24.67,Mission Community Hospital - Panorama,2019
179,00560,BILIRUBIN DIRECT,301,45.15,Mission Community Hospital - Panorama,2019
180,00562,REF BILE ACIDS (RIA),301,138.93,Mission Community Hospital - Panorama,2019
181,00564,PLATELET CONCENTRATE,384,201.44,Mission Community Hospital - Panorama,2019
182,00569,PLATELETPHERESIS,384,1278.27,Mission Community Hospital - Panorama,2019
183,00573,CLAVICLE COMP LT,320,229.95,Mission Community Hospital - Panorama,2019
184,00575,CLAVICLE COMP RT,320,229.95,Mission Community Hospital - Panorama,2019
185,00578,"REF CALCIUM, IONIZED",301,47.65,Mission Community Hospital - Panorama,2019
186,00580,HEMOCLIP,270,80.11,Mission Community Hospital - Panorama,2019
187,00589,REF CAMPYLOBACTER SCREEN,306,16.53,Mission Community Hospital - Panorama,2019
188,00590,SURGICEL,270,32.86,Mission Community Hospital - Panorama,2019
189,00591,"REF CANDIDA ANTIBODY, IMMUNODIFF.",302,27.99,Mission Community Hospital - Panorama,2019
190,00593,INSUFFLATION TUBING SET,270,80.0,Mission Community Hospital - Panorama,2019
191,00603,WRIST 2V LT,320,171.15,Mission Community Hospital - Panorama,2019
192,00604,REF CARBOXYHEMOGLOBIN (CO),301,13.26,Mission Community Hospital - Panorama,2019
193,00605,WRIST 2V RT,320,171.15,Mission Community Hospital - Panorama,2019
194,00611,"PT ICE MASSAGE, EA 15 MIN",420,77.08,Mission Community Hospital - Panorama,2019
195,00622,CHLORHEXIDINE GLUC 0.12% RINSE 473ML,259,52.5,Mission Community Hospital - Panorama,2019
196,00628,"BLEEDING TIME, SIMPLATE",305,48.19,Mission Community Hospital - Panorama,2019
197,00635,JACKSON PRATT RESERVOIR,270,26.25,Mission Community Hospital - Panorama,2019
198,00637,"REF CATECHOLAMINES, FRACTNL & TOTAL",301,73.19,Mission Community Hospital - Panorama,2019
199,00639,KELMAN CLEAR COR. ANG.BLADE W/,270,140.7,Mission Community Hospital - Panorama,2019
200,00640,EGD  DX,750,1922.55,Mission Community Hospital - Panorama,2019
201,00645,COLONOSCOPY DX,750,1633.53,Mission Community Hospital - Panorama,2019
202,00648,REF CERULOPLASMIN,301,39.01,Mission Community Hospital - Panorama,2019
203,00652,C.T. HEAD W/ CONTRAST,351,2732.7,Mission Community Hospital - Panorama,2019
204,00654,LAPAROTOMY T SHEET,270,15.0,Mission Community Hospital - Panorama,2019
205,00656,DORSAL  THORACIC SPINE,320,407.4,Mission Community Hospital - Panorama,2019
206,00659,REF CHLAMYDIA CULTURE,306,16.63,Mission Community Hospital - Panorama,2019
207,00663,RENAL SCAN W/ FLOW,341,2475.0,Mission Community Hospital - Panorama,2019
208,00670,RENAL SCAN FLOW & FUNCTION,341,2475.0,Mission Community Hospital - Panorama,2019
209,00671,S&N RECON PLATE 3.5 6x70-8x94,278,1207.5,Mission Community Hospital - Panorama,2019
210,00672,S&N 1/3 TUB PLATE 2x25,278,187.63,Mission Community Hospital - Panorama,2019
211,00673,S&N SM CP PLATE 3x39-10x30,278,457.5,Mission Community Hospital - Panorama,2019
212,00674,S&N SM PLATE 3.5 3x37-10x121,278,413.75,Mission Community Hospital - Panorama,2019
213,00675,S&N 1/3 TUB PLATE 2x25-10x121,278,193.63,Mission Community Hospital - Panorama,2019
214,00676,GLIDE WIRE,270,162.75,Mission Community Hospital - Panorama,2019
215,00677,S&N 1-3 7-PLATE SM 12t ANGLE,278,382.5,Mission Community Hospital - Panorama,2019
216,00678,S&N OBLIQUE SM T-PLATE,278,660.0,Mission Community Hospital - Panorama,2019
217,00679,S&N CLOVERLEAF PLATE 3x88-4x104,278,870.0,Mission Community Hospital - Panorama,2019
218,00680,C.T. SAGITTAL RECONSTRUCTION,350,1188.6,Mission Community Hospital - Panorama,2019
219,00681,S&N SCREW 3.5 10mm-50mm,278,91.75,Mission Community Hospital - Panorama,2019
220,00682,S&N SCREW 7.0 30mm-130mm,278,105.0,Mission Community Hospital - Panorama,2019
221,00683,S&N SCREW WASHER,278,76.25,Mission Community Hospital - Panorama,2019
222,00684,S&N WASHER 6.5,278,76.25,Mission Community Hospital - Panorama,2019
223,00685,BLOOD CULTURE,306,98.49,Mission Community Hospital - Panorama,2019
224,00686,"S&N DRILL BIT 2.5, 3.5, 5.2",270,252.0,Mission Community Hospital - Panorama,2019
225,00687,S&N PERI LOK K-WIRES,278,81.25,Mission Community Hospital - Panorama,2019
226,00688,S&N PF PIN SHT-MED-LONG,278,250.0,Mission Community Hospital - Panorama,2019
227,00689,S&N 1/3 TUB PLATE 3-10 HOLE,278,242.5,Mission Community Hospital - Panorama,2019
228,00691,S&N SM T-PLATE 3-5 HOLE,278,435.0,Mission Community Hospital - Panorama,2019
229,00692,REF CHLORDIAZEPOXIDE (LIBRIUM),301,22.37,Mission Community Hospital - Panorama,2019
230,00693,ELBOW 2V RT,320,172.2,Mission Community Hospital - Panorama,2019
231,00694,MEROCEL NASAL PACKING,270,52.5,Mission Community Hospital - Panorama,2019
232,00696,ELBOW COMP MIN 3 VIEW RT,320,271.95,Mission Community Hospital - Panorama,2019
233,00697,ELBOW COMP MIN 3 VIEW LT,320,271.95,Mission Community Hospital - Panorama,2019
234,00699,S&N OBLIQUE PLATE 3-5 HOLE,278,695.0,Mission Community Hospital - Panorama,2019
235,00701,ELBOW LTD 2V LT,320,172.2,Mission Community Hospital - Panorama,2019
236,00702,CT STELLA TURCICA W/O CONTRAST,351,3230.0,Mission Community Hospital - Panorama,2019
237,00703,REF CHLORPROMAZINE (THORAZINE),301,16.65,Mission Community Hospital - Panorama,2019
238,00707,TRACH MASK,270,24.67,Mission Community Hospital - Panorama,2019
239,00708,S&N CLVRLEAF PLATE 3-4 HOLE,278,962.5,Mission Community Hospital - Panorama,2019
240,00710,MIC TUBE 20,278,255.94,Mission Community Hospital - Panorama,2019
241,00711,MITEK QUICK ANCHOR,278,825.0,Mission Community Hospital - Panorama,2019
242,00714,"REF CHOLINESTERASE, PLASMA & RBC",301,14.76,Mission Community Hospital - Panorama,2019
243,00716,MRI PORT-A-CATH,278,3123.75,Mission Community Hospital - Panorama,2019
244,00725,"REF CHOLINESTERASE, TOTAL",301,25.24,Mission Community Hospital - Panorama,2019
245,00726,ALLERGEN SPECIFIC IGE,302,18.95,Mission Community Hospital - Panorama,2019
246,00727,ASSAY IGE,301,59.88,Mission Community Hospital - Panorama,2019
247,00730,ESOPHAGRAM,320,923.7,Mission Community Hospital - Panorama,2019
248,00733,"PT MANUAL THERAPY,  EA 15 MIN",420,88.31,Mission Community Hospital - Panorama,2019
249,00735,BLOOD DRAW,300,24.67,Mission Community Hospital - Panorama,2019
250,00739,"REF CITRIC ACID, URINE",301,149.87,Mission Community Hospital - Panorama,2019
251,00741,REF PARVO VIRUS,302,161.2,Mission Community Hospital - Panorama,2019
252,00743,CALCIUM BLOOD OR URINE,301,52.5,Mission Community Hospital - Panorama,2019
253,00745,TESTICULAR WITH FLOW VASCULAR,341,2475.0,Mission Community Hospital - Panorama,2019
254,00751,C.T. SELLA TURCICA W/  CONTRAST,351,3230.1,Mission Community Hospital - Panorama,2019
255,00755,REF CLONAPEPAM (KLONOPIN),301,20.72,Mission Community Hospital - Panorama,2019
256,00759,BAG BILE,270,28.14,Mission Community Hospital - Panorama,2019
257,00760,PACK- LAP CHOLE,270,101.0,Mission Community Hospital - Panorama,2019
258,00762,D5/0.2% NACL 1000ML,258,68.25,Mission Community Hospital - Panorama,2019
259,00767,REF CLORAZEPATE (TRANXENE),301,79.38,Mission Community Hospital - Panorama,2019
260,00770,SCREW BONE,278,37.4,Mission Community Hospital - Panorama,2019
261,00785,THYROID IMAGING W/BLOOD FLOW/SINGLE OR M,341,3254.0,Mission Community Hospital - Panorama,2019
262,00786,THYROID IMAGING W/BLOOD FLOW,341,3254.0,Mission Community Hospital - Panorama,2019
263,00787,THYROID UPTAKE MEASUREMENT,341,3254.0,Mission Community Hospital - Panorama,2019
264,00788,THYROID UPTAKE AND SCAN,341,2475.0,Mission Community Hospital - Panorama,2019
265,00789,"REF DEOXYCORTISOL, II (COMPND-S)",301,44.6,Mission Community Hospital - Panorama,2019
266,00790,C.T. SOFT TISSUE NECK W/WO CONTRAST,351,3158.55,Mission Community Hospital - Panorama,2019
267,00791,"REF COCCIDIOIDOMYCOSIS, IMMUNODIFF,",302,14.76,Mission Community Hospital - Panorama,2019
268,00797,EYE FOREIGN BODY,320,478.8,Mission Community Hospital - Panorama,2019
269,00801,VOL. MEASUREMENT OF URINE,307,19.68,Mission Community Hospital - Panorama,2019
270,00803,CULTURE ADDITIONAL SENSITIVITY,306,59.06,Mission Community Hospital - Panorama,2019
271,00805,CULTURE ID SEROLOGICAL TEST,306,28.15,Mission Community Hospital - Panorama,2019
272,00807,CULTURE BODY FLUID,306,73.86,Mission Community Hospital - Panorama,2019
273,00809,BAG LEG,270,16.38,Mission Community Hospital - Panorama,2019
274,00812,"REF CODINE, QUALITATIVE",301,125.45,Mission Community Hospital - Panorama,2019
275,00815,STRYKER CEMENT MIXING SYSTEM,272,355.92,Mission Community Hospital - Panorama,2019
276,00820,"MARKING PEN, SKIN SCRIBE",279,36.22,Mission Community Hospital - Panorama,2019
277,00823,D5 1/2 1000 KCL 20MEG,258,78.75,Mission Community Hospital - Panorama,2019
278,00834,ROUTINE CULTURE,306,92.4,Mission Community Hospital - Panorama,2019
279,00839,FACIAL BONES MIN 3 VIEWS,320,1087.0,Mission Community Hospital - Panorama,2019
280,00840,PEG SET,270,393.75,Mission Community Hospital - Panorama,2019
281,00841,PONSKY G-TUBE,270,275.1,Mission Community Hospital - Panorama,2019
282,00844,RETROBULAR ALKINSON NEEDLE,270,42.0,Mission Community Hospital - Panorama,2019
283,00845,"REF CODEINE, QUANT.",301,125.45,Mission Community Hospital - Panorama,2019
284,00853,"REF COMPLEMENT, TOTAL (CH-50)",302,22.9,Mission Community Hospital - Panorama,2019
285,00854,FACIAL BONES  LTD <3 VIEWS,320,429.45,Mission Community Hospital - Panorama,2019
286,00861,ABO TYPE,302,37.07,Mission Community Hospital - Panorama,2019
287,00865,REF AMIKACIN,301,49.35,Mission Community Hospital - Panorama,2019
288,00867,CARBON DIOXIDE BICARB,301,41.05,Mission Community Hospital - Panorama,2019
289,00869,REF COXACKILL A AB,302,126.9,Mission Community Hospital - Panorama,2019
290,00870,FEMUR 2V LT,320,569.55,Mission Community Hospital - Panorama,2019
291,00873,HEART LG VOL NEBULIZER,270,95.31,Mission Community Hospital - Panorama,2019
292,00874,REF COMPOUND S (11DEXYCORTISOL),301,43.34,Mission Community Hospital - Panorama,2019
293,00875,FEMUR 2V RT,320,269.85,Mission Community Hospital - Panorama,2019
294,00877,CERVICAL SPINE 5 VIEWS,320,471.45,Mission Community Hospital - Panorama,2019
295,00879,"REF COXACKII AB,B1-B6",302,123.32,Mission Community Hospital - Panorama,2019
296,00880,SHEET SPLIT,270,38.59,Mission Community Hospital - Panorama,2019
297,00889,CELL CT BODY FLUIDS,309,57.48,Mission Community Hospital - Panorama,2019
298,00896,"REF COPPER, SERUM",301,81.9,Mission Community Hospital - Panorama,2019
299,00897,INCENTIVE SPIROMETRY SET,270,49.24,Mission Community Hospital - Panorama,2019
300,00899,REF COGENTIN,301,52.5,Mission Community Hospital - Panorama,2019
301,00902,ISOTOPE WBC CERETEC,343,8085.0,Mission Community Hospital - Panorama,2019
