,Px/Rx/Sx,CDM Code,Description,REV,HCPCS,Price,Hospital,Year
16,Rx51079024101,6370001,"acamprosate 333 mg tablet,delayed release (DR/EC) 1 each BLIST PACK",250,,14.75,Community Hospital of the Monterey Peninsula,2019
17,Rx68462043518,6370001,"acamprosate 333 mg tablet,delayed release (DR/EC) 180 each Bottle",250,,13.18,Community Hospital of the Monterey Peninsula,2019
18,Rx00054014120,6370001,acarbose 50 mg tablet 100 each BLIST PACK,250,,5.27,Community Hospital of the Monterey Peninsula,2019
19,Rx69543012110,6370001,acarbose 50 mg tablet 100 each Bottle,250,,4.43,Community Hospital of the Monterey Peninsula,2019
20,Rx64380075906,6370001,acarbose 50 mg tablet 100 each Bottle,250,,3.5,Community Hospital of the Monterey Peninsula,2019
21,Rx14537096775,2500003,ACD-A luer lock bag 2.45-2.2 gram- 800 mg/100 mL solution 750 mL Bag,250,,543.66,Community Hospital of the Monterey Peninsula,2019
22,Rx43825010201,2500003,"acetaminophen 1,000 mg/100 mL (10 mg/mL) solution 100 mL Vial",250,,1463.17,Community Hospital of the Monterey Peninsula,2019
23,Rx45802073200,6370001,acetaminophen 120 mg suppository 1 each Box,250,,0.5,Community Hospital of the Monterey Peninsula,2019
24,Rx45802073233,6370001,acetaminophen 120 mg suppository 100 each Box,250,,0.5,Community Hospital of the Monterey Peninsula,2019
25,Rx00713011806,6370001,acetaminophen 120 mg suppository 12 each Box,250,,0.5,Community Hospital of the Monterey Peninsula,2019
26,Rx45802073230,6370001,acetaminophen 120 mg suppository 12 each Box,250,,0.5,Community Hospital of the Monterey Peninsula,2019
27,Rx51672211504,6370001,acetaminophen 120 mg suppository 50 each Box,250,,0.5,Community Hospital of the Monterey Peninsula,2019
28,Rx45802020326,6370001,acetaminophen 160 mg/5 mL suspension 118 mL Bottle,250,,7.0,Community Hospital of the Monterey Peninsula,2019
29,Rx50580057974,6370001,acetaminophen 160 mg/5 mL suspension 20.3 mL Cup,250,,7.0,Community Hospital of the Monterey Peninsula,2019
30,Rx68094058658,6370001,acetaminophen 32 mg/mL syringe 2.5 mL Syringe,250,,2.15,Community Hospital of the Monterey Peninsula,2019
31,RxCH014289500,6370001,acetaminophen 32 mg/mL syringe 2.5 mL Syringe,250,,2.0,Community Hospital of the Monterey Peninsula,2019
32,Rx00713016401,6370001,acetaminophen 325 mg suppository 100 each Box,250,,0.18,Community Hospital of the Monterey Peninsula,2019
33,Rx00713016406,6370001,acetaminophen 325 mg suppository 12 each Box,250,,0.18,Community Hospital of the Monterey Peninsula,2019
34,Rx00713016412,6370001,acetaminophen 325 mg suppository 12 each Box,250,,0.18,Community Hospital of the Monterey Peninsula,2019
35,Rx00713016450,6370001,acetaminophen 325 mg suppository 50 each Box,250,,0.18,Community Hospital of the Monterey Peninsula,2019
36,Rx00904198280,6370001,"acetaminophen 325 mg tablet 1,000 each Bottle",250,,1.0,Community Hospital of the Monterey Peninsula,2019
37,Rx50580060002,6370001,acetaminophen 325 mg tablet 100 each BLIST PACK,250,,1.0,Community Hospital of the Monterey Peninsula,2019
38,Rx00904198260,6370001,acetaminophen 325 mg tablet 100 each Bottle,250,,1.0,Community Hospital of the Monterey Peninsula,2019
39,Rx63739044001,6370001,acetaminophen 325 mg tablet 750 each BLIST PACK,250,,1.0,Community Hospital of the Monterey Peninsula,2019
40,Rx45802073000,6370001,acetaminophen 650 mg suppository 1 each BLIST PACK,250,,0.09,Community Hospital of the Monterey Peninsula,2019
41,Rx00713016506,6370001,acetaminophen 650 mg suppository 12 each Box,250,,0.09,Community Hospital of the Monterey Peninsula,2019
42,Rx00713016512,6370001,acetaminophen 650 mg suppository 12 each Box,250,,0.09,Community Hospital of the Monterey Peninsula,2019
43,Rx45802073030,6370001,acetaminophen 650 mg suppository 12 each Box,250,,0.09,Community Hospital of the Monterey Peninsula,2019
44,Rx00121197121,6370001,acetaminophen 650 mg/20.3 mL solution 20.3 mL Cup,250,,2.88,Community Hospital of the Monterey Peninsula,2019
45,Rx66689005601,6370001,acetaminophen 650 mg/20.3 mL solution 20.3 mL Cup,250,,2.52,Community Hospital of the Monterey Peninsula,2019
46,Rx51672211400,6370001,acetaminophen 80 mg suppository 1 each BLIST PACK,250,,1.17,Community Hospital of the Monterey Peninsula,2019
47,Rx00536101407,6370001,"acetaminophen 80 mg tablet,chewable 30 each Bottle",250,,1.0,Community Hospital of the Monterey Peninsula,2019
48,Rx00904525646,6370001,"acetaminophen 80 mg tablet,chewable 30 each Bottle",250,,1.0,Community Hospital of the Monterey Peninsula,2019
49,Rx00904579146,6370001,"acetaminophen 80 mg tablet,disintegrating 30 each Bottle",250,,7.0,Community Hospital of the Monterey Peninsula,2019
50,Rx50383007912,6370001,acetaminophen-codeine 120 mg-12 mg/ 5 mL 300 mg-30 mg /12.5 mL solution 12.5 mL Cup,250,,7.0,Community Hospital of the Monterey Peninsula,2019
51,Rx50383007912,6370001,acetaminophen-codeine 120-12 mg/5 mL solution 12.5 mL Cup,250,,7.0,Community Hospital of the Monterey Peninsula,2019
52,Rx50383007916,6370001,acetaminophen-codeine 120-12 mg/5 mL solution 473 mL Bottle,250,,7.0,Community Hospital of the Monterey Peninsula,2019
53,Rx50383007916,6370001,acetaminophen-codeine 120-12 mg/5 mL solution 473 mL Bottle,250,,7.0,Community Hospital of the Monterey Peninsula,2019
54,Rx00406048423,6370001,acetaminophen-codeine 300-30 mg tablet 1 each BLIST PACK,250,,7.0,Community Hospital of the Monterey Peninsula,2019
55,Rx51079016101,6370001,acetaminophen-codeine 300-30 mg tablet 1 each BLIST PACK,250,,7.0,Community Hospital of the Monterey Peninsula,2019
56,Rx63739000410,6370001,acetaminophen-codeine 300-30 mg tablet 100 each BLIST PACK,250,,10.14,Community Hospital of the Monterey Peninsula,2019
57,Rx00406048462,6370001,acetaminophen-codeine 300-30 mg tablet 100 each BLIST PACK,250,,7.0,Community Hospital of the Monterey Peninsula,2019
58,Rx68084037211,6370001,acetaminophen-codeine 300-30 mg tablet 100 each BLIST PACK,250,,7.0,Community Hospital of the Monterey Peninsula,2019
59,Rx68084054111,6370001,acetaZOLAMIDE 250 mg tablet 100 each BLIST PACK,250,,66.28,Community Hospital of the Monterey Peninsula,2019
60,Rx23155012001,6370001,"acetaZOLAMIDE 500 mg capsule, extended release 100 each Bottle",250,,23.53,Community Hospital of the Monterey Peninsula,2019
61,Rx68084040111,6370001,"acetaZOLAMIDE 500 mg capsule, extended release 30 each BLIST PACK",250,,68.56,Community Hospital of the Monterey Peninsula,2019
62,Rx00143950301,2500002,acetazolamide per 500 mg,250,J1120,784.18,Community Hospital of the Monterey Peninsula,2019
63,Rx39822019007,2500002,acetazolamide per 500 mg,250,J1120,536.7,Community Hospital of the Monterey Peninsula,2019
64,Rx00409614309,2500003,"acetic acid 0.25 % solution 1,000 mL Bottle",250,,81.47,Community Hospital of the Monterey Peninsula,2019
65,Rx24208053920,2500003,acetylcholine 1 % (10 mg/mL) kit 1 each KIT,250,,2152.75,Community Hospital of the Monterey Peninsula,2019
66,Rx00409330803,6370001,acetylcysteine 200 mg/mL (20 %) solution 30 mL Vial,250,J7608,466.77,Community Hospital of the Monterey Peninsula,2019
67,Rx00409330803,6370001,acetylcysteine 200 mg/mL (20 %) solution 30 mL Vial,250,J7608,466.77,Community Hospital of the Monterey Peninsula,2019
68,RxCH000012300,6370001,acetylcysteine 200 mg/mL (20 %) solution 4 mL Syringe,250,J7608,441.54,Community Hospital of the Monterey Peninsula,2019
69,RxCH000012300,6370001,acetylcysteine 200 mg/mL (20 %) solution 4 mL Syringe,250,J7608,441.54,Community Hospital of the Monterey Peninsula,2019
70,Rx63323069404,6370001,acetylcysteine 200 mg/mL (20 %) solution 4 mL Vial,250,J7608,442.88,Community Hospital of the Monterey Peninsula,2019
71,Rx63323069404,6370001,acetylcysteine 200 mg/mL (20 %) solution 4 mL Vial,250,J7608,442.88,Community Hospital of the Monterey Peninsula,2019
72,Rx00517760425,6370001,acetylcysteine 200 mg/mL (20 %) solution 4 mL Vial,250,J7608,232.87,Community Hospital of the Monterey Peninsula,2019
73,Rx00517760425,6370001,acetylcysteine 200 mg/mL (20 %) solution 4 mL Vial,250,J7608,232.87,Community Hospital of the Monterey Peninsula,2019
74,Rx54629409760,6370001,acetylcysteine 600 mg capsule 100 each Bottle,250,,7.0,Community Hospital of the Monterey Peninsula,2019
75,Rx79854004097,6370001,acetylcysteine 600 mg capsule 100 each Bottle,250,,7.0,Community Hospital of the Monterey Peninsula,2019
76,Rx00574080530,2500002,acetylcysteine per 100 mg,250,J0132,135.74,Community Hospital of the Monterey Peninsula,2019
77,Rx00574081530,2500002,acetylcysteine per 100 mg,250,J0132,135.74,Community Hospital of the Monterey Peninsula,2019
78,Rx55150025930,2500002,acetylcysteine per 100 mg,250,J0132,129.21,Community Hospital of the Monterey Peninsula,2019
79,Rx00310080039,6370001,aclidinium 400 mcg/actuation aerosol powdr breath activated 1 each AER BR.ACT,250,,645.04,Community Hospital of the Monterey Peninsula,2019
80,Rx00574012108,6370001,activated charcoal 50 gram/240 mL suspension 240 mL Bottle,250,,7.0,Community Hospital of the Monterey Peninsula,2019
81,Rx66689020108,6370001,activated charcoal 50 gram/240 mL suspension 240 mL Bottle,250,,7.0,Community Hospital of the Monterey Peninsula,2019
82,Rx66689020208,6370001,activated charcoal 50 gram/240 mL suspension 240 mL Bottle,250,,7.0,Community Hospital of the Monterey Peninsula,2019
83,Rx66689020308,6370001,activated charcoal-sorbitol 50 gram/240 mL suspension 240 mL Bottle,250,,7.0,Community Hospital of the Monterey Peninsula,2019
84,Rx00904578961,6370001,acyclovir 200 mg capsule 100 each BLIST PACK,250,,7.0,Community Hospital of the Monterey Peninsula,2019
85,Rx00378871273,6370001,acyclovir 200 mg/5 mL suspension 473 mL Bottle,250,,7556.02,Community Hospital of the Monterey Peninsula,2019
86,Rx00378870006,6370001,acyclovir 5 % ointment 15 g Tube,250,,1425.61,Community Hospital of the Monterey Peninsula,2019
87,Rx16714066801,6370001,acyclovir 5 % ointment 15 g Tube,250,,1120.77,Community Hospital of the Monterey Peninsula,2019
88,Rx68462074617,6370001,acyclovir 5 % ointment 15 g Tube,250,,568.98,Community Hospital of the Monterey Peninsula,2019
89,Rx51672136001,6370001,acyclovir 5 % ointment 15 g Tube,250,,469.13,Community Hospital of the Monterey Peninsula,2019
90,Rx63323032520,2500002,acyclovir per 5 mg,250,J0133,1211.57,Community Hospital of the Monterey Peninsula,2019
91,Rx63323032510,2500002,acyclovir per 5 mg,250,J0133,902.63,Community Hospital of the Monterey Peninsula,2019
92,Rx55150015520,2500002,acyclovir per 5 mg,250,J0133,405.93,Community Hospital of the Monterey Peninsula,2019
93,Rx55150015521,2500002,acyclovir per 5 mg,250,J0133,405.93,Community Hospital of the Monterey Peninsula,2019
94,Rx55150015410,2500002,acyclovir per 5 mg,250,J0133,203.62,Community Hospital of the Monterey Peninsula,2019
95,Rx55150015411,2500002,acyclovir per 5 mg,250,J0133,203.62,Community Hospital of the Monterey Peninsula,2019
96,Sx00000027065,2720000322,ADAPTER CARTIRIDGE THREAD,272,,233.8,Community Hospital of the Monterey Peninsula,2019
97,Sx00000005640,2780000192,ADAPTER PRECISION M8 15CM,278,C1883,5734.0,Community Hospital of the Monterey Peninsula,2019
98,Sx00000028493,2720000194,ADAPTOR BIOBALL 11/13 +10.5,272,,5567.0,Community Hospital of the Monterey Peninsula,2019
99,Sx00000028492,2720000194,ADAPTOR BIOBALL 11/13 +14.0,272,,5567.0,Community Hospital of the Monterey Peninsula,2019
100,Sx00000028494,2720000194,ADAPTOR BIOBALL TRIAL 11/13,272,,334.0,Community Hospital of the Monterey Peninsula,2019
101,Sx00000028495,2720000194,ADAPTOR BIOBALL TRIAL 11/13,272,,334.0,Community Hospital of the Monterey Peninsula,2019
102,Rx00703877601,2500002,adenosine (diagnostic) per 30 mg,250,J0153,2473.66,Community Hospital of the Monterey Peninsula,2019
103,Rx67457085620,2500002,adenosine (diagnostic) per 30 mg,250,J0153,1393.1,Community Hospital of the Monterey Peninsula,2019
104,Rx25021030167,2500002,adenosine 3 mg/mL syringe 2 mL Syringe,250,J0153,583.72,Community Hospital of the Monterey Peninsula,2019
105,Rx67457085400,2500002,adenosine per 6 mg,250,J0153,611.27,Community Hospital of the Monterey Peninsula,2019
106,Rx63323065102,2500002,adenosine per 6 mg,250,J0153,526.02,Community Hospital of the Monterey Peninsula,2019
107,Rx63323065104,2500002,adenosine per 6 mg,250,J0153,473.15,Community Hospital of the Monterey Peninsula,2019
108,Rx17478054225,2500002,adenosine per 6 mg,250,J0153,165.87,Community Hospital of the Monterey Peninsula,2019
109,Rx17478054202,2500002,adenosine per 6 mg,250,J0153,52.52,Community Hospital of the Monterey Peninsula,2019
110,Sx00000005642,2780000106,ADHESIVE BIO-GLUE BG35155US,278,,4861.43,Community Hospital of the Monterey Peninsula,2019
111,Sx00000005644,2720000194,ADHESIVE SC4320,272,,467.6,Community Hospital of the Monterey Peninsula,2019
112,Rx50242008801,2500002,ado-trastuzumab 100 mg recon soln 1 each Vial,250,J9354,24712.13,Community Hospital of the Monterey Peninsula,2019
113,Rx50242008701,2500002,ado-trastuzumab 160 mg recon soln 1 each Vial,250,J9354,40095.4,Community Hospital of the Monterey Peninsula,2019
114,Sx00000005030,2720000322,ADPTR NOMOLINR  3738,272,,199.87,Community Hospital of the Monterey Peninsula,2019
115,Sx00000005652,2720000322,ADPTR SMARTSITE 3 PRT 20558E,272,,17.77,Community Hospital of the Monterey Peninsula,2019
116,Sx00000003804,2720000322,ADPTR UNIV PIN 50/CA 418105,272,,8.15,Community Hospital of the Monterey Peninsula,2019
117,Sx00000005658,2720000118,ADVANCER ROTALINK,272,C1724,1256.0,Community Hospital of the Monterey Peninsula,2019
118,Rx61755000502,2500002,aflibercept 2 mg/0.05 mL solution 0.05 mL Vial,250,J0178,15515.95,Community Hospital of the Monterey Peninsula,2019
119,Rx00944049302,2500002,albumin human 25% per 50 mL,250,P9046,3160.78,Community Hospital of the Monterey Peninsula,2019
120,Rx00053768033,2500002,albumin human 25% per 50 mL,250,P9046,2243.38,Community Hospital of the Monterey Peninsula,2019
121,Rx00053768092,2500002,albumin human 25% per 50 mL,250,P9046,2243.38,Community Hospital of the Monterey Peninsula,2019
122,Rx00944049301,2500002,albumin human 25% per 50 mL,250,P9046,1578.54,Community Hospital of the Monterey Peninsula,2019
123,Rx00053768032,2500002,albumin human 25% per 50 mL,250,P9046,1121.69,Community Hospital of the Monterey Peninsula,2019
124,Rx00053768091,2500002,albumin human 25% per 50 mL,250,P9046,1121.69,Community Hospital of the Monterey Peninsula,2019
125,Rx68516521405,2500002,albumin human 5% per 50 mL,250,P9045,3181.13,Community Hospital of the Monterey Peninsula,2019
126,Rx44206031050,2500002,albumin human 5% per 50 mL,250,P9045,2247.09,Community Hospital of the Monterey Peninsula,2019
127,Rx44206031091,2500002,albumin human 5% per 50 mL,250,P9045,2247.09,Community Hospital of the Monterey Peninsula,2019
128,Rx44206031025,2500002,albumin human 5% per 50 mL,250,P9045,1123.55,Community Hospital of the Monterey Peninsula,2019
129,Rx44206031090,2500002,albumin human 5% per 50 mL,250,P9045,1123.55,Community Hospital of the Monterey Peninsula,2019
130,Rx00472082516,6370001,albuterol 2 mg/5 mL syrup 473 mL Bottle,250,,3311.0,Community Hospital of the Monterey Peninsula,2019
131,Rx00487990130,6370001,albuterol 2.5 mg/0.5 mL solution for nebulization 1 each Vial,250,,7.0,Community Hospital of the Monterey Peninsula,2019
132,Rx66993001968,6370001,albuterol HFA 90 mcg/actuation HFA aerosol inhaler 18 g CANISTER,250,,399.61,Community Hospital of the Monterey Peninsula,2019
133,Rx66993001968,6370001,albuterol HFA 90 mcg/actuation HFA aerosol inhaler 18 g CANISTER,250,,399.61,Community Hospital of the Monterey Peninsula,2019
134,Rx00173068224,6370001,albuterol HFA 90 mcg/actuation HFA aerosol inhaler 8 g CANISTER,250,,234.16,Community Hospital of the Monterey Peninsula,2019
135,Rx00173068224,6370001,albuterol HFA 90 mcg/actuation HFA aerosol inhaler 8 g CANISTER,250,,234.16,Community Hospital of the Monterey Peninsula,2019
136,Rx00173068221,6370001,albuterol HFA 90 mcg/actuation HFA aerosol inhaler 8 g CANISTER,250,,226.78,Community Hospital of the Monterey Peninsula,2019
137,Rx00173068221,6370001,albuterol HFA 90 mcg/actuation HFA aerosol inhaler 8 g CANISTER,250,,226.78,Community Hospital of the Monterey Peninsula,2019
138,Rx59310057922,6370001,albuterol HFA 90 mcg/actuation HFA aerosol inhaler 8.5 g CANISTER,250,,18.76,Community Hospital of the Monterey Peninsula,2019
139,Rx59310057922,6370001,albuterol HFA 90 mcg/actuation HFA aerosol inhaler 8.5 g CANISTER,250,,18.76,Community Hospital of the Monterey Peninsula,2019
140,Rx00487950101,6370001,albuterol per 1 mg,250,,7.0,Community Hospital of the Monterey Peninsula,2019
141,Rx04879050101,6370001,albuterol per 1 mg,250,,7.0,Community Hospital of the Monterey Peninsula,2019
142,Rx00378500577,6370001,alfuzosin 10 mg tablet extended release 24 hr 90 each Bottle,250,,7.0,Community Hospital of the Monterey Peninsula,2019
143,Sx00000005679,2780000106,ALL FEM SHAFT 100 FEM,278,,1372.9,Community Hospital of the Monterey Peninsula,2019
144,Sx00000005680,2780000106,ALLO ACHILLES TEND BONE BLOCK,278,,10586.6,Community Hospital of the Monterey Peninsula,2019
145,Sx00000005681,2780000134,ALLO ACHILLES TEND ZORC,278,C1762,10184.55,Community Hospital of the Monterey Peninsula,2019
146,Sx00000005682,2780000106,ALLO ACL GRAFTLINK 9X62 FGL,278,,10034.25,Community Hospital of the Monterey Peninsula,2019
147,Sx00000005683,2780000106,ALLO ALIF FRZN 16MM VG1B16A,278,,12178.95,Community Hospital of the Monterey Peninsula,2019
148,Sx00000029887,2700000114,ALLO ALLODERM 12X20CM 15201220,270,Q4116,30637.53,Community Hospital of the Monterey Peninsula,2019
149,Sx00000028590,2700000114,ALLO ALLODERM 132CM  CM1520P,270,Q4116,24472.72,Community Hospital of the Monterey Peninsula,2019
150,Sx00000028589,2700000114,ALLO ALLODERM 132CM CM1519P,270,Q4116,24472.72,Community Hospital of the Monterey Peninsula,2019
151,Sx00000005684,2700000114,ALLO ALLODERM 164CM CL1520P,270,Q4116,24537.85,Community Hospital of the Monterey Peninsula,2019
152,Sx00000005685,2700000114,ALLO ALLODERM 16X20CM 102320,270,Q4116,38435.59,Community Hospital of the Monterey Peninsula,2019
153,Sx00000029142,2700000114,ALLO ALLODERM 16X20CM 1518320,270,Q4116,43961.62,Community Hospital of the Monterey Peninsula,2019
154,Sx00000028544,2700000114,ALLO ALLODERM 16X20CM 1519320,270,Q4116,43961.62,Community Hospital of the Monterey Peninsula,2019
155,Sx00000005686,2700000114,ALLO ALLODERM 16X20CM 1520320,270,Q4116,43961.62,Community Hospital of the Monterey Peninsula,2019
156,Sx00000005687,2700000114,ALLO ALLODERM 2X4CM 102010,270,Q4116,3360.2,Community Hospital of the Monterey Peninsula,2019
157,Sx00000001511,2700000114,ALLO ALLODERM 4X16CM 102082,270,Q4116,9608.4,Community Hospital of the Monterey Peninsula,2019
158,Sx00000005688,2700000114,ALLO ALLODERM 6X12CM 102072,270,Q4116,11098.88,Community Hospital of the Monterey Peninsula,2019
159,Sx00000005689,2700000114,ALLO ALLODERM 6X16CM 102196,270,Q4116,15073.48,Community Hospital of the Monterey Peninsula,2019
160,Sx00000005690,2700000114,ALLO ALLODERM 6X16CM 1520616,270,Q4116,15073.48,Community Hospital of the Monterey Peninsula,2019
161,Sx00000005691,2700000114,ALLO ALLODERM 8X16CM 102128,270,Q4116,20292.23,Community Hospital of the Monterey Peninsula,2019
162,Sx00000005692,2700000114,ALLO ALLODERM 8X16CM 1520128,270,Q4116,23636.05,Community Hospital of the Monterey Peninsula,2019
163,Sx00000005693,2700000114,ALLO ALLODERM 8X16CM 982128,270,Q4116,20555.25,Community Hospital of the Monterey Peninsula,2019
164,Sx00000005694,2700000114,ALLO ALLODERM 8X20CM 102016,270,Q4116,23763.81,Community Hospital of the Monterey Peninsula,2019
165,Sx00000005695,2700000114,ALLO ALLODERM 8X20CM 1520160,270,Q4116,26015.8,Community Hospital of the Monterey Peninsula,2019
166,Sx00000029444,2780000236,ALLO ALLODERM CXL1519PRP,278,Q4116,46426.54,Community Hospital of the Monterey Peninsula,2019
167,Sx00000017442,2780000106,ALLO ALLOGRAFT 4MM 910800,278,,2921.83,Community Hospital of the Monterey Peninsula,2019
168,Sx00000005696,2780000106,ALLO AMNIOGRFT 2.5X2.0 AG2520,278,,4606.75,Community Hospital of the Monterey Peninsula,2019
169,Sx00000005697,2780000134,ALLO ANKLE TENDON LAT PRE SUT,278,C1762,6940.58,Community Hospital of the Monterey Peninsula,2019
170,Sx00000001058,2780000134,ALLO ANT TIB 239401,278,C1762,9115.75,Community Hospital of the Monterey Peninsula,2019
171,Sx00000005698,2780000106,ALLO ANT TIB FANTIBT,278,,12071.65,Community Hospital of the Monterey Peninsula,2019
172,Sx00000002564,2780000106,ALLO BONE FILLER NORIAN 10CC,278,,12038.25,Community Hospital of the Monterey Peninsula,2019
173,Sx00000019705,2780000110,ALLO BONE FILLER NORIAN 10CC,278,C1713,13422.22,Community Hospital of the Monterey Peninsula,2019
174,Sx00000005699,2780000110,ALLO BONE FILLER NORIAN 3CC,278,C1713,5432.73,Community Hospital of the Monterey Peninsula,2019
175,Sx00000005700,2780000228,ALLO CERV 4.75X6.22MM VG1CT46,278,L8699,4125.31,Community Hospital of the Monterey Peninsula,2019
176,Sx00000005701,2780000228,ALLO CERV 4.75X6.22MM VG2CT46P,278,L8699,5106.5,Community Hospital of the Monterey Peninsula,2019
177,Sx00000005702,2780000228,ALLO CERV 5.75X7.22MM VG1CT57,278,L8699,4407.62,Community Hospital of the Monterey Peninsula,2019
178,Sx00000005703,2780000228,ALLO CERV 5.75X7.22MM VG2CT57P,278,L8699,5106.5,Community Hospital of the Monterey Peninsula,2019
179,Sx00000005705,2780000228,ALLO CERV 7.75X9.22MM VG1CT79,278,L8699,4125.31,Community Hospital of the Monterey Peninsula,2019
180,Sx00000005704,2780000228,ALLO CERV 7.75X9.22MM VG1CT79P,278,L8699,5281.85,Community Hospital of the Monterey Peninsula,2019
181,Sx00000005706,2780000228,ALLO CERV 7.75X9.22MM VG2C-T79,278,L8699,1372.9,Community Hospital of the Monterey Peninsula,2019
182,Sx00000005707,2780000228,ALLO CERV 8.75X10.22 VG1CT810,278,L8699,4125.31,Community Hospital of the Monterey Peninsula,2019
183,Sx00000001802,2780000228,ALLO CERV BONE 61832006,278,L8699,5161.82,Community Hospital of the Monterey Peninsula,2019
184,Sx00000002189,2780000228,ALLO CERV C-RING 10MM 61833010,278,L8699,4811.33,Community Hospital of the Monterey Peninsula,2019
185,Sx00000002161,2780000228,ALLO CERV C-RING 11MM 61833011,278,L8699,4811.33,Community Hospital of the Monterey Peninsula,2019
186,Sx00000027069,2780000228,ALLO CERV C-RING 12MM 61833012,278,L8699,4811.33,Community Hospital of the Monterey Peninsula,2019
187,Sx00000027006,2780000228,ALLO CERV C-RING 5MM 61833005,278,L8699,6418.41,Community Hospital of the Monterey Peninsula,2019
188,Sx00000027112,2780000228,ALLO CERV C-RING 6MM 61833006,278,L8699,6418.41,Community Hospital of the Monterey Peninsula,2019
189,Sx00000027045,2780000228,ALLO CERV C-RING 7MM 61833007,278,L8699,6418.41,Community Hospital of the Monterey Peninsula,2019
190,Sx00000026974,2780000228,ALLO CERV C-RING 8MM 61833008,278,L8699,6418.41,Community Hospital of the Monterey Peninsula,2019
191,Sx00000027086,2780000228,ALLO CERV C-RING 9MM 61833009,278,L8699,5364.89,Community Hospital of the Monterey Peninsula,2019
192,Sx00000027259,2780000228,ALLO CERV PRESTIGE 5X14MM,278,L8699,22859.5,Community Hospital of the Monterey Peninsula,2019
193,Sx00000018573,2780000228,ALLO CERV PRESTIGE 5X16MM,278,L8699,22859.5,Community Hospital of the Monterey Peninsula,2019
194,Sx00000005708,2780000228,ALLO CERV PRESTIGE 6X14MM,278,L8699,22859.5,Community Hospital of the Monterey Peninsula,2019
195,Sx00000002961,2780000228,ALLO CERV PRESTIGE 6X14MM,278,L8699,19970.75,Community Hospital of the Monterey Peninsula,2019
196,Sx00000005709,2780000228,ALLO CERV PRESTIGE 6X16MM,278,L8699,22859.5,Community Hospital of the Monterey Peninsula,2019
197,Sx00000005710,2780000228,ALLO CERV PRESTIGE 6X18MM,278,L8699,22859.5,Community Hospital of the Monterey Peninsula,2019
198,Sx00000028410,2780000228,ALLO CERV PRESTIGE 7X16MM,278,L8699,22859.5,Community Hospital of the Monterey Peninsula,2019
199,Sx00000027962,2780000228,ALLO CERV PRESTIGE 7X18MM,278,L8699,22859.5,Community Hospital of the Monterey Peninsula,2019
200,Sx00000000110,2780000228,ALLO CERV VG2CT68,278,L8699,5338.42,Community Hospital of the Monterey Peninsula,2019
201,Sx00000000111,2780000228,ALLO CERV VG2CT79,278,L8699,5338.42,Community Hospital of the Monterey Peninsula,2019
202,Sx00000005711,2780000228,ALLO CERV VG2CT810P,278,L8699,1372.9,Community Hospital of the Monterey Peninsula,2019
203,Sx00000005712,2780000228,ALLO CERV VG2CT911P,278,L8699,1372.9,Community Hospital of the Monterey Peninsula,2019
204,Sx00000005713,2780000106,ALLO CHIPS 1-8MM 30CC PCAN30,278,,2591.0,Community Hospital of the Monterey Peninsula,2019
