,Description,UNITS,QUANTITY,Price,UNIT_PRICE,Hospital,Year
76,Ca 600 mg-D3 800 unit-magnes 40 mg-zinc-cop-mang-boron chewable tablet,Each,1.0,2.6,2.6,Kaiser Foundation Hospital - San Rafael,2019
77,DACTINomycin 0.5 mg intravenous solution,Each,65.52,326567.11,4984.2355006105,Kaiser Foundation Hospital - San Rafael,2019
78,DAKIN'S 0.025% (1/20 STRENGTH) TOP SOLN,mL,5.0,925.0,185.0,Kaiser Foundation Hospital - San Rafael,2019
79,DAKIN'S 0.0625% (1/8 STRENGTH) TOP SOLN,mL,3.0,555.0,185.0,Kaiser Foundation Hospital - San Rafael,2019
80,DAKIN'S 0.125% (1/4 STRENGTH) TOP SOLN,mL,1.0,185.0,185.0,Kaiser Foundation Hospital - San Rafael,2019
81,DANTROLENE 5 MG/ML ORAL SUSP,mL,120.0,140.4,1.17,Kaiser Foundation Hospital - San Rafael,2019
82,DAPTOmycin 500 mg intravenous solution,Each,4225.5358,5885236.97,1392.77886842185,Kaiser Foundation Hospital - San Rafael,2019
83,DAUNOrubicin 20 mg intravenous solution,Each,4.83966,16724.25,3455.6663071372805,Kaiser Foundation Hospital - San Rafael,2019
84,DAUNOrubicin 44 mg and cytarabine 100 mg in liposome IV solution,Each,84.69767,2096862.15,24757.022831915,Kaiser Foundation Hospital - San Rafael,2019
85,DAUNOrubicin 5 mg/mL intravenous solution,mL,205.11345,64213.15,313.061625164025,Kaiser Foundation Hospital - San Rafael,2019
86,DESITIN-KARAYA GUM-NYSTATIN 33-33-33% TOP OINT,g,10.0,662.0,66.2,Kaiser Foundation Hospital - San Rafael,2019
87,DEXAMETHASONE (PF) 0.1 % EYE SOLN,mL,2.0,450.4,225.2,Kaiser Foundation Hospital - San Rafael,2019
88,DEXAMETHASONE 4 MG/ML IN STERILE DILUENT IV SYRINGE PED,mL,4.0,98.26,24.565,Kaiser Foundation Hospital - San Rafael,2019
89,DILTIAZEM 1 MG/ML D5W IV PED,mL,7.0,276.5,39.5,Kaiser Foundation Hospital - San Rafael,2019
90,DILTIAZEM 2 % IN WHITE PETROLATUM TOP OINT,g,1.0,151.2,151.2,Kaiser Foundation Hospital - San Rafael,2019
91,"DOBUTamine 1,000 mg/250 mL(4,000 mcg/mL) in 5 % dextrose IV",mL,185.0,19795.0,107.0,Kaiser Foundation Hospital - San Rafael,2019
92,DOBUTamine 250 mg/20 mL (12.5 mg/mL) intravenous solution,mL,967.644,24686.08,25.5115311002807,Kaiser Foundation Hospital - San Rafael,2019
93,DOBUTamine 250 mg/250 mL (1 mg/mL) in 5 % dextrose intravenous,mL,149.0,11856.2,79.57181208053692,Kaiser Foundation Hospital - San Rafael,2019
94,"DOBUTamine 500 mg/250 mL (2,000 mcg/mL) in 5 % dextrose IV",mL,3232.6,396225.3,122.571706985089,Kaiser Foundation Hospital - San Rafael,2019
95,DOBUTamine 500 mg/40 mL (12.5 mg/mL) intravenous solution,mL,94.5,4930.18,52.1712169312169,Kaiser Foundation Hospital - San Rafael,2019
96,DOCEtaxel 160 mg/16 mL (10 mg/mL) intravenous solution,mL,0.92501,1677.35,1813.3317477648893,Kaiser Foundation Hospital - San Rafael,2019
97,DOCEtaxel 160 mg/8 mL (20 mg/mL) intravenous solution,mL,2.50065,5585.94,2233.7952132445607,Kaiser Foundation Hospital - San Rafael,2019
98,DOCEtaxel 80 mg/4 mL (20 mg/mL) intravenous solution,mL,7.6625,50377.1,6574.49918433931,Kaiser Foundation Hospital - San Rafael,2019
99,DOPamine 200 mg/250 mL (800 mcg/mL) in 5 % dextrose intravenous soln,mL,65.92399999999999,3065.15,46.49520660154121,Kaiser Foundation Hospital - San Rafael,2019
100,DOPamine 200 mg/5 mL (40 mg/mL) intravenous solution,mL,326.384,6501.86,19.9208907299377,Kaiser Foundation Hospital - San Rafael,2019
101,DOPamine 400 mg/10 mL (40 mg/mL) intravenous solution,mL,2.2,26.95,12.25,Kaiser Foundation Hospital - San Rafael,2019
102,"DOPamine 400 mg/250 mL (1,600 mcg/mL) in 5 % dextrose intravenous soln",mL,4835.733,265164.1,54.8343136397316,Kaiser Foundation Hospital - San Rafael,2019
103,DOPamine 400 mg/5 mL (80 mg/mL) intravenous solution,mL,7.64,163.45,21.3939790575916,Kaiser Foundation Hospital - San Rafael,2019
104,"DOPamine 800 mg/250 mL (3,200 mcg/mL) in 5 % dextrose intravenous soln",mL,447.2,35108.5,78.5073792486583,Kaiser Foundation Hospital - San Rafael,2019
105,DOPamine 800 mg/5 mL (160 mg/mL) intravenous solution,mL,16.25,529.33,32.574153846153806,Kaiser Foundation Hospital - San Rafael,2019
106,"DOPamine 800 mg/500 mL (1,600 mcg/mL) in 5 % dextrose intravenous soln",mL,69.0,5395.7,78.1985507246377,Kaiser Foundation Hospital - San Rafael,2019
107,DOXOrubicin 10 mg/5 mL intravenous solution,mL,49.484,2897.85,58.5613531646593,Kaiser Foundation Hospital - San Rafael,2019
108,DOXOrubicin 2 mg/mL intravenous solution,mL,269.18975,63130.68,234.521113823985,Kaiser Foundation Hospital - San Rafael,2019
109,DOXOrubicin 20 mg/10 mL intravenous solution,mL,84.975,10475.05,123.27213886437201,Kaiser Foundation Hospital - San Rafael,2019
110,DOXOrubicin 50 mg intravenous solution,Each,301.755,246477.36,816.8128448575833,Kaiser Foundation Hospital - San Rafael,2019
111,DOXOrubicin 50 mg/25 mL intravenous solution,mL,289.66832,52951.48,182.800383555924,Kaiser Foundation Hospital - San Rafael,2019
112,"DOXOrubicin, pegylated liposomal 2 mg/mL intravenous suspension",mL,39.88,30005.2,752.3871614844528,Kaiser Foundation Hospital - San Rafael,2019
113,DP(a)T-polio-hib conj-tet (PF) 15 Lf unit-20 mcg-5 Lf /0.5 mL IM kit,Each,11.0,3170.8,288.254545454545,Kaiser Foundation Hospital - San Rafael,2019
114,"DULoxetine 20 mg capsule,delayed release",Each,10460.0,270261.64,25.8376328871893,Kaiser Foundation Hospital - San Rafael,2019
115,"DULoxetine 30 mg capsule,delayed release",Each,18535.3334,495032.46,26.707502331735807,Kaiser Foundation Hospital - San Rafael,2019
116,"DULoxetine 60 mg capsule,delayed release",Each,1603.0,43561.85,27.175202744853397,Kaiser Foundation Hospital - San Rafael,2019
117,ENOXAPARIN 10 MG/0.1 ML INJ SYG,mL,212.9,7863.9,36.937059652419,Kaiser Foundation Hospital - San Rafael,2019
118,EPINEPHRINE PF 1 MG/ML-LIDOCAINE PF 4 %-BSS PLUS INJ SOLN,mL,145.0,8677.6,59.8455172413793,Kaiser Foundation Hospital - San Rafael,2019
119,"EPINEPHrine (Jr) 0.15 mg/0.3 mL injection,auto-injector",Each,57.7,46888.63,812.6279029462738,Kaiser Foundation Hospital - San Rafael,2019
120,"EPINEPHrine (PF) 1,000 mcg/10 mL (100 mcg/mL) in 0.9% NaCl IV syringe",mL,2.0,122.2,61.1,Kaiser Foundation Hospital - San Rafael,2019
121,EPINEPHrine 0.1 mg/mL injection syringe,mL,967.206,28843.56,29.8215271617422,Kaiser Foundation Hospital - San Rafael,2019
122,EPINEPHrine 0.15 mg/0.15 mL auto-injector (for 33 to 66 lb patients),Each,6.0,3883.5,647.25,Kaiser Foundation Hospital - San Rafael,2019
123,"EPINEPHrine 0.3 mg/0.3 mL injection, auto-injector",Each,460.0,331948.27,721.626673913044,Kaiser Foundation Hospital - San Rafael,2019
124,EPINEPHrine 1 mg/10 mL (100 mcg/mL) in 0.9 % sod.chloride IV syringe,mL,5.01,179.05,35.7385229540918,Kaiser Foundation Hospital - San Rafael,2019
125,EPINEPHrine 1 mg/mL (1 mL) injection solution,mL,10571.1912,645484.6,61.06072511487639,Kaiser Foundation Hospital - San Rafael,2019
126,EPINEPHrine 1 mg/mL injection solution,mL,2494.74382,470508.88,188.60007838400003,Kaiser Foundation Hospital - San Rafael,2019
127,EPINEPHrine 1 mg/mL nasal solution,mL,1647.6666699999994,1030796.87,625.610075610742,Kaiser Foundation Hospital - San Rafael,2019
128,EPINEPHrine HCl (PF) 1 mg/mL (1 mL) injection solution,mL,13961.9692,856000.3,61.309424747907286,Kaiser Foundation Hospital - San Rafael,2019
129,EPINEPHrine HCl 100 mcg/10 mL(10 mcg/mL) in 0.9 % sod chlor IV syringe,mL,0.3,25.5,85.0,Kaiser Foundation Hospital - San Rafael,2019
130,EPINEPHrine HCl 2 mg/250 mL (8 mcg/mL) in 0.9 % sodium chloride IV,mL,1141.5375,120931.65,105.93751847836799,Kaiser Foundation Hospital - San Rafael,2019
131,EPINEPHrine HCl 4 mg/250 mL (16 mcg/mL) in 0.9 % sodium chloride IV,mL,2.0,211.9,105.95,Kaiser Foundation Hospital - San Rafael,2019
132,EPINEPHrine HCl 8 mg/250 mL (32 mcg/mL) in 0.9 % sodium chloride IV,mL,46.0,6992.6,152.01304347826098,Kaiser Foundation Hospital - San Rafael,2019
133,EPINEPHrine HCl 8 mg/250 mL (32 mcg/mL) in 5 % dextrose intravenous,mL,1.0,95.75,95.75,Kaiser Foundation Hospital - San Rafael,2019
134,ETHAMBUTOL 50 MG/ML ORAL SUSP,mL,9600.0,479.2,0.0499166666666667,Kaiser Foundation Hospital - San Rafael,2019
135,FERRIC SUBSULFATE PASTE,mL,79.0,4929.6,62.4,Kaiser Foundation Hospital - San Rafael,2019
136,FLUCONAZOLE 2 MG/ML IV PED,mL,14.0,248.4,17.7428571428571,Kaiser Foundation Hospital - San Rafael,2019
137,FLUOROMETHOLONE (PF) 0.1 % EYE SUSP,mL,1.0,212.9,212.9,Kaiser Foundation Hospital - San Rafael,2019
138,FLUOROURACIL-TRIAMCINOLONE 20-1 MG/0.5 ML INTRALESIONAL INJ,mL,1.0,15.3,15.3,Kaiser Foundation Hospital - San Rafael,2019
139,FLUoxetine 10 mg capsule,Each,14085.0,22114.17,1.5700511182108603,Kaiser Foundation Hospital - San Rafael,2019
140,FLUoxetine 10 mg tablet,Each,1.5,18.7,12.466666666666699,Kaiser Foundation Hospital - San Rafael,2019
141,FLUoxetine 20 mg capsule,Each,33214.5,315638.74,9.5030405395234,Kaiser Foundation Hospital - San Rafael,2019
142,FLUoxetine 20 mg/5 mL (4 mg/mL) oral solution,mL,2365.06138,27280.78,11.534914159394901,Kaiser Foundation Hospital - San Rafael,2019
143,FLUoxetine 40 mg capsule,Each,743.75,11024.79,14.8232470588235,Kaiser Foundation Hospital - San Rafael,2019
144,FOLIC ACID 1 MG/ML ORAL SOLN,mL,23.12168,867.65,37.5253874285952,Kaiser Foundation Hospital - San Rafael,2019
145,FOLIC ACID 100 MCG/ML ORAL SOLN,mL,63.0,149.25,2.36904761904762,Kaiser Foundation Hospital - San Rafael,2019
146,GANCICLOVIR 10 MG/ML IN D5W IV SYRINGE PED,mL,12.0,672.1,56.008333333333304,Kaiser Foundation Hospital - San Rafael,2019
147,GENTAMICIN 13.6 MG/ML EYE DROPS,mL,2.0,186.2,93.1,Kaiser Foundation Hospital - San Rafael,2019
148,GENTAMICIN 2 MG/ML IN NS IV SYRINGE PED,mL,6843.16,74341.7,10.863650711075001,Kaiser Foundation Hospital - San Rafael,2019
149,GENTAMICIN 80 MG/L IN NORMAL SALINE NASAL IRR,mL,60.0,672.8,11.213333333333301,Kaiser Foundation Hospital - San Rafael,2019
150,GI COCKTAIL (3:1:1) MYLANTA-DONNATAL-LIDO VISCOUS ORAL SUSP,mL,2.2,112.35,51.0681818181818,Kaiser Foundation Hospital - San Rafael,2019
151,GI COCKTAIL ORAL SUSP IP,mL,1.0,44.8,44.8,Kaiser Foundation Hospital - San Rafael,2019
152,GLYCOPYRROLATE 100 MCG/ML ORAL SUSP,mL,6.424,67.8,10.554171855541698,Kaiser Foundation Hospital - San Rafael,2019
153,HEPARIN (PF) 10 UNIT/ML NS IV FLUSH SYRINGE PED,mL,13.0,199.3,15.330769230769201,Kaiser Foundation Hospital - San Rafael,2019
154,HEPARIN (PF) 100 UNIT/ML NS IV FLUSH SYRINGE PED,mL,29.265,890.7,30.4356740133265,Kaiser Foundation Hospital - San Rafael,2019
155,HYDRALAZINE 1 MG/ML IN NS IV PED,mL,7.0,178.85,25.55,Kaiser Foundation Hospital - San Rafael,2019
156,HYDRALAZINE 1 MG/ML ORAL SOLN,mL,4.065,177.6,43.690036900368995,Kaiser Foundation Hospital - San Rafael,2019
157,HYDRALAZINE 4 MG/ML ORAL SOLN,mL,0.9,91.5,101.666666666667,Kaiser Foundation Hospital - San Rafael,2019
158,HYDROCHLOROTHIAZIDE 10 MG/ML ORAL SUSP,mL,8.13,220.1,27.0725707257073,Kaiser Foundation Hospital - San Rafael,2019
159,HYDROCORTISONE 2 MG/ML ORAL SUSP,mL,284.915,5383.85,18.8963375041679,Kaiser Foundation Hospital - San Rafael,2019
160,HYDROCORTISONE SOD SUCCINATE 1 MG/ML IN D5W IV SYRINGE PED,mL,519.0,8033.35,15.4785163776493,Kaiser Foundation Hospital - San Rafael,2019
161,HYDROXYUREA 100 MG/ML ORAL SUSP,mL,6.869,1049.15,152.736934051536,Kaiser Foundation Hospital - San Rafael,2019
162,HYDROXYprogesterone (PF)(pregnancy preserving) 250 mg/mL (1 mL) IM oil,mL,59.0,134209.0,2274.72881355932,Kaiser Foundation Hospital - San Rafael,2019
163,HYDROcodone 10 mg-acetaminophen 325 mg tablet,Each,136211.75,1130806.98,8.30183137651487,Kaiser Foundation Hospital - San Rafael,2019
164,HYDROcodone 5 mg-acetaminophen 325 mg tablet,Each,183902.5,1204617.54,6.550305406397411,Kaiser Foundation Hospital - San Rafael,2019
165,HYDROcodone 7.5 mg-acetaminophen 325 mg tablet,Each,699.5,5204.05,7.439671193709789,Kaiser Foundation Hospital - San Rafael,2019
166,HYDROcodone 7.5 mg-acetaminophen 325 mg/15 mL oral solution,mL,7452.80395,138467.68,18.57927310700289,Kaiser Foundation Hospital - San Rafael,2019
167,HYDROcodone 7.5 mg-ibuprofen 200 mg tablet,Each,139.0,1011.2,7.27482014388489,Kaiser Foundation Hospital - San Rafael,2019
168,HYDROmorphone (PF) 0.2 mg/mL in 0.9 % sodium chloride intravenous soln,mL,11285.178,800073.43,70.89595130887609,Kaiser Foundation Hospital - San Rafael,2019
169,HYDROmorphone (PF) 0.5 mg/0.5 mL injection syringe,mL,33729.789,629579.42,18.665382697769,Kaiser Foundation Hospital - San Rafael,2019
170,HYDROmorphone (PF) 1 mg/mL in 0.9 % sodium chloride intravenous soln,mL,209.158,19088.55,91.2637814475181,Kaiser Foundation Hospital - San Rafael,2019
171,HYDROmorphone (PF) 1 mg/mL in 0.9% sodium chloride intravenous syringe,mL,55015.389,1458425.48,26.5094095762915,Kaiser Foundation Hospital - San Rafael,2019
172,HYDROmorphone (PF) 1 mg/mL injection solution,mL,1.0,19.7,19.7,Kaiser Foundation Hospital - San Rafael,2019
173,HYDROmorphone (PF) 1 mg/mL injection syringe,mL,86296.8601,1805029.01,20.91650852543589,Kaiser Foundation Hospital - San Rafael,2019
174,HYDROmorphone (PF) 10 mcg/mL-bupivacaine 0.0625 % in 0.9%NaCl epidural,mL,1.0,118.3,118.3,Kaiser Foundation Hospital - San Rafael,2019
175,HYDROmorphone (PF) 10 mg/mL injection solution,mL,2041.405,52227.04,25.5838699327179,Kaiser Foundation Hospital - San Rafael,2019
176,HYDROmorphone (PF) 2 mg/mL in 0.9% sodium chloride intravenous syringe,mL,10356.222,989971.85,95.5919880821404,Kaiser Foundation Hospital - San Rafael,2019
177,HYDROmorphone (PF) 2 mg/mL injection solution,mL,1645.6915,43826.76,26.6312124720824,Kaiser Foundation Hospital - San Rafael,2019
178,HYDROmorphone (PF) 2 mg/mL injection syringe,mL,40.3,809.3,20.0818858560794,Kaiser Foundation Hospital - San Rafael,2019
179,HYDROmorphone (PF) 20 mcg/mL-bupivacaine 0.125 % in 0.9 %NaCl epidural,mL,8.0,1090.56,136.32,Kaiser Foundation Hospital - San Rafael,2019
180,HYDROmorphone (PF) 4 mg/mL injection solution,mL,1.75,33.15,18.9428571428571,Kaiser Foundation Hospital - San Rafael,2019
181,HYDROmorphone (PF) 4 mg/mL injection syringe,mL,0.25,8.5,34.0,Kaiser Foundation Hospital - San Rafael,2019
182,HYDROmorphone 0.2 mg/mL in 0.9 % sodium chloride intravenous,mL,1298.36,106570.15,82.08058627807391,Kaiser Foundation Hospital - San Rafael,2019
183,HYDROmorphone 0.5 mg/0.5 mL injection syringe,mL,399.04,6513.18,16.322123095429,Kaiser Foundation Hospital - San Rafael,2019
184,HYDROmorphone 1 mg/mL (1 mL) in 0.9 % sodum chloride IV syringe,mL,10.4,451.95,43.456730769230795,Kaiser Foundation Hospital - San Rafael,2019
