,Dept #,Dept Description,Charge #,Description,Price,"Zero Charge
Explanation ",Hospital,Year
23,249,OBSERVATION PROCEDURES,7690019,CHEMO INF IV ADDL HR,316.0,,Banner Lassen Medical Center,2019
24,249,OBSERVATION PROCEDURES,7690027,CHEMO INF IV SEQ 1ST HR,639.0,,Banner Lassen Medical Center,2019
25,249,OBSERVATION PROCEDURES,7690035,CHEMO IVP INITIAL DRUG,446.0,,Banner Lassen Medical Center,2019
26,249,OBSERVATION PROCEDURES,7690043,CHEMO IVP ADDL DRUG,288.0,,Banner Lassen Medical Center,2019
27,249,OBSERVATION PROCEDURES,7690050,INF IV THRPY 1ST HR,592.0,,Banner Lassen Medical Center,2019
28,249,OBSERVATION PROCEDURES,7690068,INF IV THRPY ADDL HR,251.0,,Banner Lassen Medical Center,2019
29,249,OBSERVATION PROCEDURES,7690076,INF IV THRPY CONCURRENT,590.0,,Banner Lassen Medical Center,2019
30,249,OBSERVATION PROCEDURES,7690084,INF IV THRPY SEQ DRUG NEW 1ST HR,496.0,,Banner Lassen Medical Center,2019
31,249,OBSERVATION PROCEDURES,7690092,INJ IVP INITIAL DRUG,482.0,,Banner Lassen Medical Center,2019
32,249,OBSERVATION PROCEDURES,7690100,INJ IVP ADDL SEQ DRUG SAME,315.0,,Banner Lassen Medical Center,2019
33,249,OBSERVATION PROCEDURES,7690118,INJ IVP ADDL SEQ DRUG NEW,313.0,,Banner Lassen Medical Center,2019
34,249,OBSERVATION PROCEDURES,7690126,INF IV HYDRATION 31-60MIN,425.0,,Banner Lassen Medical Center,2019
35,249,OBSERVATION PROCEDURES,7690134,INF IV HYDRATION ADDL HR,217.0,,Banner Lassen Medical Center,2019
36,249,OBSERVATION PROCEDURES,7690142,ASP BLADDER CATH SUPRAPUB,723.0,,Banner Lassen Medical Center,2019
37,249,OBSERVATION PROCEDURES,7690159,INS CATH BLADDER INDWELL SMPL,265.0,,Banner Lassen Medical Center,2019
38,249,OBSERVATION PROCEDURES,7690167,INS CATH BLADDER INDWELL CMPLX,771.0,,Banner Lassen Medical Center,2019
39,249,OBSERVATION PROCEDURES,7690175,INS CATH BLADDER NONINDWELL,157.0,,Banner Lassen Medical Center,2019
40,249,OBSERVATION PROCEDURES,7690183,CATH COLLECT SPEC URINE,135.0,,Banner Lassen Medical Center,2019
41,249,OBSERVATION PROCEDURES,7690217,INJ EPID PATCH BLOOD/CLOT,935.0,,Banner Lassen Medical Center,2019
42,249,OBSERVATION PROCEDURES,7690225,IMMUNIZATION 1ST VACCINE,109.0,,Banner Lassen Medical Center,2019
43,249,OBSERVATION PROCEDURES,7690233,IMMUNIZATION ADDL VACCINE,71.0,,Banner Lassen Medical Center,2019
44,249,OBSERVATION PROCEDURES,7690241,INJ ANES NRV TRIGEMINAL,855.0,,Banner Lassen Medical Center,2019
45,249,OBSERVATION PROCEDURES,7690258,CHEMO SUBQ/IM NONHORMONAL,310.0,,Banner Lassen Medical Center,2019
46,249,OBSERVATION PROCEDURES,7690266,INJ ANES NRV INTERCOSTAL SINGLE,579.0,,Banner Lassen Medical Center,2019
47,249,OBSERVATION PROCEDURES,7690274,INJ ANES NRV BLOCK OTHER,633.0,,Banner Lassen Medical Center,2019
48,249,OBSERVATION PROCEDURES,7690282,INJ SUBQ/IM,212.0,,Banner Lassen Medical Center,2019
49,249,OBSERVATION PROCEDURES,7690290,INJ SHEATH TENDON SGL/LIG/AP,486.0,,Banner Lassen Medical Center,2019
50,249,OBSERVATION PROCEDURES,7690308,INJ TRIGGER POINT/S MUSCLE,486.0,,Banner Lassen Medical Center,2019
51,249,OBSERVATION PROCEDURES,7690316,PROCEDURE IRRIG BLADDER,506.0,,Banner Lassen Medical Center,2019
52,249,OBSERVATION PROCEDURES,7690324,PUNCT LUMBAR,739.0,,Banner Lassen Medical Center,2019
53,249,OBSERVATION PROCEDURES,7690340,LAVAGE PERITONEAL/PARACENTESIS,1075.0,,Banner Lassen Medical Center,2019
54,249,OBSERVATION PROCEDURES,7690357,SPLINT/STRAP EXTREMITY LOWER,399.0,,Banner Lassen Medical Center,2019
55,249,OBSERVATION PROCEDURES,7690365,SPLINT/STRAP EXTREMITY UPPER,458.0,,Banner Lassen Medical Center,2019
56,249,OBSERVATION PROCEDURES,7690373,THORACENT/TUBE CHEST/DRN PLEURAL,904.0,,Banner Lassen Medical Center,2019
57,249,OBSERVATION PROCEDURES,7690381,TRANSFUSION BLOOD/COMP 1 UNIT,892.0,,Banner Lassen Medical Center,2019
58,249,OBSERVATION PROCEDURES,7690399,TRANSFUSION BLOOD/COMP 2 UNITS,1593.0,,Banner Lassen Medical Center,2019
59,249,OBSERVATION PROCEDURES,7690407,TRANSFUSION BLOOD/COMP 3+ UNITS,2597.0,,Banner Lassen Medical Center,2019
60,249,OBSERVATION PROCEDURES,7690415,ADMISSION DIRECT OBSERVATION HOSP,92.0,,Banner Lassen Medical Center,2019
61,249,OBSERVATION PROCEDURES,7690423,PROCEDURE UNLIST OBSRV LVL 01 SMPL,724.0,,Banner Lassen Medical Center,2019
62,249,OBSERVATION PROCEDURES,7690431,PROCEDURE UNLIST OBSRV LVL 02 INTRM,1227.0,,Banner Lassen Medical Center,2019
63,249,OBSERVATION PROCEDURES,7690449,PROCEDURE UNLIST OBSRV LVL 03 CMPLX,2562.0,,Banner Lassen Medical Center,2019
64,249,OBSERVATION PROCEDURES,7690464,I&D/ASP PUNCT LVL 01 SIMPLE,408.0,,Banner Lassen Medical Center,2019
65,249,OBSERVATION PROCEDURES,7690472,I&D LVL 02 INTRM,486.0,,Banner Lassen Medical Center,2019
66,249,OBSERVATION PROCEDURES,7690480,I&D LVL 03 COMPLEX,509.0,,Banner Lassen Medical Center,2019
67,250,PHARMACY HOSPITAL,6760094,ACETAMINOPHEN 80MG/0.8ML LIQ DROP,23.7,,Banner Lassen Medical Center,2019
68,250,PHARMACY HOSPITAL,6760102,ACETAMINOPHEN 160MG/5ML LIQ,6.8,,Banner Lassen Medical Center,2019
69,250,PHARMACY HOSPITAL,6760110,ACETAMINOPHEN 120MG SUPP RECT,1.3,,Banner Lassen Medical Center,2019
70,250,PHARMACY HOSPITAL,6760128,ACETAMINOPHEN 325MG SUPP RECT,1.7,,Banner Lassen Medical Center,2019
71,250,PHARMACY HOSPITAL,6760136,ACETAMINOPHEN 650MG SUPP RECT,1.8,,Banner Lassen Medical Center,2019
72,250,PHARMACY HOSPITAL,6760144,ACETAMINOPHEN 325MG TAB,0.1,,Banner Lassen Medical Center,2019
73,250,PHARMACY HOSPITAL,6760151,ACETAMINOPHEN ES 500MG TAB,5.4,,Banner Lassen Medical Center,2019
74,250,PHARMACY HOSPITAL,6760193,ACETAMINOPHEN/CODEINE 5ML LIQ,7.5,,Banner Lassen Medical Center,2019
75,250,PHARMACY HOSPITAL,6760219,ACETAMINOPHEN/CODEINE 30MG TAB,5.4,,Banner Lassen Medical Center,2019
76,250,PHARMACY HOSPITAL,6760292,ACETIC ACID 0.25% 1000ML SOLN IRRG,22.8,,Banner Lassen Medical Center,2019
77,250,PHARMACY HOSPITAL,6760367,ACETYLCHOLINE 1% 2ML SOLN OPH,160.2,,Banner Lassen Medical Center,2019
78,250,PHARMACY HOSPITAL,6760417,ACETYLCYSTEINE 20% 30ML LIQ INH,72.1,,Banner Lassen Medical Center,2019
79,250,PHARMACY HOSPITAL,6760458,ACYCLOVIR 200MG CAP,5.4,,Banner Lassen Medical Center,2019
80,250,PHARMACY HOSPITAL,6760532,TPN ADULT 2000ML,746.1,,Banner Lassen Medical Center,2019
81,250,PHARMACY HOSPITAL,6760607,ALBUMIN HUMAN 25% 50ML INJ,199.2,,Banner Lassen Medical Center,2019
82,250,PHARMACY HOSPITAL,6760656,ALBUTEROL 2.5MG/3ML SOLN INH,5.6,,Banner Lassen Medical Center,2019
83,250,PHARMACY HOSPITAL,6760664,ALBUTEROL 5MG/1ML 20ML SOLN INH,50.5,,Banner Lassen Medical Center,2019
84,250,PHARMACY HOSPITAL,6760847,ALLOPURINOL 100MG TAB,5.4,,Banner Lassen Medical Center,2019
85,250,PHARMACY HOSPITAL,6760888,ALPRAZOLAM 0.25MG TAB,5.4,,Banner Lassen Medical Center,2019
86,250,PHARMACY HOSPITAL,6760896,ALPRAZOLAM 0.5MG TAB,5.4,,Banner Lassen Medical Center,2019
87,250,PHARMACY HOSPITAL,6761274,AMINO ACIDS 10% TRAVASOL 500ML,620.2,,Banner Lassen Medical Center,2019
88,250,PHARMACY HOSPITAL,6761530,AMIODARONE 200MG TAB,6.5,,Banner Lassen Medical Center,2019
89,250,PHARMACY HOSPITAL,6761555,AMITRIPTYLINE 10MG TAB,5.4,,Banner Lassen Medical Center,2019
90,250,PHARMACY HOSPITAL,6761589,AMITRIPTYLINE 25MG TAB,5.4,,Banner Lassen Medical Center,2019
91,250,PHARMACY HOSPITAL,6761597,AMITRIPTYLINE 50MG TAB,5.4,,Banner Lassen Medical Center,2019
92,250,PHARMACY HOSPITAL,6761613,AMMONIA AROMATIC 0.33ML INH NAS,5.4,,Banner Lassen Medical Center,2019
93,250,PHARMACY HOSPITAL,6761696,AMOXICILLIN 250MG CAP,5.4,,Banner Lassen Medical Center,2019
94,250,PHARMACY HOSPITAL,6761704,AMOXICILLIN 500MG CAP,6.4,,Banner Lassen Medical Center,2019
95,250,PHARMACY HOSPITAL,6761720,AMOXICILLIN 125MG/5ML 80ML LIQ,30.1,,Banner Lassen Medical Center,2019
96,250,PHARMACY HOSPITAL,6761746,AMOXICILLIN 125MG/5ML LIQ,5.4,,Banner Lassen Medical Center,2019
97,250,PHARMACY HOSPITAL,6761753,AMOXICILLIN 250MG/5ML 100ML LIQ,32.4,,Banner Lassen Medical Center,2019
98,250,PHARMACY HOSPITAL,6761779,AMOXICILLIN 250MG/5ML LIQ,8.6,,Banner Lassen Medical Center,2019
99,250,PHARMACY HOSPITAL,6761811,AMOXIL/CLAV 125MG/5ML 75ML LIQ,876.7,,Banner Lassen Medical Center,2019
100,250,PHARMACY HOSPITAL,6761837,AMOXIL/CLAV 250MG/5ML 75ML LIQ,191.6,,Banner Lassen Medical Center,2019
101,250,PHARMACY HOSPITAL,6761860,AMOXIL/CLAV 500MG TAB,9.6,,Banner Lassen Medical Center,2019
102,250,PHARMACY HOSPITAL,6761951,AMPICILLIN SOD 250MG INJ,63.5,,Banner Lassen Medical Center,2019
103,250,PHARMACY HOSPITAL,6761969,AMPICILLIN SOD 500MG INJ,64.6,,Banner Lassen Medical Center,2019
104,250,PHARMACY HOSPITAL,6762009,AMPICILLIN 250MG/5ML 100ML LIQ,18.3,,Banner Lassen Medical Center,2019
105,250,PHARMACY HOSPITAL,6762074,AMPICILLIN SOD 500MG NS 50ML PB,70.0,,Banner Lassen Medical Center,2019
106,250,PHARMACY HOSPITAL,6762090,AMPICILLIN/SULBACT 1.5GM INJ,65.7,,Banner Lassen Medical Center,2019
107,250,PHARMACY HOSPITAL,6762116,AMPCILLIN/SULBACT 1.5GM NS 50ML PB,75.4,,Banner Lassen Medical Center,2019
108,250,PHARMACY HOSPITAL,6762215,LATRODECT MACT BLACK WIDOW 6KU KIT,135.6,,Banner Lassen Medical Center,2019
109,250,PHARMACY HOSPITAL,6762249,HYDROCORTISONE 25MG SUPP RECT,17.9,,Banner Lassen Medical Center,2019
110,250,PHARMACY HOSPITAL,6762306,ARTIFICIAL TEAR PF 15ML SOLN OPH,24.8,,Banner Lassen Medical Center,2019
111,250,PHARMACY HOSPITAL,6762314,ASCORBIC ACID 500MG/1ML 1ML INJ,5.7,,Banner Lassen Medical Center,2019
112,250,PHARMACY HOSPITAL,6762397,ASPIRIN 325MG TAB EC,0.1,,Banner Lassen Medical Center,2019
113,250,PHARMACY HOSPITAL,6762421,ASPIRIN 300MG SUPP RECT,5.4,,Banner Lassen Medical Center,2019
114,250,PHARMACY HOSPITAL,6762470,ASPIRIN 81MG TAB,0.1,,Banner Lassen Medical Center,2019
115,250,PHARMACY HOSPITAL,6762561,ATENOLOL 25MG TAB,5.4,,Banner Lassen Medical Center,2019
116,250,PHARMACY HOSPITAL,6762579,ATENOLOL 50MG TAB,5.4,,Banner Lassen Medical Center,2019
117,250,PHARMACY HOSPITAL,6762793,INFLIXIMAB NO BIOSM/10MG INJ NC,0.01,,Banner Lassen Medical Center,2019
118,250,PHARMACY HOSPITAL,6762900,AZATHIOPRINE 50MG TAB,6.9,,Banner Lassen Medical Center,2019
119,250,PHARMACY HOSPITAL,6762918,AZITHROMYCIN 250MG TAB,11.9,,Banner Lassen Medical Center,2019
120,250,PHARMACY HOSPITAL,6762926,AZTREONAM 1GM INJ,123.8,,Banner Lassen Medical Center,2019
121,250,PHARMACY HOSPITAL,6762967,BACITRACIN 50000U INJ,77.5,,Banner Lassen Medical Center,2019
122,250,PHARMACY HOSPITAL,6762983,BACITRACIN 30GM OINT TOP,16.8,,Banner Lassen Medical Center,2019
123,250,PHARMACY HOSPITAL,6762991,BACLOFEN 10MG TAB,5.4,,Banner Lassen Medical Center,2019
124,250,PHARMACY HOSPITAL,6763023,BALANCED SALT 500ML SOLN IRRG,24.0,,Banner Lassen Medical Center,2019
125,250,PHARMACY HOSPITAL,6763031,BALANCED SALT PLUS 500ML SOLN IRRG,196.6,,Banner Lassen Medical Center,2019
126,250,PHARMACY HOSPITAL,6763049,BALANCED SALT 15ML SOLN OPH,14.6,,Banner Lassen Medical Center,2019
127,250,PHARMACY HOSPITAL,6763098,ALGLUCOSIDASE ALFA/10MG INJ NC,0.01,,Banner Lassen Medical Center,2019
128,250,PHARMACY HOSPITAL,6763114,PEGLOTICASE/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
129,250,PHARMACY HOSPITAL,6763247,BENZOCAINE DERMPLAST 20% 80GM TOP,24.8,,Banner Lassen Medical Center,2019
130,250,PHARMACY HOSPITAL,6763312,BENZONATATE 100MG CAP,6.5,,Banner Lassen Medical Center,2019
131,250,PHARMACY HOSPITAL,6763445,BENZTROPINE 0.5MG TAB,5.6,,Banner Lassen Medical Center,2019
132,250,PHARMACY HOSPITAL,6763668,BETHANECHOL CL 10MG TAB,6.5,,Banner Lassen Medical Center,2019
133,250,PHARMACY HOSPITAL,6763775,SODIUM CITRAT/CITRIC ACID 15ML LIQ,6.5,,Banner Lassen Medical Center,2019
134,250,PHARMACY HOSPITAL,6763833,BISACODYL 10MG SUPP RECT,5.4,,Banner Lassen Medical Center,2019
135,250,PHARMACY HOSPITAL,6763841,BISACODYL 5MG TAB EC,5.4,,Banner Lassen Medical Center,2019
136,250,PHARMACY HOSPITAL,6763874,BISMUTH SUBSALIC PEPTO 120ML LIQ,28.0,,Banner Lassen Medical Center,2019
137,250,PHARMACY HOSPITAL,6764112,BUMETANIDE 0.25MG/1ML 4ML INJ,43.5,,Banner Lassen Medical Center,2019
138,250,PHARMACY HOSPITAL,6764153,BUPIVACAINE 0.25% 10ML INJ,26.6,,Banner Lassen Medical Center,2019
139,250,PHARMACY HOSPITAL,6764161,BUPIVACAINE 0.25% 30ML INJ,39.7,,Banner Lassen Medical Center,2019
140,250,PHARMACY HOSPITAL,6764195,BUPIVACAINE 0.25%/EPI 30ML INJ,43.0,,Banner Lassen Medical Center,2019
141,250,PHARMACY HOSPITAL,6764211,BUPIVACAINE 0.5% 10ML INJ,26.8,,Banner Lassen Medical Center,2019
142,250,PHARMACY HOSPITAL,6764229,BUPIVACAINE 0.5% 30ML INJ,39.2,,Banner Lassen Medical Center,2019
143,250,PHARMACY HOSPITAL,6764252,BUPIVACAINE 0.5%/EPI 10ML INJ,32.7,,Banner Lassen Medical Center,2019
144,250,PHARMACY HOSPITAL,6764260,BUPIVACAINE 0.5%/EPI 30ML INJ,41.4,,Banner Lassen Medical Center,2019
145,250,PHARMACY HOSPITAL,6764294,BUPIVACAINE 0.75% 30ML INJ,58.8,,Banner Lassen Medical Center,2019
146,250,PHARMACY HOSPITAL,6764369,BUPROPION 100MG TAB,6.5,,Banner Lassen Medical Center,2019
147,250,PHARMACY HOSPITAL,6764385,BUSPIRONE 5MG TAB,5.4,,Banner Lassen Medical Center,2019
148,250,PHARMACY HOSPITAL,6764690,CALCIUM ACETATE 667MG TAB,6.5,,Banner Lassen Medical Center,2019
149,250,PHARMACY HOSPITAL,6764740,CALCIUM CARB 500MG TAB,2.0,,Banner Lassen Medical Center,2019
150,250,PHARMACY HOSPITAL,6764823,CALCIUM CHLORIDE 1GM/10ML INJ,64.6,,Banner Lassen Medical Center,2019
151,250,PHARMACY HOSPITAL,6764864,CALCIUM GLUCONATE 4.7MEQ/10ML INJ,60.4,,Banner Lassen Medical Center,2019
152,250,PHARMACY HOSPITAL,6765002,CALCIUM CARB 500MG /VIT D 200U TAB,0.1,,Banner Lassen Medical Center,2019
153,250,PHARMACY HOSPITAL,6765077,CANDIDA 0.1ML TEST SKIN,43.0,,Banner Lassen Medical Center,2019
154,250,PHARMACY HOSPITAL,6765127,CAPTOPRIL 25MG TAB,5.4,,Banner Lassen Medical Center,2019
155,250,PHARMACY HOSPITAL,6765275,CARBAMAZEPINE 200MG TAB,5.4,,Banner Lassen Medical Center,2019
156,250,PHARMACY HOSPITAL,6765283,CARBAMIDE PEROX 6.5% 15ML SOLN OTIC,26.9,,Banner Lassen Medical Center,2019
157,250,PHARMACY HOSPITAL,6765309,CARBIDOP 10MG/LEVODOP 100MG TAB,6.5,,Banner Lassen Medical Center,2019
158,250,PHARMACY HOSPITAL,6765317,CARBIDOP 25MG/LEVODOP 100MG TAB,6.5,,Banner Lassen Medical Center,2019
159,250,PHARMACY HOSPITAL,6765366,CARBOPLATIN/50MG INJ,132.4,,Banner Lassen Medical Center,2019
160,250,PHARMACY HOSPITAL,6765432,CARISOPRODOL 350MG TAB,6.5,,Banner Lassen Medical Center,2019
161,250,PHARMACY HOSPITAL,6765762,CEFAZOLIN SODIUM/500MG INJ,58.2,,Banner Lassen Medical Center,2019
162,250,PHARMACY HOSPITAL,6765804,CEFAZOLIN SODIUM/500MG PB,10.2,,Banner Lassen Medical Center,2019
163,250,PHARMACY HOSPITAL,6765887,CEFOTAXIME SODIUM/1GM INJ,62.4,,Banner Lassen Medical Center,2019
164,250,PHARMACY HOSPITAL,6765911,CEFOTAXIME SODIUM/1GM PB,64.6,,Banner Lassen Medical Center,2019
165,250,PHARMACY HOSPITAL,6765952,CEFOXITIN SODIUM/1GM INJ,71.0,,Banner Lassen Medical Center,2019
166,250,PHARMACY HOSPITAL,6765978,CEFOXITIN SOD/1GM PB,71.0,,Banner Lassen Medical Center,2019
167,250,PHARMACY HOSPITAL,6766091,CEFTRIAXONE SODIUM/250MG INJ,75.4,,Banner Lassen Medical Center,2019
168,250,PHARMACY HOSPITAL,6766141,CEFUROXIME STERILE SODIUM/750MG INJ,34.6,,Banner Lassen Medical Center,2019
169,250,PHARMACY HOSPITAL,6766208,ARTIFICIAL TEAR .5% ISOP 15ML OPH,40.3,,Banner Lassen Medical Center,2019
170,250,PHARMACY HOSPITAL,6766265,CEPACOL LOZ 3/PKG,6.5,,Banner Lassen Medical Center,2019
171,250,PHARMACY HOSPITAL,6766307,CEPHALEXIN 250MG CAP,5.4,,Banner Lassen Medical Center,2019
172,250,PHARMACY HOSPITAL,6766315,CEPHALEXIN 500MG CAP,5.4,,Banner Lassen Medical Center,2019
173,250,PHARMACY HOSPITAL,6766349,CEPHALEXIN 125MG/5ML 100ML LIQ,43.0,,Banner Lassen Medical Center,2019
174,250,PHARMACY HOSPITAL,6766356,CEPHALEXIN 250MG/5ML 100ML LIQ,78.7,,Banner Lassen Medical Center,2019
175,250,PHARMACY HOSPITAL,6766521,BENZOCAINE/TETRACAINE 56GM SPRY TOP,170.8,,Banner Lassen Medical Center,2019
176,250,PHARMACY HOSPITAL,6766596,CHARCOAL/SORBITOL 50GM 240ML LIQ,75.4,,Banner Lassen Medical Center,2019
177,250,PHARMACY HOSPITAL,6766604,CHARCOAL/WATER 50GM 240ML LIQ,71.0,,Banner Lassen Medical Center,2019
178,250,PHARMACY HOSPITAL,6766893,CHLORASEPTIC LOZ 18/BOX,15.1,,Banner Lassen Medical Center,2019
179,250,PHARMACY HOSPITAL,6766901,CHLORASEPTIC 6OZ SPRY ORAL,5.5,,Banner Lassen Medical Center,2019
180,250,PHARMACY HOSPITAL,6766943,CHLORDIAZEPOXIDE 10MG CAP,5.4,,Banner Lassen Medical Center,2019
181,250,PHARMACY HOSPITAL,6766950,CHLORDIAZEPOXIDE 25MG CAP,6.5,,Banner Lassen Medical Center,2019
182,250,PHARMACY HOSPITAL,6767222,CHLORPROMAZINE HCL 25MG/1ML 2ML INJ,100.2,,Banner Lassen Medical Center,2019
183,250,PHARMACY HOSPITAL,6767461,CHOLESTYR 4GM PWD PKT,7.5,,Banner Lassen Medical Center,2019
184,250,PHARMACY HOSPITAL,6767735,CIPROFLOXACIN/200MG INJ,52.8,,Banner Lassen Medical Center,2019
185,250,PHARMACY HOSPITAL,6767768,CIPROFLOXACIN 0.3% 5ML SOLN OPH,34.4,,Banner Lassen Medical Center,2019
186,250,PHARMACY HOSPITAL,6767776,CIPROFLOXACIN/200MG PB,14.2,,Banner Lassen Medical Center,2019
187,250,PHARMACY HOSPITAL,6767792,CIPROFLOXACIN 250MG TAB,6.5,,Banner Lassen Medical Center,2019
188,250,PHARMACY HOSPITAL,6767800,CIPROFLOXACIN 500MG TAB,6.5,,Banner Lassen Medical Center,2019
189,250,PHARMACY HOSPITAL,6767842,SODIUM CITRAT/CITRIC ACID 30ML LIQ,6.5,,Banner Lassen Medical Center,2019
190,250,PHARMACY HOSPITAL,6767883,CLARITHROMYCIN 500MG TAB,18.3,,Banner Lassen Medical Center,2019
191,250,PHARMACY HOSPITAL,6767925,CLINDAMYCIN 150MG CAP,6.5,,Banner Lassen Medical Center,2019
192,250,PHARMACY HOSPITAL,6767941,CLINDAMYCIN 300MG INJ,39.0,,Banner Lassen Medical Center,2019
193,250,PHARMACY HOSPITAL,6767958,CLINDAMYCIN 600MG INJ,68.9,,Banner Lassen Medical Center,2019
194,250,PHARMACY HOSPITAL,6767966,CLINDAMYCIN 900MG INJ,77.5,,Banner Lassen Medical Center,2019
195,250,PHARMACY HOSPITAL,6768105,CLOBETASOL 0.05% 15GM CR TOP,119.1,,Banner Lassen Medical Center,2019
196,250,PHARMACY HOSPITAL,6768188,CLONAZEPAM 0.5MG TAB,5.4,,Banner Lassen Medical Center,2019
197,250,PHARMACY HOSPITAL,6768196,CLONAZEPAM 1MG TAB,5.4,,Banner Lassen Medical Center,2019
198,250,PHARMACY HOSPITAL,6768212,CLONIDINE 0.1MG TAB,5.4,,Banner Lassen Medical Center,2019
199,250,PHARMACY HOSPITAL,6768246,CLONIDINE 0.1MG PAT TOP,70.0,,Banner Lassen Medical Center,2019
200,250,PHARMACY HOSPITAL,6768253,CLONIDINE 0.2MG PAT TOP,190.2,,Banner Lassen Medical Center,2019
201,250,PHARMACY HOSPITAL,6768261,CLONIDINE 0.3MG PAT TOP,284.7,,Banner Lassen Medical Center,2019
202,250,PHARMACY HOSPITAL,6768352,CLOTRIMAZOLE 10MG LOZ,10.9,,Banner Lassen Medical Center,2019
203,250,PHARMACY HOSPITAL,6768360,CLOTRIMAZOLE 1% 15GM CR TOP,59.7,,Banner Lassen Medical Center,2019
204,250,PHARMACY HOSPITAL,6768659,COLCHICINE 0.6MG TAB,15.1,,Banner Lassen Medical Center,2019
205,250,PHARMACY HOSPITAL,6768709,COLLAGENASE 30GM OINT TOP,411.5,,Banner Lassen Medical Center,2019
206,250,PHARMACY HOSPITAL,6768840,NEOMYC/POLY/HC 3.5GM OINT OPH,163.0,,Banner Lassen Medical Center,2019
207,250,PHARMACY HOSPITAL,6768857,NEOMYC/POLY/HC 7.5ML SUSP OPH,241.1,,Banner Lassen Medical Center,2019
208,250,PHARMACY HOSPITAL,6768865,NEOMYC/POLY/HC 10ML SOLN OTIC,85.5,,Banner Lassen Medical Center,2019
209,250,PHARMACY HOSPITAL,6768881,COSYNTROPIN/0.25MG INJ,278.9,,Banner Lassen Medical Center,2019
210,250,PHARMACY HOSPITAL,6769012,CYANOCOBALAMIN B12<=1000MCG INJ,43.0,,Banner Lassen Medical Center,2019
211,250,PHARMACY HOSPITAL,6769079,CYCLOBENZAPRINE 10MG TAB,5.4,,Banner Lassen Medical Center,2019
212,250,PHARMACY HOSPITAL,6769285,CYTARABINE 100MG INJ,130.6,,Banner Lassen Medical Center,2019
213,250,PHARMACY HOSPITAL,6769590,DEMECLOCYCLINE 150MG TAB,31.0,,Banner Lassen Medical Center,2019
214,250,PHARMACY HOSPITAL,6770309,DEXT 10% WATER 1000ML,92.4,,Banner Lassen Medical Center,2019
