,Group,ChargeCode,Description,Price, ,Hospital,Year
36,SGR,308500011,121 MED/SURG ACUTE,4874.0,,Sharp Grossmont Hospital,2019
37,SGR,308500012,206 INTERMEDIATE CARE,8745.0,,Sharp Grossmont Hospital,2019
38,SGR,308500550,OUTPT OBSERVATION UNIT         ,383.0,,Sharp Grossmont Hospital,2019
39,SGR,308500555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
40,SGR,308500556,OUTPT OBS ADMISSION,852.0,,Sharp Grossmont Hospital,2019
41,SGR,308600011,121 MED/SURG ACUTE,4874.0,,Sharp Grossmont Hospital,2019
42,SGR,308600012,206 INTERMEDIATE CARE,8745.0,,Sharp Grossmont Hospital,2019
43,SGR,308600550,OUTPT OBSERVATION UNIT         ,383.0,,Sharp Grossmont Hospital,2019
44,SGR,308600555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
45,SGR,308700011,121 MED/SURG ACUTE,4874.0,,Sharp Grossmont Hospital,2019
46,SGR,308700012,206 INTERMEDIATE CARE,8745.0,,Sharp Grossmont Hospital,2019
47,SGR,308700550,OUTPT OBSERVATION UNIT,383.0,,Sharp Grossmont Hospital,2019
48,SGR,308700555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
49,SGR,308900011,121 MED/SURG ACUTE,4874.0,,Sharp Grossmont Hospital,2019
50,SGR,308900550,OUTPT OBSERVATION UNIT ,383.0,,Sharp Grossmont Hospital,2019
51,SGR,308900555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
52,SGR,314000002,124 FOCUS PROGRAM,4094.0,,Sharp Grossmont Hospital,2019
53,SGR,315000020,124 MEDICAL PSYCH PROGRAM,4094.0,,Sharp Grossmont Hospital,2019
54,SGR,315000550,MENTAL HEALTH UNIT - OBS         ,170.0,,Sharp Grossmont Hospital,2019
55,SGR,315000555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
56,SGR,315600011,121 MED/SURG ACUTE,4874.0,,Sharp Grossmont Hospital,2019
57,SGR,315600012,206 INTERMEDIATE CARE     ,8745.0,,Sharp Grossmont Hospital,2019
58,SGR,315600550,OUTPAT OBSERVATION UNIT,383.0,,Sharp Grossmont Hospital,2019
59,SGR,315600555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
60,SGR,315700011,121 MED/SURG ACUTE,4874.0,,Sharp Grossmont Hospital,2019
61,SGR,315700012,206 INTERMEDIATE CARE,8745.0,,Sharp Grossmont Hospital,2019
62,SGR,315700550,OUTPAT OBSERVATION UNIT,383.0,,Sharp Grossmont Hospital,2019
63,SGR,315700555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
64,SGR,315800011,121 MED/SURG ACUTE,4874.0,,Sharp Grossmont Hospital,2019
65,SGR,315800012,206 INTERMEDIATE CARE     ,8745.0,,Sharp Grossmont Hospital,2019
66,SGR,315800550,OUTPAT OBSERVATION UNIT,383.0,,Sharp Grossmont Hospital,2019
67,SGR,315800555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
68,SGR,316200011,121 MS/GYN ACUTE,4874.0,,Sharp Grossmont Hospital,2019
69,SGR,316200015,171 NEWBORN ACUTE,1942.0,,Sharp Grossmont Hospital,2019
70,SGR,316200025,BILI/BOARDER,1942.0,,Sharp Grossmont Hospital,2019
71,SGR,316200030,122 OB ACUTE,4874.0,,Sharp Grossmont Hospital,2019
72,SGR,316200200,172 NEWBORN CONTINUING CARE,5894.0,,Sharp Grossmont Hospital,2019
73,SGR,316200550,OUTPT OBSERVATION UNIT         ,383.0,,Sharp Grossmont Hospital,2019
74,SGR,316200555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
75,SGR,316200561,OPTIONAL OVERNIGHT ROOM,65.0,,Sharp Grossmont Hospital,2019
76,SGR,316204020,129 OB SPECIAL CARE,7978.0,,Sharp Grossmont Hospital,2019
77,SGR,316300011,121 MS/GYN ACUTE,4874.0,,Sharp Grossmont Hospital,2019
78,SGR,316300015,171 NEWBORN ACUTE,1942.0,,Sharp Grossmont Hospital,2019
79,SGR,316300016,171 NEWBORN ACUTE,1942.0,,Sharp Grossmont Hospital,2019
80,SGR,316300025,BILI/BOARDER,1942.0,,Sharp Grossmont Hospital,2019
81,SGR,316300030,122 OB ACUTE,4874.0,,Sharp Grossmont Hospital,2019
82,SGR,316300550,OUTPT OBSERVATION/HR,383.0,,Sharp Grossmont Hospital,2019
83,SGR,316300555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
84,SGR,317100011,171 NEWBORN ACUTE,1942.0,,Sharp Grossmont Hospital,2019
85,SGR,317100025,BILI/BOARDER,1942.0,,Sharp Grossmont Hospital,2019
86,SGR,317200001,172 NICU CONTINUING CARE,5894.0,,Sharp Grossmont Hospital,2019
87,SGR,317200002,173 NICU INTERMEDIATE,8601.0,,Sharp Grossmont Hospital,2019
88,SGR,317200003,174 NICU INTENSIVE CARE,9855.0,,Sharp Grossmont Hospital,2019
89,SGR,317200025,BILI/BOARDER,1942.0,,Sharp Grossmont Hospital,2019
90,SGR,317200550,OUTPT OBSERVATION UNIT/HR,383.0,,Sharp Grossmont Hospital,2019
91,SGR,318100011,121 MED/SURG ACUTE,4874.0,,Sharp Grossmont Hospital,2019
92,SGR,318100012,206 INTERMEDIATE CARE,8745.0,,Sharp Grossmont Hospital,2019
93,SGR,318100017,202 MICU,12261.0,,Sharp Grossmont Hospital,2019
94,SGR,318100550,OUTPAT OBSERVATION UNIT,383.0,,Sharp Grossmont Hospital,2019
95,SGR,318100555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
96,SGR,320000022,SKILLED CARE SEMI,516.0,,Sharp Grossmont Hospital,2019
97,SGR,320000051,SNF RUG III,516.0,,Sharp Grossmont Hospital,2019
98,SGR,320100011,121 MED/SURG O/F,4874.0,,Sharp Grossmont Hospital,2019
99,SGR,320100021,128 REHAB CENTER,4533.0,,Sharp Grossmont Hospital,2019
100,SGR,320100550,OUTPT OBSERVATION UNIT         ,383.0,,Sharp Grossmont Hospital,2019
101,SGR,320100555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
102,SGR,320500002,128 REHAB CENTER,4533.0,,Sharp Grossmont Hospital,2019
103,SGR,320500011,121 MED/SURG O/F,4874.0,,Sharp Grossmont Hospital,2019
104,SGR,320500550,OUTPT OBSERVATION UNIT,383.0,,Sharp Grossmont Hospital,2019
105,SGR,320500555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
106,SGR,334200040,204 PSYCH ICU,5721.0,,Sharp Grossmont Hospital,2019
107,SGR,336000011,121 MED/SURG ,4874.0,,Sharp Grossmont Hospital,2019
108,SGR,336000012,206 INTERMEDIATE CARE ,8745.0,,Sharp Grossmont Hospital,2019
109,SGR,336000550,OUTPT OBSERVATION              ,383.0,,Sharp Grossmont Hospital,2019
110,SGR,336000555,OUTPATIENT OBS/HR,383.0,,Sharp Grossmont Hospital,2019
111,SGR,401100010,CONTRACTION STRESS TEST        ,956.0,,Sharp Grossmont Hospital,2019
112,SGR,401100015,PITOCIN IND/AUGMENT,614.0,,Sharp Grossmont Hospital,2019
113,SGR,401100021,EPIDURAL BLOOD PATCH,2849.0,,Sharp Grossmont Hospital,2019
114,SGR,401100025,VERSION PROCEDURE,4977.0,,Sharp Grossmont Hospital,2019
115,SGR,401100470,NON STRESS TEST,1184.0,,Sharp Grossmont Hospital,2019
116,SGR,401100530,FETAL BIOPHYS PROFILE/AFI,1125.0,,Sharp Grossmont Hospital,2019
117,SGR,401100561,AMNIO ULTRASOUND,320.0,,Sharp Grossmont Hospital,2019
118,SGR,401104002,ANESTHESIA REGIONAL,1417.0,,Sharp Grossmont Hospital,2019
119,SGR,401106000,BOH/BOA DELIVERY,2505.0,,Sharp Grossmont Hospital,2019
120,SGR,401107010,"LABOR SVCS,MODERATE INTEN      ",2533.0,,Sharp Grossmont Hospital,2019
121,SGR,401107020,"LABOR SVCS,HIGH INTENS         ",3260.0,,Sharp Grossmont Hospital,2019
122,SGR,401107025,DELIVERY SVCS MODERATE INTENS,3799.0,,Sharp Grossmont Hospital,2019
123,SGR,401107035,DELIVERY SVCS HIGH INTENS,4891.0,,Sharp Grossmont Hospital,2019
124,SGR,401109001,ULTRASOUND LTD/AFI,999.0,,Sharp Grossmont Hospital,2019
125,SGR,401109045,MAG SULFATE PROCEDURE,520.0,,Sharp Grossmont Hospital,2019
126,SGR,401202000,ANESTHESIA GENERAL 1ST HR,3641.0,,Sharp Grossmont Hospital,2019
127,SGR,401202001,ANESTHESIA GENERAL ADDL 15MIN,712.0,,Sharp Grossmont Hospital,2019
128,SGR,401202002,ANESTHESIA REGIONAL 1ST HR,2912.0,,Sharp Grossmont Hospital,2019
129,SGR,401202003,ANESTHESIA REGIONAL ADDL 15MIN,561.0,,Sharp Grossmont Hospital,2019
130,SGR,401202004,ANESTHESIA MAC 1ST HR,2308.0,,Sharp Grossmont Hospital,2019
131,SGR,401202005,ANESTHESIA MAC ADDL 15MIN,430.0,,Sharp Grossmont Hospital,2019
132,SGR,401203010,SURGERY MINOR 1ST HR WC,10569.0,,Sharp Grossmont Hospital,2019
133,SGR,401203011,SURGERY MINOR EA ADD 15MIN WC,2207.0,,Sharp Grossmont Hospital,2019
134,SGR,401203020,SURGERY MAJOR 1ST HR WC,13725.0,,Sharp Grossmont Hospital,2019
135,SGR,401203021,SURGERY MAJOR EA ADD 15MIN WC,3093.0,,Sharp Grossmont Hospital,2019
136,SGR,401203030,SURGERY COMPLEX 1ST HR WC,20427.0,,Sharp Grossmont Hospital,2019
137,SGR,401203031,SURGERY COMPLEX EA ADD 15MIN WC,4438.0,,Sharp Grossmont Hospital,2019
138,SGR,401400010,CONTRACTION STRESS TEST,956.0,,Sharp Grossmont Hospital,2019
139,SGR,401400027,INSERT CERVICAL DILATOR  ,577.0,,Sharp Grossmont Hospital,2019
140,SGR,401400470,NON STRESS TEST,1184.0,,Sharp Grossmont Hospital,2019
141,SGR,401400530,FETAL BIOPHYS PROFILE,1125.0,,Sharp Grossmont Hospital,2019
142,SGR,401400700,IV HYDRATION UPTO 1HR    ,1010.0,,Sharp Grossmont Hospital,2019
143,SGR,401400701,IV HYDRATION EA ADD HR  ,353.0,,Sharp Grossmont Hospital,2019
144,SGR,401400702,IV THERAPY UPTO 1 HR,1079.0,,Sharp Grossmont Hospital,2019
145,SGR,401400703,IV THERAPY EA ADD HR,231.0,,Sharp Grossmont Hospital,2019
146,SGR,401400704,IV THERAPY ADD SEQ INFUS UPTO 1HR ,418.0,,Sharp Grossmont Hospital,2019
147,SGR,401400706,INJECTION IM/SUB Q,256.0,,Sharp Grossmont Hospital,2019
148,SGR,401400707,INJ IV PUSH SNGL/INITIAL,580.0,,Sharp Grossmont Hospital,2019
149,SGR,401400708,INJ IV PUSH ADD SEQTL NEW SUB/DRUG,492.0,,Sharp Grossmont Hospital,2019
150,SGR,401400720,INJ IV PUSH ADD SAME SUB/DRG ,421.0,,Sharp Grossmont Hospital,2019
151,SGR,401409001,ULTRASOUND LTD/AFI,999.0,,Sharp Grossmont Hospital,2019
152,SGR,401460466,OB TRIAGE LEVEL 1 OP    ,259.0,,Sharp Grossmont Hospital,2019
153,SGR,401460467,OB TRIAGE LEVEL 2 OP    ,310.0,,Sharp Grossmont Hospital,2019
154,SGR,401460468,OB TRIAGE LEVEL 3 OP    ,351.0,,Sharp Grossmont Hospital,2019
155,SGR,401460469,OB TRIAGE LEVEL 4 OP    ,479.0,,Sharp Grossmont Hospital,2019
156,SGR,401460470,OB TRIAGE LEVEL 5 OP    ,527.0,,Sharp Grossmont Hospital,2019
157,SGR,401600020,EPIDURAL BLOOD PATCH,2849.0,,Sharp Grossmont Hospital,2019
158,SGR,401620100,RECOVERY 1ST HR,1945.0,,Sharp Grossmont Hospital,2019
159,SGR,401620101,RECOVERY EA ADDL 30MIN,965.0,,Sharp Grossmont Hospital,2019
160,SGR,401800001,FACILITY FEE MININMAL,259.0,,Sharp Grossmont Hospital,2019
161,SGR,401800010,CONTRACTION STRESS TEST        ,956.0,,Sharp Grossmont Hospital,2019
162,SGR,401800470,FETAL NON STRESS TEST,1184.0,,Sharp Grossmont Hospital,2019
163,SGR,401800530,FETAL BIOPHYS PROFILE          ,1125.0,,Sharp Grossmont Hospital,2019
164,SGR,401800706,INJECTION IM/SUB Q,256.0,,Sharp Grossmont Hospital,2019
165,SGR,401809001,ULTRASOUND LTD/AFI,999.0,,Sharp Grossmont Hospital,2019
166,SGR,401900411,LACTATION CNSLT 15-30MIN,259.0,,Sharp Grossmont Hospital,2019
167,SGR,401900412,LACTATION CNSLT 31-60MIN,310.0,,Sharp Grossmont Hospital,2019
168,SGR,401900413,LACTATION CNSLT 61-75MIN,351.0,,Sharp Grossmont Hospital,2019
169,SGR,401900414,LACTATION CNSLT 76-90MIN,479.0,,Sharp Grossmont Hospital,2019
170,SGR,401900415,LACTATION CNSLT 91-120MIN,527.0,,Sharp Grossmont Hospital,2019
171,SGR,401900511,DONOR BREAST MILK/OZ,5.0,,Sharp Grossmont Hospital,2019
172,SGR,402101133,AORTOGRAM ABDOMINAL,8141.0,,Sharp Grossmont Hospital,2019
173,SGR,402101134,ANGIO EXTREMITY BILAT,4694.0,,Sharp Grossmont Hospital,2019
174,SGR,402101135,VENOGRAM EXTREM UNI,2908.0,,Sharp Grossmont Hospital,2019
175,SGR,402101136,ANGIO PELVIC SELECT S&I,8544.0,,Sharp Grossmont Hospital,2019
176,SGR,402101138,AORTAGRAM THORACIC,9221.0,,Sharp Grossmont Hospital,2019
177,SGR,402101186,AORTAGRAM W/RUNOFF AIFP,8248.0,,Sharp Grossmont Hospital,2019
178,SGR,402101188,ANGIO EA ADD SEL VESSEL,2580.0,,Sharp Grossmont Hospital,2019
179,SGR,402101506,CATH RX EMBOL S&I,3560.0,,Sharp Grossmont Hospital,2019
180,SGR,402101900,BRAIN MAPPING INITIAL HR,348.0,,Sharp Grossmont Hospital,2019
181,SGR,402101903,EEG EXT MONITOR OVER 60MIN,1528.0,,Sharp Grossmont Hospital,2019
182,SGR,402101998,EVOKED POINTAL RCRD UP&LWR   ,2297.0,,Sharp Grossmont Hospital,2019
183,SGR,402102001,EVOKED POTENTIAL RCRD UPR    ,1464.0,,Sharp Grossmont Hospital,2019
184,SGR,402102003,EVOKED POINTAL RCRD TRNK/HEAD,1459.0,,Sharp Grossmont Hospital,2019
185,SGR,402102004,EVOKED POTENTIAL AUDITORY(CNS),710.0,,Sharp Grossmont Hospital,2019
186,SGR,402102007,EMG NEEDLE CRAINIAL BILAT,477.0,,Sharp Grossmont Hospital,2019
187,SGR,402102010,ANALYSIS NEUROSTIM W/PROGRM      ,1019.0,,Sharp Grossmont Hospital,2019
188,SGR,402102011,TRANSCRAIN MOTOR STIM UPR LIMBS ,1476.0,,Sharp Grossmont Hospital,2019
189,SGR,402102012,TRANSCRAIN MOTOR STIM LWR LIMBS,1481.0,,Sharp Grossmont Hospital,2019
190,SGR,402102014,ANGIO EXTREM UNILAT,4071.0,,Sharp Grossmont Hospital,2019
191,SGR,402102017,C MOTOR EVOKED UPR&LWR LIMBS,2126.0,,Sharp Grossmont Hospital,2019
192,SGR,402102024,VENOGRAM INFERIOR CAVA,6680.0,,Sharp Grossmont Hospital,2019
193,SGR,402102027,ANGIO VICERAL SELECTIVE,8417.0,,Sharp Grossmont Hospital,2019
194,SGR,402102028,EXIST CATH FOLL UP ANG/RX,1289.0,,Sharp Grossmont Hospital,2019
195,SGR,402102058,VENOGRAM EXTREMITY BILAT,3912.0,,Sharp Grossmont Hospital,2019
196,SGR,402103010,SURG MINOR 1ST HR,10569.0,,Sharp Grossmont Hospital,2019
197,SGR,402103011,SURG MINOR 1/15MIN,2207.0,,Sharp Grossmont Hospital,2019
198,SGR,402103020,SURG MAJOR 1ST HR,13725.0,,Sharp Grossmont Hospital,2019
199,SGR,402103021,SURG MAJOR 1/15MIN,3093.0,,Sharp Grossmont Hospital,2019
200,SGR,402103022,NON CVD MAJOR 15MIN,3093.0,,Sharp Grossmont Hospital,2019
201,SGR,402103030,SURG COMPLEX 1ST HR,20427.0,,Sharp Grossmont Hospital,2019
202,SGR,402103031,SURG COMPLEX 1/15MIN,4438.0,,Sharp Grossmont Hospital,2019
203,SGR,402103040,SURG COMPLEX HIGH 1ST HR,23856.0,,Sharp Grossmont Hospital,2019
204,SGR,402103041,SURG COMPLEX HIGH 1/15MIN,5431.0,,Sharp Grossmont Hospital,2019
205,SGR,402103072,SURG OPEN HEART 1ST HR,28432.0,,Sharp Grossmont Hospital,2019
206,SGR,402103073,SURG OPEN HEART 1/15MIN,5797.0,,Sharp Grossmont Hospital,2019
207,SGR,402104034,AICD EP EVAL W/TEST,4230.0,,Sharp Grossmont Hospital,2019
208,SGR,402104035,NEUROSTIM GEN ANALSIS 1ST HR,1506.0,,Sharp Grossmont Hospital,2019
209,SGR,402105005,US PROSTATE/TRANSRECTAL  ,1132.0,,Sharp Grossmont Hospital,2019
210,SGR,402105881,ENDOVASC RPR W/COV LT,2867.0,,Sharp Grossmont Hospital,2019
211,SGR,402105882,ENDOVAS RPR W/O LT SUBCLA,2606.0,,Sharp Grossmont Hospital,2019
212,SGR,402105883,PLCMNT EXT ENDOVAS S&I,794.0,,Sharp Grossmont Hospital,2019
213,SGR,402105905,VENOGRAM SUPERIOR CAVA,2988.0,,Sharp Grossmont Hospital,2019
214,SGR,402109471,US GUIDE VASCULAR ACCESS,538.0,,Sharp Grossmont Hospital,2019
215,SGR,402109495,US GUIDE NEEDLE PLACEMENT,1000.0,,Sharp Grossmont Hospital,2019
216,SGR,402900120,CARDIOVERSION,3746.0,,Sharp Grossmont Hospital,2019
217,SGR,402900301,TRANSFUSE 1 UNIT      ,1531.0,,Sharp Grossmont Hospital,2019
218,SGR,402900302,TRANSFUSE 2 UNIT      ,2297.0,,Sharp Grossmont Hospital,2019
219,SGR,402900707,THERAPEUTIC IV PUSH (INITIAL),580.0,,Sharp Grossmont Hospital,2019
220,SGR,402900708,THERAPEUTIC IV PUSH (EA NEW),492.0,,Sharp Grossmont Hospital,2019
221,SGR,402900720,THERAPEUTIC IV PUSH (EA SAME),421.0,,Sharp Grossmont Hospital,2019
222,SGR,402901140,RECOVERY 1ST HR,1945.0,,Sharp Grossmont Hospital,2019
223,SGR,402901150,RECOVERY EA ADDL 30MIN,965.0,,Sharp Grossmont Hospital,2019
224,SGR,403500100,TREATMENT ROOM MINOR  ,259.0,,Sharp Grossmont Hospital,2019
225,SGR,403502000,ANESTHESIA GENERAL 1ST HR,3641.0,,Sharp Grossmont Hospital,2019
226,SGR,403502001,ANESTHESIA GENERAL ADD 15MIN,712.0,,Sharp Grossmont Hospital,2019
227,SGR,403502002,ANESTHESIA REGIONAL 1ST HR,2912.0,,Sharp Grossmont Hospital,2019
228,SGR,403502003,ANESTHESIA REGIONAL ADD 15MIN,561.0,,Sharp Grossmont Hospital,2019
229,SGR,403502004,ANESTHESIA MAC 1ST HR,2308.0,,Sharp Grossmont Hospital,2019
230,SGR,403502005,ANESTHESIA MAC ADD 15MIN,430.0,,Sharp Grossmont Hospital,2019
231,SGR,403502006,ANESTHESIA LOCAL,859.0,,Sharp Grossmont Hospital,2019
232,SGR,403502007,NON CVD ANESTH 15MIN    ,712.0,,Sharp Grossmont Hospital,2019
233,SGR,403503010,OP SURG MINOR 1ST HR,5285.0,,Sharp Grossmont Hospital,2019
234,SGR,403503011,OP SURG MINOR EA ADD 15MIN,1104.0,,Sharp Grossmont Hospital,2019
235,SGR,403503020,OP SURG MAJOR 1ST HR,6862.0,,Sharp Grossmont Hospital,2019
236,SGR,403503021,OP SURG MAJOR EA ADD 15MIN,1547.0,,Sharp Grossmont Hospital,2019
237,SGR,403503022,NON CVD MAJOR 15MIN,1547.0,,Sharp Grossmont Hospital,2019
238,SGR,403503030,OP SURG COMPLEX 1ST HR,10214.0,,Sharp Grossmont Hospital,2019
239,SGR,403503031,OP SURG COMPLEX EA ADD 15MIN,2219.0,,Sharp Grossmont Hospital,2019
240,SGR,403504000,RECOVERY,1945.0,,Sharp Grossmont Hospital,2019
241,SGR,403504001,RECOVERY LOCAL/CONSCIOUS,965.0,,Sharp Grossmont Hospital,2019
242,SGR,403506000,CAPSULOTOMY POST LASER RT,1467.0,,Sharp Grossmont Hospital,2019
243,SGR,403506001,CAPSULOTOMY POST LASER LF,1467.0,,Sharp Grossmont Hospital,2019
244,SGR,403506002,IRIDOTOMY YAG LASER,1443.0,,Sharp Grossmont Hospital,2019
245,SGR,403506005,TRABECULOPLASTY LASER,2109.0,,Sharp Grossmont Hospital,2019
246,SGR,403506007,SEVERNG VITREOUS STRNDS LASER,798.0,,Sharp Grossmont Hospital,2019
247,SGR,403506014,REPAIR RETINA DETACH/TEAR ,1318.0,,Sharp Grossmont Hospital,2019
248,SGR,403506015,CAPSULOTOMY POST LASER BIL,2934.0,,Sharp Grossmont Hospital,2019
249,SGR,403507001,INJ TRIGGER PNTS 3+ MUSCL,740.0,,Sharp Grossmont Hospital,2019
250,SGR,403507002,SACROILIAC JOINT,1476.0,,Sharp Grossmont Hospital,2019
251,SGR,403507010,INJ OCCIPITAL NERVE,1376.0,,Sharp Grossmont Hospital,2019
252,SGR,403507020,TRANSFORAM CERV/THOR SNGL    ,2141.0,,Sharp Grossmont Hospital,2019
253,SGR,403507021,TRANSFORAM CERV/THOR ADDL      ,1038.0,,Sharp Grossmont Hospital,2019
254,SGR,403507022,TRANSFORAM LUM/SAC SNGL    ,2368.0,,Sharp Grossmont Hospital,2019
255,SGR,403507023,TRANSFORAM LUM/SAC ADDL      ,1007.0,,Sharp Grossmont Hospital,2019
256,SGR,403507024,STELLATE GANGLION BLOCK,1286.0,,Sharp Grossmont Hospital,2019
257,SGR,403507025,INJ PARAVERT SYMPATHETIC,1414.0,,Sharp Grossmont Hospital,2019
258,SGR,403507032,INJ DISCOGRAM LUM,750.0,,Sharp Grossmont Hospital,2019
259,SGR,403507036,INJ DISCOGRAM CERV,307.0,,Sharp Grossmont Hospital,2019
260,SGR,403507041,INJ MAJOR JOINT,733.0,,Sharp Grossmont Hospital,2019
261,SGR,403507047,NERVE DESTRUCT PERIPHERAL    ,2612.0,,Sharp Grossmont Hospital,2019
262,SGR,403507049,INJ PUDENDAL NERVE,1656.0,,Sharp Grossmont Hospital,2019
263,SGR,403507055,INJ PERIPHERAL NERVE,1632.0,,Sharp Grossmont Hospital,2019
264,SGR,403507060,INJ FACET JNT CERV/THOR 1 LEV,3246.0,,Sharp Grossmont Hospital,2019
265,SGR,403507061,INJ FACET JNT CERV/THOR 2 LEV,2058.0,,Sharp Grossmont Hospital,2019
266,SGR,403507062,INJ FACET JNT CERV/THOR 3+ LEV,1953.0,,Sharp Grossmont Hospital,2019
267,SGR,403507063,INJ FACET LUMB/SAC 1 LEV,2598.0,,Sharp Grossmont Hospital,2019
268,SGR,403507064,INJ FACET JNT LUMB/SAC 2 LEV,1489.0,,Sharp Grossmont Hospital,2019
269,SGR,403507065,INJ FACET JNT LUMB/SAC 3+ LEV,1509.0,,Sharp Grossmont Hospital,2019
270,SGR,403507070,DESTROY CERV/THOR FACET JNT,4557.0,,Sharp Grossmont Hospital,2019
271,SGR,403507071,DESTROY C/TH FACET JNT ADD,1252.0,,Sharp Grossmont Hospital,2019
272,SGR,403507072,DESTROY LUMB/SAC FACET JNT,4829.0,,Sharp Grossmont Hospital,2019
273,SGR,403507073,DESTROY L/S FACET JNT ADD,2361.0,,Sharp Grossmont Hospital,2019
274,SGR,403507078,CHEMODENERV FACIAL UNI     ,741.0,,Sharp Grossmont Hospital,2019
275,SGR,403507079,CHEMODENERV MIGRAINE BILAT ,792.0,,Sharp Grossmont Hospital,2019
276,SGR,403507080,CHEMODEVERV 1 EXTRM 1/4 MUSC ,1263.0,,Sharp Grossmont Hospital,2019
277,SGR,403507087,INJ CERV/THOR W/IMAGING,3805.0,,Sharp Grossmont Hospital,2019
278,SGR,403507089,INJ LUMB/SAC W/IMAGING,3424.0,,Sharp Grossmont Hospital,2019
279,SGR,403507999,UNLISTED PROC NERVE SYS,1364.0,,Sharp Grossmont Hospital,2019
