,Revenue Center,CDM Number,CDM Description,Description,UB Revenue Code,CPT/HCPCS,Price,Hospital,Year
21,4450,404000180,RAPID TRANSFER USE,RAPID TRANSFUSER USE,370,,359.0,Kern Medical Center,2019
22,4450,404000185,PRECORDIAL DOPPLER USE,PRECORDIAL DOPPLER USE,370,,153.0,Kern Medical Center,2019
23,4450,404000200,E&M OFF/OUT NEW LTD 20M,ROOM USE (BLOCK),372,99202,36.0,Kern Medical Center,2019
24,4450,404000300,ANESTHESIA SUPPLIES,ANESTHESIOLOGY SUPPLIES,272,,586.0,Kern Medical Center,2019
25,4450,404000400,ADD. ANESTH. SUPPLIES TRAUMA/T,ADD ANESTH SUPPLIES TRAUMA/THORAC,272,,1171.0,Kern Medical Center,2019
26,4450,404000500,ADD. ANESTH. SUPPLIES NEURO,ADD ANESTH SUPPLIES NEURO,272,,439.0,Kern Medical Center,2019
27,4450,404000600,ADD. ANESTH. SUPPLIES MAJOR CA,ADD ANESTH SUPPLIES MAJOR CASES,272,,220.0,Kern Medical Center,2019
28,4450,404009600,ANESTHESIA SPEC SVC DR,ANESTHESIA SPEC SVC DR,963,,73.2,Kern Medical Center,2019
29,4450,404009601,ANESTHESIA SPEC SVC DR,ANESTHESIA SPEC DR,963,,73.2,Kern Medical Center,2019
30,4450,404009602,ANESTHESIA DR,ANESTHESIA DR,963,,73.2,Kern Medical Center,2019
31,4450,404009603,ANESTHESIA COMPLEX DR,ANESTHESIA COMPLEX DR,963,,73.2,Kern Medical Center,2019
32,4450,404009606,ANESTHESIA NON EM RISK DR,ANESTHESIA NON EM RISK DR,963,,73.2,Kern Medical Center,2019
33,4450,404009607,ANESTHESIA EM SURG SYST DIS,ANESTHESIA EM SURG SYS DIS,963,,73.2,Kern Medical Center,2019
34,4450,404009608,ANESTHESIA EM SURG MORIB,ANESTHESIA EM SURG MORIB,963,,73.2,Kern Medical Center,2019
35,4450,404009650,ANESTHESIA SPEC SVC RN,ANESTHESIA SPEC SVC RN,964,,73.2,Kern Medical Center,2019
36,4450,404009651,ANESTHESIA SPEC SVC RN,ANESTHESIA SPEC RN,964,,73.2,Kern Medical Center,2019
37,4450,404009652,ANESTHESIA RN,ANESTHESIA RN,964,,73.2,Kern Medical Center,2019
38,4450,404009653,ANESTHESIA COMPLEX RN,ANESTHESIA COMPLEX RN,964,,77.2,Kern Medical Center,2019
39,4450,404009656,ANESTHESIA NON IM RISK RN,ANESTHESIA NONEM RISK RN,964,,73.2,Kern Medical Center,2019
40,4450,404009657,ANESTHESIA EM SURG SYST DIS RN,ANESTHESIA EM SURG SYST DIS RN,964,,73.2,Kern Medical Center,2019
41,4450,404009658,ANESTHESIA EM SURG MORIB RN,ANESTHESIA EM SURG MORIB RN,964,,73.2,Kern Medical Center,2019
42,4450,404009659,ISOFLURANE (FORANE) 1ST HR,ISOFLURANE (FORANE) 1ST HR,250,,57.5,Kern Medical Center,2019
43,4450,404009660,ISOFLURANE (FORANE) AD 1/2 HR,ISOFLURANE (FORANE) ADD 1/2 HR,250,,28.75,Kern Medical Center,2019
44,4450,404009661,DESFLURANE (SUPRANE) 1ST HR,DESFLURANE (SUPRANE) 1ST HR,250,,146.63,Kern Medical Center,2019
45,4450,404009662,DESFLURANE (SUPRANE) ADD 1/2 HR,DESFLURANE (SUPRANE) ADD 1/2 HR,250,,71.88,Kern Medical Center,2019
46,4450,404009663,SEVOFLURANE (ULTANE) 1ST HR,SEVOFLURANE (ULTANE) 1ST HR,250,,232.88,Kern Medical Center,2019
47,4450,404009664,SEVOFLURANE (ULTANE) ADD 1/2 HR,SEVOFLURANCE (ULTANE) ADD 1/2 HR,250,,117.88,Kern Medical Center,2019
48,4410,417600001,TOTAL PREP RM TIME-1/2 HR INCRMTS,TOTAL PREP RM TIME - 1/2 HR INCRM,510,,0.0,Kern Medical Center,2019
49,4410,417600002,TOTAL HRS IN LABOR-1 HR INCRMNTS,TOTAL HRS IN LABOR 1 HR INCREMNTS,510,,0.0,Kern Medical Center,2019
50,4230,417600003,"OBSERVATION, ADDITIONAL HOUR(S)","OBSERVATION, ADDITIONAL HOUR(S)",762,G0378,73.31,Kern Medical Center,2019
51,4230,417600004,"OBSERVATION, DIRECT ADMIT","OBSERVATION, DIRECT ADMIT",762,G0379,218.48,Kern Medical Center,2019
52,4230,417600005,"OBSERVATION, FIRST HOUR","OBSERVATION, FIRST HOUR",762,G0378,312.5,Kern Medical Center,2019
53,4410,417600011,CATHERIZATION,CATHERIZATION,720,,0.0,Kern Medical Center,2019
54,4410,417600012,CATH URETHRA NON-INDWELLING,CATH URETHRA NON-INDWELLING,360,51701,89.13,Kern Medical Center,2019
55,4410,417600030,NON-STRESS TEST,NON-STRESS,920,59025,245.81,Kern Medical Center,2019
56,4410,417600041,AMNIOCENTESIS,AMNIOCENTESIS,360,59000,552.0,Kern Medical Center,2019
57,4410,417600203,APU EXAM ROOM MOD LEVEL - NEW,APU EXAM ROOM MOD LEVEL - NEW,761,,89.13,Kern Medical Center,2019
58,4410,417600901,APU 02 THERAPY,APU 02 THERAPY,271,,21.56,Kern Medical Center,2019
59,4410,417601408,APU EXTENDED ROOM USE 1-24 HRS,APU EXTENDED ROOM USE 1-24 HRS,762,,86.25,Kern Medical Center,2019
60,4410,417609526,OB CHECK ROOM CHARGE,OB CHECK ROOM CHARGE,761,,161.0,Kern Medical Center,2019
61,4410,417609527,APU ROOM SET UP,APU ROOM SET UP,720,,803.56,Kern Medical Center,2019
62,4410,417609528,IV START & SUPPLIES,IV START & SUPPLIES,258,,80.5,Kern Medical Center,2019
63,4410,417609529,AMINOFLUID INFUSION,AMNIOFLUID INFUSION,258,,554.88,Kern Medical Center,2019
64,4410,417609530,BREAST STIMULATION TEST,BREAST STIMULATION TEST,920,59020,241.5,Kern Medical Center,2019
65,4410,417609532,"BPP W/NON-STRESS TEST, TECH","BPP W/NON-STRESS TEST, TECH",402,76818,80.5,Kern Medical Center,2019
66,4410,417609549,INTERNAL FETAL SCALP ELECTRODE,INTERNAL FETAL SCALP ELECTRODE,272,,241.5,Kern Medical Center,2019
67,4410,417609550,INTRAUTERINE PRESSURE CATH,INTRAUTERINE PRESSURE CATH,272,,241.5,Kern Medical Center,2019
68,4410,417609551,US PREG UTERUS LTD,US PREG UTERUS LTD,402,76815,241.5,Kern Medical Center,2019
69,4410,417676801,"US OB 1ST TRIMESTER, SINGLE","US OB 1ST TRIMESTER, SINGLE",402,76801,672.75,Kern Medical Center,2019
70,4410,417676802,"US OB 1ST TRIMESTER, EA ADD GEST","US OB 1ST TRIMESTER, EA ADD GEST",402,76802,353.63,Kern Medical Center,2019
71,4410,417676805,"US OB AFTER 1ST TRIMESTER,SINGLE","US OB AFTER 1ST TRIMESTER, SINGLE",402,76805,672.75,Kern Medical Center,2019
72,4410,417676810,"US OB AFTER 1ST TRI, EA ADD GEST","US OB AFTER 1ST TRI, EA ADD GEST",402,76810,353.63,Kern Medical Center,2019
73,4410,417676811,"US OB, COMPLETE, SINGLE","US OB, COMPLETE, SINGLE",402,76811,672.75,Kern Medical Center,2019
74,4410,417676812,"US OB COMPLETE, EA ADD GESTION","US OB, COMPLETE, EA ADD GESTATION",402,76812,353.63,Kern Medical Center,2019
75,4410,417676815,"US OB, LIMITED","US OB, LIMITED",402,76815,310.5,Kern Medical Center,2019
76,4410,417676816,"US OB, FOLLOW UP","US OB, FOLLOW UP",402,76816,310.5,Kern Medical Center,2019
77,4410,417676817,"US OB, TRANSVAGINAL","US OB, TRANSVAGINAL",402,76817,672.75,Kern Medical Center,2019
78,4410,417676818,FETAL BPP W/NON-STRESS TEST,FETAL BPP W/NON-STRESS TEST,402,76818,447.06,Kern Medical Center,2019
79,4410,417676819,FETAL BPP WITHOUT NON-STRESS TEST,FETAL BPP WITHOUT NON STRESS TEST,402,76819,353.63,Kern Medical Center,2019
80,4410,417699201,NEW PATIENT - I CRITERIA,NEW PATIENT - 1 CRITERIA,510,99201,100.0,Kern Medical Center,2019
81,4410,417699202,NEW PT 1-2 CRITERIA UP TO 15 MIN,NEW PT 1-2 CRITERIA UP TO 15 MIN,510,99202,116.25,Kern Medical Center,2019
82,4410,417699203,"NEW PATIENT 3 OR MIORE, 16-20 MIN","NEW PATIENT 3 OR MORE, 16-20 MIN",510,99203,122.5,Kern Medical Center,2019
83,4410,417699204,"MRE PT 1 OR > ACUTE, 21+ MIN","NEW PT 1 OR > ACUTE, 21+ MIN",510,99204,138.75,Kern Medical Center,2019
84,4410,417699205,"NEW PT 4 OR > STABLE CHRONIC, 21+","NW PT 4 OR > STABLE CHRONIC, 21+",510,99205,153.75,Kern Medical Center,2019
85,4410,417699211,EST PATIENT - 1 CRITERIA,EST PATIENT - 1 CRITERIA,510,99211,92.5,Kern Medical Center,2019
86,4410,417699212,"EST PT 1-2 CRITERIA, UP TO 15 MIN","EST PT 1-2 CRITERIA, UP TO 15 MIN",510,99212,103.75,Kern Medical Center,2019
87,4410,417699213,"EST PT 3 OR MORE, 16-20 MIN","EST PT 3 OR MORE, 16-20 MIN",510,99213,111.25,Kern Medical Center,2019
88,4410,417699214,"EST PT 1 OR > ACUTE, 21+ MIN","EST PT 1 OR > ACUTE, 21+ MIN",510,99214,127.5,Kern Medical Center,2019
89,4410,417699215,"EST PT 4 OR > STABLE CHRONIC, 21+","EST PT 4 OR > STABLE CHRONIC, 21+",510,99215,142.5,Kern Medical Center,2019
90,4800,422000001,FACILITY CHARGE,FACILITY USE,510,,0.0,Kern Medical Center,2019
91,4800,422000255,AUDIOLOGY ROOM,AUDIOLOGY ROOM,510,99201,36.0,Kern Medical Center,2019
92,4800,422002555,AUDIOMETRY SPEECH THRESHOLD,AUDIOMETRY SPEECH THRESHOLD,471,92555,36.0,Kern Medical Center,2019
93,4800,422002557,AUDIOMETRY BASIC COMPREHESIVE,AUDIOMETRY BASIC COMPREHENSIVE,471,92557,143.0,Kern Medical Center,2019
94,4800,422002566,AUDIOMETRY IMPEDANCE TEST,AUDIOMETRY IMPENDANCE TEST,471,92567,104.94,Kern Medical Center,2019
95,4800,422002567,AUDIO AUDITORY EVOKED RESPONSE,AUDITORY EVOKED RESPONSE,471,92585,414.0,Kern Medical Center,2019
96,4800,422002568,AUDIO VISUAL EVOKED RESPONSE,AUD VISUAL EVOKED RESPONSE,920,95930,481.56,Kern Medical Center,2019
97,4800,422002569,AUDIO SOMATOSENSORY EVOKED RES,AUDIO SOMATOSENSORY EVOKED RESP,922,95925,587.94,Kern Medical Center,2019
98,4800,422002570,AUDIO NERVE CONDUCTION VELOCIT,AUDIO NERVE CONDUCTION VELOCITY,922,95900,89.0,Kern Medical Center,2019
99,4800,422002571,AUDIO SENSORY NERVE COND VELOC,AUDIO SENSORY NERVE CONDUCTION,922,95904,89.0,Kern Medical Center,2019
100,4800,422002608,AUDIOMETRY VST B FUNXN 8 TST,AUDIO-VESTICULAR FUNCTION TEST,471,,0.0,Kern Medical Center,2019
101,4800,422002611,AUDIO-SPONTANEOUS NSG,AUDIO SPONTANEOUS NSG,471,92541,322.98,Kern Medical Center,2019
102,4800,422002612,AUDIO-POSITIONAL NSG,AUDIO POSITIONAL NSG,471,92542,322.98,Kern Medical Center,2019
103,4800,422002613,AUDIO CALORIC TESTS,AUDIO CALORIC TESTS,471,92543,84.81,Kern Medical Center,2019
104,4800,422002614,AUDIO-OPTOKINETIC NSG,AUDIO OPTORENETIC NSG,471,92544,459.6,Kern Medical Center,2019
105,4800,422002615,AUDIO-OSCILLATING TRACKING TES,AUDIO OSCILLATING TRACKING TEST,471,92545,459.6,Kern Medical Center,2019
106,4592,411100001,NEW PATIENT-1 CRITERIA,NEW PATIENT - 1 CRITERIA,510,99201,100.0,Kern Medical Center,2019
107,4592,411100002,NEW PT 1-2 CRITERIA UP TO 15 MIN,NEW PT 1-2 CRITERIA UP TO 15 MIN,510,99202,116.25,Kern Medical Center,2019
108,4592,411100003,"NEW PATIENT-3 OR MORE, 16-20 MIN","NEW PATIENT 3 OR MORE, 16-20 MIN",510,99203,122.5,Kern Medical Center,2019
109,4592,411100004,"NEW PT 1 OR > ACUTE, 21+ MIN","NEW PT 1 OR > ACUTE, 21+ MIN",510,99204,138.75,Kern Medical Center,2019
110,4592,411100005,"NEW PT 4 OR > STABLE CHRONIC, 21+","NEW PT 4 OR > STABLE CHRONIC, 21+",510,99205,153.75,Kern Medical Center,2019
111,4592,411100006,EST PATIENT - 1 CRITERIA,EST PATIENT - 1 CRITERIA,510,99211,92.5,Kern Medical Center,2019
112,4592,411100007,"EST PT 1-2 CRITERIA, UP TO 15 MIN","EST PT 1-2 CRITERIA, UP TO 15 MIN",510,99212,103.75,Kern Medical Center,2019
113,4592,411100008,"EST PATIENT 3 OR MORE, 16-20 MIN","EST PT 3 OR MORE, 16-20 MIN",510,99213,111.25,Kern Medical Center,2019
114,4592,411100009,EST PATIENT 1 OR > ACUTE 21+ MIN,EST PT 1 OR > ACUTE 21+ MIN,510,99214,127.5,Kern Medical Center,2019
115,4592,411100010,EST PT 4 OR > STABLE CHRONIC 21+,"EST PT 4 OR > STABLE CHRONIC, 21+",510,99215,142.5,Kern Medical Center,2019
116,4230,411100011,"OBSERVATION, PER HOUR","OBSERVATION, PER HOUR",762,G0378,80.64,Kern Medical Center,2019
117,4230,411100012,"OBSERVATION, DIRECT ADMIT","OBSERVATION,DIRECT ADMIT",762,G0379,1702.68,Kern Medical Center,2019
118,4592,411100015,TECH TIME 15 MINS,TECH TIME 15 MINS,460,,0.0,Kern Medical Center,2019
119,4592,459200016,CDX NURSING TIME PER 15 MIN,CDX NURSING TIME PER 15 MIN,480,,0.0,Kern Medical Center,2019
120,4592,459200017,CDX TECH TIME PER 15 MIN,CDX TECH TIME PER 15 MIN,480,,0.0,Kern Medical Center,2019
121,4592,459200399,PF MYOCARDIAL STRAIN IMAGING,PF MYOCARDIAL STRAIN IMAGING,960,0399T,0.0,Kern Medical Center,2019
122,4592,459201000,ECHO W BUBBLE STUDY,ECHO W BUBBLE STUDY,480,,0.0,Kern Medical Center,2019
123,4592,411102723,TTE W/O DOPPLER COMPLETE,TTE W/O DOPPLER COMPLETE,483,93307,1538.32,Kern Medical Center,2019
124,4592,411102724,TTE 2D/FOLLOW UP OR LIMITED,TTE 2D/FOLLOW UP OR LIMITED,483,93308,837.76,Kern Medical Center,2019
125,4592,411102791,ECHO 2D/M W DOPPLER TECH PANEL,ECHO 2D/M W DOPPLER TECH PANEL,480,,0.0,Kern Medical Center,2019
126,4592,411102792,ECHO 2D/M W DOPPLER LTD TECH PNL,ECHO 2D/M W DOPPLER LTD TECH KFMG,480,,0.0,Kern Medical Center,2019
127,4592,411103000,CARDX ECG TRACE & REPORT,CARDX ECG TRACE & REPORT,730,93000,146.0,Kern Medical Center,2019
128,4592,411103005,CARDX ECG TRACE ONLY KFMG,"12 LEAD EKG, TRACING ONLY",730,93005,163.88,Kern Medical Center,2019
129,4592,411103013,CARDIOVERSION ELECTRIC EXT,CARDIOVERSION ELECTRIC EXT,480,92960,2155.87,Kern Medical Center,2019
130,4592,411103014,CARDIOPULMONARY RESUCITATION,CARDIOPULMONARY RESUCITATION,480,92950,0.0,Kern Medical Center,2019
131,4592,411103015,CARDIOVASCULAR STRESS TEST,CARDIOVASCULAR STRESS TEST,482,93015,618.13,Kern Medical Center,2019
132,4592,411103017,CARDIOVASCULAR STRESS TEST KFM,CARDIOVASCULAR STRESS TEST KFM,482,93017,696.57,Kern Medical Center,2019
133,4592,411103274,CARDX 24 HR EXTENDED ECG,CARDX 24 HR EXTENDED ECG,731,93224,884.06,Kern Medical Center,2019
134,4592,411103275,ECG UP TO 48 HRS RECORDING,ECG UP TO 48 HRS RECORDING,731,93225,279.3,Kern Medical Center,2019
135,4592,411103276,ECG 24 HRS ANALYSIS RPT,ECG 24 HRS ANALYSIS RPT,731,93226,248.58,Kern Medical Center,2019
136,4592,411103325,DOPPLER COLOR FLOW VELOCITY,DOPPLER COLOR FLOW VELOCITY,483,93325,459.36,Kern Medical Center,2019
137,4592,411103352,ECHO WITH CONTRAST,ECHO WITH CONTRAST,483,93352,118.0,Kern Medical Center,2019
138,4592,411104762,CONTINUOUS PULSE OX,CONTINUOUS PULSE OX,460,94762,262.06,Kern Medical Center,2019
139,4592,411106606,"TTE CONG ABN, COMPLETE","TTE CONG ABN, COMPLETE",483,93303,2200.8,Kern Medical Center,2019
140,4592,411106607,"TTE CONG ABN, LIMITED/F-UP","TTE CONG ABN, LIMITED/F-UP",483,93304,1538.32,Kern Medical Center,2019
141,4592,411106610,ECHOCARDIOGRAM M MODE,ECHOCARDIOGRAM M MODE,480,93307,296.45,Kern Medical Center,2019
142,4592,411106620,ECHOCARDIOGRAM M MODE LMTD,ECHOCARDIOGRAM M MODE LMTD,480,93308,177.85,Kern Medical Center,2019
143,4592,411106623,ECHOCARDIOGRAM 2D/M MD,ECHOCARDIOGRAM 2D M MD,480,93307,603.9,Kern Medical Center,2019
144,4592,411106624,ECHO T THORAC 2D/LTD FU,ECHO T THORAC 2D/LTD FU LMTD,483,93308,837.76,Kern Medical Center,2019
145,4592,411106991,ECHO 2D/M W DOPPLER PANEL,ECHO 2D/M W DOPPLER PANEL,480,,0.0,Kern Medical Center,2019
146,4592,411106992,ECHO 2D/M W DOPPLER LMTD KFMG PNL,ECHO 2D/M W DOPPLER LIMITED KFMG,480,,0.0,Kern Medical Center,2019
147,4592,411106993,ECHO 2D W DOPPLER PANEL,ECHO 2D W DOPPLER PANEL,480,,0.0,Kern Medical Center,2019
148,4592,411106994,ECHO 2D W DOPPLER LMTD KFMG PNL,ECHO 2D DOPPLER LIMITED KFMG PNL,480,,0.0,Kern Medical Center,2019
149,4592,411106995,TTE W/DOPPLER COMPLETE,DOPPLER ECHO,483,93306,1487.49,Kern Medical Center,2019
150,4592,411106996,DOPPLER ECHOCARDIOGRAM TECH,DOPPLER ECHOCARDIOGRAM TECH,480,93320,541.88,Kern Medical Center,2019
151,4592,411106997,ECHO 2D COMPLETE,ECHO 2D COMPLETE,480,93307,705.81,Kern Medical Center,2019
152,4592,411106999,ECHO 2D LMTD KFMG,ECHO 2D LMTD,480,93308,948.75,Kern Medical Center,2019
153,4592,411107000,SIGNAL-AVERAGED ECG (SAECG),SIGNAL-AVERAGED ECG,730,93278,264.5,Kern Medical Center,2019
154,4592,411107001,STRESS TTE COMPLETE,STRESS TTE COMPLETE,483,93351,1538.32,Kern Medical Center,2019
155,4592,411107002,ECHO TRANSESOPHAGEAL COMPLETE,ECHO TRANSESOPHAGEAL COMPLETE,483,93312,2200.8,Kern Medical Center,2019
156,4592,411107003,PROBE PLACEMENT ONLY,PROBE PLACEMENT ONLY,483,93316,2096.0,Kern Medical Center,2019
157,4592,411107004,"IMAGE ACQUISITION, INTRP&RPT ONLY","IMAGE ACQUISITION, INTRP&RPT ONLY",480,93317,305.05,Kern Medical Center,2019
158,4592,411107006,TTE W/DOPPLER COMPLETE,TTE W/DOPPLER COMPLETE,483,93306,1538.32,Kern Medical Center,2019
159,4592,411107007,"TEE CONGENITAL, GLOBAL","TEE CONGENITAL, GLOBAL",483,93315,1465.07,Kern Medical Center,2019
160,4592,411107008,ADMIN ECG CONTRAST AGENT,ADMIN ECG CONTRAST AGENT,483,93352,123.62,Kern Medical Center,2019
161,4592,459208921,"TTE W/WO FOL W CONTR CONG, COMPL","TTE W/WO FOL W CONTR CONG, COMPL",483,C8921,2384.97,Kern Medical Center,2019
162,4592,459208924,2D TTE W/WO FOL W/CONT F-UP/LMTD,2D TTE W/WO FOL W/CONT F-UP/LMTD,483,C8924,1491.93,Kern Medical Center,2019
163,4592,459208925,"TEE 2D W/WO FOL W CONTRAST, COMPL","TEE 2D W/WO FOL W CONTRAST, COMPL",483,C8925,2297.79,Kern Medical Center,2019
164,4592,459208926,"TEE W/WO FOL W/CONT CONG, GLOBAL","TEE W/WO FOL W/CONT CONG, GLOBAL",483,C8926,2297.79,Kern Medical Center,2019
165,4592,459208927,"TEE W/WO FOL W/CONT, MONITORING","TEE W/WO FOL W/CONT, MONITORING",483,C8927,2297.79,Kern Medical Center,2019
166,4592,459208928,STRESS TTE W/WO FOL W CONTRAST,STRESS TTE W/WO FOL W CONTRAST,483,C8928,2297.79,Kern Medical Center,2019
167,4592,459208929,"TTE W DOPPLER/CONTRAST, COMPLETE","TTE W DOPPLER/CONTRAST, COMPLETE",483,C8929,2297.79,Kern Medical Center,2019
168,4592,459208930,"STRESS TTE W CONTRAST, COMPLETE","STRESS TTE W CONTRAST, COMPLETE",483,C8930,2297.79,Kern Medical Center,2019
169,4592,459213303,"TTE CONG, COMPLETE +DPLR (PANEL)","TTE CONG, COMPLETE +DPLR (PANEL)",483,,0.0,Kern Medical Center,2019
170,4592,459213312,TEE COMPLETE +DOPPLER (PANEL),TEE COMPLETE +DOPPLER (PANEL),483,,0.0,Kern Medical Center,2019
171,4592,459213315,"TEE CONG, GLOBAL +DOPPLER (PANEL)","TEE CONG, GLOBAL +DOPPLER (PANEL)",483,,0.0,Kern Medical Center,2019
172,4592,459218921,"TTE CONG WCON, COMP +DPLR (PANEL)","TTE CONG WCON, COMP +DPLR (PANEL)",483,,0.0,Kern Medical Center,2019
173,4592,459218925,"TEE W CONT, COMPL +DPLR (PANEL)","TEE W CONT, COMPL +DPLR (PANEL)",483,,0.0,Kern Medical Center,2019
174,4592,459218926,"TEE CONG WCON, GLOB +DPLR (PANEL)","TEE CONG WCON, GLOB +DPLR (PANEL)",483,,0.0,Kern Medical Center,2019
175,4592,459283303,"PF TTE CONGENITAL ABN, COMPLETE","PF TTE CONGENITAL ABN, COMPLETE",960,93303,0.0,Kern Medical Center,2019
176,4592,459283306,PF TTE W/DOPPLER COMPLETE,PF TTE W/DOPPLER COMPLETE,960,93306,0.0,Kern Medical Center,2019
177,4592,459283308,PF TTE F-UP OR LMTD,PF TTE F-UP OR LMTD,960,93308,0.0,Kern Medical Center,2019
178,4592,459283312,PF ECHO TRANSESOPHAGEAL COMPLETE,PF ECHO TRANSESOPHAGEAL COMPLETE,960,93312,0.0,Kern Medical Center,2019
179,4592,459283315,"PF TEE CONGENITAL ABN, GLOBAL","PF TEE CONGENITAL ABN, GLOBAL",960,93315,0.0,Kern Medical Center,2019
180,4592,459283318,PF TEE FOR MONITORING,PF TEE FOR MONITORING,960,93318,0.0,Kern Medical Center,2019
181,4592,459283320,"PF DOPPLER ECHO, COMPLETE","PF DOPPLER ECHO, COMPLETE",960,93320,0.0,Kern Medical Center,2019
182,4592,459283325,PF DOPPLER COLOR FLOW,PF DOPPLER COLOR FLOW,960,93325,0.0,Kern Medical Center,2019
183,4592,459283350,PF TTE 2D STRESS W INT & RPT,PF TTE 2D STRESS W INT & RPT,960,93350,0.0,Kern Medical Center,2019
184,4592,459283351,PF STRESS TTE COMPLETE,PF STRESS TTE COMPLETE,960,93351,0.0,Kern Medical Center,2019
185,4592,459293016,"PF CVSLR STRESS TEST, SUPV ONLY","PF CVSLR STRESS TEST, SUPV ONLY",960,93016,0.0,Kern Medical Center,2019
186,4592,459293017,"CVSLR STRESS TEST, TRACING ONLY","CVSLR STRESS TEST, TRACING ONLY",482,93017,812.58,Kern Medical Center,2019
187,4592,459293018,"PF CVSLR STRESS TEST, INT & RPT","PF CVSLR STRESS TEST, INT & RPT",960,93018,0.0,Kern Medical Center,2019
188,4592,459293226,ECG UP TO 48 HR SCAN ANALYSIS RPT,ECG UP TO 48 HR SCAN ANALYSIS RPT,731,93226,349.86,Kern Medical Center,2019
189,4592,459293303,"TTE CONGENITAL ABN, COMPLETE","TTE CONGENITAL ABN, COMPLETE",483,93303,1572.93,Kern Medical Center,2019
190,4592,411193306,PF_TTE W/DOPPLER COMPLETE,PF_TTE W/DOPPLER COMPLETE,972,93306,0.0,Kern Medical Center,2019
191,4592,411193307,PF_TTE W/O DOPPLER COMPLETE,PF_TTE W/O DOPPLER COMPLETE,972,93307,0.0,Kern Medical Center,2019
192,4592,459293308,TTE F-UP OR LMTD,TTE F-UP OR LMTD,483,93308,790.2,Kern Medical Center,2019
193,4592,459293312,PF_ECHO TRANSESOPHAGEAL COMPLE,PF_ECHO TRANSESOPHAGEAL COMPLE,960,93312,0.0,Kern Medical Center,2019
194,4592,411193314,PF_ECHO TRANSESOPHAGEAL IMAGE,PF_ECHO TRANSESOPHAGEAL IMAGE,960,93314,0.0,Kern Medical Center,2019
195,4592,459293315,"TEE CONGENITAL ABN, GLOBAL","TEE CONGENITAL ABN, GLOBAL",483,93315,1572.93,Kern Medical Center,2019
196,4592,459293318,TEE FOR MONITORING,TEE FOR MONITORING,483,93318,1572.93,Kern Medical Center,2019
197,4592,459293320,"DOPPLER ECHO, COMPLETE","DOPPLER ECHO, COMPLETE",483,93320,730.34,Kern Medical Center,2019
