,CDM,Description,Price,Surgery Center/Procedure Room Charge,Supply Charge Range,Hospital,Year
55,1451110600,HB  PERFUSION CATH LAB HOURS 6.0,12340.0,,,Ronald Reagan UCLA Medical Center,2019
56,1451110700,HB  PERFUSION CATH LAB HOURS 7.0,12730.0,,,Ronald Reagan UCLA Medical Center,2019
57,1451110800,HB  PERFUSION CATH LAB HOURS 8.0,13120.0,,,Ronald Reagan UCLA Medical Center,2019
58,1452041000,HB  PERFUSION IABP ABIOMED IMPELLA SUPPORT+CONSOLE EA 24HR,8960.0,,,Ronald Reagan UCLA Medical Center,2019
59,1452041900,HB  PERFUSION ABIOMED IMPELLA SUPPORT+CONSOLE EA ADDL 24HR,8960.0,,,Ronald Reagan UCLA Medical Center,2019
60,1452042200,HB  PERFUSION IABP SUPPORT+CONSOLE EA 24HR,2140.0,,,Ronald Reagan UCLA Medical Center,2019
61,15100086,HB  VENIPUNCTURE BLOOD DRAW,10.0,,,Ronald Reagan UCLA Medical Center,2019
62,15100087,HB  VENIPUNCTURE BLOOD DRAW,10.0,,,Ronald Reagan UCLA Medical Center,2019
63,1600016400,HB ISOLATION,10250.0,,,Ronald Reagan UCLA Medical Center,2019
64,1700017000,HB NURSERY BOARDER,860.0,,,Ronald Reagan UCLA Medical Center,2019
65,1700017100,HB NURSERY NEWBORN,860.0,,,Ronald Reagan UCLA Medical Center,2019
66,1700017200,HB SCU NURSERY,7410.0,,,Ronald Reagan UCLA Medical Center,2019
67,1700017300,HB SCU MONITORED NURSERY,10250.0,,,Ronald Reagan UCLA Medical Center,2019
68,1700017400,HB NICU,15020.0,12680.0,,Ronald Reagan UCLA Medical Center,2019
69,18002081,HB  RESP BLOOD GAS                  *PC,140.0,,,Ronald Reagan UCLA Medical Center,2019
70,18002110,HB  RESP CALCIUM IONIZED            *PC,60.0,,,Ronald Reagan UCLA Medical Center,2019
71,18002111,HB  RESP POTASSIUM SERUM            *PC,20.0,,,Ronald Reagan UCLA Medical Center,2019
72,18082375,HB  RESP COOX PNL-HBCO QUANT        *PC,70.0,,,Ronald Reagan UCLA Medical Center,2019
73,18083050,HB  RESP COOX PNL-METHB QUANT       *PC,64.0,,,Ronald Reagan UCLA Medical Center,2019
74,18083060,HB  RESP COOX PNL-SULFHEMOGLOBIN QNT*PC,70.0,,,Ronald Reagan UCLA Medical Center,2019
75,18302550,HB  RESP BLOOD GAS                  *PC,140.0,,,Ronald Reagan UCLA Medical Center,2019
76,2000020000,HB ICU,15020.0,12680.0,,Ronald Reagan UCLA Medical Center,2019
77,2000020100,HB ICU SURGICAL,15020.0,12680.0,,Ronald Reagan UCLA Medical Center,2019
78,2000020200,HB ICU MEDICAL,15020.0,12680.0,,Ronald Reagan UCLA Medical Center,2019
79,2000020300,HB ICU PEDIATRIC,15020.0,12680.0,,Ronald Reagan UCLA Medical Center,2019
80,2000020400,HB ICU PSYCH,5820.0,,,Ronald Reagan UCLA Medical Center,2019
81,2000020600,HB MONITORED ACCOMMODATION,10250.0,,,Ronald Reagan UCLA Medical Center,2019
82,2000020800,HB ICU TRAUMA,15020.0,12680.0,,Ronald Reagan UCLA Medical Center,2019
83,2100021000,HB CCU,15020.0,12680.0,,Ronald Reagan UCLA Medical Center,2019
84,2100021100,HB CCU MYOCARDIAL INFARCTION,15020.0,12680.0,,Ronald Reagan UCLA Medical Center,2019
85,2100021200,HB CCU PULMONARY CARE,15020.0,12680.0,,Ronald Reagan UCLA Medical Center,2019
86,2100021300,HB CCU HEART TRANSPLANT,15020.0,12680.0,,Ronald Reagan UCLA Medical Center,2019
87,2100021400,HB MONITORED CORONARY CARE,10250.0,,,Ronald Reagan UCLA Medical Center,2019
88,22600102,HB  ALLERGY LAB SKIN TEST COCCIDIOIDOMYCOSIS,40.0,,,Ronald Reagan UCLA Medical Center,2019
89,22600103,HB  ALLERGY LAB SKIN TEST HISTOPLASMOSIS,40.0,,,Ronald Reagan UCLA Medical Center,2019
90,22600104,HB  ALLERGY LAB SKIN TEST MUMPS,50.0,,,Ronald Reagan UCLA Medical Center,2019
91,22600105,HB  ALLERGY LAB SKIN TEST TB TUBERCULOSIS INTRADERMAL,30.0,,,Ronald Reagan UCLA Medical Center,2019
92,22600107,HB  ALLERGY LAB SKIN TEST CANDIDA,70.0,,,Ronald Reagan UCLA Medical Center,2019
93,22600108,HB  ALLERGY LAB SKIN TEST TRYCHOPHYTON,60.0,,,Ronald Reagan UCLA Medical Center,2019
94,22600109,HB  ALLERGY LAB SKIN TEST TETANUS,60.0,,,Ronald Reagan UCLA Medical Center,2019
95,22600110,HB  ALLERGY LAB ALLERGEN SPEC IGE QUAL MULT1-5 RAST,200.0,,,Ronald Reagan UCLA Medical Center,2019
96,22600111,HB  ALLERGY LAB ALLERGEN SPEC IGE QUAL MULT6+ RAST,200.0,,,Ronald Reagan UCLA Medical Center,2019
97,22600112,HB  ALLERGY LAB GAMMAGLOBULIN IGE TOTAL,70.0,,,Ronald Reagan UCLA Medical Center,2019
98,22600120,HB  ALLERGY LAB SCRATCH TEST ALLERGENS 1-30,300.0,,,Ronald Reagan UCLA Medical Center,2019
99,22600121,HB  ALLERGY LAB SCRATCH TEST ALLERGENS 31-60,200.0,,,Ronald Reagan UCLA Medical Center,2019
100,22600122,HB  ALLERGY LAB SCRATCH TEST ALLERGENS 61-90,300.0,,,Ronald Reagan UCLA Medical Center,2019
101,22600123,HB  ALLERGY LAB SCRATCH TEST ALLERGENS 90+,400.0,,,Ronald Reagan UCLA Medical Center,2019
102,22600130,HB  ALLERGY LAB SCRATCH TEST MEDS BIOL 1-5,160.0,,,Ronald Reagan UCLA Medical Center,2019
103,22600131,HB  ALLERGY LAB SCRATCH TEST MEDS BIOL 6-10,260.0,,,Ronald Reagan UCLA Medical Center,2019
104,22600140,HB  ALLERGY LAB ALLERGYTEST INTRADERMAL MEDS BIOL 1-5,260.0,,,Ronald Reagan UCLA Medical Center,2019
105,22600141,HB  ALLERGY LAB ALLERGYTEST INTRADERMAL MEDS BIOL 6-10,500.0,,,Ronald Reagan UCLA Medical Center,2019
106,22600142,HB  ALLERGY LAB ALLERGYTEST INTRADERMAL MEDS BIOL 11-15,400.0,,,Ronald Reagan UCLA Medical Center,2019
107,22600143,HB  ALLERGY LAB ALLERGYTEST INTRADERMAL MEDS BIOL 16+,400.0,,,Ronald Reagan UCLA Medical Center,2019
108,22600150,HB  ALLERGY LAB ALLERGYTEST INTRADRM+EXTRACT 1-10,110.0,,,Ronald Reagan UCLA Medical Center,2019
109,22600151,HB  ALLERGY LAB ALLERGYTEST INTRADRM+EXTRACT 11-20,400.0,,,Ronald Reagan UCLA Medical Center,2019
110,22600152,HB  ALLERGY LAB ALLERGYTEST INTRADRM+EXTRACT 21-30,400.0,,,Ronald Reagan UCLA Medical Center,2019
111,22600153,HB  ALLERGY LAB ALLERGYTEST INTRADRM+EXTRCT 1-10,400.0,,,Ronald Reagan UCLA Medical Center,2019
112,22600160,HB  ALLERGY LAB ALLERGYTEST INTRADRM DELAY 9+,39.0,,,Ronald Reagan UCLA Medical Center,2019
113,22600161,HB  ALLERGY LAB ALLERGYTEST INTRADRM DELAY 9+,39.0,,,Ronald Reagan UCLA Medical Center,2019
114,22600162,HB  ALLERGY LAB ALLERGYTEST INTRADRM DELAY 9+,39.0,,,Ronald Reagan UCLA Medical Center,2019
115,22600163,HB  ALLERGY LAB ALLERGYTEST INTRADRM DELAY 9+,39.0,,,Ronald Reagan UCLA Medical Center,2019
116,22600164,HB  ALLERGY LAB ALLERGYTEST INTRADRM DELAY 9+,39.0,,,Ronald Reagan UCLA Medical Center,2019
117,22600170,HB  ALLERGY LAB PATCH OR APPLICATION TEST(S) EACH 1-10,140.0,,,Ronald Reagan UCLA Medical Center,2019
118,22600180,HB ALLERGY LAB IMMUNOTHERAPY+PREP SGL AG VIAL,170.0,,,Ronald Reagan UCLA Medical Center,2019
119,22600185,HB ALLERGY LAB IMMUNOTHERAPY+PREP MULT AG VIAL,300.0,,,Ronald Reagan UCLA Medical Center,2019
120,22600187,HB ALLERGY LAB ANTIGEN THER SVC-5 INSECT VIAL,110.0,,,Ronald Reagan UCLA Medical Center,2019
121,22600195,HB  ALLERGY LAB RAPID DESENSITZ PROCEDURE/HOUR,600.0,,,Ronald Reagan UCLA Medical Center,2019
122,22600199,HB  ALLERGY LAB IMMUNOTHERAPY+SGL DOSE WO PREP,60.0,,,Ronald Reagan UCLA Medical Center,2019
123,2450011000,HB  VAD ABIOMED IMPELLA SUPPORT + SUPPLY CONSOLE EACH 24HR,11200.0,,,Ronald Reagan UCLA Medical Center,2019
124,2450080000,HB VAD ABLATE VENTR ARRYHYTHM FOCI CPB CRYOPROBE,1970.0,,,Ronald Reagan UCLA Medical Center,2019
125,2450082300,HB VAD IABP INSERT/CHANGE VIA FEM ART PERCUTN,1730.0,,,Ronald Reagan UCLA Medical Center,2019
126,2450082400,HB VAD IABP REMOVE VIA FEM ART PERCUTN,110.0,,,Ronald Reagan UCLA Medical Center,2019
127,2450082900,HB VAD IABP SUPPORT EACH ADDL 24HRS,2140.0,,,Ronald Reagan UCLA Medical Center,2019
128,2450110100,HB  VAD PERFUSION HOURS 1.00,10390.0,,,Ronald Reagan UCLA Medical Center,2019
129,2450110200,HB  VAD PERFUSION HOURS 2.00,10780.0,,,Ronald Reagan UCLA Medical Center,2019
130,2450110300,HB  VAD PERFUSION HOURS 3.00,11170.0,,,Ronald Reagan UCLA Medical Center,2019
131,2450110400,HB  VAD PERFUSION HOURS 4.00,11560.0,,,Ronald Reagan UCLA Medical Center,2019
132,2450110500,HB  VAD PERFUSION HOURS 5.00,11950.0,,,Ronald Reagan UCLA Medical Center,2019
133,2450110600,HB  VAD PERFUSION HOURS 6.00,12340.0,,,Ronald Reagan UCLA Medical Center,2019
134,2450110700,HB  VAD PERFUSION HOURS 7.00,12730.0,,,Ronald Reagan UCLA Medical Center,2019
135,2450110800,HB  VAD PERFUSION HOURS 8.00,13120.0,,,Ronald Reagan UCLA Medical Center,2019
136,2450110900,HB  VAD PERFUSION HOURS 9.00,13510.0,,,Ronald Reagan UCLA Medical Center,2019
137,2450111000,HB  VAD PERFUSION HOURS 10.00,13900.0,,,Ronald Reagan UCLA Medical Center,2019
138,2450111100,HB  VAD PERFUSION HOURS 11.00,14290.0,,,Ronald Reagan UCLA Medical Center,2019
139,2450111200,HB  VAD PERFUSION HOURS 12.00,14680.0,,,Ronald Reagan UCLA Medical Center,2019
140,2450111300,HB  VAD PERFUSION HOURS 13.00,15070.0,,,Ronald Reagan UCLA Medical Center,2019
141,2450111400,HB  VAD PERFUSION HOURS 14.00,15460.0,,,Ronald Reagan UCLA Medical Center,2019
142,2450111500,HB  VAD PERFUSION HOURS 15.00,15850.0,,,Ronald Reagan UCLA Medical Center,2019
143,2450111600,HB  VAD PERFUSION HOURS 16.00,16240.0,,,Ronald Reagan UCLA Medical Center,2019
144,2450111700,HB  VAD PERFUSION HOURS 17.00,16630.0,,,Ronald Reagan UCLA Medical Center,2019
145,2450111800,HB  VAD PERFUSION HOURS 18.00,17020.0,,,Ronald Reagan UCLA Medical Center,2019
146,2450111900,HB  VAD PERFUSION HOURS 19.00,17410.0,,,Ronald Reagan UCLA Medical Center,2019
147,2450112000,HB  VAD PERFUSION HOURS 20.00,17800.0,,,Ronald Reagan UCLA Medical Center,2019
148,2450112100,HB  VAD PERFUSION HOURS 21.00,18190.0,,,Ronald Reagan UCLA Medical Center,2019
149,2450112200,HB  VAD PERFUSION HOURS 22.00,18580.0,,,Ronald Reagan UCLA Medical Center,2019
150,2450112300,HB  VAD PERFUSION HOURS 23.00,18970.0,,,Ronald Reagan UCLA Medical Center,2019
151,2450112400,HB  VAD PERFUSION HOURS 24.00,19360.0,,,Ronald Reagan UCLA Medical Center,2019
152,2453394600,HB VAD SUPPORT VENOVENOUS INITIATION,11200.0,,,Ronald Reagan UCLA Medical Center,2019
153,2453394700,HB VAD SUPPORT VENOARTERIAL INITIATION,11200.0,,,Ronald Reagan UCLA Medical Center,2019
154,2453394800,HB VAD SUPPORT VENOVENOUS EA ADDL 24HR,11200.0,,,Ronald Reagan UCLA Medical Center,2019
155,2453394900,HB VAD SUPPORT VENOARTERIAL EA ADDL 24HR,11200.0,,,Ronald Reagan UCLA Medical Center,2019
156,2459110100,HB  VAD PERFUSION CATH LAB HOURS 1.00,10390.0,,,Ronald Reagan UCLA Medical Center,2019
157,2459110200,HB  VAD PERFUSION CATH LAB HOURS 2.00,10780.0,,,Ronald Reagan UCLA Medical Center,2019
158,2459110300,HB  VAD PERFUSION CATH LAB HOURS 3.00,11170.0,,,Ronald Reagan UCLA Medical Center,2019
159,2459110400,HB  VAD PERFUSION CATH LAB HOURS 4.00,11560.0,,,Ronald Reagan UCLA Medical Center,2019
160,2459110500,HB  VAD PERFUSION CATH LAB HOURS 5.00,11950.0,,,Ronald Reagan UCLA Medical Center,2019
161,2459110600,HB  VAD PERFUSION CATH LAB HOURS 6.00,12340.0,,,Ronald Reagan UCLA Medical Center,2019
162,2459110700,HB  VAD PERFUSION CATH LAB HOURS 7.00,12730.0,,,Ronald Reagan UCLA Medical Center,2019
163,2459110800,HB  VAD PERFUSION CATH LAB HOURS 8.00,13120.0,,,Ronald Reagan UCLA Medical Center,2019
164,2459110900,HB  VAD PERFUSION HOURS 9.00,13510.0,,,Ronald Reagan UCLA Medical Center,2019
165,2459111000,HB  VAD PERFUSION HOURS 10.00,13900.0,,,Ronald Reagan UCLA Medical Center,2019
166,2459111100,HB  VAD PERFUSION HOURS 11.00,14290.0,,,Ronald Reagan UCLA Medical Center,2019
167,2459111200,HB  VAD PERFUSION HOURS 12.00,14680.0,,,Ronald Reagan UCLA Medical Center,2019
168,2459111300,HB  VAD PERFUSION HOURS 13.00,15070.0,,,Ronald Reagan UCLA Medical Center,2019
169,2459111400,HB  VAD PERFUSION HOURS 14.00,15460.0,,,Ronald Reagan UCLA Medical Center,2019
170,2459111500,HB  VAD PERFUSION HOURS 15.00,15850.0,,,Ronald Reagan UCLA Medical Center,2019
171,2459111600,HB  VAD PERFUSION HOURS 16.00,16240.0,,,Ronald Reagan UCLA Medical Center,2019
172,2459111700,HB  VAD PERFUSION HOURS 17.00,16630.0,,,Ronald Reagan UCLA Medical Center,2019
173,2459111800,HB  VAD PERFUSION HOURS 18.00,17020.0,,,Ronald Reagan UCLA Medical Center,2019
174,2459111900,HB  VAD PERFUSION HOURS 19.00,17410.0,,,Ronald Reagan UCLA Medical Center,2019
175,2459112000,HB  VAD PERFUSION HOURS 20.00,17800.0,,,Ronald Reagan UCLA Medical Center,2019
176,2459112100,HB  VAD PERFUSION HOURS 21.00,18190.0,,,Ronald Reagan UCLA Medical Center,2019
177,2459112200,HB  VAD PERFUSION HOURS 22.00,18580.0,,,Ronald Reagan UCLA Medical Center,2019
178,2459112300,HB  VAD PERFUSION HOURS 23.00,18970.0,,,Ronald Reagan UCLA Medical Center,2019
179,2459112400,HB  VAD PERFUSION HOURS 24.00,19360.0,,,Ronald Reagan UCLA Medical Center,2019
180,2500115300,HB  RESEARCH GRANT-CHARGE PER HOUR 2007,150.0,,,Ronald Reagan UCLA Medical Center,2019
181,2500115900,HB  RESEARCH GRANT MEDICATION,1.0,,,Ronald Reagan UCLA Medical Center,2019
182,2541957700,HB  CONTRAST MULTIHANCE PER ML,10.0,,,Ronald Reagan UCLA Medical Center,2019
183,2541969800,HB  CONTRAST NONRADIOACTIVE IMAG MAT/STUDY ETHIODOL,100.0,,,Ronald Reagan UCLA Medical Center,2019
184,2541969801,HB  CONTRAST NONRADIOACTIVE IMAG MAT/STUDY TAGITOL V BARIUM 20ML,90.0,,,Ronald Reagan UCLA Medical Center,2019
185,2541969802,HB  CONTRAST NONRADIOACTIVE IMAG MAT/STUDY BIOTRACE BARIUM 50ML,300.0,,,Ronald Reagan UCLA Medical Center,2019
186,2548995700,HB PERFLUTREN LIPID MICROSPHERE PER ML,510.0,,,Ronald Reagan UCLA Medical Center,2019
187,2548995800,HB  CONTRAST CONRAY 30 PER ML,1.0,,,Ronald Reagan UCLA Medical Center,2019
188,2548995801,HB  CONTRAST HYPAQUE PER ML,1.0,,,Ronald Reagan UCLA Medical Center,2019
189,2548996000,HB  CONTRAST ISOVUE-M 200 PER ML,20.0,,,Ronald Reagan UCLA Medical Center,2019
190,2548996100,HB  CONTRAST CONRAY 60 PER ML,1.0,,,Ronald Reagan UCLA Medical Center,2019
191,2548996101,HB  CONTRAST CHOLOGRAFIN PER ML,5.0,,,Ronald Reagan UCLA Medical Center,2019
192,2548996102,HB  CONTRAST RENOGRAFIN PER ML,20.0,,,Ronald Reagan UCLA Medical Center,2019
193,2548996200,HB  CONTRAST ISOVUE-M 300 PER ML,20.0,,,Ronald Reagan UCLA Medical Center,2019
194,2548996700,HB  CONTRAST OMNIPAQUE 350 PER ML,2.0,,,Ronald Reagan UCLA Medical Center,2019
195,2548996701,HB  CONTRAST VISIPAQUE 320 PER ML,2.0,,,Ronald Reagan UCLA Medical Center,2019
196,2548996702,HB  CONTRAST ISOVUE 300 PER ML,5.0,,,Ronald Reagan UCLA Medical Center,2019
197,2551957900,HB  CONTRAST PROHANCE 20ML VIAL,350.0,,,Ronald Reagan UCLA Medical Center,2019
198,2551958100,HB  CONTRAST GADOXETATE PER ML,50.0,,,Ronald Reagan UCLA Medical Center,2019
199,2551958300,HB  CONTRAST GADOFOSVESET PER ML,50.0,,,Ronald Reagan UCLA Medical Center,2019
200,2551958500,HB  CONTRAST GADOBUTROL GADAVIST PER 0.1ML,50.0,,,Ronald Reagan UCLA Medical Center,2019
201,2558994900,HB  CONTRAST OMNIPAQUE 300 PER ML,1.0,,,Ronald Reagan UCLA Medical Center,2019
202,2558995200,HB  CONTRAST GADOLINIUM,550.0,,,Ronald Reagan UCLA Medical Center,2019
203,2558995300,HB  CONTRAST IRON-MAGNETIC RESONANCE PER ML,100.0,,,Ronald Reagan UCLA Medical Center,2019
204,2558995800,HB  CONTRAST HYPAQUE CYSTO PER ML,1.0,,,Ronald Reagan UCLA Medical Center,2019
205,2558996101,HB  CONTRAST HYPAQUE 60 PER ML,1.0,,,Ronald Reagan UCLA Medical Center,2019
206,2558996300,HB  CONTRAST GASTROVIEW PER ML,1.0,,,Ronald Reagan UCLA Medical Center,2019
207,2558996500,HB  CONTRAST OMNIPAQUE 180 PER ML,4.0,,,Ronald Reagan UCLA Medical Center,2019
208,2558996600,HB  CONTRAST OMNIPAQUE 240 PER ML,4.0,,,Ronald Reagan UCLA Medical Center,2019
209,2558996701,HB  CONTRAST ULTRAVIST 370 PER ML,1.0,,,Ronald Reagan UCLA Medical Center,2019
210,2603895700,HB NONCHEMO IV INFUSION BY PUMP >8HR,1040.0,,,Ronald Reagan UCLA Medical Center,2019
211,2609600000,HB ANTIPLATELET INFU-EACH ADDL HR,182.0,,,Ronald Reagan UCLA Medical Center,2019
212,2609636000,HB NONCHEMO IV HYDRATION 1ST HOUR,670.0,,,Ronald Reagan UCLA Medical Center,2019
213,2609636100,HB NONCHEMO IV HYDRATION EACH ADDL HR,260.0,,,Ronald Reagan UCLA Medical Center,2019
214,2609636500,HB  NONCHEMO IV INFUSION 1ST HOUR,670.0,,,Ronald Reagan UCLA Medical Center,2019
215,2609636600,HB NONCHEMO IV INFUSION EACH ADDITIONAL HR,260.0,,,Ronald Reagan UCLA Medical Center,2019
216,2609636700,HB NONCHEMO IV INFUSION SEQUENTIAL UPTO 1HR,260.0,,,Ronald Reagan UCLA Medical Center,2019
217,2609636800,HB NONCHEMO IV INFUSION CONCURRENT EA DRUG,260.0,,,Ronald Reagan UCLA Medical Center,2019
218,2700000261,HB GUIDEWIRE ENTEER EV3V3,840.0,,,Ronald Reagan UCLA Medical Center,2019
219,2700000597,HB CAST SHOE,50.0,,,Ronald Reagan UCLA Medical Center,2019
220,2700000598,HB POST-OP SHOE,30.0,,,Ronald Reagan UCLA Medical Center,2019
221,2700000601,HB  AUD SPEECH BOOK SELF HELP LARYNG,40.0,,,Ronald Reagan UCLA Medical Center,2019
222,2700000620,HB CIRCUMCISION SUPPLY DISPOSABLE,120.0,,,Ronald Reagan UCLA Medical Center,2019
223,2700000950,HB PATCH FOR EXT REFERENCE 3D MAP,1310.0,,,Ronald Reagan UCLA Medical Center,2019
224,2700051505,HB GRAFT PTFE STD 6MMX20CM GORE,670.0,,,Ronald Reagan UCLA Medical Center,2019
225,2700051506,HB GRAFT PTFE STD 6MMX30CM GORE,1100.0,,,Ronald Reagan UCLA Medical Center,2019
226,2700051508,HB GRAFT PTFE STD 6MMX40CM GORE,1250.0,,,Ronald Reagan UCLA Medical Center,2019
227,2700054444,HB OCCLUS DEVICE FLORESTER SYST IMPLANT,200.0,,,Ronald Reagan UCLA Medical Center,2019
228,2700058944,HB GRAFT PATCH SFT TISU GRTEX 20X30X1CM GORE,4200.0,,,Ronald Reagan UCLA Medical Center,2019
229,2700070600,HB STENT ESOPH WALL UNCOV+DELIV SYST BSCI,6000.0,,,Ronald Reagan UCLA Medical Center,2019
230,2700074524,HB SYSTEM BREAST MRKG SADOWSKY,490.0,,,Ronald Reagan UCLA Medical Center,2019
231,2700080001,HB HEMOPERFUSION CLARK CARTRIDGE,2150.0,,,Ronald Reagan UCLA Medical Center,2019
232,2700080794,HB VAD CONTROLLER,2800.0,,,Ronald Reagan UCLA Medical Center,2019
233,2700090210,HB OD THORACIC RIB BELT,90.0,,,Ronald Reagan UCLA Medical Center,2019
234,2700091800,HB KO ELASTIC+STAYS PREFAB+FIT,160.0,,,Ronald Reagan UCLA Medical Center,2019
235,2700091815,HB KO ELAST+CONDYL PAD PREFAB+FIT,190.0,,,Ronald Reagan UCLA Medical Center,2019
