,HSP,CHARGE CODE,Description,Price,COMMENTS,Hospital,Year
119,HMD,05484,CS\J-LOOP IV CATH EXT SET,35.16,,Hi Desert Medical Center,2019
120,HMD,05485,CS\NITRO SET,99.27,,Hi Desert Medical Center,2019
121,HMD,05496,CS\Y-TYPE TUR/BLADDER IRRIGSET,68.27,,Hi Desert Medical Center,2019
122,HMD,05501,CS\TUBE ANESTHESIA BREATHING,84.81,,Hi Desert Medical Center,2019
123,HMD,05505,CS\TUBE CHEST TROCATH,163.4,,Hi Desert Medical Center,2019
124,HMD,05516,CS\DCT TRACH TUBE,419.87,,Hi Desert Medical Center,2019
125,HMD,05524,CS\TUBE DOBBHOFF FEED & STYLE,270.96,,Hi Desert Medical Center,2019
126,HMD,05528,CS\RESUSCITATOR ADULT DISP,283.37,,Hi Desert Medical Center,2019
127,HMD,05531,CS\AMBU BAG DISP,242.0,,Hi Desert Medical Center,2019
128,HMD,05532,CS\SKIN SCRUB PREP,33.08,,Hi Desert Medical Center,2019
129,HMD,05539,CS\ORTHO MISC,1107.45,,Hi Desert Medical Center,2019
130,HMD,05540,"CS\BAG, FECAL INCONTINENCE",74.46,,Hi Desert Medical Center,2019
131,HMD,05541,CS\BIOPTY-CUT BIOPSY NEEDLE,206.84,,Hi Desert Medical Center,2019
132,HMD,05553,CS\NEEDLE CATHETERYUEHCENTESIS,188.22,,Hi Desert Medical Center,2019
133,HMD,05556,CS\LMA MASK,399.18,,Hi Desert Medical Center,2019
134,HMD,05565,CS\CAST FIBERGLASS ARM SHORT,264.74,,Hi Desert Medical Center,2019
135,HMD,05568,CS\SPLT FIBERGL ARM FULL 11+,165.46,,Hi Desert Medical Center,2019
136,HMD,05569,CS\SPLT FIBERGL ARM SHORT 11+,122.04,,Hi Desert Medical Center,2019
137,HMD,05570,CS\SPLT FIBERGL LONG LEG 11+,465.36,,Hi Desert Medical Center,2019
138,HMD,05571,CS\SPLT FIBERGL LEG SHORT 11+,256.47,,Hi Desert Medical Center,2019
139,HMD,05578,CS\ORTHO CARBON FIBERROD11.0mm,1187.18,,Hi Desert Medical Center,2019
140,HMD,05586,CS\TOURN CUFF 18 INCH STD ARM,225.46,,Hi Desert Medical Center,2019
141,HMD,05587,CS\TOURN CUFF 24 INCH STD LEG,242.0,,Hi Desert Medical Center,2019
142,HMD,05588,CS\TOURN CUFF 34 INCH,316.46,,Hi Desert Medical Center,2019
143,HMD,05589,CS\TOURN CUFF 44 IN X-LONG LEG,357.83,,Hi Desert Medical Center,2019
144,HMD,05590,CS\TOURN CUFF 26IN DUALBLADDER,409.51,,Hi Desert Medical Center,2019
145,HMD,05591,CS\TOURN CUFF 12 INCH,210.96,,Hi Desert Medical Center,2019
146,HMD,05610,CS\DISP PRESSURE INFUSOR,227.5,,Hi Desert Medical Center,2019
147,HMD,05629,CS\SIGNET SKIN STAPLER 35W,204.78,,Hi Desert Medical Center,2019
148,HMD,05650,"CS\TRAY ADD A FOLEY, DISPOSAB",97.23,,Hi Desert Medical Center,2019
149,HMD,05653,CS\ARTERIAL LINE DISPOSABLE,242.0,,Hi Desert Medical Center,2019
150,HMD,05655,CS\JURGAN PIN BALL ALL SIZES,55.85,,Hi Desert Medical Center,2019
151,HMD,05658,CS\TRAY CATHETER FOLEY-CLOSED,130.31,,Hi Desert Medical Center,2019
152,HMD,05663,CS\TRAY ART LINE SET UP,227.5,,Hi Desert Medical Center,2019
153,HMD,05669,CS\TRAY HEMODIALYSIS,401.24,,Hi Desert Medical Center,2019
154,HMD,05670,CS\TRAY EPIDURAL ANESTHESIA,312.32,,Hi Desert Medical Center,2019
155,HMD,05671,CS\INTRAVENOUS START KITS,28.95,,Hi Desert Medical Center,2019
156,HMD,05672,CS\HEMODI/APHERESIS CATH13.5FR,1793.19,,Hi Desert Medical Center,2019
157,HMD,05674,CS\TUBE SUCTION INRPLS HP 10',463.3,,Hi Desert Medical Center,2019
158,HMD,05675,CS\TRAY GENERAL PUNCTURE,163.4,,Hi Desert Medical Center,2019
159,HMD,05676,CS\TRAY NASAL,68.27,,Hi Desert Medical Center,2019
160,HMD,05680,CS\TRAY PELVIC,68.27,,Hi Desert Medical Center,2019
161,HMD,05681,CS\BONE CLEANING TIP,202.7,,Hi Desert Medical Center,2019
162,HMD,05687,CS\TRAY EYE,68.27,,Hi Desert Medical Center,2019
163,HMD,05690,CS\TRAY SUTURE SET MEDIUM,146.86,,Hi Desert Medical Center,2019
164,HMD,05695,CS\TRAY THORACENTESIS,275.09,,Hi Desert Medical Center,2019
165,HMD,05708,CS\FOLEY CATH LATEX SAFE,93.09,,Hi Desert Medical Center,2019
166,HMD,05713,CS\BANANNO SUPRAPUBIC CATH,208.91,,Hi Desert Medical Center,2019
167,HMD,05726,CS\TUBE GASTROSTOMY TUBE REPLM,525.35,,Hi Desert Medical Center,2019
168,HMD,05737,CS\GRAFT VASCULAR 4.7MM X 40CM,2589.47,,Hi Desert Medical Center,2019
169,HMD,05742,CS\HIP DRAPE W/POUCH,318.5,,Hi Desert Medical Center,2019
170,HMD,05750,CS\ABDOMINAL BINDER,165.46,,Hi Desert Medical Center,2019
171,HMD,05773,CS\HADECO VASCULAR PROBEDOPLER,705.28,,Hi Desert Medical Center,2019
172,HMD,05778,CS\THORACENTESIS/PARACEN KIT,279.24,,Hi Desert Medical Center,2019
173,HMD,05782,CS\SCROTAL SUPPORT,78.59,,Hi Desert Medical Center,2019
174,HMD,05791,CS\PACEMAKER TRANSMITTER,19861.64,,Hi Desert Medical Center,2019
175,HMD,05798,CS\POSEY VEST,200.63,,Hi Desert Medical Center,2019
176,HMD,05801,CS\HEEL PROTECTORS (1 PAIR),165.46,,Hi Desert Medical Center,2019
177,HMD,05824,CS\ENDOPATH LINEAR CUTTER VASC,1191.32,,Hi Desert Medical Center,2019
178,HMD,05828,CS\TUBE HOLDER E.T.,86.87,,Hi Desert Medical Center,2019
179,HMD,05835,CS\TED'S THIGH HIGH STOCKINGS,111.69,,Hi Desert Medical Center,2019
180,HMD,05838,CS\URINE METER,119.97,,Hi Desert Medical Center,2019
181,HMD,05840,"CS\VEIN STRIPPER, DISPOSABL",126.17,,Hi Desert Medical Center,2019
182,HMD,05845,CS\THORA-KLEX CHEST DRAINAGE,684.61,,Hi Desert Medical Center,2019
183,HMD,05849,CS\LONG MEDIUM BLADE,359.87,,Hi Desert Medical Center,2019
184,HMD,05859,CS\HYPOTHERMIA BLANKET,233.73,,Hi Desert Medical Center,2019
185,HMD,05860,CS\HYPOTHERMIA RECTAL PROBE,122.04,,Hi Desert Medical Center,2019
186,HMD,05864,CS\DERMABOND SKIN ADHESIVE,268.88,,Hi Desert Medical Center,2019
187,HMD,05867,CS\TRAY SPINAL,312.32,,Hi Desert Medical Center,2019
188,HMD,05874,CS\SURGICLIP L-13.0,481.92,,Hi Desert Medical Center,2019
189,HMD,05882,CS\ORTHO VOLAR DISTAL RADIUS,1820.07,,Hi Desert Medical Center,2019
190,HMD,05888,CS\TRAY FOLEY CATH CLOSED 1FR,142.72,,Hi Desert Medical Center,2019
191,HMD,05899,CS\MISC,352.27,,Hi Desert Medical Center,2019
192,HMD,05911,CS\TRACTION BUCKS,165.46,,Hi Desert Medical Center,2019
193,HMD,05964,CS\VISCERA RETAINER,223.37,,Hi Desert Medical Center,2019
194,HMD,05974,CS\AGRESSIVE PLUS CUTTER 4.0,510.88,,Hi Desert Medical Center,2019
195,HMD,05975,CS\PEDI END TIDAL CO2 EASY CAP,103.42,,Hi Desert Medical Center,2019
196,HMD,05983,CS\SEPRAFILM ADHESION BARRIER,1137.55,,Hi Desert Medical Center,2019
197,HMD,06013,"LC\CRYSTALS, FLUID",109.62,,Hi Desert Medical Center,2019
198,HMD,06031,LC\CRYSTAL IDENTIFICATION,109.62,,Hi Desert Medical Center,2019
199,HMD,06033,LC\NEWBORN SCREENING COLLECTIO,9.1,,Hi Desert Medical Center,2019
200,HMD,06034,LC\AFP Draw: Sent to State,55.85,,Hi Desert Medical Center,2019
201,HMD,06036,LC\COLLECT OF CAPILLARY SPEC,41.38,,Hi Desert Medical Center,2019
202,HMD,06037,LC\VENIPUNCTURE,55.85,,Hi Desert Medical Center,2019
203,HMD,06038,LC\INSURANCE/SPEC HAND FEE,78.59,,Hi Desert Medical Center,2019
204,HMD,06044,LC\GLYCOSYLATED A1C HGB,136.5,,Hi Desert Medical Center,2019
205,HMD,06045,LC\GLUCOSE TOLERANCE-1 HR,320.59,,Hi Desert Medical Center,2019
206,HMD,06052,LC\GLUCOSE LEVEL AFTER GLUCOL,105.49,,Hi Desert Medical Center,2019
207,HMD,06079,LC\PSA,239.92,,Hi Desert Medical Center,2019
208,HMD,06081,"LC\PSA,SCREENING",239.92,,Hi Desert Medical Center,2019
209,HMD,06108,LC\CULTURE GENITAL,275.09,,Hi Desert Medical Center,2019
210,HMD,06138,LC\JOINT FLUID GROUP,225.46,,Hi Desert Medical Center,2019
211,HMD,06144,LC\HDL,97.23,,Hi Desert Medical Center,2019
212,HMD,07012,"LP\TISSUE PROCESS,GROSS/MICROV",395.05,,Hi Desert Medical Center,2019
213,HMD,07013,"LP\TISSUE PROCESS,GROSS/MICROV",1092.05,,Hi Desert Medical Center,2019
214,HMD,07034,LP\TISS PROCESSING-EACH ADD BC,266.81,,Hi Desert Medical Center,2019
215,HMD,07049,"LP\SPECIAL STAINS, GROUP I",153.05,,Hi Desert Medical Center,2019
216,HMD,07050,"LP\SPECIAL STAINS, GROUP II",148.92,,Hi Desert Medical Center,2019
217,HMD,07051,LP\DECALCIFICATION OF TISSUE,113.76,,Hi Desert Medical Center,2019
218,HMD,07052,LP\TISSUE PROCESSING-GROSS NL,167.54,,Hi Desert Medical Center,2019
219,HMD,07053,LP\TISSUE PROCESSING-GROSS/MIC,361.97,,Hi Desert Medical Center,2019
220,HMD,07055,LP\TISSUE PROCESSING-FRZN SECT,597.73,,Hi Desert Medical Center,2019
221,HMD,07061,LP\CYTOLOGY PROCESSING-CELL BC,457.09,,Hi Desert Medical Center,2019
222,HMD,07064,LP\CYTOLOGY PROCESSING FNA,684.61,,Hi Desert Medical Center,2019
223,HMD,07067,LP\TISSUE PROC-GROSS/MICRO EV,527.42,,Hi Desert Medical Center,2019
224,HMD,07068,LP\TISSUE PROC-GROSS/MICRO,775.62,,Hi Desert Medical Center,2019
225,HMD,07075,LP\CYTOLOGY PROCESSING-FNA-ST,223.37,,Hi Desert Medical Center,2019
226,HMD,07080,LP\BONE MARROW ASP-PROCESSING,322.65,,Hi Desert Medical Center,2019
227,HMD,07081,LP\BONE MARROW BIOPSY,512.92,,Hi Desert Medical Center,2019
228,HMD,07088,LP\REFERENCE CASE,680.47,,Hi Desert Medical Center,2019
229,HMD,07121,LP\HISTOCHEM ST-FS-PROCESSING,151.0,,Hi Desert Medical Center,2019
230,HMD,07122,LP\IMMUNOCYTOCHM-EA AB-PROCSSH,382.63,,Hi Desert Medical Center,2019
231,HMD,07124,LP\CYTOPATH PROCESS-WASH/BRH/E,246.12,,Hi Desert Medical Center,2019
232,HMD,07126,LP\CYTOPATH PROCESS-SMEAR & FT,148.92,,Hi Desert Medical Center,2019
233,HMD,07127,LP\CYTOPATH PROCESS-CONC MEHO,357.83,,Hi Desert Medical Center,2019
234,HMD,07130,LP\CYTOPATH PROCESS-FNA CEL BC,198.55,,Hi Desert Medical Center,2019
235,HMD,07131,LP\BONE MARROW ASP/CELL BLK-PC,345.42,,Hi Desert Medical Center,2019
236,HMD,08007,LC\COMPAT TEST\UNIT IS,293.69,,Hi Desert Medical Center,2019
237,HMD,08008,LC\COMPAT TEST\UNIT AHG,440.55,,Hi Desert Medical Center,2019
238,HMD,08012,"LC\ALBUMIN,SERUM",105.49,,Hi Desert Medical Center,2019
239,HMD,08017,LC\ALKALINE PHOSPHATASE,113.76,,Hi Desert Medical Center,2019
240,HMD,08024,"LC\AMMONIA,SERUM",335.07,,Hi Desert Medical Center,2019
241,HMD,08027,"LC\AMYLASE,SERUM",221.31,,Hi Desert Medical Center,2019
242,HMD,08031,LC\ANTIBIOTIC SENSITIVITY,239.92,,Hi Desert Medical Center,2019
243,HMD,08034,LC\ARTERIAL BLOOD GASES,637.03,,Hi Desert Medical Center,2019
244,HMD,08036,LC\ANTIBODY SCREEN,283.37,,Hi Desert Medical Center,2019
245,HMD,08052,LC\COMP METABOLIC PANEL,510.88,,Hi Desert Medical Center,2019
246,HMD,08057,LC\HEPATIC FUNCTION PANEL,328.85,,Hi Desert Medical Center,2019
247,HMD,08060,"LC\HCG, QUALITATIVE",217.17,,Hi Desert Medical Center,2019
248,HMD,08063,"LC\HCG, QUANTITATIVE",351.61,,Hi Desert Medical Center,2019
249,HMD,08067,"LC\BILIRUBIN,DIRECT",122.04,,Hi Desert Medical Center,2019
250,HMD,08069,"LC\BILIRUBIN,TOTAL",80.67,,Hi Desert Medical Center,2019
251,HMD,08074,"LC\BLOOD UREA NITROGEN,(BUN",122.04,,Hi Desert Medical Center,2019
252,HMD,08086,"LC\CALCIUM,SERUM",101.35,,Hi Desert Medical Center,2019
253,HMD,08092,"LC\CARBAMAZEPINE,(TEGRETOL)",268.88,,Hi Desert Medical Center,2019
254,HMD,08098,LC\COMPLETE CBC AUTOMATED,173.72,,Hi Desert Medical Center,2019
255,HMD,08100,LC\CBC W/ AUTO DIFFERENTIAL,169.61,,Hi Desert Medical Center,2019
256,HMD,08103,"LC\CELL COUNT & DIFF, CSF",190.28,,Hi Desert Medical Center,2019
257,HMD,08104,"LC\CELL COUNT & DIFF, BODY FLD",161.32,,Hi Desert Medical Center,2019
258,HMD,08110,"LC\CHLORIDE,URINE",184.08,,Hi Desert Medical Center,2019
259,HMD,08112,LC\CHOLESTEROL,126.17,,Hi Desert Medical Center,2019
260,HMD,08119,"LC\CK,(CPK),CREATINE KINASE",229.59,,Hi Desert Medical Center,2019
261,HMD,08139,"LC\CREATININE,SERUM",115.82,,Hi Desert Medical Center,2019
262,HMD,08140,"LC\CREATININE, OTHER SOURCE",126.17,,Hi Desert Medical Center,2019
263,HMD,08141,LC\CREATININE CLEARANCE,233.73,,Hi Desert Medical Center,2019
264,HMD,08148,"LC\CULTURE,ANAEROBIC",275.09,,Hi Desert Medical Center,2019
265,HMD,08149,"LC\CULTURE,BLOOD",335.07,,Hi Desert Medical Center,2019
266,HMD,08150,"LC\CULTURE,GC SCREEN",124.11,,Hi Desert Medical Center,2019
267,HMD,08151,"LC\CULTURE,URINE",252.34,,Hi Desert Medical Center,2019
268,HMD,08155,"LC\CULTURE,STOOL",258.54,,Hi Desert Medical Center,2019
269,HMD,08156,"LC\CULTURE,THROAT",275.09,,Hi Desert Medical Center,2019
270,HMD,08159,"LC\CULTURE,SPUTUM",275.09,,Hi Desert Medical Center,2019
271,HMD,08162,"LC\CULTURE,STREP SCREEN",124.11,,Hi Desert Medical Center,2019
272,HMD,08163,"LC\CULTURE,STREP SCREEN VAG",124.11,,Hi Desert Medical Center,2019
273,HMD,08164,"LC\CULTURE,MRSA SCREEN",124.11,,Hi Desert Medical Center,2019
274,HMD,08165,"LC\CULTURE,ROUTINE",275.09,,Hi Desert Medical Center,2019
275,HMD,08175,"LC\VALPROIC ACID, TOTAL",283.37,,Hi Desert Medical Center,2019
276,HMD,08179,LC\DIFFERENTIAL,86.87,,Hi Desert Medical Center,2019
277,HMD,08180,"LC\DIGOXIN, TOTAL",359.87,,Hi Desert Medical Center,2019
278,HMD,08181,"LC\DILANTIN,(PHENYTOIN)",378.5,,Hi Desert Medical Center,2019
279,HMD,08216,LC\FERRITIN,177.88,,Hi Desert Medical Center,2019
280,HMD,08218,LC\FIBRINOGEN,266.81,,Hi Desert Medical Center,2019
281,HMD,08219,"LC\FETAL FIBRONECTIN,SEMIQUANT",1253.38,,Hi Desert Medical Center,2019
282,HMD,08220,LC\FERN TEST,157.19,,Hi Desert Medical Center,2019
283,HMD,08226,"LC\GGTP,GAMMMA GLUTAMYL TRANS",151.0,,Hi Desert Medical Center,2019
284,HMD,08229,"LC\GENTAMYCIN,PEAK",273.01,,Hi Desert Medical Center,2019
285,HMD,08230,"LC\GENTAMYCIN,TROUGH",273.01,,Hi Desert Medical Center,2019
286,HMD,08231,"LC\GLUCOSE,SERUM",122.04,,Hi Desert Medical Center,2019
287,HMD,08232,"LC\GLUCOSE,SERUM TOL, EA AD SC",72.4,,Hi Desert Medical Center,2019
