,PROC_CODE,Description,CPT_CODE,INPAT_FEE,OUTPAT_FEE,Hospital,Year
100,271000110,HC LIFTER NC94301 NORCO LEG,270000110,82.94,82.94,Marshall Medical Center,2019
101,271000111,"HC COLLAR 1061-02 CERVICAL FOAM 15"" X 2.5""",270000111,55.54,55.54,Marshall Medical Center,2019
102,271000112,"HC COLLAR 1057-03 CERVICAL FOAM 17"" X 3"" ME",271000112,63.88,63.88,Marshall Medical Center,2019
103,271000113,HC HEMI ARM SLING,271000113,897.95,897.95,Marshall Medical Center,2019
104,271000114,HC SHOE 79-81147 LARGE WOMENS POST OP BLK,271000114,53.44,53.44,Marshall Medical Center,2019
105,271000115,HC SHOE DS1014-12 MEDIUM MEN¿S POST OP,271000115,53.85,53.85,Marshall Medical Center,2019
106,271000116,HC SPLINT AIR-GEL ANKLE BRACE NC92390-1,271000116,199.22,199.22,Marshall Medical Center,2019
107,271000117,"HC SYSTEM TCC25051 TCCEZ 5-3"" & 5-4"" N/BOOT",271000117,14641.58,14641.58,Marshall Medical Center,2019
108,271000118,HC CARTRIDGE SNAP THERAPY 125MM HG,271000118,2122.01,2122.01,Marshall Medical Center,2019
109,271000119,HC EDEMA CONTRL GLOVES,99070,174.23,174.23,Marshall Medical Center,2019
110,271000121,HC AIRWAY SUPRAGLOTTIC AIR I-GEL SIZE 3,271000121,139.65,139.65,Marshall Medical Center,2019
111,271000122,HC AIRWAY SUPRAGLOTTIC AIR I-GEL SIZE 4,271000122,139.65,139.65,Marshall Medical Center,2019
112,271000123,HC AIRWAY SUPRAGLOTTIC AIR I-GEL SIZE 5,271000123,139.65,139.65,Marshall Medical Center,2019
113,271000124,HC AIRWAY SUPRAGLOTTIC AIR I-GEL SIZE 2,271000124,139.65,139.65,Marshall Medical Center,2019
114,272000188,HC CATH 81-080416 16 FR FOLEY W/TEMP SENSOR,272000188,113.08,113.08,Marshall Medical Center,2019
115,272000189,HC CATHETER PEDI 5FR CK155L,272000189,48.39,48.39,Marshall Medical Center,2019
116,272000190,HC MT NEPHROS CATH KIT 10F,C1729,3469.66,3469.66,Marshall Medical Center,2019
117,272000191,HC SUTURE UL214POLYSORB 4-0 27 CVF-23 UNDYE,272000191,60.61,60.61,Marshall Medical Center,2019
118,272000192,"HC SUTURE VCP416H 3-0 27"" VICRYL PLUS SH",272000192,75.24,75.24,Marshall Medical Center,2019
119,272000193,"HC SUTURE CL17MGPOLYSORB 0 VIOLET GS-22 18""",272000193,152.57,152.57,Marshall Medical Center,2019
120,272000194,HC SUTURE CL31MG POLYSORB 1 18 VIOLET GS-25,272000194,153.62,153.62,Marshall Medical Center,2019
121,272000195,HC SUTURE GL322 POLYSORB 3-0 27 V-20 U/D,272000195,38.67,38.67,Marshall Medical Center,2019
122,272000196,HC SUTURE GS62M SOFSILK 2-0 18 BLK,272000196,88.83,88.83,Marshall Medical Center,2019
123,272000197,HC SUTURE G14 CHROMIC GUT 0 18 PRECUT,272000197,75.24,75.24,Marshall Medical Center,2019
124,272000198,HC SUTURE CG803 SURGIGUT 1 30 GS-24,272000198,51.21,51.21,Marshall Medical Center,2019
125,272000199,HC SUTURE G13 CHROMIC GUT 2/0 18 PRECUT,272000199,156.75,156.75,Marshall Medical Center,2019
126,272000200,HC SUTURE CL832 POLYSORB UNDYED,272000200,39.71,39.71,Marshall Medical Center,2019
127,272000201,"HC SUTURE CL15MG POLYSORB 1 U/D GS-21 18""",272000201,153.62,153.62,Marshall Medical Center,2019
128,272000202,HC SUTURE CG855 PLAIN GUT 1 30 GS-24,272000202,39.45,39.45,Marshall Medical Center,2019
129,272000203,HC SUTURE POLYSORB CL844 30 GS-21 UNDYED,272000203,41.8,41.8,Marshall Medical Center,2019
130,272000204,HC SUTURE SOFSILK 3-0 BLK V-20,272000204,88.83,88.83,Marshall Medical Center,2019
131,272000205,HC SUTURE CL31MG POLYSORB 1 18 VIOLETGS-25,272000205,153.62,153.62,Marshall Medical Center,2019
132,272000206,HC SUTURE CL904 POLYSORB 0 36 VIOLET GS-25,272000206,57.48,57.48,Marshall Medical Center,2019
133,272000207,HC DRESSING 1437-D TUBIGRIP 10M LRG ARM,272000207,405.35,405.35,Marshall Medical Center,2019
134,272000208,HC DRESSING 1434-E TUBIGRIP 10M LRG ANKLE,272000208,458.95,458.95,Marshall Medical Center,2019
135,272000209,HC DRESSING 1438-F TUBIGRIP 10M LRG KNEE,272000209,500.2,500.2,Marshall Medical Center,2019
136,272000210,HC DRESSING 1439-G TUBIGRIP 10M LRG THIGH,272000210,578.08,578.08,Marshall Medical Center,2019
137,272000211,"HC DRESSING 46-101 SOFSORB 4"" X 6""",272000211,23.17,23.17,Marshall Medical Center,2019
138,272000212,"HC DRESSING 529312 FEN 2""X2"" ENDOFORM TEMPL",272000212,163.21,163.21,Marshall Medical Center,2019
139,272000213,"HC CALAMINE WRAP 01052  3""X10YD",272000213,72.94,72.94,Marshall Medical Center,2019
140,272000214,HC DRESSING 449600 3OZ SOLOSITE GEL WOUND,2720000214,102.75,102.75,Marshall Medical Center,2019
141,272000215,HC DRESSING 46-711 MULTIDEX GEL WOUND FILL,272000215,51.18,51.18,Marshall Medical Center,2019
142,272000216,"HC DRESSING 7910 INTERDRY AG SILVER 10""X12F",272000216,735.77,735.77,Marshall Medical Center,2019
143,272000217,"HC DRESSING AG 420128 AQUACEL .39"" X 18""",272000217,186.23,186.23,Marshall Medical Center,2019
144,272000218,HC DRESSING MSC8622EP PURACOL COLGN 2X2.25,272000218,108.37,108.37,Marshall Medical Center,2019
145,272000219,HC KIT 2794 COBAN 2 LAYER LITE COMPRESSION,272000219,184.25,184.25,Marshall Medical Center,2019
146,272000220,HC SYSTEM 48-500 JETOX CLEANSE,272000220,380.33,380.33,Marshall Medical Center,2019
147,272000221,HC DRESSING 509341 4 X 5 RESTORE SILVER CON,A4649,128.06,128.06,Marshall Medical Center,2019
148,272000222,"HC DRESSING 66800544 ACTICOAT FLEX7 1""X24""",272000222,360.28,360.28,Marshall Medical Center,2019
149,272000224,HC DRESSING 2094 COBAN 2 LAYER COMPRESSION,272000224,184.36,184.36,Marshall Medical Center,2019
150,272000225,HC DRESSING 46-704 MULTIDEX PWDR 6GM,272000225,50.55,50.55,Marshall Medical Center,2019
151,272000226,HC DRESSING MSC3244 4X4 GAUZE BORDERED,272000226,16.72,16.72,Marshall Medical Center,2019
152,272000227,HC DRESSING 1436-B TUBIGRIP 10M SML HAND,272000227,325.08,325.08,Marshall Medical Center,2019
153,272000228,HC GEL 6602125040 IODOSORB 40G 0.9% CADEXOM,A6261,525.67,525.67,Marshall Medical Center,2019
154,272000229,HC SUTURE CL-809 POLYSORB 4-0 GS-21,272000229,26.45,26.45,Marshall Medical Center,2019
155,272000230,HC SUTURE SS5641 SOFSILK 4-0 18 BLACK P-13,272000230,50.18,50.18,Marshall Medical Center,2019
156,272000231,HC SUTURE L104 POLYSORB 0 60 U/D STDLTH,272000231,94.05,94.05,Marshall Medical Center,2019
157,272000232,HC DRESSING 294199 4 X 4 MEPILEX FOAM,272000232,46.91,46.91,Marshall Medical Center,2019
158,272000233,HC DRESSING 2893651 SORBION SACHET S 4X4,272000233,814.56,814.56,Marshall Medical Center,2019
159,272000234,HC SUTURE CG-922 CHROMIC 3-0 GS-21,272000234,90.92,90.92,Marshall Medical Center,2019
160,272000235,"HC SUTURE 903H CHROMIC GUT 2-0 CTX 36""",272000235,362.62,362.62,Marshall Medical Center,2019
161,272000236,HC SUTURE GL31G CHROMIC GUT 2 TP-1 60,272000236,740.91,740.91,Marshall Medical Center,2019
162,272000237,HC DRESSING WHITE FOAM LRG M6275034 (VAC),272000237,178.8,178.8,Marshall Medical Center,2019
163,272000238,HC DRESSING 283250 MEPILEX BORDER HEEL,272000238,146.92,146.92,Marshall Medical Center,2019
164,272000239,HC DRESSING MA028 PROMOGRAN PRISMA MATRIX,272000239,137.51,137.51,Marshall Medical Center,2019
165,272000243,"HC DRESSING 7541 TELFA 4"" X 8""",272000243,17.26,17.26,Marshall Medical Center,2019
166,272000245,HC MEDIHONEY GEL 31805 0.5 OZ TUBE,272000245,60.76,60.76,Marshall Medical Center,2019
167,272000246,HC MEDIHONEY GEL 31815 1.5 OZ TUBE,272000246,433.68,433.68,Marshall Medical Center,2019
168,272000247,"HC MEDIHONEY 31722 HCS BORDER 2.8""X2.8""",272000247,69.24,69.24,Marshall Medical Center,2019
169,272000248,"HC MEDIHONEY 31744 HCS BORDER 4 1/2""X4 1/2""",272000248,169.76,169.76,Marshall Medical Center,2019
170,272000249,"HC DRESSING 31022 2"" X 2"" MEDIHONEY ALGINAT",272000249,56.83,56.83,Marshall Medical Center,2019
171,272000250,HC DRESSING 284190 4 X 4 MEPILEX LITE,272000250,36.75,36.75,Marshall Medical Center,2019
172,272000251,HC DRESSING 294299 4 X 8 MEPILEX  FOAM,272000251,96.08,96.08,Marshall Medical Center,2019
173,272000252,HC DRESSING 289500 4 X 7.2 MEPITEL ONE,272000252,129.18,129.18,Marshall Medical Center,2019
174,272000253,"HC DRESSING 285299 3/4"" X  39"" MESALTRIBBON",A6266,29.08,29.08,Marshall Medical Center,2019
175,272000254,HC DRESSING 287200 4 X 8 MEPILEX AG,272000254,236.53,236.53,Marshall Medical Center,2019
176,272000255,"HC DRESSING 294899 6"" X 8"" MEPILEX TRANSFER",272000255,95.14,95.14,Marshall Medical Center,2019
177,272000256,HC CATHETER M2720HSI EXPAND MULTI MED,272000256,591.63,591.63,Marshall Medical Center,2019
178,272000258,HC EPISTAT (EPISTAXIS) 15-27031,272000258,778.07,778.07,Marshall Medical Center,2019
179,272000259,HC TPOD  TRAUMA PELVIC T-POD PELVIC,272000259,1489.13,1489.13,Marshall Medical Center,2019
180,272000261,"HC DRSING 500501 ADAPTIC TOUCH 3""X2"" NONADH",272000261,23.09,23.09,Marshall Medical Center,2019
181,272000262,HC ZINC WRAP NONUNNA14,272000262,95.32,95.32,Marshall Medical Center,2019
182,272000263,HC DRESSING 1964 TRIAD HYDROPHILIC 2.5 OZ,A6240,108.35,108.35,Marshall Medical Center,2019
183,272000264,HC DRESSING HB4414 HYDROFERA BLUE 4X4,A6234,96.67,96.67,Marshall Medical Center,2019
184,272000265,HC MESALT 8X8(FOLDED 4X4),272000265,16.72,16.72,Marshall Medical Center,2019
185,272000266,HC MEPILEX LITE BORDER 3X3,272000266,29.51,29.51,Marshall Medical Center,2019
186,272000268,HC MEPILEX LITE BORDER 4X8,272000268,301.37,301.37,Marshall Medical Center,2019
187,272000269,HC REPLICARE 2 2 3/4,272000269,27.56,27.56,Marshall Medical Center,2019
188,272000270,HC PROFORE 4 LAYER,272000270,187.96,187.96,Marshall Medical Center,2019
189,272000271,HC VASELINE GAUZE 1X36,A6257,16.72,16.72,Marshall Medical Center,2019
190,272000272,HC SILVER CALCIUMALGINATE DRSING 529968 4X4,272000272,79.81,79.81,Marshall Medical Center,2019
191,272000273,HC CK TSCF WIRE 35\145\3\BH,272000273,253.15,253.15,Marshall Medical Center,2019
192,272000274,HC SM SILVER GRANUFOAM DRESSING M8275098,272000274,669.06,669.06,Marshall Medical Center,2019
193,272000275,HC MED SILVER GRANUFOAM DRESSING M8275096,272000275,838.25,838.25,Marshall Medical Center,2019
194,272000278,HC CATHETER 168L18  18FR 2 WY COUDE FOLEY,A4340,126.96,126.96,Marshall Medical Center,2019
195,272000279,HC FOLEY ADD 89100,272000279,95.9,95.9,Marshall Medical Center,2019
196,272000280,HC CATHETER FOLEY 5CC 12FR,A4338,114.34,114.34,Marshall Medical Center,2019
197,272000281,HC CATHETER 5CC 22FR 2 WAY FOLEY,A4338,114.34,114.34,Marshall Medical Center,2019
198,272000282,HC STERILE GAUZE 4X4 16PLY,272000282,16.72,16.72,Marshall Medical Center,2019
199,272000283,HC STERILE KERLX 6X6,272000283,16.72,16.72,Marshall Medical Center,2019
200,272000284,"HC DRESSING, TEGADERM 4""X 4 3/4""",A6257,16.72,16.72,Marshall Medical Center,2019
201,272000285,HC KERLIX ROLL 4X4,272000285,16.72,16.72,Marshall Medical Center,2019
202,272000286,"HC DRESSING, ADAPTIC 3 X 3",272000286,16.72,16.72,Marshall Medical Center,2019
203,272000287,HC DRESSING ADAPTIC 3 X 8,272000287,16.72,16.72,Marshall Medical Center,2019
204,272000288,HC DRESSING ADAPTIC 3X9,272000288,16.72,16.72,Marshall Medical Center,2019
205,272000289,HC CATHETER FOLEY 16X5CC 2 WAY,A4338,114.34,114.34,Marshall Medical Center,2019
206,272000290,HC CATHETER FOLEY 18X5CC 2 WAY,A4338,114.34,114.34,Marshall Medical Center,2019
207,272000291,HC CATHETER FOLEY 20X5CC 2 WAY,A4338,114.34,114.34,Marshall Medical Center,2019
208,272000292,HC CATHETER FOLEY 16X30CC 2 WAY,A4338,117.29,117.29,Marshall Medical Center,2019
209,272000293,HC CATHETER FOLEY 18X30CC 3WAY,A4346,190.47,190.47,Marshall Medical Center,2019
210,272000294,HC CATHETER FOLEY 22X30CC 3WAY,A4346,190.41,190.41,Marshall Medical Center,2019
211,272000295,HC THORASEAL CHEST DRAIN,272000295,517.47,517.47,Marshall Medical Center,2019
212,272000297,HC CATHETER FOLEY 14FR X 5CC 2 WAY,A4338,114.34,114.34,Marshall Medical Center,2019
213,272000298,HC CATHETER 30CC 18FR 2 WAY FOLEY,A4338,117.29,117.29,Marshall Medical Center,2019
214,272000299,HC CATHETER 0166SI14 30CC 14FR 2WY FOLEY,A4338,117.28,117.28,Marshall Medical Center,2019
215,272000300,"HC CATHETER, FOLEY 30CC 20FR 2 WAY",A4338,117.29,117.29,Marshall Medical Center,2019
216,272000301,"HC CATHETER, FOLEY 30CC 22FR 2 WAY",A4338,117.26,117.26,Marshall Medical Center,2019
217,272000302,HC CATHETER 1758SI16 5CC 16FR 2WY SILICONE,A4344,142.76,142.76,Marshall Medical Center,2019
218,272000303,HC CATHETER 30CC 16FR 3 WAY FOLEY,A4346,190.41,190.41,Marshall Medical Center,2019
219,272000304,HC CATHETER 421712 12 FR STRAIGHT VINYL,A4351,16.72,16.72,Marshall Medical Center,2019
220,272000305,"HC STERILE PACKING STRIPS 1/2"" PLAIN  DRESS",A6407,40.95,40.95,Marshall Medical Center,2019
221,272000306,HC DHS LAG SCREW 50MM,C1713,1116.84,1116.84,Marshall Medical Center,2019
222,272000307,HC FOLEY W/SWIVEL STATLOCK SECUREMENT DEVIC,272000307,45.19,45.19,Marshall Medical Center,2019
223,272000308,HC CATHETER FEMALE 8FR CKF105L,272000308,56.1,56.1,Marshall Medical Center,2019
224,272000309,HC STAPLE  86803712 APPOSE SKIN 35W,272000309,103.99,103.99,Marshall Medical Center,2019
225,272000310,HC CATHETER 016816L 16FR 2 WY COUDE FOLEY,272000310,126.96,126.96,Marshall Medical Center,2019
226,272000311,HC NEEDLE 25 X 3 1/2 WHITACRE,272000311,100.07,100.07,Marshall Medical Center,2019
227,272000312,HC NEEDLE 27 X 3 1/2 WHITACRE,272000312,111.97,111.97,Marshall Medical Center,2019
228,272000313,HC PACKING NASAL LIKE RHINOS,272000313,248.69,248.69,Marshall Medical Center,2019
229,272000314,HC CATHETER G07873 AIRWAY EXCHANGE,272000314,851.78,851.78,Marshall Medical Center,2019
230,272000315,HC HEILMICH VALVE,272000315,523.48,523.48,Marshall Medical Center,2019
231,272000316,HC BIOPATCH ANTIMICROBIAL DRESSING,272000316,90.08,90.08,Marshall Medical Center,2019
232,272000317,HC MEPITEL DRSING 4X7.2 LATEX FREE,272000317,129.19,129.19,Marshall Medical Center,2019
233,272000318,HC HEMOBAND STERILE HB-1M,272000318,268.04,268.04,Marshall Medical Center,2019
234,272000319,"HC NEEDLE SPINAL 24 GAUGE 6"" SPROTTE",272000319,141.47,141.47,Marshall Medical Center,2019
235,272000320,HC STERILE NEEDLE GUIDE KIT,272000320,169.76,169.76,Marshall Medical Center,2019
236,272000321,HC CATHETER - FOLEY SILICONE 20FR 5CC,272000321,52.12,52.12,Marshall Medical Center,2019
237,272000322,"HC SPINAL ANESTH TRAY 333851 25 GA X3 1/2""",272000322,189.98,189.98,Marshall Medical Center,2019
238,272000323,"HC NEEDLE 405140 SPINAL 25 GA X 5"" PEN PNT",272000323,81.08,81.08,Marshall Medical Center,2019
239,272000324,HC KIT 50-9900 PLEURX PERITONEAL CATHETER,272000324,11963.16,11963.16,Marshall Medical Center,2019
240,272000325,HC 50-7700 PLEURX CATH START 1000 ML,272000325,11963.16,11963.16,Marshall Medical Center,2019
